	Obregon-TitoAJ_2015__SM05__bin.25	VatanenT_2016__G80574__bin.3	KosticAD_2015__PRJNA231909.3105379__bin.12	BackhedF_2015__SID536_4M__bin.5	BackhedF_2015__SID385_4M__bin.1	BackhedF_2015__SID128_4M__bin.17	BackhedF_2015__SID335_4M__bin.10	BackhedF_2015__SID633_4M__bin.19	BackhedF_2015__SID201_B__bin.11	BackhedF_2015__SID203_4M__bin.7	KosticAD_2015__PRJNA231909.3104913__bin.9	FerrettiP_2018__CA_C10009IS2149FE_t5M16__bin.5	BackhedF_2015__SID589_12M__bin.29	FerrettiP_2018__CA_C10023IS2401FE_t5M16__bin.5	BackhedF_2015__SID624_4M__bin.6	FerrettiP_2018__CA_C10020IS2345FE_t5M16__bin.3	BackhedF_2015__SID338_4M__bin.10	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.14	BackhedF_2015__SID9_4M__bin.3	BackhedF_2015__SID589_B__bin.7	BackhedF_2015__SID105_4M__bin.4	BackhedF_2015__SID195_4M__bin.11	BackhedF_2015__SID201_4M__bin.1	BackhedF_2015__SID599_4M__bin.4	LiuW_2016__SRR3993045__bin.26	FerrettiP_2018__CA_C10035IS2913FE_t4M16__bin.8
Obregon-TitoAJ_2015__SM05__bin.25	1.0	0.8251307507679428	0.853153569637784	0.8386554106790173	0.8738487379396639	0.8175266342949435	0.8259014646824587	0.5582726879723638	0.7883940395515775	0.8182843073648822	0.676219302666918	0.767325903094788	0.8760780703201463	0.7619876333670873	0.7680842282069555	0.8044994826044914	0.8317431110108415	0.8629276826484391	0.6236646990205674	0.7421518567228488	0.6101667728408763	0.6950581067432251	0.8568793389335068	0.7783851913385319	0.8286322175369366	0.5607491443575853
VatanenT_2016__G80574__bin.3	0.6895785822686863	1.0	0.8638537639330505	0.8401309999645798	0.8900940812973573	0.8032455731657144	0.8163477493236119	0.48503118333183476	0.7133378562106463	0.7613708132732826	0.6009427202109949	0.7300349024448058	0.8876228465246048	0.7585693539641929	0.7579999073627538	0.7875272121910617	0.8402002054367166	0.8483751699484774	0.5910904766186316	0.6999397857899913	0.5951518024755943	0.7253447331638617	0.8498878816858889	0.7613501061241393	0.8173956400552554	0.528703105799909
KosticAD_2015__PRJNA231909.3105379__bin.12	0.6659291956578277	0.8068263655301267	1.0	0.836883016943511	0.9046036207841622	0.8027415192106362	0.7916921778704749	0.4723041210327852	0.7099921977704862	0.7518122497548125	0.6484217662354319	0.7202404491396935	0.8833126444468534	0.7623363529437512	0.7525151120482608	0.7637715967290692	0.8177917298402961	0.8253669668972726	0.5780067721112793	0.7009308217584993	0.5974701029049435	0.7271988367400015	0.8698493452081942	0.7494756525142469	0.8141659579514287	0.5072920054376399
BackhedF_2015__SID536_4M__bin.5	0.6697911833429934	0.8028638278349651	0.8562878554723566	1.0	0.892379668353385	0.8606543675275231	0.7919202081761312	0.49191140745415946	0.7096272087078198	0.7467261574641839	0.5990588955770905	0.7154997378009756	0.8734779047199469	0.7568079312731312	0.7946760318846512	0.766887622070961	0.8321145114531763	0.8184400642192328	0.5794598439720523	0.6986377628043996	0.5953001020154695	0.7081279614559622	0.8500481956697323	0.7400204239240076	0.8212641065418527	0.5147734959748415
BackhedF_2015__SID385_4M__bin.1	0.6493663433980273	0.7914590212785545	0.8612138200371642	0.8303234543793896	1.0	0.7811635248314408	0.7789089622858638	0.5154807964861192	0.6851515276320794	0.7496829899966808	0.5900378667661588	0.7072562220935501	0.8769967269353115	0.74020830355434	0.7444170141219052	0.7502479631168492	0.8062558901839555	0.811980725016535	0.5664945743683422	0.6790167723366678	0.6072240002131974	0.713162274719391	0.8466359630102505	0.7398071048034829	0.7994665219508532	0.49460634795269925
BackhedF_2015__SID128_4M__bin.17	0.7105053633834679	0.8353198451138497	0.8937999638455423	0.9365659272003359	0.9135953794829685	1.0	0.8341354749466041	0.5170982817565626	0.7375634048885588	0.7841261529900247	0.6302668346318904	0.7628703919358559	0.8981787333586074	0.7776053168586877	0.8297136374274573	0.8071924703524946	0.8628227337870208	0.8638903669904134	0.6104719856787546	0.72580923933401	0.6079015057368284	0.743009240920726	0.8754002916157358	0.7783629737551504	0.8540391272835253	0.5443172616001691
BackhedF_2015__SID335_4M__bin.10	0.720395756469632	0.8520343773052002	0.8847048746682076	0.8649051075129689	0.914273429364261	0.8371707598394542	1.0	0.5157602461079264	0.7434515965563545	0.7993184143578882	0.636441399502802	0.7783168861364093	0.9096762525074605	0.7645310430296437	0.7888944310062318	0.8044627252164507	0.8718921565895239	0.8651405685074901	0.6566671576843605	0.7277576093997848	0.6324328751323046	0.7412875166429405	0.8679080883126603	0.7785694095218378	0.8442971517750859	0.5538196152658349
BackhedF_2015__SID633_4M__bin.19	0.7557876357421927	0.7857096198424146	0.8191704785999157	0.8338432584835008	0.9391011664427469	0.8054916555295247	0.8004945067555519	1.0	0.8507696544808385	0.8625135278758101	0.8455324024624705	0.7764594658055906	0.8410534176754828	0.6994622393511563	0.782106305711456	0.7627056104713261	0.8005412915789084	0.8210277478139129	0.645104453738637	0.7241663915483658	0.6087605905833625	0.6432789628952215	0.8488161674225799	0.759054628784495	0.7895751055306722	0.6062615748301182
BackhedF_2015__SID201_B__bin.11	0.7571278466301309	0.8197098766669004	0.8735315997234774	0.8532971065313443	0.8854397310917634	0.8150041077636734	0.8185320255282483	0.6035100089168528	1.0	0.8871748855336585	0.7538760757832303	0.7729583913596698	0.8753757100920742	0.7538341214896154	0.780932211880454	0.7975010269409183	0.8304996443277795	0.8520459919247377	0.6277808808648345	0.7418946809469898	0.6632422779052409	0.6836063910791396	0.9105979050405266	0.7590846700263498	0.809780485116871	0.5783136377753956
BackhedF_2015__SID203_4M__bin.7	0.7020870338719919	0.7816673333463873	0.8264094681574184	0.8022176658004493	0.8655872982128321	0.7741180946200346	0.7862553952105357	0.5466372768138117	0.7926292263065291	1.0	0.6833554782890853	0.729349106136344	0.8713390192255512	0.70171387971233	0.7394673462137721	0.7276875351405483	0.7929867158238063	0.783498418150845	0.5885351601290094	0.6996511819811857	0.6492009633755067	0.6732819943327562	0.8013018436724635	0.7015667439642175	0.7697957722249107	0.518946664689938
KosticAD_2015__PRJNA231909.3104913__bin.9	0.7773634320717069	0.8266251804590068	0.9549778202201038	0.8622837302806841	0.9127732745270587	0.8336726387416816	0.8387877052510385	0.7179817374735589	0.9024239598590209	0.9155804146322084	1.0	0.81490939945941	0.8929261568490471	0.7258844552649056	0.8065337029213746	0.7793355510614662	0.8325407878581633	0.8463606121889097	0.665192512094314	0.7694577159998741	0.6391996689898344	0.6683624441382867	0.8610289498972339	0.7475477813473973	0.8281348146837789	0.6196448836592214
FerrettiP_2018__CA_C10009IS2149FE_t5M16__bin.5	0.6810905978216519	0.7753676157800886	0.8190335468389992	0.7952041383868602	0.8447890785109355	0.7791307327197289	0.7920244145378318	0.5090851319840053	0.7144227157527131	0.7545252031024011	0.6292131775071867	1.0	0.8274626509775596	0.7806951290728275	0.7278945817945472	0.8050199586415969	0.7976928192297474	0.8772246925755705	0.5830521992125351	0.7291724904692205	0.5815011144081309	0.6677159639615864	0.8065913001505362	0.7840178073795754	0.7926778379498363	0.5691532060865031
