	Obregon-TitoAJ_2015__SM05__bin.25	VatanenT_2016__G80574__bin.3	KosticAD_2015__PRJNA231909.3105379__bin.12	BackhedF_2015__SID536_4M__bin.5	BackhedF_2015__SID385_4M__bin.1	BackhedF_2015__SID128_4M__bin.17	BackhedF_2015__SID335_4M__bin.10	BackhedF_2015__SID633_4M__bin.19	BackhedF_2015__SID201_B__bin.11	BackhedF_2015__SID203_4M__bin.7	KosticAD_2015__PRJNA231909.3104913__bin.9	FerrettiP_2018__CA_C10009IS2149FE_t5M16__bin.5	BackhedF_2015__SID589_12M__bin.29	FerrettiP_2018__CA_C10023IS2401FE_t5M16__bin.5	BackhedF_2015__SID624_4M__bin.6	FerrettiP_2018__CA_C10020IS2345FE_t5M16__bin.3	BackhedF_2015__SID338_4M__bin.10	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.14	BackhedF_2015__SID9_4M__bin.3	BackhedF_2015__SID589_B__bin.7	BackhedF_2015__SID105_4M__bin.4	BackhedF_2015__SID195_4M__bin.11	BackhedF_2015__SID201_4M__bin.1	BackhedF_2015__SID599_4M__bin.4	LiuW_2016__SRR3993045__bin.26	FerrettiP_2018__CA_C10035IS2913FE_t4M16__bin.8
Obregon-TitoAJ_2015__SM05__bin.25	1533643.0	1299004.0	1343569.0	1320826.0	1374815.0	1287234.0	1299159.0	877278.0	1239595.0	1287242.0	1063766.0	1215320.0	1377782.0	1207246.0	1208505.0	1275706.0	1308981.0	1368584.0	980838.0	1173456.0	962425.0	1095469.0	1347450.0	1233093.0	1305878.0	886381.0
VatanenT_2016__G80574__bin.3	1299004.0	1835115.0	1620554.0	1575892.0	1666800.0	1506812.0	1528487.0	905362.0	1334247.0	1425169.0	1124941.0	1377695.0	1659696.0	1434113.0	1420549.0	1485445.0	1574589.0	1599739.0	1106082.0	1321272.0	1117235.0	1362328.0	1590139.0	1434981.0	1544707.0	995617.0
KosticAD_2015__PRJNA231909.3105379__bin.12	1343569.0	1620554.0	1964823.0	1679459.0	1812737.0	1609869.0	1587786.0	945549.0	1422213.0	1508255.0	1274228.0	1458938.0	1769831.0	1544820.0	1509323.0	1548983.0	1641619.0	1673966.0	1159582.0	1416783.0	1200256.0	1462386.0	1741633.0	1517576.0	1644942.0	1024720.0
BackhedF_2015__SID536_4M__bin.5	1320826.0	1575892.0	1679459.0	1920297.0	1749039.0	1657968.0	1552460.0	961538.0	1388764.0	1463077.0	1173563.0	1417059.0	1710093.0	1499546.0	1532262.0	1520467.0	1630711.0	1622787.0	1135811.0	1380081.0	1170187.0	1394197.0	1663458.0	1464600.0	1622518.0	1016131.0
BackhedF_2015__SID385_4M__bin.1	1374815.0	1666800.0	1812737.0	1749039.0	2063815.0	1644868.0	1638843.0	1065183.0	1441601.0	1576059.0	1241327.0	1503371.0	1837969.0	1574928.0	1566939.0	1595945.0	1698015.0	1727100.0	1192032.0	1438957.0	1279346.0	1506271.0	1781240.0	1570987.0	1695134.0	1047635.0
BackhedF_2015__SID128_4M__bin.17	1287234.0	1506812.0	1609869.0	1657968.0	1644868.0	1764651.0	1502465.0	929292.0	1326174.0	1411790.0	1134521.0	1387900.0	1616288.0	1415402.0	1469164.0	1470373.0	1553493.0	1573789.0	1099602.0	1316697.0	1097791.0	1344883.0	1573681.0	1415730.0	1549508.0	987347.0
BackhedF_2015__SID335_4M__bin.10	1299159.0	1528487.0	1587786.0	1552460.0	1638843.0	1502465.0	1758253.0	922549.0	1331482.0	1432875.0	1141115.0	1408535.0	1629185.0	1384895.0	1415491.0	1457271.0	1561037.0	1567698.0	1157175.0	1314929.0	1136320.0	1332284.0	1553814.0	1408030.0	1524760.0	999116.0
BackhedF_2015__SID633_4M__bin.19	877278.0	905362.0	945549.0	961538.0	1065183.0	929292.0	922549.0	1132846.0	980144.0	994067.0	975585.0	904680.0	965407.0	815219.0	901961.0	886316.0	922725.0	954401.0	743798.0	839042.0	702350.0	742305.0	981110.0	882317.0	918654.0	704624.0
BackhedF_2015__SID201_B__bin.11	1239595.0	1334247.0	1422213.0	1388764.0	1441601.0	1326174.0	1331482.0	980144.0	1596976.0	1444219.0	1226481.0	1269730.0	1422925.0	1241025.0	1269795.0	1309332.0	1352215.0	1399212.0	1021549.0	1213887.0	1081386.0	1114282.0	1455002.0	1246324.0	1328223.0	947786.0
BackhedF_2015__SID203_4M__bin.7	1287242.0	1425169.0	1508255.0	1463077.0	1576059.0	1411790.0	1432875.0	994067.0	1444219.0	1787465.0	1245658.0	1343729.0	1576032.0	1294810.0	1348297.0	1340284.0	1445097.0	1443535.0	1072109.0	1285811.0	1186802.0	1230428.0	1459835.0	1291547.0	1413593.0	953141.0
