	Obregon-TitoAJ_2015__SM05__bin.25	VatanenT_2016__G80574__bin.3	KosticAD_2015__PRJNA231909.3105379__bin.12	BackhedF_2015__SID536_4M__bin.5	BackhedF_2015__SID385_4M__bin.1	BackhedF_2015__SID128_4M__bin.17	BackhedF_2015__SID335_4M__bin.10	BackhedF_2015__SID633_4M__bin.19	BackhedF_2015__SID201_B__bin.11	BackhedF_2015__SID203_4M__bin.7	KosticAD_2015__PRJNA231909.3104913__bin.9	FerrettiP_2018__CA_C10009IS2149FE_t5M16__bin.5	BackhedF_2015__SID589_12M__bin.29	FerrettiP_2018__CA_C10023IS2401FE_t5M16__bin.5	BackhedF_2015__SID624_4M__bin.6	FerrettiP_2018__CA_C10020IS2345FE_t5M16__bin.3	BackhedF_2015__SID338_4M__bin.10	FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.14	BackhedF_2015__SID9_4M__bin.3	BackhedF_2015__SID589_B__bin.7	BackhedF_2015__SID105_4M__bin.4	BackhedF_2015__SID195_4M__bin.11	BackhedF_2015__SID201_4M__bin.1	BackhedF_2015__SID599_4M__bin.4	LiuW_2016__SRR3993045__bin.26	FerrettiP_2018__CA_C10035IS2913FE_t4M16__bin.8
Obregon-TitoAJ_2015__SM05__bin.25	1.0	0.9741740595102094	0.9738487565580927	0.9737830721079083	0.9748017005924433	0.9740218173230353	0.9749676521503526	0.9759631496515357	0.975411323859809	0.9749184690990506	0.9749127157664373	0.9683079353585887	0.9751840276618507	0.9680023789683295	0.97473076238824	0.9671624966881084	0.9744961920761264	0.9670016601100115	0.975165113912797	0.9699520050176572	0.9723126477387849	0.9730727204512405	0.9752844261382612	0.9681062174548067	0.9731582889060081	0.9702249935411522
VatanenT_2016__G80574__bin.3	0.9741740595102094	1.0	0.9782278159197411	0.978326560449574	0.9799766018718502	0.9782560797232833	0.9801143222022823	0.9831294001736322	0.9811204372203948	0.9803770640534561	0.980317189968185	0.9724198752263745	0.981438769509597	0.9706780428041584	0.9792108543950262	0.9729091282410322	0.9792167987963843	0.9732000032505302	0.9806858804320113	0.9721465375789391	0.9775669398112304	0.9770708669277883	0.9808211734948957	0.9736470378353441	0.9710676523120566	0.9745022433325264
KosticAD_2015__PRJNA231909.3105379__bin.12	0.9738487565580927	0.9782278159197411	1.0	0.9790813589376103	0.9804985499827057	0.9797349970711903	0.9796880687951651	0.981434066346641	0.9808720634672865	0.9793953940149378	0.999847750951949	0.9699829602080418	0.980632049048751	0.9695990471381779	0.979617351620561	0.9688137313321062	0.9787995874804081	0.968777143621794	0.9793882623221126	0.972064882201438	0.9780605137570652	0.9770450482977818	0.9813204044709763	0.9703546972276842	0.9724914313088242	0.9726940042157858
BackhedF_2015__SID536_4M__bin.5	0.9737830721079083	0.978326560449574	0.9790813589376103	1.0	0.9797574553797829	0.9968298543759591	0.9795563170709712	0.9824011115525335	0.9812286320785966	0.9800823880082866	0.9802379591040277	0.9695940677134827	0.9808454861811609	0.9691573316190367	0.9959223683678118	0.968552425011526	0.9798836213161007	0.9684869302009445	0.9796832395530595	0.9721110572495383	0.9768977095113858	0.9753399268539525	0.9812961914277367	0.9702710637716783	0.9719898330865975	0.9728253542112189
BackhedF_2015__SID385_4M__bin.1	0.9748017005924433	0.9799766018718502	0.9804985499827057	0.9797574553797829	1.0	0.980125456875567	0.9808895666027801	0.9987551434823876	0.9808719611043555	0.9816935787302379	0.9809896989270354	0.9709153628745001	0.984760352323679	0.9699827547672021	0.9804714797449039	0.9701919552365527	0.979945995765644	0.9702842915870534	0.9807958175619447	0.9738755223401394	0.979561432169249	0.9771382440477179	0.9809458579416587	0.9718890099026918	0.9733454700336375	0.9743622540293136
BackhedF_2015__SID128_4M__bin.17	0.9740218173230353	0.9782560797232833	0.9797349970711903	0.9968298543759591	0.980125456875567	1.0	0.9796953672797702	0.9819281775803514	0.981426268347894	0.9801096480354727	0.9803264990246985	0.9699546076806687	0.9806247401453206	0.9694786357515391	0.9965905780430231	0.9687426251706199	0.9801016161643471	0.9686590769156476	0.9796908335925181	0.9727370837785763	0.9771750724864751	0.9749190078244725	0.9816322367747974	0.9701984135393048	0.9726190506922198	0.9728393361199255
BackhedF_2015__SID335_4M__bin.10	0.9749676521503526	0.9801143222022823	0.9796880687951651	0.9795563170709712	0.9808895666027801	0.9796953672797702	1.0	0.9829689263117731	0.981745153145142	0.9808280554828579	0.9806417407535613	0.9715612320602612	0.9817430187486381	0.9706432617635272	0.9799256936285713	0.9706149370981787	0.982043987426307	0.9702991264899234	0.997763518914598	0.9731187007055134	0.978577337369755	0.9782981706603097	0.9821008177297926	0.9722250236145537	0.9735879745009051	0.9746165610399593
BackhedF_2015__SID633_4M__bin.19	0.9759631496515357	0.9831294001736322	0.981434066346641	0.9824011115525335	0.9987551434823876	0.9819281775803514	0.9829689263117731	1.0	0.9833157168742552	0.9829267041356368	0.9818293639201094	0.9722874386523411	0.9869246856507152	0.97198789527722	0.9823107650995997	0.97485321262394	0.9828388739873744	0.9745358607126354	0.9825302030927752	0.9777448566341137	0.9818922189791415	0.9817204518358357	0.98009193668396	0.974583964720163	0.9736712625210362	0.974705658620768
BackhedF_2015__SID201_B__bin.11	0.975411323859809	0.9811204372203948	0.9808720634672865	0.9812286320785966	0.9808719611043555	0.981426268347894	0.981745153145142	0.9833157168742552	1.0	0.9810125749626615	0.9816067268877382	0.9721720365747049	0.982450937329796	0.9700489514715659	0.9821506621147508	0.9727021106946138	0.9808262739283324	0.9724737923917176	0.9814027520951026	0.976028246451276	0.9794670913068969	0.9797367273275527	0.9994508598613611	0.9726523761076574	0.9736316868477658	0.9744319920319566
BackhedF_2015__SID203_4M__bin.7	0.9749184690990506	0.9803770640534561	0.9793953940149378	0.9800823880082866	0.9816935787302379	0.9801096480354727	0.9808280554828579	0.9829267041356368	0.9810125749626615	1.0	0.98058536131105	0.9702000924293515	0.9882337414468741	0.968705060974197	0.9803270347705291	0.9704778987140039	0.9808587243624476	0.9701711423692533	0.9812304532468247	0.9726172820111199	0.977773883090861	0.9780889251544991	0.981137594317166	0.9709487924171556	0.9733940391612013	0.973202285915725
KosticAD_2015__PRJNA231909.3104913__bin.9	0.9749127157664373	0.980317189968185	0.999847750951949	0.9802379591040277	0.9809896989270354	0.9803264990246985	0.9806417407535613	0.9818293639201094	0.9816067268877382	0.98058536131105	1.0	0.9718441429345309	0.9819373143284832	0.9697363269221718	0.9803876011371091	0.9718705219559115	0.9803392158281891	0.9720203507140828	0.979768304302368	0.9750873656743851	0.9795273944436914	0.9795329410782474	0.9820634243470633	0.9728418376753292	0.9725406621614128	0.9737385183317981
FerrettiP_2018__CA_C10009IS2149FE_t5M16__bin.5	0.9683079353585887	0.9724198752263745	0.9699829602080418	0.9695940677134827	0.9709153628745001	0.9699546076806687	0.9715612320602612	0.9722874386523411	0.9721720365747049	0.9702000924293515	0.9718441429345309	1.0	0.971229453127282	0.988623054676472	0.9702911861846455	0.9832562571662455	0.9708533793540661	0.983213185025367	0.9724269674200947	0.9800517298380039	0.9672165393064597	0.9685694208791126	0.9717087231204631	0.9841184739612279	0.966017462425597	0.9928629482111937
BackhedF_2015__SID589_12M__bin.29	0.9751840276618507	0.981438769509597	0.980632049048751	0.9808454861811609	0.984760352323679	0.9806247401453206	0.9817430187486381	0.9869246856507152	0.982450937329796	0.9882337414468741	0.9819373143284832	0.971229453127282	1.0	0.9699469107663117	0.9813356744116466	0.9699698502384642	0.9832304233368053	0.9698207247149224	0.9815745579137652	0.972639397007506	0.9804715453124936	0.9778799138915857	0.9825907276127117	0.9713466041010645	0.9731694380049026	0.9745779941243409
FerrettiP_2018__CA_C10023IS2401FE_t5M16__bin.5	0.9680023789683295	0.9706780428041584	0.9695990471381779	0.9691573316190367	0.9699827547672021	0.9694786357515391	0.9706432617635272	0.97198789527722	0.9700489514715659	0.968705060974197	0.9697363269221718	0.988623054676472	0.9699469107663117	1.0	0.9694421804491733	0.9803268245431679	0.9697907477543736	0.9797005777436577	0.9716037844294618	0.9778751038874204	0.9671891894771043	0.9685282568990278	0.9711464569166489	0.9815617079836256	0.9654090990732214	0.9920919499326801
BackhedF_2015__SID624_4M__bin.6	0.97473076238824	0.9792108543950262	0.979617351620561	0.9959223683678118	0.9804714797449039	0.9965905780430231	0.9799256936285713	0.9823107650995997	0.9821506621147508	0.9803270347705291	0.9803876011371091	0.9702911861846455	0.9813356744116466	0.9694421804491733	1.0	0.9696334391780808	0.9804243867122944	0.9695772794486726	0.9802135202849984	0.9723621542772876	0.9772983831201846	0.9756436343255395	0.9821163531466287	0.9701052660303859	0.9726722723543888	0.9729259009520036
FerrettiP_2018__CA_C10020IS2345FE_t5M16__bin.3	0.9671624966881084	0.9729091282410322	0.9688137313321062	0.968552425011526	0.9701919552365527	0.9687426251706199	0.9706149370981787	0.97485321262394	0.9727021106946138	0.9704778987140039	0.9718705219559115	0.9832562571662455	0.9699698502384642	0.9803268245431679	0.9696334391780808	1.0	0.9702928174959284	0.9996295795263147	0.9730234607129132	0.9768419176994131	0.9677641761266463	0.9689335864540978	0.970877729299272	0.9932602763959688	0.9647861265807904	0.9851526044797788
BackhedF_2015__SID338_4M__bin.10	0.9744961920761264	0.9792167987963843	0.9787995874804081	0.9798836213161007	0.979945995765644	0.9801016161643471	0.982043987426307	0.9828388739873744	0.9808262739283324	0.9808587243624476	0.9803392158281891	0.9708533793540661	0.9832304233368053	0.9697907477543736	0.9804243867122944	0.9702928174959284	1.0	0.9700264375618707	0.9819100143209109	0.9726089533238302	0.9786281266130045	0.9765802254809255	0.9807950303945064	0.9710053177146585	0.9715090443064852	0.9732778505872174
FerrettiP_2018__CA_C10020IS2347FE_t4M15__bin.14	0.9670016601100115	0.9732000032505302	0.968777143621794	0.9684869302009445	0.9702842915870534	0.9686590769156476	0.9702991264899234	0.9745358607126354	0.9724737923917176	0.9701711423692533	0.9720203507140828	0.983213185025367	0.9698207247149224	0.9797005777436577	0.9695772794486726	0.9996295795263147	0.9700264375618707	1.0	0.973104006957644	0.9768333465321224	0.9670761089548708	0.9685039648749523	0.9706464311087701	0.9932393498679217	0.9648412219177234	0.9854655102634061
