	CosteaPI_2017__SID713A063-11-90-0__bin.5	BackhedF_2015__SID635_M__bin.31	FengQ_2015__SID31685__bin.17	ZellerG_2014__CCIS59132091ST-4-0__bin.21	KarlssonFH_2013__S561__bin.6	ZeeviD_2015__PNP_Main_240__bin.47	FengQ_2015__SID530018__bin.43	FengQ_2015__SID530558__bin.38	NielsenHB_2014__O2_UC55_0__bin.28	BackhedF_2015__SID45_12M__bin.3	BackhedF_2015__SID383_12M__bin.21	IjazUZ_2017__S151_a_WGS__bin.11	LiJ_2014__V1.FI15__bin.17	BackhedF_2015__SID9_M__bin.4	BackhedF_2015__SID45_M__bin.28	KarlssonFH_2013__S424__bin.12	LiJ_2014__V1.CD48-0__bin.25	XieH_2016__YSZC12003_35519__bin.24	LiJ_2014__V1.CD52-0__bin.49	BackhedF_2015__SID570_12M__bin.15	XieH_2016__YSZC12003_36390__bin.48	KarlssonFH_2013__S526__bin.31	XieH_2016__YSZC12003_37138__bin.93	XieH_2016__YSZC12003_35712__bin.2	QinJ_2012__DLF013__bin.9	ZellerG_2014__CCIS07648107ST-4-0__bin.39	FengQ_2015__SID530026__bin.55	FengQ_2015__SID31428__bin.14	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.49	FengQ_2015__SID530348__bin.7	FengQ_2015__SID31446__bin.29	LiJ_2014__V1.FI29__bin.19	ZeeviD_2015__PNP_Main_194__bin.53
CosteaPI_2017__SID713A063-11-90-0__bin.5	2595396.0	1822950.0	1809176.0	1457558.0	1231281.0	1779890.0	1501684.0	1809171.0	964637.0	1788868.0	1188872.0	1713848.0	1843633.0	1803535.0	1128741.0	1450492.0	1580459.0	1787130.0	1809486.0	1174294.0	1845095.0	1802631.0	1735602.0	1319855.0	1128672.0	1001638.0	1061665.0	688069.0	1750950.0	1134967.0	1851525.0	1800831.0	1832564.0
BackhedF_2015__SID635_M__bin.31	1822950.0	3610274.0	2697817.0	2226740.0	2187806.0	2465769.0	2172603.0	2759841.0	1225190.0	2793019.0	1511198.0	2556010.0	2717473.0	2710807.0	1402558.0	1772482.0	2071447.0	2803986.0	2758580.0	1621856.0	2516260.0	2828891.0	2702681.0	1860809.0	1418430.0	1768426.0	1643912.0	1340707.0	2516822.0	2038212.0	2541942.0	2622066.0	2792420.0
FengQ_2015__SID31685__bin.17	1809176.0	2697817.0	3352692.0	2235556.0	2069677.0	2412302.0	2119249.0	2704308.0	1233380.0	2643270.0	1482429.0	2488251.0	2798106.0	2682407.0	1369337.0	1731537.0	2108582.0	2623420.0	2630965.0	1556985.0	2463966.0	2626317.0	2611527.0	1844537.0	1399648.0	1709200.0	1606557.0	1289292.0	2458491.0	1923728.0	2522745.0	2624967.0	2607378.0
ZellerG_2014__CCIS59132091ST-4-0__bin.21	1457558.0	2226740.0	2235556.0	2639187.0	1785589.0	2033799.0	1994895.0	2253319.0	1022264.0	2184967.0	1233039.0	2044635.0	2259212.0	2257497.0	1163189.0	1375154.0	1694166.0	2174685.0	2211902.0	1284782.0	2034511.0	2192130.0	2165602.0	1762567.0	1206206.0	1530462.0	1390687.0	1167786.0	2065120.0	1639271.0	2086820.0	2180524.0	2164609.0
KarlssonFH_2013__S561__bin.6	1231281.0	2187806.0	2069677.0	1785589.0	2470536.0	1908816.0	1667048.0	2091792.0	876174.0	2113294.0	1052622.0	1937806.0	2092834.0	2102306.0	996827.0	1164946.0	1440018.0	2090224.0	2116404.0	1092348.0	1954272.0	2124358.0	2106259.0	1476934.0	981844.0	1738483.0	1621157.0	1288776.0	1933038.0	2008132.0	1936480.0	2061916.0	2011000.0
ZeeviD_2015__PNP_Main_240__bin.47	1779890.0	2465769.0	2412302.0	2033799.0	1908816.0	3347481.0	2005321.0	2433532.0	1130374.0	2396007.0	1383387.0	2290735.0	2456361.0	2420543.0	1264986.0	1744945.0	1846390.0	2412099.0	2425505.0	1404637.0	2459798.0	2372787.0	2383145.0	1887414.0	1304033.0	1569040.0	1661652.0	1271301.0	2300736.0	1750905.0	2481809.0	2384420.0	2439436.0
FengQ_2015__SID530018__bin.43	1501684.0	2172603.0	2119249.0	1994895.0	1667048.0	2005321.0	3096371.0	2212212.0	1029312.0	2149012.0	1262759.0	2037094.0	2184677.0	2248340.0	1148996.0	1452590.0	1740934.0	2147662.0	2173315.0	1284422.0	2038993.0	2169239.0	2154009.0	1737561.0	1198433.0	1465010.0	1375884.0	1078703.0	2087838.0	1556682.0	2088623.0	2132551.0	2163380.0
FengQ_2015__SID530558__bin.38	1809171.0	2759841.0	2704308.0	2253319.0	2091792.0	2433532.0	2212212.0	3516917.0	1246629.0	2704940.0	1512919.0	2547996.0	2726729.0	2699433.0	1398928.0	1805558.0	2143499.0	2652656.0	2655529.0	1588671.0	2485137.0	2736236.0	2631573.0	1844497.0	1441290.0	1802857.0	1616089.0	1318428.0	2488040.0	1926949.0	2516968.0	2637571.0	2635602.0
NielsenHB_2014__O2_UC55_0__bin.28	964637.0	1225190.0	1233380.0	1022264.0	876174.0	1130374.0	1029312.0	1246629.0	2386778.0	1213678.0	819181.0	1200418.0	1274994.0	1239036.0	756338.0	955876.0	1055248.0	1241168.0	1308146.0	868288.0	1157271.0	1250533.0	1181835.0	840365.0	825057.0	748601.0	718316.0	496524.0	1204176.0	783295.0	1203247.0	1212167.0	1219643.0
BackhedF_2015__SID45_12M__bin.3	1788868.0	2793019.0	2643270.0	2184967.0	2113294.0	2396007.0	2149012.0	2704940.0	1213678.0	3099234.0	1472003.0	2458419.0	2643598.0	2678243.0	1385395.0	1724816.0	2143880.0	2654801.0	2656572.0	1571888.0	2484813.0	2677251.0	2632817.0	1795063.0	1375291.0	1707228.0	1545425.0	1264048.0	2436263.0	1986654.0	2491836.0	2631886.0	2568281.0
