	CosteaPI_2017__SID713A063-11-90-0__bin.5	BackhedF_2015__SID635_M__bin.31	FengQ_2015__SID31685__bin.17	ZellerG_2014__CCIS59132091ST-4-0__bin.21	KarlssonFH_2013__S561__bin.6	ZeeviD_2015__PNP_Main_240__bin.47	FengQ_2015__SID530018__bin.43	FengQ_2015__SID530558__bin.38	NielsenHB_2014__O2_UC55_0__bin.28	BackhedF_2015__SID45_12M__bin.3	BackhedF_2015__SID383_12M__bin.21	IjazUZ_2017__S151_a_WGS__bin.11	LiJ_2014__V1.FI15__bin.17	BackhedF_2015__SID9_M__bin.4	BackhedF_2015__SID45_M__bin.28	KarlssonFH_2013__S424__bin.12	LiJ_2014__V1.CD48-0__bin.25	XieH_2016__YSZC12003_35519__bin.24	LiJ_2014__V1.CD52-0__bin.49	BackhedF_2015__SID570_12M__bin.15	XieH_2016__YSZC12003_36390__bin.48	KarlssonFH_2013__S526__bin.31	XieH_2016__YSZC12003_37138__bin.93	XieH_2016__YSZC12003_35712__bin.2	QinJ_2012__DLF013__bin.9	ZellerG_2014__CCIS07648107ST-4-0__bin.39	FengQ_2015__SID530026__bin.55	FengQ_2015__SID31428__bin.14	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.49	FengQ_2015__SID530348__bin.7	FengQ_2015__SID31446__bin.29	LiJ_2014__V1.FI29__bin.19	ZeeviD_2015__PNP_Main_194__bin.53
CosteaPI_2017__SID713A063-11-90-0__bin.5	1.0	0.9824235442551907	0.9827932716330529	0.9746884858098271	0.982034970084002	0.9888790880335302	0.9764977185612952	0.9813102244066482	0.9812706748756268	0.9815659959259152	0.9792904534718624	0.9821261862195481	0.9819080044672666	0.9807860673621527	0.982471621036181	0.9861598685135802	0.9812149508465579	0.9816661350881022	0.9810161559691537	0.9814152162916612	0.9894189730068099	0.9821000526452723	0.9822672479059139	0.9831072352644799	0.9809466346290153	0.9814853270343178	0.9903001417584643	0.9843431400048541	0.979006824866501	0.9806170575884585	0.9899866326406611	0.981646251091857	0.978011136309564
BackhedF_2015__SID635_M__bin.31	0.9824235442551907	1.0	0.9903974213224989	0.9844094954956574	0.9958396676853433	0.9824188721652353	0.9838272339677336	0.9910310050470299	0.9872885021914968	0.9937719721920976	0.9823087378358097	0.9920058998204232	0.9908698264895364	0.9922572872211116	0.9932109759453798	0.9807084077581606	0.9911462856640793	0.9902050152889493	0.990263831391513	0.9896772586468836	0.9820737920564647	0.9946116693785657	0.9917615138449561	0.9778607046720001	0.9887417778811785	0.9925781457635208	0.9821523293217642	0.985706794996968	0.9813657858998371	0.9974737662225519	0.9839783913244283	0.9910757395122777	0.9807528953380938
FengQ_2015__SID31685__bin.17	0.9827932716330529	0.9903974213224989	1.0	0.9893775866048535	0.9912295493451394	0.9829275107345598	0.9851777681622121	0.9954968147119337	0.9879072143216202	0.9916625997344198	0.9819296573394072	0.9924573525741575	0.9952578637120967	0.9927520320368982	0.9908766067082099	0.9825397897936919	0.9919775469960381	0.9899756806001326	0.9900967895810092	0.9912915024871788	0.9831771217622322	0.9892583416244117	0.9919081824541733	0.9778708694919105	0.9899296108735911	0.9961666276620641	0.9827295265589705	0.9861962999847979	0.9808292973209989	0.9912991857476733	0.9840598237237612	0.9910844593474889	0.9810951845110298
ZellerG_2014__CCIS59132091ST-4-0__bin.21	0.9746884858098271	0.9844094954956574	0.9893775866048535	1.0	0.9861339871605392	0.9757031053707864	0.9832682923161369	0.9910758308077995	0.9805109052064829	0.9863727919002896	0.9756333741268525	0.9863882795706813	0.9904024057945868	0.9867871363727172	0.9835779052243444	0.9757474435590486	0.9849152916538285	0.9840041201369394	0.9845124241489903	0.9846946797199836	0.9754284936281986	0.9840680069156482	0.9853158613632607	0.9781613975525469	0.9825286891293858	0.9927603560232139	0.9763117078106001	0.9797976684084242	0.9749864414658712	0.9870283802983155	0.9768029825284404	0.9847784294050421	0.9757018473082205
KarlssonFH_2013__S561__bin.6	0.982034970084002	0.9958396676853433	0.9912295493451394	0.9861339871605392	1.0	0.9817970930671159	0.9858048478508117	0.9924571850356059	0.9868964383786782	0.9933109165123263	0.981222129121375	0.9918758637345534	0.9920662603914119	0.9921124707820841	0.9929135145817679	0.9802737637624405	0.9910230288788057	0.990531158383025	0.990683725791484	0.9891820189170484	0.9825909597026412	0.9960223276867647	0.9926029989664139	0.9776002177483896	0.9892039875988446	0.9927166385866298	0.9815082684773899	0.9854559675226727	0.9812398928525978	0.9967283027211359	0.9838722837313063	0.9911659834833233	0.9806961710591745
ZeeviD_2015__PNP_Main_240__bin.47	0.9888790880335302	0.9824188721652353	0.9829275107345598	0.9757031053707864	0.9817970930671159	1.0	0.9756288394725832	0.9807571874953771	0.9807665427548758	0.9815384512649588	0.9793224889347666	0.982366358395886	0.9820510910244871	0.9817012133227958	0.9830116696943682	0.9845158443389334	0.9810782120787049	0.9805592556524422	0.9811189834694218	0.9809046750156802	0.9868542051013945	0.981700843775695	0.9816716985328211	0.9833650698786806	0.9806561643762083	0.9820380614898282	0.98878104440641	0.983730052914298	0.9780896200172466	0.9821874973228131	0.9895962985064524	0.9825454408199897	0.9765749132176453
FengQ_2015__SID530018__bin.43	0.9764977185612952	0.9838272339677336	0.9851777681622121	0.9832682923161369	0.9858048478508117	0.9756288394725832	1.0	0.9858756755681644	0.9819131614126717	0.985169463921095	0.9796081437550633	0.9856383652398957	0.9859581073083115	0.9869992972593113	0.9852297135934329	0.9758465912611267	0.9843963068100227	0.9824795521827923	0.9836567639757697	0.9838876942313352	0.9758880977031309	0.9845466543797157	0.9847071205366366	0.9759231474463342	0.9834300290462629	0.9881953024211438	0.9776768971802855	0.9777760885062895	0.9784509142950746	0.9848247747452594	0.9769699941061647	0.9832552656419471	0.9769273081936599
FengQ_2015__SID530558__bin.38	0.9813102244066482	0.9910310050470299	0.9954968147119337	0.9910758308077995	0.9924571850356059	0.9807571874953771	0.9858756755681644	1.0	0.9877782403585991	0.9923562075314055	0.9824313132428107	0.9932127052004791	0.9962082773902357	0.9940257824513519	0.9927544519803736	0.98110722557791	0.9918124524434114	0.9900895555247269	0.9904813692488389	0.991657807060115	0.9813833201147462	0.9896719435019494	0.9931786045836464	0.9769980650551343	0.9911919183509218	0.9983753564481265	0.9814125335919	0.9842403225659649	0.9808793266989276	0.9926178637836289	0.9831555268084458	0.9911926541503527	0.9812524804579751
NielsenHB_2014__O2_UC55_0__bin.28	0.9812706748756268	0.9872885021914968	0.9879072143216202	0.9805109052064829	0.9868964383786782	0.9807665427548758	0.9819131614126717	0.9877782403585991	1.0	0.9877315070389345	0.9804328957824949	0.9878958829341112	0.9872768028712292	0.9875039950413063	0.9869714334067573	0.9811753825810042	0.9884804330356466	0.9955018176427365	0.9935679962328364	0.9864756854868431	0.9810623440836244	0.986049948302044	0.9869871851823647	0.9760568324478054	0.9866615276277881	0.9870585265047735	0.9796343113615734	0.9823291522665571	0.9795162833339977	0.9860256991299574	0.9823303112328557	0.9876823902977065	0.9798719789315398
BackhedF_2015__SID45_12M__bin.3	0.9815659959259152	0.9937719721920976	0.9916625997344198	0.9863727919002896	0.9933109165123263	0.9815384512649588	0.985169463921095	0.9923562075314055	0.9877315070389345	1.0	0.9824049271638713	0.9931276971094024	0.9926259590149485	0.9939520051018522	0.9988667491942731	0.9807996910974852	0.9906589921077672	0.9900855092340255	0.9906330413781369	0.9909211088830756	0.9819133270793415	0.9922031964877406	0.9923598943640974	0.9768448238306956	0.9898443311270124	0.994500441651613	0.9812854069268971	0.9840457007961723	0.9806954339494546	0.9925377040994556	0.9833014692780745	0.9910482444908328	0.9806177750799075
