	CosteaPI_2017__SID713A063-11-90-0__bin.5	BackhedF_2015__SID635_M__bin.31	FengQ_2015__SID31685__bin.17	ZellerG_2014__CCIS59132091ST-4-0__bin.21	KarlssonFH_2013__S561__bin.6	ZeeviD_2015__PNP_Main_240__bin.47	FengQ_2015__SID530018__bin.43	FengQ_2015__SID530558__bin.38	NielsenHB_2014__O2_UC55_0__bin.28	BackhedF_2015__SID45_12M__bin.3	BackhedF_2015__SID383_12M__bin.21	IjazUZ_2017__S151_a_WGS__bin.11	LiJ_2014__V1.FI15__bin.17	BackhedF_2015__SID9_M__bin.4	BackhedF_2015__SID45_M__bin.28	KarlssonFH_2013__S424__bin.12	LiJ_2014__V1.CD48-0__bin.25	XieH_2016__YSZC12003_35519__bin.24	LiJ_2014__V1.CD52-0__bin.49	BackhedF_2015__SID570_12M__bin.15	XieH_2016__YSZC12003_36390__bin.48	KarlssonFH_2013__S526__bin.31	XieH_2016__YSZC12003_37138__bin.93	XieH_2016__YSZC12003_35712__bin.2	QinJ_2012__DLF013__bin.9	ZellerG_2014__CCIS07648107ST-4-0__bin.39	FengQ_2015__SID530026__bin.55	FengQ_2015__SID31428__bin.14	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.49	FengQ_2015__SID530348__bin.7	FengQ_2015__SID31446__bin.29	LiJ_2014__V1.FI29__bin.19	ZeeviD_2015__PNP_Main_194__bin.53
CosteaPI_2017__SID713A063-11-90-0__bin.5	1.0	0.7023783653823925	0.6970712754431309	0.5615936835843163	0.47440968545840406	0.6857874482352597	0.5785953280347199	0.6970693489548416	0.37167237677795606	0.6892466506074603	0.4580695970865332	0.6603416203153585	0.7103474768397577	0.6948978113551844	0.4349012636221987	0.5588711703339297	0.6089471510320583	0.6885770032781124	0.6971907177170651	0.45245272783035806	0.7109107820155383	0.6945495022724856	0.6687233855642838	0.50853704020504	0.43487467808380686	0.38592877541616	0.4090570379240779	0.26511137414097885	0.6746369340170055	0.437300126839989	0.7133882459555305	0.6938559664883509	0.7060826170649874
BackhedF_2015__SID635_M__bin.31	0.5049339745404365	1.0	0.7472610112141073	0.6167786710925542	0.6059944480668227	0.6829866652780371	0.601783410345032	0.7644408706929169	0.33936205396044733	0.7736307548956118	0.41858263389426953	0.7079822750295407	0.7527054733241854	0.7508590760701266	0.3884907350522426	0.4909549801483212	0.573764484357697	0.7766684744703588	0.7640915897242149	0.4492334930811346	0.6969720303777497	0.7835668428490469	0.748608277377285	0.5154204362328177	0.3928870772689275	0.4898315197129082	0.45534272467962267	0.37135879437405583	0.6971276972329524	0.5645588118796524	0.7040856178783106	0.7262789472488792	0.7734648395107961
FengQ_2015__SID31685__bin.17	0.5396189092227976	0.8046718875458885	1.0	0.666794325276524	0.6173179641911634	0.7195119623275863	0.6321036945833378	0.8066079437061323	0.3678775145465196	0.788402274948012	0.44216080689785997	0.7421651019538926	0.8345848649383838	0.8000755810554623	0.4084291071175044	0.5164616970482228	0.6289220721736444	0.7824816595142053	0.7847320899146119	0.46439845950656966	0.7349216689156057	0.7833457412729831	0.7789343608061821	0.5501659561928146	0.4174699017983161	0.5097992896454551	0.47918418989874406	0.38455426266415166	0.7332886528198832	0.5737860799620126	0.7524535507586143	0.7829430797699282	0.7776968477867934
ZellerG_2014__CCIS59132091ST-4-0__bin.21	0.5522753787435297	0.8437219492214837	0.8470623718592127	1.0	0.6765678218330115	0.7706157237058231	0.7558748205413258	0.853792853632577	0.3873404953874053	0.8278939688623808	0.4672041049004864	0.7747215335631769	0.856025738229235	0.8553759169016822	0.4407376210931624	0.5210521270376066	0.6419272298628328	0.8239980721335775	0.8380997632983188	0.48680976376437135	0.7708855037555126	0.8306080622555355	0.820556481977215	0.6678446809566734	0.45703695873009376	0.579899037089831	0.5269376516328703	0.44247944537465517	0.7824833935602138	0.6211272638126817	0.7907056226027182	0.8262104958837703	0.8201802297449935
KarlssonFH_2013__S561__bin.6	0.49838618016495206	0.885559247062176	0.8377441170660942	0.7227536858398339	1.0	0.7726323356550967	0.6747717904130925	0.8466956158501637	0.3546493554435151	0.8553989903405577	0.4260702940576458	0.7843666313706823	0.8471173866723658	0.8509513724956852	0.40348612608761825	0.4715357315173711	0.5828767522513333	0.8460609357645467	0.8566578264797599	0.4421502054614869	0.7910315818105869	0.8598773707406004	0.852551430134999	0.597819258654802	0.3974214502439956	0.7036865684207799	0.6561964691062993	0.5216584579216818	0.7824366858042141	0.8128325189351623	0.7838299057370546	0.8346026935045674	0.813993400622375
ZeeviD_2015__PNP_Main_240__bin.47	0.5317102621344229	0.7366043302411575	0.7206320215111004	0.6075610287257792	0.5702245957482657	1.0	0.5990537362273304	0.7269741038111941	0.3376789890667042	0.7157641820819894	0.41326209170417993	0.6843160573577565	0.7337938587254117	0.7230938726762004	0.37789191335215944	0.5212710692009902	0.5515759462114945	0.7205713788965494	0.7245761813136504	0.41961014864610136	0.7348206009235004	0.7088276229200404	0.7119218899226015	0.5638311315284538	0.3895565053244514	0.4687226006659933	0.49638877711329804	0.37977840650925276	0.6873036770036932	0.5230515124656421	0.7413959929869655	0.7123027733391167	0.7287378180787285
FengQ_2015__SID530018__bin.43	0.48498193530426426	0.7016610735599836	0.6844299342682126	0.6442687261959242	0.5383876802876658	0.6476358937607929	1.0	0.7144531453110754	0.33242528107904384	0.6940421545092627	0.4078190242706704	0.6578972610194321	0.7055604770875324	0.7261209977744915	0.37107827195126164	0.4691266001393244	0.5622498079203041	0.6936061602437176	0.7018910201652192	0.41481527891845	0.6585105596196321	0.7005746404419884	0.6956559792092097	0.5611604681738719	0.3870443819555215	0.4731377473823389	0.4443537289297697	0.3483765349824036	0.6742854780644826	0.5027440187238544	0.6745390006559292	0.6887259310980499	0.6986824253295228
FengQ_2015__SID530558__bin.38	0.5144195896576462	0.7847330488606925	0.7689427984794637	0.6407086092734062	0.5947800303504461	0.6919503644811634	0.62902024699474	1.0	0.3544664261340259	0.7691225013271568	0.4301833111216443	0.7244970523899199	0.7753179844733328	0.7675566412286671	0.3977711160087088	0.5133922694223378	0.6094823960872549	0.7542560714398435	0.7550729801129796	0.4517226309293054	0.7066237275431863	0.7780212043673479	0.7482613322975776	0.5244641826918293	0.4098163249232211	0.5126242672204092	0.45951866364773464	0.37488175012375896	0.7074491664147888	0.5479085801569955	0.715674552456029	0.7499668033109681	0.7494069379516207
NielsenHB_2014__O2_UC55_0__bin.28	0.40415866075521056	0.5133238198106401	0.5167552239881548	0.42830292553392063	0.3670948869144931	0.47359829862685177	0.43125586041098085	0.5223062220281903	1.0	0.5085005811181433	0.34321625220276036	0.5029449743545482	0.5341904441887767	0.5191249458474981	0.31688661450708866	0.40048802192746874	0.4421223926146462	0.5200182002683115	0.5480802990475026	0.36379085109716947	0.4848674656796736	0.5239418999169592	0.49515916436300317	0.35209181582870297	0.34567814853329465	0.3136450059452534	0.30095635203609217	0.20803107787988662	0.5045194819124359	0.32818092005205346	0.5041302542590891	0.5078675100910097	0.510999766212023
BackhedF_2015__SID45_12M__bin.3	0.5771968170199475	0.9011965537290827	0.8528784854580196	0.7050022683024257	0.6818762313526504	0.7730965135256002	0.6934010145732784	0.872776950691687	0.39160579678720614	1.0	0.47495703777126863	0.7932343927564037	0.8529843180605272	0.8641628867003911	0.4470120681432896	0.5565297747766061	0.6917451215364829	0.8565990822248336	0.8571705137462999	0.5071859691781905	0.8017506906545294	0.8638428076098804	0.8495057165738372	0.5791956980337722	0.44375190772945833	0.5508548241275102	0.4986474077142933	0.4078581998003378	0.7860855295211655	0.6410145216527697	0.8040167344576111	0.8492053197661099	0.8286825067097224
