	HMP_2012__SRS024355__bin.7	HMP_2012__SRS052604__bin.13	HMP_2012__SRS023964__bin.38	HMP_2012__SRS049318__bin.4	HMP_2012__SRS014578__bin.11	HMP_2012__SRS075410__bin.46	HMP_2012__SRS018573__bin.18	HMP_2012__SRS013533__bin.28	HMP_2012__SRS015989__bin.20	HMP_2012__SRS058808__bin.10	HMP_2012__SRS017511__bin.54	HMP_2012__SRS024649__bin.22	HMP_2012__SRS045197__bin.16	HMP_2012__SRS018394__bin.45	HMP_2012__SRS019128__bin.33	HMP_2012__SRS063999__bin.48	HMP_2012__SRS019980__bin.50	CM_periimplantitis__SP_164SPI_T016__bin.6	HMP_2012__SRS051378__bin.14	HMP_2012__SRS047634__bin.29	CM_periimplantitis__SP_344SPT_T016__bin.39	HMP_2012__SRS022725__bin.54	HMP_2012__SRS023538__bin.3	HMP_2012__SRS015063__bin.29	HMP_2012__SRS021477__bin.33	HMP_2012__SRS015803__bin.3	HMP_2012__SRS023938__bin.8	HMP_2012__SRS053917__bin.10	CM_periimplantitis__SP_283SPT_T016__bin.3	HMP_2012__SRS016331__bin.40	HMP_2012__SRS022536__bin.51	HMP_2012__SRS024021__bin.13	HMP_2012__SRS019906__bin.37	HMP_2012__SRS016092__bin.16	HMP_2012__SRS017691__bin.49	HMP_2012__SRS015899__bin.2	HMP_2012__SRS016575__bin.50	HMP_2012__SRS020226__bin.18	HMP_2012__SRS024561__bin.24	LiuW_2016__SRR3993043__bin.53
HMP_2012__SRS024355__bin.7	0.0	18755.0	34734.0	23028.0	30201.0	29405.0	33801.0	25174.0	35453.0	32020.0	22750.0	27902.0	24689.0	26572.0	33527.0	30036.0	30721.0	30494.0	24584.0	29985.0	32721.0	23538.0	34375.0	33163.0	19453.0	33343.0	29825.0	23551.0	30927.0	33782.0	21580.0	33228.0	31607.0	28760.0	16538.0	34675.0	26292.0	36022.0	36433.0	29100.0
HMP_2012__SRS052604__bin.13	18755.0	0.0	29391.0	15908.0	26062.0	22667.0	28541.0	19807.0	31067.0	26731.0	20099.0	20403.0	17980.0	18670.0	26504.0	23461.0	23461.0	23924.0	23726.0	25182.0	22902.0	20765.0	30936.0	26123.0	22723.0	27367.0	23320.0	21015.0	24465.0	27248.0	16606.0	27615.0	26362.0	22697.0	19246.0	28279.0	20354.0	27294.0	31210.0	20954.0
HMP_2012__SRS023964__bin.38	34734.0	29391.0	0.0	31840.0	49908.0	46373.0	48860.0	38841.0	56987.0	36079.0	36902.0	42659.0	34176.0	37256.0	51097.0	44282.0	47100.0	45433.0	42704.0	46752.0	48052.0	36931.0	56026.0	48350.0	43677.0	50543.0	44455.0	37942.0	51208.0	56336.0	32789.0	56803.0	55865.0	39559.0	34601.0	54769.0	37948.0	50059.0	60778.0	43642.0
HMP_2012__SRS049318__bin.4	23028.0	15908.0	31840.0	0.0	27795.0	27180.0	32668.0	22313.0	32144.0	29709.0	22219.0	23861.0	23411.0	24252.0	29834.0	27022.0	27304.0	27776.0	24826.0	28707.0	28513.0	23155.0	31794.0	29705.0	26777.0	30971.0	28263.0	24287.0	27908.0	29125.0	21949.0	30720.0	28940.0	26059.0	23410.0	30444.0	25187.0	33530.0	32633.0	25802.0
HMP_2012__SRS014578__bin.11	30201.0	26062.0	49908.0	27795.0	0.0	39509.0	44313.0	32469.0	49361.0	42470.0	31822.0	35409.0	29581.0	16758.0	38439.0	34835.0	29981.0	38844.0	37735.0	41769.0	41123.0	31994.0	47612.0	40564.0	36456.0	42281.0	38212.0	31196.0	45406.0	46421.0	28083.0	48494.0	37417.0	35895.0	30401.0	47055.0	33213.0	45038.0	51661.0	36567.0
HMP_2012__SRS075410__bin.46	29405.0	22667.0	46373.0	27180.0	39509.0	0.0	43941.0	34299.0	45311.0	42126.0	28515.0	34809.0	28972.0	31870.0	42931.0	38382.0	39725.0	37522.0	32771.0	38982.0	40167.0	30789.0	45489.0	39068.0	38076.0	40388.0	38322.0	30505.0	43135.0	44746.0	29393.0	46619.0	46407.0	34771.0	29401.0	42939.0	32308.0	43853.0	47853.0	36899.0
HMP_2012__SRS018573__bin.18	33801.0	28541.0	48860.0	32668.0	44313.0	43941.0	0.0	36197.0	48346.0	43579.0	31541.0	40296.0	34656.0	35792.0	50168.0	42594.0	45931.0	45014.0	36175.0	46297.0	49385.0	34902.0	50724.0	48289.0	40997.0	49221.0	39046.0	34825.0	46910.0	51559.0	33126.0	49437.0	47539.0	39975.0	32647.0	50887.0	37568.0	50844.0	55607.0	42763.0
HMP_2012__SRS013533__bin.28	25174.0	19807.0	38841.0	22313.0	32469.0	34299.0	36197.0	0.0	39055.0	34455.0	25110.0	28066.0	23893.0	26038.0	34259.0	32189.0	31006.0	31185.0	28847.0	31667.0	30712.0	25412.0	40822.0	32182.0	31050.0	35497.0	33739.0	24721.0	34715.0	35850.0	24013.0	38927.0	37472.0	28556.0	26234.0	35063.0	27430.0	34210.0	40121.0	28873.0
HMP_2012__SRS015989__bin.20	35453.0	31067.0	56987.0	32144.0	49361.0	45311.0	48346.0	39055.0	0.0	47945.0	35690.0	43302.0	35383.0	36291.0	51182.0	46267.0	44614.0	45365.0	38431.0	47164.0	49010.0	37091.0	52175.0	48135.0	43517.0	47770.0	44642.0	36689.0	52102.0	57044.0	33098.0	57671.0	55065.0	39991.0	34413.0	55873.0	37598.0	49910.0	53005.0	44950.0
HMP_2012__SRS058808__bin.10	32020.0	26731.0	36079.0	29709.0	42470.0	42126.0	43579.0	34455.0	47945.0	0.0	30452.0	38155.0	32517.0	33600.0	45301.0	39909.0	42368.0	42938.0	35326.0	41652.0	43251.0	33867.0	48566.0	45588.0	38009.0	45679.0	40674.0	32514.0	46483.0	47982.0	29950.0	48577.0	47348.0	36919.0	31541.0	48888.0	35349.0	48159.0	50968.0	39584.0
