	HMP_2012__SRS024355__bin.7	HMP_2012__SRS052604__bin.13	HMP_2012__SRS023964__bin.38	HMP_2012__SRS049318__bin.4	HMP_2012__SRS014578__bin.11	HMP_2012__SRS075410__bin.46	HMP_2012__SRS018573__bin.18	HMP_2012__SRS013533__bin.28	HMP_2012__SRS015989__bin.20	HMP_2012__SRS058808__bin.10	HMP_2012__SRS017511__bin.54	HMP_2012__SRS024649__bin.22	HMP_2012__SRS045197__bin.16	HMP_2012__SRS018394__bin.45	HMP_2012__SRS019128__bin.33	HMP_2012__SRS063999__bin.48	HMP_2012__SRS019980__bin.50	CM_periimplantitis__SP_164SPI_T016__bin.6	HMP_2012__SRS051378__bin.14	HMP_2012__SRS047634__bin.29	CM_periimplantitis__SP_344SPT_T016__bin.39	HMP_2012__SRS022725__bin.54	HMP_2012__SRS023538__bin.3	HMP_2012__SRS015063__bin.29	HMP_2012__SRS021477__bin.33	HMP_2012__SRS015803__bin.3	HMP_2012__SRS023938__bin.8	HMP_2012__SRS053917__bin.10	CM_periimplantitis__SP_283SPT_T016__bin.3	HMP_2012__SRS016331__bin.40	HMP_2012__SRS022536__bin.51	HMP_2012__SRS024021__bin.13	HMP_2012__SRS019906__bin.37	HMP_2012__SRS016092__bin.16	HMP_2012__SRS017691__bin.49	HMP_2012__SRS015899__bin.2	HMP_2012__SRS016575__bin.50	HMP_2012__SRS020226__bin.18	HMP_2012__SRS024561__bin.24	LiuW_2016__SRR3993043__bin.53
HMP_2012__SRS024355__bin.7	1405120.0	710462.0	1255940.0	928968.0	1121255.0	1073579.0	1254827.0	915132.0	1267412.0	1186773.0	950186.0	1079094.0	946425.0	1061366.0	1247354.0	1096990.0	1122733.0	1118228.0	892963.0	1149818.0	1180750.0	914086.0	1236176.0	1201188.0	1096972.0	1209152.0	1137358.0	919622.0	1114190.0	1178714.0	1009053.0	1194205.0	1144573.0	1100919.0	1002941.0	1239265.0	993200.0	1144772.0	1307393.0	1108636.0
HMP_2012__SRS052604__bin.13	710462.0	1110506.0	900419.0	638498.0	849172.0	737324.0	864907.0	668876.0	941789.0	832470.0	717289.0	752626.0	632004.0	699123.0	884039.0	783251.0	767823.0	769688.0	708242.0	833805.0	819257.0	675739.0	922764.0	830770.0	744936.0	832934.0	758447.0	701697.0	785788.0	879441.0	671990.0	854750.0	825161.0	739863.0	667016.0	864785.0	680070.0	775604.0	972041.0	742582.0
HMP_2012__SRS023964__bin.38	1255940.0	900419.0	2172439.0	1077640.0	1548468.0	1443114.0	1663596.0	1184470.0	1779968.0	1666176.0	1234821.0	1366173.0	1108344.0	1280248.0	1603513.0	1375865.0	1431765.0	1435469.0	1299603.0	1491534.0	1439922.0	1130379.0	1769217.0	1543633.0	1386975.0	1587952.0	1500139.0	1196430.0	1552618.0	1569755.0	1190579.0	1673665.0	1635845.0	1402678.0	1187379.0	1656626.0	1232404.0	1403018.0	1799896.0	1363540.0
HMP_2012__SRS049318__bin.4	928968.0	638498.0	1077640.0	1285813.0	987449.0	954663.0	1082720.0	828499.0	1096518.0	1034962.0	844001.0	947715.0	860640.0	939575.0	1076356.0	955007.0	978112.0	982410.0	820756.0	1017210.0	1022150.0	801264.0	1077182.0	1047774.0	933141.0	1038857.0	1005004.0	844746.0	966526.0	1031362.0	918271.0	1030003.0	1008157.0	944624.0	871709.0	1056815.0	899528.0	1016947.0	1114396.0	972512.0
HMP_2012__SRS014578__bin.11	1121255.0	849172.0	1548468.0	987449.0	1816653.0	1265449.0	1443199.0	1052808.0	1567890.0	1387850.0	1119461.0	1185075.0	991139.0	1162210.0	1447232.0	1230777.0	1277758.0	1279511.0	1141494.0	1355745.0	1282200.0	1035860.0	1500341.0	1366728.0	1193436.0	1365462.0	1324260.0	1062081.0	1414241.0	1368167.0	1060144.0	1485934.0	1484627.0	1235530.0	1048292.0	1447378.0	1105958.0	1258653.0	1593393.0	1204547.0
HMP_2012__SRS075410__bin.46	1073579.0	737324.0	1443114.0	954663.0	1265449.0	1713934.0	1393225.0	1039608.0	1514054.0	1357071.0	1006977.0	1155666.0	972662.0	1120756.0	1378458.0	1187210.0	1253159.0	1228797.0	1082826.0	1246790.0	1249672.0	961412.0	1476093.0	1289506.0	1183821.0	1318666.0	1299138.0	986235.0	1362925.0	1311608.0	1065167.0	1431527.0	1412903.0	1169520.0	1032475.0	1339645.0	1108100.0	1245402.0	1535464.0	1197452.0
HMP_2012__SRS018573__bin.18	1254827.0	864907.0	1663596.0	1082720.0	1443199.0	1393225.0	1981123.0	1109506.0	1655745.0	1553466.0	1129502.0	1305744.0	1148573.0	1277331.0	1592359.0	1331127.0	1431372.0	1451491.0	1158423.0	1482258.0	1459619.0	1113760.0	1649188.0	1572771.0	1349007.0	1593848.0	1435804.0	1162799.0	1477594.0	1481384.0	1201670.0	1565282.0	1470653.0	1493727.0	1164918.0	1608940.0	1235563.0	1425826.0	1746648.0	1346014.0
HMP_2012__SRS013533__bin.28	915132.0	668876.0	1184470.0	828499.0	1052808.0	1039608.0	1109506.0	1384164.0	1200930.0	1085627.0	869941.0	987500.0	840774.0	944634.0	1099831.0	1020919.0	1009062.0	998532.0	872061.0	1021025.0	1044868.0	810021.0	1185406.0	1039392.0	977486.0	1071606.0	1050117.0	813189.0	1055232.0	1116443.0	917318.0	1181692.0	1141140.0	929110.0	892918.0	1098047.0	887680.0	1000406.0	1226092.0	1036693.0
HMP_2012__SRS015989__bin.20	1267412.0	941789.0	1779968.0	1096518.0	1567890.0	1514054.0	1655745.0	1200930.0	2088057.0	1598662.0	1213106.0	1385989.0	1131342.0	1289879.0	1625023.0	1403785.0	1410502.0	1446777.0	1299234.0	1517053.0	1467690.0	1152754.0	1783229.0	1545863.0	1393847.0	1576068.0	1514852.0	1185490.0	1585818.0	1592552.0	1211974.0	1746857.0	1637327.0	1391647.0	1192595.0	1665019.0	1250934.0	1436277.0	1898342.0	1399698.0
HMP_2012__SRS058808__bin.10	1186773.0	832470.0	1666176.0	1034962.0	1387850.0	1357071.0	1553466.0	1085627.0	1598662.0	1898979.0	1096497.0	1256044.0	1085519.0	1199345.0	1468978.0	1288408.0	1339163.0	1364541.0	1174702.0	1374815.0	1332950.0	1080862.0	1608484.0	1475927.0	1257291.0	1476200.0	1431264.0	1094480.0	1446011.0	1431681.0	1151295.0	1505693.0	1438577.0	1325469.0	1106484.0	1521246.0	1187341.0	1381725.0	1630949.0	1274993.0
HMP_2012__SRS017511__bin.54	950186.0	717289.0	1234821.0	844001.0	1119461.0	1006977.0	1129502.0	869941.0	1213106.0	1096497.0	1344160.0	990155.0	841386.0	926797.0	1124939.0	982528.0	986823.0	1017153.0	907493.0	1067342.0	1032063.0	836964.0	1187000.0	1067203.0	987655.0	1080889.0	1026988.0	856933.0	1052007.0	1100049.0	882953.0	1147974.0	1132194.0	973136.0	875128.0	1140558.0	904106.0	1026525.0	1223098.0	975801.0
HMP_2012__SRS024649__bin.22	1079094.0	752626.0	1366173.0	947715.0	1185075.0	1155666.0	1305744.0	987500.0	1385989.0	1256044.0	990155.0	1553797.0	987555.0	1092313.0	1316185.0	1174175.0	1167075.0	1174350.0	953684.0	1205516.0	1211999.0	930951.0	1332231.0	1239041.0	1141226.0	1265940.0	1186010.0	948968.0	1215332.0	1267486.0	1047546.0	1294110.0	1271182.0	1124048.0	1036536.0	1302204.0	1021980.0	1187504.0	1403433.0	1174514.0
HMP_2012__SRS045197__bin.16	946425.0	632004.0	1108344.0	860640.0	991139.0	972662.0	1148573.0	840774.0	1131342.0	1085519.0	841386.0	987555.0	1356327.0	965824.0	1107428.0	1004922.0	1023875.0	1018602.0	805150.0	1042840.0	1029926.0	828873.0	1110390.0	1096014.0	979500.0	1108120.0	1018385.0	825807.0	1024070.0	1060165.0	940772.0	1073809.0	1051088.0	1003584.0	905837.0	1104614.0	949059.0	1046010.0	1150351.0	1007278.0
