	LiuW_2016__SRR3993059__bin.115	CosteaPI_2017__SID713B051-11-90-0__bin.29	SchirmerM_2016__G88966__bin.18	CosteaPI_2017__SID713B072-11-90-0__bin.79	Obregon-TitoAJ_2015__SM32__bin.9	ZeeviD_2015__PNP_Validation_49__bin.69	FengQ_2015__SID530600__bin.53	ZeeviD_2015__PNP_Main_683__bin.7	ZeeviD_2015__PNP_Main_203__bin.19	CosteaPI_2017__SID713A051-11-0-0__bin.6	BritoIL_2016__WL.28.ST__bin.7	BritoIL_2016__M2.36.ST__bin.4	LeChatelierE_2013__MH0224__bin.50	LiJ_2014__MH0303__bin.6	Obregon-TitoAJ_2015__SM28__bin.49	NielsenHB_2014__MH0118__bin.18	LeChatelierE_2013__MH0096__bin.55	ZeeviD_2015__PNP_Main_338__bin.24	RampelliS_2015__H17__bin.86	CosteaPI_2017__SID713B051-11-0-0__bin.64	LeChatelierE_2013__MH0053__bin.24	RampelliS_2015__H14__bin.54	BritoIL_2016__M2.44.ST__bin.6	LiuW_2016__SRR3992958__bin.90	Obregon-TitoAJ_2015__SM23__bin.21	ZeeviD_2015__PNP_Validation_47__bin.8	XieH_2016__YSZC12003_36795__bin.4	NielsenHB_2014__MH0096__bin.26	XieH_2016__YSZC12003_37100__bin.138	CosteaPI_2017__SID713A038-11-90-0__bin.25	CosteaPI_2017__SID713A004-11-90-0__bin.51	LiuW_2016__SRR3992978__bin.105	ZeeviD_2015__PNP_Main_27__bin.15	LiJ_2014__O2.UC44-1__bin.23	ZeeviD_2015__PNP_Main_325__bin.44	CM_madagascar__A94_03_1FE__bin.9	BritoIL_2016__M2.41.ST__bin.36	LeChatelierE_2013__MH0118__bin.24	NielsenHB_2014__MH0053__bin.13	ZeeviD_2015__PNP_Main_559__bin.27	CosteaPI_2017__SID713B066-11-90-0__bin.38	BritoIL_2016__M1.38.ST__bin.60	CosteaPI_2017__SID713B066-11-0-0__bin.23	BritoIL_2016__M2.37.ST__bin.35	Obregon-TitoAJ_2015__SM39__bin.43	CM_madagascar__A39_02_1FE__bin.34	YuJ_2015__SZAXPI015264-87__bin.34	RampelliS_2015__H13__bin.36	Obregon-TitoAJ_2015__SM18__bin.27
LiuW_2016__SRR3993059__bin.115	2133571.0	1891044.0	1199985.0	1972009.0	1510053.0	1929590.0	1993212.0	1367276.0	1585996.0	1988901.0	1872743.0	1831586.0	1553031.0	1980914.0	1979773.0	1977941.0	1870791.0	1098274.0	1347817.0	2004212.0	1976295.0	1977271.0	1980159.0	1157584.0	1590280.0	1945697.0	2012124.0	1842726.0	1886039.0	1953184.0	2037773.0	1196245.0	1607827.0	1403542.0	1811225.0	1148043.0	1776109.0	1437924.0	1973006.0	1248272.0	1879380.0	1347807.0	1727650.0	1680568.0	1965877.0	1068537.0	1969068.0	1961860.0	1958905.0
CosteaPI_2017__SID713B051-11-90-0__bin.29	1891044.0	2112042.0	1164529.0	1923987.0	1483523.0	1863411.0	1897478.0	1333061.0	1562659.0	1918422.0	1840756.0	1812523.0	1513264.0	1972661.0	1915422.0	1893876.0	1776624.0	1134141.0	1324351.0	2021728.0	1903509.0	1925224.0	1953763.0	1141154.0	1566660.0	1904935.0	1973602.0	1746456.0	1834060.0	1892112.0	1923717.0	1175248.0	1557007.0	1361333.0	1743940.0	1137372.0	1803049.0	1382978.0	1921048.0	1193352.0	1837734.0	1321021.0	1706578.0	1683245.0	1893679.0	1063666.0	1887385.0	1893368.0	1920763.0
SchirmerM_2016__G88966__bin.18	1199985.0	1164529.0	1376923.0	1208939.0	923958.0	1161556.0	1235387.0	861706.0	995320.0	1213023.0	1163647.0	1099278.0	974283.0	1206436.0	1214890.0	1206560.0	1115813.0	691484.0	869498.0	1221740.0	1240191.0	1229513.0	1210345.0	772638.0	965552.0	1174115.0	1222331.0	1092652.0	1174164.0	1209188.0	1235533.0	767603.0	987732.0	888766.0	1117628.0	762744.0	1118443.0	870949.0	1237305.0	776562.0	1136961.0	849000.0	1101566.0	1060926.0	1192777.0	717628.0	1188212.0	1214822.0	1204682.0
CosteaPI_2017__SID713B072-11-90-0__bin.79	1972009.0	1923987.0	1208939.0	2232367.0	1553125.0	1962778.0	2007824.0	1381916.0	1617524.0	2024057.0	1890402.0	1931501.0	1565825.0	2027613.0	2020390.0	2007296.0	1913179.0	1130246.0	1374876.0	2060828.0	2030024.0	2036367.0	2107328.0	1175996.0	1634394.0	1972950.0	2061169.0	1862848.0	1930460.0	1982300.0	2049114.0	1202740.0	1624349.0	1404720.0	1818285.0	1179985.0	1887528.0	1460298.0	2023030.0	1248047.0	1919439.0	1391970.0	1759378.0	1754570.0	2003873.0	1084366.0	1990147.0	2024960.0	2039486.0
Obregon-TitoAJ_2015__SM32__bin.9	1510053.0	1483523.0	923958.0	1553125.0	1791594.0	1565176.0	1539431.0	1000253.0	1211035.0	1557491.0	1432177.0	1413066.0	1144734.0	1585960.0	1584468.0	1555699.0	1406206.0	796849.0	1087513.0	1595991.0	1548482.0	1609638.0	1560283.0	922654.0	1767231.0	1567779.0	1578894.0	1525531.0	1468135.0	1525474.0	1566780.0	943631.0	1207370.0	1069621.0	1394366.0	928173.0	1374757.0	1437998.0	1541881.0	807274.0	1518388.0	1018882.0	1379132.0	1329372.0	1632320.0	817334.0	1521550.0	1610297.0	1761380.0
ZeeviD_2015__PNP_Validation_49__bin.69	1929590.0	1863411.0	1161556.0	1962778.0	1565176.0	2157604.0	1976037.0	1342192.0	1583591.0	1998546.0	1869596.0	1839875.0	1528418.0	1982524.0	1989286.0	1977166.0	1855967.0	1078224.0	1335886.0	2004617.0	1961794.0	1954096.0	1987431.0	1147011.0	1653000.0	2153673.0	2027824.0	1812481.0	1876141.0	1941200.0	2007771.0	1181360.0	1607176.0	1382453.0	1798742.0	1149326.0	1778206.0	1470936.0	1946024.0	1218500.0	1944396.0	1326440.0	1716898.0	1676068.0	1958322.0	1063817.0	1958619.0	1942523.0	1974281.0
FengQ_2015__SID530600__bin.53	1993212.0	1897478.0	1235387.0	2007824.0	1539431.0	1976037.0	2220034.0	1377824.0	1646899.0	2037622.0	1913581.0	1895345.0	1567995.0	2018018.0	2036331.0	2036546.0	1887272.0	1097954.0	1364712.0	2050573.0	2024156.0	2030150.0	2034005.0	1169946.0	1633769.0	1996815.0	2053040.0	1838787.0	1933025.0	1985780.0	2087876.0	1200610.0	1641618.0	1411901.0	1841428.0	1177853.0	1830777.0	1459377.0	2028895.0	1277777.0	1917286.0	1367149.0	1741873.0	1717392.0	2013304.0	1084778.0	1993549.0	2012269.0	2014442.0
ZeeviD_2015__PNP_Main_683__bin.7	1367276.0	1333061.0	861706.0	1381916.0	1000253.0	1342192.0	1377824.0	1514797.0	1153764.0	1389271.0	1364177.0	1270998.0	1112419.0	1376480.0	1375353.0	1382717.0	1288446.0	827230.0	955474.0	1397241.0	1360051.0	1383728.0	1384569.0	800540.0	1058737.0	1365552.0	1391841.0	1246387.0	1333639.0	1361256.0	1411700.0	831959.0	1158064.0	1005865.0	1278596.0	796400.0	1290221.0	932354.0	1371286.0	929933.0	1299358.0	976544.0	1220064.0	1205943.0	1371502.0	752256.0	1372671.0	1357174.0	1372527.0
ZeeviD_2015__PNP_Main_203__bin.19	1585996.0	1562659.0	995320.0	1617524.0	1211035.0	1583591.0	1646899.0	1153764.0	1840379.0	1630563.0	1558269.0	1514681.0	1250880.0	1637898.0	1627761.0	1657381.0	1511822.0	932076.0	1090766.0	1661900.0	1637115.0	1653691.0	1652478.0	905826.0	1290912.0	1600489.0	1677667.0	1448120.0	1572539.0	1603338.0	1651924.0	949303.0	1384028.0	1145315.0	1518514.0	927283.0	1507765.0	1155210.0	1638956.0	1086010.0	1535876.0	1156628.0	1390261.0	1398409.0	1623479.0	880078.0	1598695.0	1634107.0	1619978.0
CosteaPI_2017__SID713A051-11-0-0__bin.6	1988901.0	1918422.0	1213023.0	2024057.0	1557491.0	1998546.0	2037622.0	1389271.0	1630563.0	2181706.0	1917319.0	1901262.0	1573150.0	2055888.0	2049306.0	2043628.0	1900547.0	1131951.0	1373612.0	2074106.0	2024915.0	2041973.0	2045785.0	1170088.0	1653584.0	2015730.0	2088559.0	1860568.0	1944356.0	1998405.0	2063202.0	1193771.0	1660882.0	1421459.0	1858251.0	1166991.0	1849328.0	1479343.0	2020393.0	1274958.0	1961932.0	1369173.0	1778989.0	1730082.0	2024811.0	1084857.0	2006181.0	2021743.0	2033493.0
BritoIL_2016__WL.28.ST__bin.7	1872743.0	1840756.0	1163647.0	1890402.0	1432177.0	1869596.0	1913581.0	1364177.0	1558269.0	1917319.0	2109800.0	1778580.0	1490340.0	1906013.0	1907974.0	1903409.0	1795600.0	1073140.0	1304242.0	1933429.0	1884719.0	1931903.0	1914149.0	1107228.0	1519604.0	1911454.0	1928405.0	1732316.0	1824161.0	1870107.0	1946804.0	1145899.0	1572532.0	1361257.0	1741279.0	1094071.0	1753020.0	1345752.0	1905046.0	1234688.0	1812587.0	1311306.0	1670318.0	1645045.0	1896173.0	1035000.0	1889820.0	1888293.0	1893455.0
BritoIL_2016__M2.36.ST__bin.4	1831586.0	1812523.0	1099278.0	1931501.0	1413066.0	1839875.0	1895345.0	1270998.0	1514681.0	1901262.0	1778580.0	2035864.0	1457175.0	1911753.0	1894666.0	1891228.0	1733922.0	1059649.0	1282069.0	1966931.0	1893541.0	1906410.0	2055209.0	1105679.0	1507258.0	1859083.0	1951092.0	1698445.0	1775426.0	1846524.0	1911615.0	1137050.0	1517816.0	1307435.0	1709131.0	1097307.0	1801907.0	1351639.0	1894843.0	1134324.0	1792480.0	1276672.0	1645741.0	1672521.0	1873447.0	1027083.0	1855404.0	1892546.0	1886471.0
LeChatelierE_2013__MH0224__bin.50	1553031.0	1513264.0	974283.0	1565825.0	1144734.0	1528418.0	1567995.0	1112419.0	1250880.0	1573150.0	1490340.0	1457175.0	1903900.0	1550342.0	1566806.0	1565191.0	1459902.0	891540.0	1086106.0	1577893.0	1556648.0	1562193.0	1567570.0	948562.0	1217754.0	1534419.0	1590580.0	1424684.0	1502419.0	1554107.0	1589855.0	973239.0	1299719.0	1164456.0	1445364.0	930977.0	1452927.0	1099557.0	1555295.0	1016677.0	1499267.0	1108994.0	1389515.0	1374143.0	1547803.0	869238.0	1567190.0	1550876.0	1551443.0
LiJ_2014__MH0303__bin.6	1980914.0	1972661.0	1206436.0	2027613.0	1585960.0	1982524.0	2018018.0	1376480.0	1637898.0	2055888.0	1906013.0	1911753.0	1550342.0	2257791.0	2038172.0	2018469.0	1885772.0	1155338.0	1364886.0	2157900.0	2013996.0	2035593.0	2050422.0	1171290.0	1689166.0	2006680.0	2099246.0	1860152.0	1927417.0	1986805.0	2044932.0	1200220.0	1632185.0	1401832.0	1822127.0	1168040.0	1847549.0	1474984.0	2007859.0	1270668.0	1954865.0	1355031.0	1766427.0	1725779.0	2014511.0	1081173.0	1996549.0	2014063.0	2054461.0
Obregon-TitoAJ_2015__SM28__bin.49	1979773.0	1915422.0	1214890.0	2020390.0	1584468.0	1989286.0	2036331.0	1375353.0	1627761.0	2049306.0	1907974.0	1894666.0	1566806.0	2038172.0	2261485.0	2034273.0	1892885.0	1120775.0	1375750.0	2063026.0	2025558.0	2047934.0	2046899.0	1170259.0	1681880.0	2000299.0	2057219.0	1844459.0	1970584.0	1996754.0	2051102.0	1199193.0	1638914.0	1415392.0	1862049.0	1178675.0	1837342.0	1469083.0	2032967.0	1272443.0	1943676.0	1370294.0	1771928.0	1730886.0	2066154.0	1100339.0	2006087.0	2033950.0	2064807.0
NielsenHB_2014__MH0118__bin.18	1977941.0	1893876.0	1206560.0	2007296.0	1555699.0	1977166.0	2036546.0	1382717.0	1657381.0	2043628.0	1903409.0	1891228.0	1565191.0	2018469.0	2034273.0	2262975.0	1893205.0	1110821.0	1376659.0	2045993.0	2049192.0	2068322.0	2030543.0	1165575.0	1652894.0	1995415.0	2054604.0	1843383.0	1915106.0	1991315.0	2052487.0	1189851.0	1655259.0	1408621.0	1848109.0	1166467.0	1831801.0	1560744.0	2049509.0	1360168.0	1930444.0	1368778.0	1764837.0	1720620.0	2028398.0	1087987.0	1991005.0	2044215.0	2036357.0
LeChatelierE_2013__MH0096__bin.55	1870791.0	1776624.0	1115813.0	1913179.0	1406206.0	1855967.0	1887272.0	1288446.0	1511822.0	1900547.0	1795600.0	1733922.0	1459902.0	1885772.0	1892885.0	1893205.0	2081219.0	1032142.0	1265864.0	1913487.0	1884782.0	1894632.0	1881537.0	1065850.0	1490905.0	1867231.0	1911420.0	1823144.0	1828486.0	1846390.0	1933721.0	1106524.0	1534131.0	1310898.0	1726929.0	1075137.0	1703514.0	1325180.0	1876774.0	1138095.0	1792896.0	1266338.0	1627633.0	1589841.0	1869599.0	996584.0	1866808.0	1864589.0	1908253.0
ZeeviD_2015__PNP_Main_338__bin.24	1098274.0	1134141.0	691484.0	1130246.0	796849.0	1078224.0	1097954.0	827230.0	932076.0	1131951.0	1073140.0	1059649.0	891540.0	1155338.0	1120775.0	1110821.0	1032142.0	1290181.0	766353.0	1189228.0	1110798.0	1121471.0	1158648.0	637815.0	856037.0	1086853.0	1161209.0	1012810.0	1076455.0	1100666.0	1126596.0	668516.0	950782.0	801063.0	1037780.0	648928.0	1074364.0	751660.0	1106307.0	766647.0	1071563.0	804163.0	980035.0	1002425.0	1100349.0	632948.0	1103895.0	1104323.0	1122664.0
