	NielsenHB_2014__V1_UC55_0__bin.91	FengQ_2015__SID530394__bin.80	ZellerG_2014__CCMD12232071ST-21-0__bin.13	LouisS_2016__AS61_18__bin.24	NielsenHB_2014__V1_CD31_0__bin.12	QinJ_2012__T2D-026__bin.19	XieH_2016__YSZC12003_35583__bin.19	HMP_2012__SRS015217__bin.13	ZeeviD_2015__PNP_Main_228__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.87	XieH_2016__YSZC12003_37348__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.93	ZellerG_2014__CCIS78318719ST-4-0__bin.1	ZeeviD_2015__PNP_Main_18__bin.14	Obregon-TitoAJ_2015__NO19__bin.42	LiuW_2016__SRR3993056__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.27	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.128	ZeeviD_2015__PNP_Main_268__bin.27	LiuW_2016__SRR3992993__bin.68	FengQ_2015__SID31537__bin.39	ZeeviD_2015__PNP_DietIntervention_45__bin.18	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.53	FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.20	LiSS_2016__FAT_008-22-42-0__bin.16	LouisS_2016__AS56_12__bin.15	KarlssonFH_2013__S456__bin.1	LiJ_2014__O2.UC29-1__bin.66	LiuW_2016__SRR3993019__bin.10	FengQ_2015__SID31881__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.54	LiSS_2016__FAT_008-22-2-0__bin.9	ZellerG_2014__CCIS00146684ST-4-0__bin.96	HMP_2012__SRS049995__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.30	YuJ_2015__SZAXPI003409-8__bin.96	FengQ_2015__SID530743__bin.43	FengQ_2015__SID31750__bin.98	VogtmannE_2016__MMRS18295921ST-27-0-0__bin.25	CosteaPI_2017__SID713A009-11-0-0__bin.31	ZeeviD_2015__PNP_Main_723__bin.51	FengQ_2015__SID31328__bin.32	LiJ_2014__MH0373__bin.11	LiJ_2014__O2.CD3-0-PT__bin.71	LiSS_2016__FAT_008-22-84-0__bin.42	YuJ_2015__SZAXPI017466-84__bin.45	ZeeviD_2015__PNP_Main_15__bin.30
NielsenHB_2014__V1_UC55_0__bin.91	0.0	10144.0	18409.0	25481.0	14580.0	17331.0	18794.0	22151.0	17118.0	16990.0	18476.0	20200.0	21277.0	16891.0	19028.0	17864.0	17217.0	22564.0	11067.0	16958.0	8754.0	4852.0	8400.0	20954.0	18957.0	18305.0	15973.0	2630.0	14571.0	8064.0	18220.0	24642.0	13221.0	9993.0	28384.0	20934.0	19886.0	17302.0	16888.0	19565.0	18753.0	22225.0	20650.0	3257.0	17571.0	18186.0	4823.0	17052.0
FengQ_2015__SID530394__bin.80	10144.0	0.0	3443.0	14271.0	2387.0	3633.0	11401.0	10476.0	3331.0	3225.0	11557.0	11976.0	12018.0	3020.0	2395.0	4193.0	10580.0	11147.0	11045.0	3289.0	7622.0	7244.0	2100.0	12677.0	3539.0	2319.0	3410.0	9943.0	3123.0	2622.0	3600.0	13247.0	2650.0	10762.0	15230.0	12171.0	11930.0	3670.0	4163.0	11768.0	3522.0	12152.0	12488.0	11445.0	4321.0	2108.0	9266.0	3428.0
ZellerG_2014__CCMD12232071ST-21-0__bin.13	18409.0	3443.0	0.0	26333.0	4453.0	4221.0	18887.0	19609.0	4232.0	4138.0	22222.0	23714.0	24997.0	3564.0	4011.0	6913.0	18332.0	20279.0	21224.0	4392.0	14272.0	13435.0	2678.0	24229.0	3797.0	4118.0	3666.0	19416.0	4606.0	3509.0	4428.0	24815.0	4685.0	19066.0	27700.0	24593.0	23698.0	5036.0	5671.0	22284.0	4717.0	23678.0	23900.0	19816.0	6113.0	3905.0	17279.0	3693.0
LouisS_2016__AS61_18__bin.24	25481.0	14271.0	26333.0	0.0	21365.0	25249.0	5869.0	23185.0	24434.0	25086.0	22515.0	25588.0	27206.0	25664.0	28385.0	30651.0	15276.0	24032.0	25092.0	26581.0	24306.0	17903.0	12583.0	25445.0	30505.0	27613.0	25179.0	26428.0	22799.0	9989.0	26812.0	9090.0	19606.0	22775.0	9141.0	26655.0	24800.0	25206.0	26127.0	23203.0	27772.0	27080.0	25248.0	27427.0	25792.0	27859.0	26646.0	25083.0
NielsenHB_2014__V1_CD31_0__bin.12	14580.0	2387.0	4453.0	21365.0	0.0	4723.0	16089.0	16685.0	4802.0	4471.0	17718.0	19633.0	19072.0	3959.0	3401.0	5642.0	15037.0	16543.0	16905.0	4134.0	12020.0	11467.0	2776.0	19356.0	4494.0	2725.0	2836.0	15000.0	4586.0	2996.0	4651.0	20634.0	3538.0	15709.0	22719.0	19716.0	19450.0	5064.0	5888.0	17402.0	4802.0	19549.0	19421.0	16125.0	5949.0	2626.0	14311.0	3968.0
QinJ_2012__T2D-026__bin.19	17331.0	3633.0	4221.0	25249.0	4723.0	0.0	17221.0	19238.0	4096.0	4255.0	20799.0	22697.0	25165.0	3651.0	4270.0	7578.0	17204.0	19394.0	20264.0	3652.0	14011.0	12886.0	2434.0	21778.0	4335.0	4411.0	4293.0	17835.0	4979.0	3412.0	4535.0	24330.0	4468.0	18069.0	26327.0	22799.0	21923.0	4960.0	5670.0	20428.0	4841.0	22125.0	22281.0	18973.0	6322.0	4337.0	16501.0	3767.0
XieH_2016__YSZC12003_35583__bin.19	18794.0	11401.0	18887.0	5869.0	16089.0	17221.0	0.0	16224.0	18719.0	18942.0	16971.0	17568.0	18610.0	18000.0	19658.0	19846.0	10834.0	16859.0	19982.0	19307.0	18985.0	13279.0	9788.0	18790.0	20062.0	20015.0	17391.0	19534.0	14746.0	8839.0	18762.0	4763.0	14476.0	19289.0	5471.0	18782.0	17351.0	18422.0	18373.0	18227.0	20400.0	18491.0	18665.0	19644.0	18774.0	19708.0	19135.0	18771.0
HMP_2012__SRS015217__bin.13	22151.0	10476.0	19609.0	23185.0	16685.0	19238.0	16224.0	0.0	18022.0	18240.0	20254.0	20517.0	21860.0	18212.0	19589.0	20804.0	14079.0	3534.0	22693.0	19207.0	20369.0	15650.0	8846.0	21997.0	20828.0	19922.0	17961.0	21558.0	15411.0	7619.0	19332.0	19768.0	14044.0	21605.0	21686.0	21257.0	20215.0	18279.0	18257.0	20424.0	19452.0	21760.0	21816.0	23082.0	18478.0	20350.0	22592.0	18728.0
ZeeviD_2015__PNP_Main_228__bin.8	17118.0	3331.0	4232.0	24434.0	4802.0	4096.0	18719.0	18022.0	0.0	1401.0	20516.0	20885.0	22099.0	1927.0	2574.0	6682.0	17060.0	19056.0	18252.0	2043.0	14225.0	11760.0	1730.0	23032.0	3303.0	3663.0	3422.0	17231.0	2604.0	3475.0	3287.0	23591.0	4849.0	16947.0	25486.0	21917.0	20534.0	2784.0	3659.0	22283.0	2335.0	21738.0	21475.0	17910.0	5071.0	3535.0	17070.0	1998.0
Bengtsson-PalmeJ_2015__TRAVELRES53__bin.87	16990.0	3225.0	4138.0	25086.0	4471.0	4255.0	18942.0	18240.0	1401.0	0.0	20048.0	21006.0	22201.0	861.0	2659.0	6396.0	16862.0	19263.0	18319.0	1092.0	14277.0	11708.0	1579.0	22360.0	2988.0	3468.0	3339.0	16484.0	2687.0	3286.0	3497.0	23288.0	4576.0	16896.0	25682.0	21703.0	21083.0	2699.0	3632.0	20813.0	2104.0	21501.0	21679.0	17972.0	3715.0	3354.0	17083.0	983.0
