	NielsenHB_2014__V1_UC55_0__bin.91	FengQ_2015__SID530394__bin.80	ZellerG_2014__CCMD12232071ST-21-0__bin.13	LouisS_2016__AS61_18__bin.24	NielsenHB_2014__V1_CD31_0__bin.12	QinJ_2012__T2D-026__bin.19	XieH_2016__YSZC12003_35583__bin.19	HMP_2012__SRS015217__bin.13	ZeeviD_2015__PNP_Main_228__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.87	XieH_2016__YSZC12003_37348__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.93	ZellerG_2014__CCIS78318719ST-4-0__bin.1	ZeeviD_2015__PNP_Main_18__bin.14	Obregon-TitoAJ_2015__NO19__bin.42	LiuW_2016__SRR3993056__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.27	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.128	ZeeviD_2015__PNP_Main_268__bin.27	LiuW_2016__SRR3992993__bin.68	FengQ_2015__SID31537__bin.39	ZeeviD_2015__PNP_DietIntervention_45__bin.18	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.53	FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.20	LiSS_2016__FAT_008-22-42-0__bin.16	LouisS_2016__AS56_12__bin.15	KarlssonFH_2013__S456__bin.1	LiJ_2014__O2.UC29-1__bin.66	LiuW_2016__SRR3993019__bin.10	FengQ_2015__SID31881__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.54	LiSS_2016__FAT_008-22-2-0__bin.9	ZellerG_2014__CCIS00146684ST-4-0__bin.96	HMP_2012__SRS049995__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.30	YuJ_2015__SZAXPI003409-8__bin.96	FengQ_2015__SID530743__bin.43	FengQ_2015__SID31750__bin.98	VogtmannE_2016__MMRS18295921ST-27-0-0__bin.25	CosteaPI_2017__SID713A009-11-0-0__bin.31	ZeeviD_2015__PNP_Main_723__bin.51	FengQ_2015__SID31328__bin.32	LiJ_2014__MH0373__bin.11	LiJ_2014__O2.CD3-0-PT__bin.71	LiSS_2016__FAT_008-22-84-0__bin.42	YuJ_2015__SZAXPI017466-84__bin.45	ZeeviD_2015__PNP_Main_15__bin.30
NielsenHB_2014__V1_UC55_0__bin.91	1.0	0.4576105910115838	0.8643800645686052	0.8970303305676331	0.649610893664857	0.7931113953203782	0.5661866807081315	0.7561359669829986	0.8877596438882761	0.8705728755496689	0.8320490514483542	0.8781824435623062	0.9305144372173966	0.8597680764878941	0.9226141830890168	0.9049363752560875	0.5806680993799083	0.6591471740329669	0.935385070314771	0.8855924302710406	0.8437004303930284	0.5865509223783143	0.40707946153967906	0.8648711040629272	0.9247254212921983	0.9101926596544271	0.7494748927105728	0.942963755340344	0.6458439413176922	0.33845823635753697	0.8622765471121898	0.7711833163927282	0.5470921158436286	0.8883024123859308	0.8935521341495192	0.9302727778436186	0.8514543763701913	0.8027592404792576	0.8366255240939414	0.7926589595598865	0.8897855678396925	0.8872666742072627	0.8919906131160819	0.8904723282645344	0.822265321146392	0.9099822693050518	0.9255488389347994	0.8747401486166545
FengQ_2015__SID530394__bin.80	0.8137711688420457	1.0	0.8073099051885759	0.8034174949765941	0.6250963663286608	0.7497118449406562	0.5516279816926286	0.6936165159015598	0.8102693726354637	0.7922105114297502	0.7538218731486166	0.7779754112259307	0.8146375218733546	0.777752987785246	0.858531140311434	0.8355007033111573	0.5719701156258645	0.6144914363542876	0.8288650706640645	0.8236230169817551	0.7668000063157273	0.5277414890425564	0.4125680227860458	0.7943297125451626	0.864069072089222	0.849887518269271	0.7168837926766396	0.8145510238686439	0.5969982446396981	0.3640460746038426	0.8193193980013469	0.7106827095294028	0.5406701947784038	0.7897075612299467	0.810697743706412	0.8206443277560427	0.7645249714934155	0.7593838321499353	0.8025442770242764	0.7156693881501852	0.8325302519906554	0.7887533372097254	0.8126370838913942	0.7752884811430917	0.7729235158555648	0.8417848520026004	0.7965031465365444	0.8215353945029832
ZellerG_2014__CCMD12232071ST-21-0__bin.13	0.8607608075146609	0.4520763536903451	1.0	0.8550817567268862	0.6604717229555052	0.8193625147281279	0.5552826166765655	0.7515391254038822	0.9073564716306944	0.8996153868331979	0.80922571853082	0.8393112714146499	0.8940093760271247	0.8727647362968345	0.9366343560852877	0.9016508957969335	0.5724197184885337	0.6547553833349671	0.9028222264508527	0.9067882974572475	0.803905716916252	0.564021273855723	0.41150994785329725	0.8446593357590295	0.9396128496548861	0.9210768399828548	0.7596961536761215	0.881047854642748	0.6691346492062669	0.32694002840870867	0.8670095701597077	0.7552399459504135	0.5460472876218374	0.8474117898063095	0.8663222254898003	0.8829834141578394	0.8243599871603401	0.8210870271381974	0.8481002877390859	0.7743187580127743	0.9049177050837749	0.8429540443967762	0.8665694081647167	0.8310047033904007	0.8460759269830835	0.9178769199424137	0.861867939868874	0.9080353590395627
LouisS_2016__AS61_18__bin.24	0.8182579119155968	0.412114730655233	0.7832726893699167	1.0	0.5857020162342476	0.7261084323221467	0.5545149498256743	0.697696210189524	0.8048939379160286	0.7987258957412127	0.7625462224615193	0.8003915065819799	0.8597914852424414	0.7940230981136341	0.8443027129736999	0.8521560856947974	0.5408682093345338	0.6137089279910304	0.8465718876582462	0.8169722575435797	0.7684184690536197	0.5253033753445226	0.37473285961436004	0.8000795126697348	0.8670360120557828	0.835534486771775	0.7003618918099486	0.8297520352672848	0.5988821744074141	0.3165005692304279	0.7909816856756411	0.7492311955881384	0.5081137784751667	0.7975979990133104	0.8676779588977952	0.8448689502320411	0.78244058822473	0.7361665385472704	0.7756210914927429	0.7277765081261033	0.8183244659217078	0.8159348601784845	0.820431305173359	0.7845548223659491	0.7507214419048672	0.8464933609737872	0.81710113990462	0.7969518265201164
NielsenHB_2014__V1_CD31_0__bin.12	0.8921868496883806	0.48277331976046	0.9109174148978191	0.8818529092870795	1.0	0.8842896642039324	0.5784604862375836	0.8038629669983007	0.8952720274214456	0.8860313395524663	0.8219005734008796	0.8728905713596466	0.9009996739329256	0.8668935881428227	0.9553744071808983	0.926738295384958	0.5950003048594598	0.6988190009622955	0.9133499282917531	0.9212211344483237	0.8244433663907026	0.6128459823499628	0.42282734615863826	0.8746476222287612	0.9631968358239026	0.9388451923663191	0.8267385604801404	0.8946580669789488	0.7820191239664601	0.28232477871179645	0.9069606042049397	0.7998716939317062	0.5614026716292485	0.8690747913038176	0.8995676297574644	0.900969983272494	0.8555480445253868	0.8552967342924477	0.8674513484066454	0.8035459131601201	0.9313292137541984	0.8741216733868296	0.8866893057952457	0.8814939704100757	0.8926581889227327	0.9340406072800439	0.8944168303629418	0.8906079427818558
QinJ_2012__T2D-026__bin.19	0.8235570472758	0.4377716553645208	0.8543933259014559	0.8265666770488471	0.668577148219456	1.0	0.521435595005169	0.7344125990766673	0.8427051552937697	0.8281484563621722	0.7711282383684503	0.8148504464938895	0.8476180512045935	0.8218598213222729	0.9064725880370824	0.8867921427337363	0.5540332366066866	0.643576536913462	0.8590560874251751	0.8741439210729803	0.7668887811921389	0.5453554974848266	0.3829377081196268	0.8061895433403924	0.9203590550852842	0.8891219200700377	0.7635115661098371	0.8353442294117152	0.7053481056930025	0.2907447470776567	0.8464732053559224	0.732890948221781	0.5191198476425034	0.8080322801633409	0.8365900910705631	0.844120980061804	0.7892946490883123	0.7904386932242042	0.817846046293301	0.7390108227216625	0.8808221885235618	0.8083249053277421	0.8213515354202718	0.8086520041416482	0.8214100604531521	0.8842783723146129	0.8191552432617043	0.8370631016102802
XieH_2016__YSZC12003_35583__bin.19	0.8655462928756313	0.4742100001534381	0.8524462169827689	0.9293104608219327	0.6438753987916157	0.7676651554977474	1.0	0.7662877531581699	0.8659269374810415	0.8555232417465036	0.8246762750413988	0.8420023912743273	0.898454641916702	0.8312440173880816	0.8976490917052524	0.8896455224981616	0.6237773636259556	0.6752422847174436	0.8928110692631547	0.873549862082722	0.8413343452381655	0.5803909603692902	0.44398799877721606	0.8702904819963954	0.9046747878717777	0.8945797388482933	0.749994983753262	0.8808405341063468	0.6114999521981194	0.37820493905555286	0.845715594153771	0.8341150809622223	0.5642386458730453	0.865543342142256	0.9204871778831911	0.8988305653487118	0.8188786741056622	0.8051689766974683	0.8408150161641175	0.8051902219777703	0.8873805395593021	0.8614884443379558	0.8845761625594425	0.8355520881159804	0.8157148977806944	0.8939158238388569	0.8717540457505308	0.8598330829144275
HMP_2012__SRS015217__bin.13	0.8796996634732631	0.4537824787823777	0.8780280332655309	0.8898520548880362	0.6809481314075603	0.8228395347280951	0.5831707887786096	1.0	0.8780608191347316	0.8702537401715374	0.83048448083127	0.8658936686893601	0.9129368997771908	0.8475924168530147	0.9222148516394506	0.8962866185597662	0.6011724765771912	0.7257143165111883	0.9065171571148255	0.8900510157107191	0.8275530648275441	0.5884798539816193	0.4052203187954202	0.8762822980109757	0.9304113189395882	0.9023618850347778	0.7777670487642646	0.8974089731780152	0.6901304203911938	0.32979844774628586	0.8673672363174013	0.7911333536036835	0.5565545015672094	0.8650762675668259	0.9021862785298816	0.9096731338665004	0.8469232258241267	0.8256555265073753	0.8457281135235423	0.8012713731305879	0.8963436569897452	0.8722747869030782	0.8980494204311656	0.8591586427368746	0.844730614681153	0.9122169580192664	0.8836941500577795	0.8714434630141711
ZeeviD_2015__PNP_Main_228__bin.8	0.8953536994267364	0.45953905309501597	0.9189659763935631	0.8899278631642717	0.6574333489588281	0.8184937853617665	0.5712810673510738	0.7611833898394831	1.0	0.9523253695221869	0.8397007224585081	0.8669965411072506	0.9280375883995496	0.9210275294223914	0.9499130215398224	0.9260052358385518	0.583450264984512	0.6672844187861016	0.9376601158986035	0.9371095897451072	0.8465394720243945	0.5709302723975375	0.4231868066835588	0.8727229475185831	0.9649473690767825	0.9477942355940465	0.771408614994557	0.9140217531805149	0.664467936328964	0.35231143116554253	0.8897713486567006	0.7773074988358747	0.5569050930287971	0.884389118426196	0.891246945631065	0.9235979492706112	0.8522257764599066	0.8330940192769808	0.8695214082256549	0.8021493101681479	0.9272546265221231	0.8789262949044794	0.8934747466567411	0.8455855900752671	0.8536476445734629	0.9552746167730602	0.8842777673088693	0.9561954048586464
Bengtsson-PalmeJ_2015__TRAVELRES53__bin.87	0.8787130429632493	0.44965177254282807	0.9118451106714162	0.8838053386304534	0.651161186802191	0.8049902861021514	0.564862965072829	0.7550110542832718	0.9530771586634487	1.0	0.832625214987691	0.8523062811863658	0.9251503842308331	0.9182746745863704	0.9390186975973591	0.9136222902978695	0.5735633912686359	0.6607192258806605	0.9201551106480373	0.9240079394457507	0.8299105448588816	0.5612610688950315	0.42035460987380896	0.8533485867116372	0.9567795837479826	0.9365043059881719	0.7626855401246714	0.8942708653980282	0.6585344755703068	0.3458435972827582	0.8821731076602247	0.7642047734865529	0.545431662553294	0.8822448026944865	0.8799552373612175	0.9076910848004189	0.8483872124113456	0.8216543161579566	0.8668872587793297	0.7800844442816586	0.9205619020380872	0.8672882054654995	0.8807427137973197	0.8314644567971179	0.8396474318760798	0.9471436152844461	0.865758451636634	0.9244961670431955
