	ZeeviD_2015__PNP_Main_706__bin.77	YuJ_2015__SZAXPI015216-169__bin.7	ChengpingW_2017__AS38raw__bin.42	NielsenHB_2014__V1_CD20_4__bin.60	WenC_2017__RA101__bin.18	ZeeviD_2015__PNP_Main_686__bin.19	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.20	QinN_2014__HD-33__bin.16	ZeeviD_2015__PNP_Validation_41__bin.8	HeQ_2017__SZAXPI029466-158__bin.8	LiJ_2014__O2.UC8-0__bin.19	LiJ_2014__O2.CD1-0__bin.27	LiJ_2014__O2.UC6-2__bin.53	NielsenHB_2014__O2_UC17_2__bin.11	NielsenHB_2014__V1_UC2_4__bin.24	QinN_2014__HD-55__bin.49	LiJ_2014__O2.UC24-1__bin.4	WenC_2017__N035__bin.49	HMP_2012__SRS019267__bin.4	HeQ_2017__SZAXPI029581-99__bin.65	ZeeviD_2015__PNP_Main_118__bin.28	HeQ_2017__RSZAXPI003105-143__bin.55	NielsenHB_2014__O2_UC24_2__bin.20	WenC_2017__N024__bin.3	ZeeviD_2015__PNP_Validation_7__bin.53	LiJ_2014__O2.UC8-1__bin.62	QinJ_2012__T2D-056__bin.12	ChengpingW_2017__AS136raw__bin.14	CM_madagascar__A89_01_1FE__bin.61	LiJ_2014__MH0308__bin.44	ChengpingW_2017__AS98raw__bin.8	WenC_2017__RA123__bin.47	LiJ_2014__MH0394__bin.70	ZeeviD_2015__PNP_Main_262__bin.25	VogtmannE_2016__MMRS17963147ST-27-0-0__bin.46	LeChatelierE_2013__MH0227__bin.52	NielsenHB_2014__V1_UC2_0__bin.17	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.100	LiJ_2014__O2.UC6-1__bin.4	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.50	QinJ_2012__T2D-030__bin.43	LiJ_2014__MH0245__bin.44	LiJ_2014__V1.FI25__bin.61	WenC_2017__RA020__bin.8	ChengpingW_2017__AS6raw__bin.29
ZeeviD_2015__PNP_Main_706__bin.77	1.0	0.8377292212743774	0.8387225178337114	0.8318837706670191	0.7519847575653641	0.8105179302091167	0.5766196660132097	0.5189271767826632	0.5861676898565227	0.8012955859663035	0.8302679593157477	0.5353464633083383	0.842896566046879	0.8027582597276458	0.8304237191246823	0.8383422960778946	0.7395281684010023	0.7339821752040873	0.8317725885811802	0.7241714050164099	0.7214731416596128	0.6842837828341153	0.8256234850129694	0.8137238551654044	0.7302507575590708	0.5414971402079525	0.7917501843419961	0.7712187339716863	0.7237959032548031	0.7852900855997172	0.8299690263491054	0.7827717064667067	0.5890127974776351	0.7926433121353149	0.5462522721527684	0.8358674457803776	0.7862167777963082	0.6771093916347019	0.7841494203322666	0.5528324685255053	0.5252058179697522	0.846050571066855	0.8296234178841629	0.586926560036753	0.8080829376404853
YuJ_2015__SZAXPI015216-169__bin.7	0.8553106227447503	1.0	0.8789089879079262	0.8643575908378031	0.7742680796128909	0.8423232759705438	0.5815691584916793	0.5390581536496024	0.5871158880416281	0.8397493664284449	0.8621515356446581	0.5494565982736012	0.8539612880149626	0.8435441026308279	0.8571606034953124	0.8817313463843987	0.780677955029672	0.7577537217811005	0.8714330309645548	0.7570405019953556	0.7554346865768502	0.706104722296739	0.868468242711049	0.8456168307018629	0.7437624057138972	0.5571413808299158	0.8274688140365081	0.8174682089776808	0.753450307803599	0.8065814336895684	0.8656507032871829	0.8259545606175241	0.5989648675001485	0.8229164156743434	0.5491160518894167	0.8608370051836942	0.8248836600383276	0.6985495187105072	0.7914126624355384	0.5732584345468243	0.5308855758794637	0.8817104638231044	0.8630200360143865	0.6091941098326343	0.8411383244796627
ChengpingW_2017__AS38raw__bin.42	0.8704394430314434	0.8933959178208494	1.0	0.896740494082903	0.8031456977972604	0.8611426640026169	0.6014576800886953	0.561422911735299	0.5985871682569506	0.875387456505541	0.9007392901443039	0.5770207744721475	0.8712438830176623	0.8582890247280933	0.8906543994104402	0.9124526547880235	0.7981960514950447	0.7837672936908066	0.9072107322526551	0.7868914381569072	0.7640231360858825	0.7276562439619377	0.8900845423971985	0.8872559398204869	0.7760353082752274	0.5827013834952646	0.8691222950161187	0.8394167973382725	0.7785063214940595	0.8435032218420152	0.8856612110250731	0.8686944940491579	0.616545556176635	0.8450745467677351	0.5634715667475643	0.8917092063747787	0.8368967992758951	0.7212212683482256	0.8202392310903537	0.5976553676775143	0.5528919290938947	0.9092719056138263	0.8798929735596143	0.6256654454926596	0.8701373698295817
NielsenHB_2014__V1_CD20_4__bin.60	0.8627541737940937	0.8780063691322805	0.8961298410980363	1.0	0.7886938383676311	0.856931122539168	0.5895037135141457	0.540122541887515	0.5992037224885848	0.8548903894634645	0.8776147572414206	0.5651236976864984	0.8583284155219724	0.8542246492490027	0.8795543239119852	0.8868121976225894	0.7929760056131038	0.7805575574296119	0.8954929278699848	0.7696848884042088	0.7633386001506618	0.7194503291987457	0.8849650948707001	0.873407105036292	0.761011772832469	0.5684464157993642	0.8396724601657279	0.8157781518638278	0.7676718945041079	0.8277152437648044	0.8672022321877779	0.8491064993976247	0.6178504314529617	0.836664663281762	0.5591102795401823	0.8708594521240866	0.8253748188115123	0.7106423250868209	0.8067928345902081	0.5928715757755412	0.5388378373233327	0.8894066263995366	0.8757605837192796	0.6142802363812886	0.8554745438673306
WenC_2017__RA101__bin.18	0.8731652897141741	0.8805592414348724	0.8985898390710244	0.8830218621529176	1.0	0.8470873298651221	0.6108785234993329	0.5617253690734054	0.6029182420882829	0.8731043940485448	0.9097867251102668	0.5897264140430276	0.8901442192049096	0.8642032746035235	0.8847080631341903	0.8862925683538623	0.8240346666845294	0.7897601502417863	0.9149549402522177	0.8063925833950917	0.7555185174584829	0.7218596561952509	0.9104864163083464	0.8747577113703778	0.7911436997648819	0.5935494439312293	0.8774328579614689	0.842072571800557	0.7990985005660252	0.8522427569172909	0.8979254673590098	0.8454407110665084	0.6315958379030455	0.8463858117970737	0.5568275306868483	0.8717908745409229	0.8544898069790087	0.7274998127458282	0.8429305917292725	0.5971818703860116	0.5663290813949735	0.8924807858951024	0.9059369011291883	0.6382048444937835	0.87384914803919
ZeeviD_2015__PNP_Main_686__bin.19	0.8746365304318398	0.8902737863879868	0.8954056541093991	0.8916337200155292	0.7872374501838711	1.0	0.5953289137848486	0.5672202232260591	0.6014455024850056	0.858935324205234	0.8806195592751095	0.5745694109444379	0.8810451398360383	0.8670122999573288	0.8959715857063788	0.8843083014242235	0.7867994191278088	0.7714468267649426	0.8929755438319681	0.7859946643969037	0.7799159931137444	0.7173760241947076	0.875969299342727	0.8708742171751185	0.7822798893943287	0.5707256035377516	0.8649500452179346	0.8281514749875212	0.7608463620219151	0.8176987183913055	0.8941911649022806	0.8394502993212216	0.6289729812936969	0.8325861149814544	0.5600323260128195	0.8757180257136681	0.8564842744587148	0.7189662919822207	0.823020739129303	0.6062898769551521	0.5429468511000013	0.8945029932122164	0.8681928332686285	0.6135570045919689	0.8525900991398971
VogtmannE_2016__MMRS84159866ST-27-0-0__bin.20	0.8838860863798058	0.8731483007416042	0.8883654561167273	0.8713025302972446	0.8064441184154993	0.8456659364511526	1.0	0.6256269469622364	0.628414896396487	0.8566328355809233	0.8776164157806942	0.6083477701629921	0.870041200233133	0.8707405993126596	0.8703072934461483	0.8712550997849549	0.8106003175432602	0.7977788049922624	0.8830725325079888	0.7915726430451997	0.7843824989448721	0.7490001406837229	0.8717310127218281	0.8646365335530679	0.7887300279357679	0.6005458528448259	0.8428249291556967	0.8342697509898105	0.7926482705950921	0.8410129228048315	0.8702823723295214	0.8383463633257632	0.6618919950961674	0.8476700765721406	0.6080310308097353	0.8597527986012018	0.8412798199248347	0.7524046867777399	0.8337206825170328	0.627390718893824	0.5981461904857608	0.88079265229013	0.873006009204735	0.6433748015354623	0.8640609361496875
QinN_2014__HD-33__bin.16	0.8913913990564313	0.9069376716715869	0.9292485592874498	0.8946020912741061	0.8309954317002706	0.9029189011937397	0.7010849148815224	1.0	0.6738913247348521	0.9155724878630609	0.9202795212068744	0.6624944484032572	0.927636907105233	0.908282667036623	0.9132941936378927	0.9176579964163486	0.8232822030897958	0.8289891994980365	0.9230100509800989	0.8936516759290873	0.8277712264682116	0.7891321131381633	0.9021792888731137	0.9120996431663335	0.8352349147463922	0.6580036232895902	0.9416201743899549	0.8690985287930806	0.844452592291636	0.8758991784988122	0.9279432020979406	0.8624194962168064	0.7393042238980362	0.8694498671670686	0.6204131198757523	0.8870411092923595	0.9009225785353875	0.8125213393018816	0.8856654844280527	0.6726373170000027	0.6402691432118273	0.9004856577369664	0.8971074041409282	0.6716337504650729	0.9140833536779273
ZeeviD_2015__PNP_Validation_41__bin.8	0.8804948506884787	0.8637908039511798	0.866387320553997	0.8678707067078517	0.7799664879198168	0.8372135343427922	0.6158069250421264	0.5892950410156665	1.0	0.8230327408454277	0.8816410678174529	0.5807665553536218	0.8585229318264714	0.8384503459527507	0.8540325966820362	0.8714535214862537	0.792653654148085	0.7706462852717795	0.8834498063247552	0.7611173214284308	0.782244742172046	0.7231030894293572	0.8607247716034356	0.8372852221494841	0.7850894088749505	0.5987964326256723	0.8227467773967557	0.7992898968247029	0.7638004936217546	0.8167856605479942	0.8677202410916084	0.8127845356008738	0.6435658617937865	0.8292782455866702	0.5661296383389541	0.8571931624012422	0.8209151933246835	0.7318679085200565	0.8059946761956305	0.6097701814961954	0.5625468235605522	0.8770309904024994	0.8722405118036731	0.6171965656026148	0.8371820232189716
HeQ_2017__SZAXPI029466-158__bin.8	0.8763851470138643	0.8995633262915659	0.9225338661597665	0.901546798882877	0.8223960325959457	0.8705580509886676	0.6112095454475059	0.5829522308904347	0.5992588076106153	1.0	0.9035497735181744	0.585969885402548	0.8895771325915292	0.8807346764123352	0.9061630474123369	0.9311273844833707	0.7991019882333844	0.7940090868053186	0.9206880550554174	0.817986849886458	0.775533768075957	0.7353492328526844	0.895966346355154	0.9033908892186391	0.7975986100778533	0.5925323232039335	0.8938389027920618	0.8580182367054853	0.8005566112789497	0.8530452154889822	0.8981356619538639	0.869157345358829	0.6356157799068146	0.8509510401185725	0.5754984349609701	0.8953118807025554	0.85391420362543	0.7261626229560854	0.8379167916613849	0.6059399784445055	0.5707789403162887	0.9115404492467909	0.9055797068613353	0.6310023993249998	0.8957065102985132
