	ZeeviD_2015__PNP_Main_706__bin.77	YuJ_2015__SZAXPI015216-169__bin.7	ChengpingW_2017__AS38raw__bin.42	NielsenHB_2014__V1_CD20_4__bin.60	WenC_2017__RA101__bin.18	ZeeviD_2015__PNP_Main_686__bin.19	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.20	QinN_2014__HD-33__bin.16	ZeeviD_2015__PNP_Validation_41__bin.8	HeQ_2017__SZAXPI029466-158__bin.8	LiJ_2014__O2.UC8-0__bin.19	LiJ_2014__O2.CD1-0__bin.27	LiJ_2014__O2.UC6-2__bin.53	NielsenHB_2014__O2_UC17_2__bin.11	NielsenHB_2014__V1_UC2_4__bin.24	QinN_2014__HD-55__bin.49	LiJ_2014__O2.UC24-1__bin.4	WenC_2017__N035__bin.49	HMP_2012__SRS019267__bin.4	HeQ_2017__SZAXPI029581-99__bin.65	ZeeviD_2015__PNP_Main_118__bin.28	HeQ_2017__RSZAXPI003105-143__bin.55	NielsenHB_2014__O2_UC24_2__bin.20	WenC_2017__N024__bin.3	ZeeviD_2015__PNP_Validation_7__bin.53	LiJ_2014__O2.UC8-1__bin.62	QinJ_2012__T2D-056__bin.12	ChengpingW_2017__AS136raw__bin.14	CM_madagascar__A89_01_1FE__bin.61	LiJ_2014__MH0308__bin.44	ChengpingW_2017__AS98raw__bin.8	WenC_2017__RA123__bin.47	LiJ_2014__MH0394__bin.70	ZeeviD_2015__PNP_Main_262__bin.25	VogtmannE_2016__MMRS17963147ST-27-0-0__bin.46	LeChatelierE_2013__MH0227__bin.52	NielsenHB_2014__V1_UC2_0__bin.17	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.100	LiJ_2014__O2.UC6-1__bin.4	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.50	QinJ_2012__T2D-030__bin.43	LiJ_2014__MH0245__bin.44	LiJ_2014__V1.FI25__bin.61	WenC_2017__RA020__bin.8	ChengpingW_2017__AS6raw__bin.29
ZeeviD_2015__PNP_Main_706__bin.77	0.0	48282.0	48014.0	45466.0	46511.0	41102.0	28853.0	29295.0	26117.0	50924.0	43561.0	27975.0	42143.0	36711.0	40698.0	50016.0	41105.0	43726.0	45236.0	45428.0	33359.0	38609.0	45308.0	51775.0	32349.0	28065.0	48134.0	44869.0	45608.0	37759.0	49727.0	44800.0	28372.0	39097.0	27791.0	41390.0	37800.0	36549.0	38951.0	26240.0	33066.0	41992.0	46388.0	33945.0	47544.0
YuJ_2015__SZAXPI015216-169__bin.7	48282.0	0.0	50995.0	53275.0	45188.0	45682.0	32763.0	26881.0	32848.0	49918.0	48503.0	32779.0	48096.0	47575.0	53989.0	59085.0	49641.0	51439.0	47789.0	45282.0	45895.0	40289.0	54502.0	47554.0	41580.0	31052.0	46141.0	45974.0	49962.0	46573.0	49170.0	55259.0	34949.0	51668.0	31299.0	55010.0	48063.0	36726.0	44049.0	32223.0	29284.0	55089.0	53583.0	38658.0	50077.0
ChengpingW_2017__AS38raw__bin.42	48014.0	50995.0	0.0	53349.0	37331.0	45487.0	34451.0	24914.0	32696.0	44391.0	44233.0	31515.0	46350.0	49175.0	53122.0	53125.0	43754.0	50114.0	43333.0	39356.0	42813.0	40185.0	48014.0	45391.0	39562.0	28806.0	40299.0	37582.0	53676.0	46119.0	43138.0	55409.0	33808.0	52426.0	33201.0	55300.0	48619.0	36569.0	43882.0	32163.0	25500.0	56457.0	52285.0	36776.0	44679.0
NielsenHB_2014__V1_CD20_4__bin.60	45466.0	53275.0	53349.0	0.0	47039.0	45539.0	30741.0	30482.0	33005.0	50716.0	48270.0	29753.0	42357.0	44794.0	46019.0	55815.0	46030.0	45737.0	50925.0	46999.0	42067.0	39851.0	50525.0	52943.0	40009.0	30666.0	48062.0	48703.0	48484.0	43427.0	51564.0	50319.0	31086.0	45340.0	27529.0	47123.0	41499.0	38181.0	39971.0	29760.0	32565.0	46301.0	51777.0	34876.0	52211.0
WenC_2017__RA101__bin.18	46511.0	45188.0	37331.0	47039.0	0.0	42120.0	33439.0	22934.0	31781.0	40414.0	40484.0	30382.0	46678.0	47185.0	50611.0	44352.0	38211.0	47683.0	36779.0	37428.0	40901.0	39369.0	42430.0	37876.0	39101.0	25960.0	38253.0	31441.0	52951.0	45663.0	37541.0	50288.0	33243.0	48237.0	31268.0	51556.0	48430.0	34350.0	43778.0	29820.0	24513.0	52988.0	43520.0	36324.0	43995.0
ZeeviD_2015__PNP_Main_686__bin.19	41102.0	45682.0	45487.0	45539.0	42120.0	0.0	29552.0	27925.0	26851.0	50320.0	42734.0	29725.0	38699.0	40444.0	43619.0	48968.0	41024.0	45959.0	45039.0	42964.0	36373.0	38189.0	44921.0	46404.0	32457.0	27572.0	44343.0	41280.0	47091.0	37751.0	44408.0	48292.0	31045.0	42438.0	29601.0	46039.0	40654.0	35717.0	35586.0	27252.0	27272.0	46046.0	44583.0	34308.0	44855.0
VogtmannE_2016__MMRS84159866ST-27-0-0__bin.20	28853.0	32763.0	34451.0	30741.0	33439.0	29552.0	0.0	24134.0	20343.0	36185.0	32206.0	20203.0	28645.0	29024.0	30817.0	35377.0	30122.0	31070.0	33443.0	31736.0	27482.0	27093.0	32657.0	36204.0	25423.0	22531.0	33097.0	32589.0	32912.0	25951.0	34502.0	31643.0	21645.0	28837.0	20589.0	29468.0	29482.0	25537.0	26607.0	20139.0	24874.0	31085.0	32551.0	23638.0	35175.0
QinN_2014__HD-33__bin.16	29295.0	26881.0	24914.0	30482.0	22934.0	27925.0	24134.0	0.0	20585.0	24969.0	27129.0	21067.0	28855.0	30429.0	32438.0	31159.0	25820.0	31191.0	25229.0	19585.0	26240.0	23572.0	27829.0	23342.0	25929.0	20052.0	22533.0	21810.0	33023.0	28390.0	23814.0	31839.0	26593.0	32237.0	22727.0	32459.0	32082.0	24954.0	27808.0	20809.0	16217.0	33115.0	28889.0	22790.0	20238.0
ZeeviD_2015__PNP_Validation_41__bin.8	26117.0	32848.0	32696.0	33005.0	31781.0	26851.0	20343.0	20585.0	0.0	31970.0	32286.0	19975.0	28540.0	26414.0	28562.0	33967.0	29456.0	30757.0	31675.0	29708.0	24371.0	27875.0	32188.0	35691.0	23361.0	21584.0	31031.0	29771.0	31449.0	25790.0	33413.0	31149.0	19902.0	29110.0	19602.0	30237.0	27175.0	25071.0	26250.0	17976.0	22338.0	30256.0	32110.0	23165.0	32686.0
HeQ_2017__SZAXPI029466-158__bin.8	50924.0	49918.0	44391.0	50716.0	40414.0	50320.0	36185.0	24969.0	31970.0	0.0	45614.0	36068.0	51738.0	53157.0	58456.0	51155.0	43275.0	48521.0	45028.0	37700.0	47804.0	41969.0	48181.0	40710.0	46192.0	29176.0	41741.0	39513.0	53016.0	50243.0	43055.0	53191.0	36898.0	53637.0	33541.0	56487.0	53720.0	36305.0	48887.0	33250.0	25383.0	57933.0	50617.0	34520.0	41116.0
