	ZeeviD_2015__PNP_Main_706__bin.77	YuJ_2015__SZAXPI015216-169__bin.7	ChengpingW_2017__AS38raw__bin.42	NielsenHB_2014__V1_CD20_4__bin.60	WenC_2017__RA101__bin.18	ZeeviD_2015__PNP_Main_686__bin.19	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.20	QinN_2014__HD-33__bin.16	ZeeviD_2015__PNP_Validation_41__bin.8	HeQ_2017__SZAXPI029466-158__bin.8	LiJ_2014__O2.UC8-0__bin.19	LiJ_2014__O2.CD1-0__bin.27	LiJ_2014__O2.UC6-2__bin.53	NielsenHB_2014__O2_UC17_2__bin.11	NielsenHB_2014__V1_UC2_4__bin.24	QinN_2014__HD-55__bin.49	LiJ_2014__O2.UC24-1__bin.4	WenC_2017__N035__bin.49	HMP_2012__SRS019267__bin.4	HeQ_2017__SZAXPI029581-99__bin.65	ZeeviD_2015__PNP_Main_118__bin.28	HeQ_2017__RSZAXPI003105-143__bin.55	NielsenHB_2014__O2_UC24_2__bin.20	WenC_2017__N024__bin.3	ZeeviD_2015__PNP_Validation_7__bin.53	LiJ_2014__O2.UC8-1__bin.62	QinJ_2012__T2D-056__bin.12	ChengpingW_2017__AS136raw__bin.14	CM_madagascar__A89_01_1FE__bin.61	LiJ_2014__MH0308__bin.44	ChengpingW_2017__AS98raw__bin.8	WenC_2017__RA123__bin.47	LiJ_2014__MH0394__bin.70	ZeeviD_2015__PNP_Main_262__bin.25	VogtmannE_2016__MMRS17963147ST-27-0-0__bin.46	LeChatelierE_2013__MH0227__bin.52	NielsenHB_2014__V1_UC2_0__bin.17	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.100	LiJ_2014__O2.UC6-1__bin.4	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.50	QinJ_2012__T2D-030__bin.43	LiJ_2014__MH0245__bin.44	LiJ_2014__V1.FI25__bin.61	WenC_2017__RA020__bin.8	ChengpingW_2017__AS6raw__bin.29
ZeeviD_2015__PNP_Main_706__bin.77	1906782.0	1597367.0	1599261.0	1586221.0	1433871.0	1545481.0	1099488.0	989481.0	1117694.0	1527896.0	1583140.0	1020789.0	1607220.0	1530685.0	1583437.0	1598536.0	1410119.0	1399544.0	1586009.0	1380837.0	1375692.0	1304780.0	1574284.0	1551594.0	1392429.0	1032517.0	1509695.0	1470546.0	1380121.0	1497377.0	1582570.0	1492575.0	1123119.0	1511398.0	1041584.0	1593817.0	1499144.0	1291100.0	1495202.0	1054131.0	1001453.0	1613234.0	1581911.0	1119141.0	1540838.0
YuJ_2015__SZAXPI015216-169__bin.7	1597367.0	1867587.0	1641439.0	1614263.0	1446013.0	1573112.0	1086131.0	1006738.0	1096490.0	1568305.0	1610143.0	1026158.0	1594847.0	1575392.0	1600822.0	1646710.0	1457984.0	1415171.0	1627477.0	1413839.0	1410840.0	1318712.0	1621940.0	1579263.0	1389041.0	1040510.0	1545370.0	1526693.0	1407134.0	1506361.0	1616678.0	1542542.0	1118619.0	1536868.0	1025522.0	1607688.0	1540542.0	1304602.0	1478032.0	1070610.0	991475.0	1646671.0	1611765.0	1137723.0	1570899.0
ChengpingW_2017__AS38raw__bin.42	1599261.0	1641439.0	1837303.0	1647584.0	1475622.0	1582180.0	1105060.0	1031504.0	1099786.0	1608352.0	1654931.0	1060162.0	1600739.0	1576937.0	1636402.0	1676452.0	1466528.0	1440018.0	1666821.0	1445758.0	1403742.0	1336925.0	1635355.0	1630158.0	1425812.0	1070599.0	1596841.0	1542263.0	1430352.0	1549771.0	1627228.0	1596055.0	1132781.0	1552658.0	1035268.0	1638340.0	1537633.0	1325102.0	1507028.0	1098074.0	1015830.0	1670608.0	1616630.0	1149537.0	1598706.0
NielsenHB_2014__V1_CD20_4__bin.60	1586221.0	1614263.0	1647584.0	1838555.0	1450057.0	1575515.0	1083835.0	993045.0	1101669.0	1571763.0	1613543.0	1039011.0	1578084.0	1570539.0	1617109.0	1630453.0	1457930.0	1435098.0	1646413.0	1415108.0	1403440.0	1322749.0	1627057.0	1605807.0	1399162.0	1045120.0	1543784.0	1499853.0	1411407.0	1521800.0	1594399.0	1561129.0	1135952.0	1538254.0	1027955.0	1601123.0	1517497.0	1306555.0	1483333.0	1090027.0	990683.0	1635223.0	1610134.0	1129388.0	1572837.0
WenC_2017__RA101__bin.18	1433871.0	1446013.0	1475622.0	1450057.0	1642153.0	1391047.0	1003156.0	922439.0	990084.0	1433771.0	1494009.0	968421.0	1461753.0	1419154.0	1452826.0	1455428.0	1353191.0	1296907.0	1502496.0	1324220.0	1240677.0	1185404.0	1495158.0	1436486.0	1299179.0	974699.0	1440879.0	1382812.0	1312242.0	1399513.0	1474531.0	1388343.0	1037177.0	1389895.0	914396.0	1431614.0	1403203.0	1194666.0	1384221.0	980664.0	929999.0	1465590.0	1487687.0	1048030.0	1434994.0
ZeeviD_2015__PNP_Main_686__bin.19	1545481.0	1573112.0	1582180.0	1575515.0	1391047.0	1766998.0	1051945.0	1002277.0	1062753.0	1517737.0	1556053.0	1015263.0	1556805.0	1532009.0	1583180.0	1562571.0	1390273.0	1363145.0	1577886.0	1388851.0	1378110.0	1267602.0	1547836.0	1538833.0	1382287.0	1008471.0	1528365.0	1463342.0	1344414.0	1444872.0	1580034.0	1483307.0	1111394.0	1471178.0	989576.0	1547392.0	1513406.0	1270412.0	1454276.0	1071313.0	959386.0	1580585.0	1534095.0	1084154.0	1506525.0
VogtmannE_2016__MMRS84159866ST-27-0-0__bin.20	1099488.0	1086131.0	1105060.0	1083835.0	1003156.0	1051945.0	1243925.0	778233.0	781701.0	1065587.0	1091689.0	756739.0	1082266.0	1083136.0	1082597.0	1083776.0	1008326.0	992377.0	1098476.0	984657.0	975713.0	931700.0	1084368.0	1075543.0	981121.0	747034.0	1048411.0	1037769.0	985995.0	1046157.0	1082566.0	1042840.0	823344.0	1054438.0	756345.0	1069468.0	1046489.0	935935.0	1037086.0	780427.0	744049.0	1095640.0	1085954.0	800310.0	1074827.0
QinN_2014__HD-33__bin.16	989481.0	1006738.0	1031504.0	993045.0	922439.0	1002277.0	778233.0	1110041.0	748047.0	1016323.0	1021548.0	735396.0	1029715.0	1008231.0	1013794.0	1018638.0	913877.0	920212.0	1024579.0	991990.0	918860.0	875969.0	1001456.0	1012468.0	927145.0	730411.0	1045237.0	964735.0	937377.0	972284.0	1030055.0	957321.0	820658.0	965125.0	688684.0	984652.0	1000061.0	901932.0	983125.0	746655.0	710725.0	999576.0	995826.0	745541.0	1014670.0
ZeeviD_2015__PNP_Validation_41__bin.8	1117694.0	1096490.0	1099786.0	1101669.0	990084.0	1062753.0	781701.0	748047.0	1269393.0	1044752.0	1119149.0	737221.0	1089803.0	1064323.0	1084103.0	1106217.0	1006189.0	978253.0	1121445.0	966157.0	992976.0	917902.0	1092598.0	1062844.0	996587.0	760108.0	1044389.0	1014613.0	969563.0	1036822.0	1101478.0	1031743.0	816938.0	1052680.0	718641.0	1088115.0	1042064.0	929028.0	1023124.0	774038.0	714093.0	1113297.0	1107216.0	783465.0	1062713.0
HeQ_2017__SZAXPI029466-158__bin.8	1527896.0	1568305.0	1608352.0	1571763.0	1433771.0	1517737.0	1065587.0	1016323.0	1044752.0	1743407.0	1575255.0	1021584.0	1550895.0	1535479.0	1579811.0	1623334.0	1393160.0	1384281.0	1605134.0	1426084.0	1352071.0	1282013.0	1562034.0	1574978.0	1390539.0	1033025.0	1558325.0	1495875.0	1395696.0	1487205.0	1565816.0	1515295.0	1108137.0	1483554.0	1003328.0	1560893.0	1488720.0	1265997.0	1460830.0	1056400.0	995100.0	1589186.0	1578794.0	1100094.0	1561581.0
LiJ_2014__O2.UC8-0__bin.19	1583140.0	1610143.0	1654931.0	1613543.0	1494009.0	1556053.0	1091689.0	1021548.0	1119149.0	1575255.0	1843390.0	1060024.0	1625416.0	1582676.0	1597350.0	1621243.0	1447769.0	1424035.0	1666568.0	1434665.0	1382944.0	1335080.0	1612266.0	1599168.0	1424755.0	1141242.0	1560705.0	1516676.0	1418412.0	1537997.0	1623943.0	1525526.0	1132075.0	1524723.0	1019237.0	1604937.0	1526185.0	1317076.0	1518844.0	1079322.0	998398.0	1623793.0	1607167.0	1131148.0	1596652.0
