	ZeeviD_2015__PNP_Main_455__bin.62	CosteaPI_2017__SID713B007-11-0-0__bin.9	ZellerG_2014__CCIS31434951ST-20-0__bin.2	LeChatelierE_2013__MH0257__bin.45	ZeeviD_2015__PNP_Main_73__bin.33	CosteaPI_2017__SID713B072-11-90-0__bin.48	LeChatelierE_2013__MH0130__bin.21	CosteaPI_2017__SID713B076-11-0-0__bin.63	CM_madagascar__V40_01_1FE__bin.47	CosteaPI_2017__SID713A057-11-0-0__bin.68	CosteaPI_2017__SID713A052-11-0-0__bin.70	NielsenHB_2014__MH0130__bin.16	CosteaPI_2017__SID713A038-11-90-0__bin.23	XieH_2016__YSZC12003_36049__bin.31	CosteaPI_2017__SID713B014-11-0-0__bin.95	CosteaPI_2017__SID713B051-11-90-0__bin.49	NielsenHB_2014__MH0077__bin.4	CosteaPI_2017__SID713A056-11-90-0__bin.25	FengQ_2015__SID530743__bin.36	CosteaPI_2017__SID713A056-11-0-0__bin.78	CosteaPI_2017__SID713B040-11-90-0__bin.57	FengQ_2015__SID31276__bin.76	BritoIL_2016__W2.17.ST__bin.65	NielsenHB_2014__MH0031__bin.2	BritoIL_2016__M1.64.ST__bin.39	LeChatelierE_2013__MH0077__bin.16	CosteaPI_2017__SID713A053-11-0-0__bin.44	BritoIL_2016__W3.22.ST__bin.95	CosteaPI_2017__SID713A058-11-90-0__bin.58	NielsenHB_2014__V1_CD34_0__bin.26	CosteaPI_2017__SID713B040-11-0-0__bin.80	LeChatelierE_2013__MH0031__bin.15	XieH_2016__YSZC12003_37331__bin.23	CosteaPI_2017__SID713B042-11-0-0__bin.52	ZeeviD_2015__PNP_Main_287__bin.26	LeChatelierE_2013__MH0421__bin.46	ZellerG_2014__CCIS48725289ST-4-0__bin.22	ZeeviD_2015__PNP_Main_415__bin.31	FengQ_2015__SID31160__bin.2	CosteaPI_2017__SID713B046-11-0-0__bin.75	KarlssonFH_2013__S187__bin.51
ZeeviD_2015__PNP_Main_455__bin.62	0.0	16524.0	20598.0	11859.0	22062.0	25847.0	22821.0	21887.0	42410.0	16711.0	19228.0	22652.0	19481.0	21141.0	19054.0	19434.0	18082.0	23726.0	15889.0	20002.0	20690.0	25970.0	21466.0	12577.0	25558.0	21427.0	17956.0	26187.0	19617.0	22330.0	18455.0	19305.0	23248.0	20653.0	20727.0	20692.0	14473.0	40828.0	29151.0	26145.0	11801.0
CosteaPI_2017__SID713B007-11-0-0__bin.9	16524.0	0.0	17732.0	15504.0	17119.0	18599.0	18840.0	17597.0	32156.0	15722.0	17535.0	18455.0	17285.0	16267.0	16239.0	16490.0	15708.0	17141.0	14313.0	14793.0	16995.0	17698.0	17937.0	9861.0	19189.0	17513.0	16370.0	20473.0	17039.0	16060.0	16707.0	15488.0	17226.0	17001.0	17469.0	16701.0	13134.0	28482.0	20862.0	19280.0	10287.0
ZellerG_2014__CCIS31434951ST-20-0__bin.2	20598.0	17732.0	0.0	17519.0	21629.0	21700.0	22692.0	21405.0	40592.0	14233.0	7870.0	22507.0	17878.0	19893.0	19109.0	8760.0	14249.0	23169.0	16138.0	19894.0	4264.0	23039.0	21314.0	13831.0	25300.0	17851.0	13257.0	24750.0	15657.0	19307.0	17776.0	19363.0	19657.0	13969.0	16441.0	15925.0	13900.0	35677.0	24641.0	23060.0	10314.0
LeChatelierE_2013__MH0257__bin.45	11859.0	15504.0	17519.0	0.0	19080.0	21506.0	17202.0	20106.0	37914.0	15668.0	19203.0	16971.0	17829.0	18594.0	18278.0	17280.0	15693.0	19475.0	15706.0	17316.0	18483.0	19350.0	19854.0	11620.0	20611.0	17614.0	16811.0	23269.0	17555.0	17445.0	16441.0	16788.0	17164.0	19420.0	17959.0	17095.0	14835.0	34146.0	23175.0	22156.0	10555.0
ZeeviD_2015__PNP_Main_73__bin.33	22062.0	17119.0	21629.0	19080.0	0.0	23791.0	20606.0	21623.0	42340.0	18947.0	20953.0	20479.0	19657.0	21532.0	20695.0	20465.0	18115.0	22704.0	17088.0	19511.0	22033.0	23031.0	21397.0	13536.0	24616.0	21365.0	20131.0	25824.0	21305.0	20690.0	17714.0	19461.0	21631.0	22336.0	22014.0	20312.0	14645.0	37804.0	27982.0	24778.0	11845.0
CosteaPI_2017__SID713B072-11-90-0__bin.48	25847.0	18599.0	21700.0	21506.0	23791.0	0.0	25390.0	23118.0	42069.0	22148.0	21129.0	24975.0	21686.0	24352.0	21891.0	20120.0	19701.0	25726.0	17768.0	20603.0	25436.0	25498.0	21311.0	15189.0	28357.0	24682.0	23598.0	25302.0	25721.0	24634.0	21190.0	21633.0	25984.0	24849.0	28693.0	23429.0	17621.0	36141.0	27736.0	10628.0	13023.0
LeChatelierE_2013__MH0130__bin.21	22821.0	18840.0	22692.0	17202.0	20606.0	25390.0	0.0	22355.0	43605.0	18716.0	22459.0	391.0	18809.0	21246.0	21123.0	20825.0	17728.0	23592.0	17460.0	19375.0	21871.0	22880.0	22540.0	14448.0	25940.0	21094.0	19120.0	26518.0	21546.0	21091.0	16566.0	21491.0	20776.0	21851.0	21029.0	19855.0	14421.0	39007.0	28238.0	25463.0	11405.0
CosteaPI_2017__SID713B076-11-0-0__bin.63	21887.0	17597.0	21405.0	20106.0	21623.0	23118.0	22355.0	0.0	42893.0	20444.0	20974.0	22058.0	20026.0	22257.0	19471.0	19955.0	18929.0	22733.0	17462.0	19120.0	23274.0	21698.0	21967.0	13018.0	23668.0	21930.0	21534.0	27446.0	23265.0	20909.0	19761.0	19095.0	21766.0	23787.0	22151.0	21086.0	15623.0	38674.0	26374.0	24282.0	11819.0
CM_madagascar__V40_01_1FE__bin.47	42410.0	32156.0	40592.0	37914.0	42340.0	42069.0	43605.0	42893.0	0.0	39920.0	37194.0	43265.0	39653.0	42379.0	39406.0	36913.0	36910.0	42424.0	34733.0	36021.0	42233.0	43183.0	31326.0	27201.0	44608.0	43282.0	41177.0	36740.0	43162.0	42441.0	37309.0	40008.0	42114.0	43524.0	42507.0	40306.0	31849.0	35199.0	43209.0	43657.0	23290.0
CosteaPI_2017__SID713A057-11-0-0__bin.68	16711.0	15722.0	14233.0	15668.0	18947.0	22148.0	18716.0	20444.0	39920.0	0.0	15107.0	18618.0	16139.0	17184.0	17785.0	14183.0	13793.0	19860.0	15186.0	17476.0	11550.0	19511.0	20746.0	12349.0	22185.0	16424.0	12070.0	24640.0	1007.0	17721.0	16414.0	18625.0	16809.0	14784.0	14147.0	14549.0	11429.0	35504.0	23510.0	23363.0	9792.0
