	ZeeviD_2015__PNP_Main_69__bin.47	CosteaPI_2017__SID713B072-11-90-0__bin.19	ZeeviD_2015__PNP_Main_376__bin.3	CM_madagascar__A55_01_1FE__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.133	LiJ_2014__O2.UC2-1__bin.2	BritoIL_2016__W2.47.ST__bin.15	QinN_2014__LD-54__bin.16	BritoIL_2016__W1.51.ST__bin.18	CosteaPI_2017__SID713B044-11-90-0__bin.48	ZellerG_2014__CCIS51595129ST-4-0__bin.22	NielsenHB_2014__V1_UC49_1__bin.72	LiJ_2014__MH0260__bin.48	NielsenHB_2014__V1_CD29_0__bin.39	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.30	ZeeviD_2015__PNP_Main_415__bin.78	QinJ_2012__CON-110__bin.17	ZeeviD_2015__PNP_Main_301__bin.17	BritoIL_2016__WL.30.ST__bin.64	CosteaPI_2017__SID713B072-11-0-0__bin.56	ZeeviD_2015__PNP_Main_593__bin.28	BritoIL_2016__W1.13.ST__bin.39	BritoIL_2016__W2.46.ST__bin.74	BritoIL_2016__W2.44.ST__bin.5	Obregon-TitoAJ_2015__SM25__bin.48	XieH_2016__YSZC12003_36703__bin.5	QinJ_2012__T2D-104__bin.43	CosteaPI_2017__SID713A074-11-0-0__bin.43	BritoIL_2016__W2.11.ST__bin.30	CosteaPI_2017__SID713A055-11-0-0__bin.74	LiJ_2014__O2.UC7-1__bin.37	CM_madagascar__A89_02_1FE__bin.24	BritoIL_2016__W3.16.ST__bin.21
ZeeviD_2015__PNP_Main_69__bin.47	1.0	0.8796935265149823	0.8784246466098578	0.8743755728567448	0.883169477696423	0.8652743722411609	0.7893627458277598	0.8474781543539239	0.849491703722922	0.8778788155892175	0.866393680269201	0.8809301527688873	0.8707897465997209	0.9193835937372624	0.7713177140596855	0.9018124425371077	0.8536811340241994	0.9174221464202346	0.8691441015160634	0.8694698279498091	0.9180037754493713	0.8747282364057949	0.8730191473268812	0.904193187319991	0.869366332717324	0.8826955971285035	0.9093707844300638	0.76935591230693	0.9038458403068563	0.8978714716809398	0.8935870526046419	0.8765457828173813	0.6721643192388422
CosteaPI_2017__SID713B072-11-90-0__bin.19	0.9151268941202584	1.0	0.9171975813959662	0.896562607502628	0.8994271319764482	0.9015066683430778	0.8353788867327423	0.8862209699119847	0.9018377718284029	0.9066391410777381	0.8984563129598993	0.9136911291181917	0.9081206263829009	0.9554588382692211	0.7982816540278297	0.9344783811178098	0.8919219967383726	0.9644111685851373	0.9019358492527865	0.9403578646111211	0.9536447746302462	0.9128700072230704	0.9185717714737018	0.9524859124316085	0.9055259991821966	0.9252222320135775	0.9429554415087995	0.803366931610907	0.9526252856136274	0.935681120058935	0.9312005303555159	0.9174807523054647	0.7041542426044645
ZeeviD_2015__PNP_Main_376__bin.3	0.8898089210850293	0.8931105533393483	1.0	0.8718919293473676	0.8709282950530448	0.8783745600546299	0.8040749092823043	0.8617687428485877	0.8677243187331728	0.8741882799235555	0.8741455554522349	0.8807527692817514	0.8898455420604469	0.9248982780601941	0.7702295883838266	0.911807356435903	0.88169557988417	0.9263279322181648	0.8828764268268032	0.8837607156743879	0.9383536142928077	0.8814460546104911	0.8943244309656916	0.9257233270946031	0.8811455471945641	0.8903700836789288	0.9181980756754505	0.778536446307726	0.9174028260622147	0.9066445169603585	0.9019724703612444	0.8943606929119384	0.6935323408091584
CM_madagascar__A55_01_1FE__bin.6	0.8684649093779175	0.8560220630376527	0.8549184182993098	1.0	0.8770321496816856	0.848933741887243	0.7740312921127598	0.8249285007188653	0.8283908120431404	0.8450165951556509	0.8432233044707645	0.8561213382581353	0.8444202397531778	0.8866188972142387	0.7614423492600828	0.8869751614806511	0.8284858627861555	0.890561390810635	0.8551138003821744	0.8459804800977826	0.8918044433054001	0.8579139248634438	0.8514212550359291	0.8911323993483039	0.8719075064740117	0.8692323561178179	0.8852846664141368	0.7773108947865723	0.8785487370924612	0.8780498967115259	0.8665065120320159	0.914327949002108	0.6469780200437374
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.133	0.8852333800387095	0.8666221639273443	0.8617948364506567	0.885064629630156	1.0	0.850251242713535	0.786029810914279	0.8342760856157863	0.8386035566191371	0.8603489118973656	0.8553237023626479	0.863814157129012	0.8583171569783801	0.9049537304142947	0.7615183699918432	0.8990680714279624	0.8424478685579976	0.8991487163600501	0.8519124572617386	0.8640443682126809	0.9061296543138999	0.867449929089302	0.8611233874566223	0.8967524605585887	0.8786418114485961	0.8689228537079616	0.8968437634112166	0.7836825815473027	0.8969236978152684	0.8825266234855095	0.8774516769882706	0.8854902359237291	0.6643177794009396
LiJ_2014__O2.UC2-1__bin.2	0.8842465602091529	0.8856019394020177	0.8861495966279962	0.8734520624256796	0.8668682228776562	1.0	0.8063502883712305	0.8378163109852723	0.8594292122247814	0.8761023322156828	0.8689806150350019	0.9098415669661275	0.8701646702411684	0.9209783505158373	0.7806455328447641	0.9062973699051489	0.8587058845261841	0.9331879916735818	0.8712954809948092	0.884200559899828	0.9306076278654661	0.8789014691484618	0.883807927338346	0.918355246262837	0.8770567480823848	0.8987120275596184	0.9247174150289168	0.7844892752270949	0.9093297682489928	0.9081276026848244	0.9219610185410223	0.891632688616662	0.6766623769265346
BritoIL_2016__W2.47.ST__bin.15	0.8875859749191164	0.9029576408378575	0.892561341196782	0.8762702448068319	0.8817776612271347	0.887233666060621	1.0	0.8554429725940373	0.8873257286695717	0.8838416969490213	0.8653550468243979	0.8912106910594055	0.87835380896092	0.9287598807888849	0.7833571527067603	0.9169918084205005	0.8772207613537907	0.9504511864917451	0.8875720260389723	0.9041632226217359	0.9281477242202776	0.9061686730470173	0.9331689225327021	0.939878732421422	0.8900971718844778	0.8956332831439341	0.9206240968100107	0.7960785313981321	0.93770709105271	0.9073017206541467	0.9008979890497305	0.8924039181208706	0.679677517832647
QinN_2014__LD-54__bin.16	0.8757741111731328	0.8803506520334565	0.8791481883564303	0.8582733749708815	0.8601212059945177	0.8472134927925433	0.7861779309273804	1.0	0.8444016397165365	0.8516032360667314	0.886137348236118	0.8797759747537568	0.8587465955224253	0.9090676676087125	0.749897078192737	0.8941608539653099	0.8496935054508268	0.9260651491377276	0.8477760831696107	0.8682842605086462	0.9082677344163198	0.8550729096617572	0.8618613537037932	0.8866270509276148	0.855878336900801	0.8852029940356629	0.9005947488634649	0.7585729103942968	0.8974111319640704	0.894007753198634	0.881647247043104	0.8551212572722864	0.6774273064374111
BritoIL_2016__W1.51.ST__bin.18	0.9150755810224285	0.9338482790007239	0.9227570044930161	0.8984188156885983	0.9012406955469965	0.9059169754151687	0.8500551318429919	0.8802039267311551	1.0	0.9034463510661368	0.9000574989996853	0.9139198740367199	0.9090343680607947	0.9427991856980974	0.8046397034792622	0.9412735150291542	0.8998066567500619	0.9619544467420288	0.9034043531247996	0.9201538957290385	0.9496398867430061	0.9409356225011225	0.9380419643429843	0.971562812121064	0.9152576993680456	0.9239192020696585	0.9484566901956951	0.8146901926407389	0.9682552833410202	0.9334347901782851	0.9272473480209042	0.9202466729994472	0.740524882634844
CosteaPI_2017__SID713B044-11-90-0__bin.48	0.9362141317651363	0.929448144947849	0.9203507275892752	0.907301444746079	0.9153801842011562	0.9142730570845173	0.8382649439481461	0.8788491472210693	0.8944275483768057	1.0	0.9052081467017137	0.923632798177795	0.9128926445785546	0.9635770676137536	0.836786254538692	0.9482065599077104	0.9035714582704928	0.9598096603172227	0.9110533545309054	0.93510965056513	0.9596040347960716	0.9117201255222851	0.9152584720360631	0.9418159152641419	0.9106481512980489	0.9254040503691809	0.9594105048938119	0.8169139086765654	0.9421991951877581	0.9528981480851502	0.9330658689606008	0.9281943584521539	0.6988572664052501
