	ZeeviD_2015__PNP_Main_69__bin.47	CosteaPI_2017__SID713B072-11-90-0__bin.19	ZeeviD_2015__PNP_Main_376__bin.3	CM_madagascar__A55_01_1FE__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.133	LiJ_2014__O2.UC2-1__bin.2	BritoIL_2016__W2.47.ST__bin.15	QinN_2014__LD-54__bin.16	BritoIL_2016__W1.51.ST__bin.18	CosteaPI_2017__SID713B044-11-90-0__bin.48	ZellerG_2014__CCIS51595129ST-4-0__bin.22	NielsenHB_2014__V1_UC49_1__bin.72	LiJ_2014__MH0260__bin.48	NielsenHB_2014__V1_CD29_0__bin.39	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.30	ZeeviD_2015__PNP_Main_415__bin.78	QinJ_2012__CON-110__bin.17	ZeeviD_2015__PNP_Main_301__bin.17	BritoIL_2016__WL.30.ST__bin.64	CosteaPI_2017__SID713B072-11-0-0__bin.56	ZeeviD_2015__PNP_Main_593__bin.28	BritoIL_2016__W1.13.ST__bin.39	BritoIL_2016__W2.46.ST__bin.74	BritoIL_2016__W2.44.ST__bin.5	Obregon-TitoAJ_2015__SM25__bin.48	XieH_2016__YSZC12003_36703__bin.5	QinJ_2012__T2D-104__bin.43	CosteaPI_2017__SID713A074-11-0-0__bin.43	BritoIL_2016__W2.11.ST__bin.30	CosteaPI_2017__SID713A055-11-0-0__bin.74	LiJ_2014__O2.UC7-1__bin.37	CM_madagascar__A89_02_1FE__bin.24	BritoIL_2016__W3.16.ST__bin.21
ZeeviD_2015__PNP_Main_69__bin.47	0.0	35450.0	36552.0	47695.0	44555.0	37464.0	35285.0	35060.0	36515.0	27947.0	36385.0	35553.0	36940.0	38298.0	27048.0	40241.0	35969.0	36621.0	37494.0	35547.0	37116.0	42702.0	38895.0	40580.0	78269.0	35149.0	36286.0	47266.0	40448.0	36686.0	36868.0	45787.0	28302.0
CosteaPI_2017__SID713B072-11-90-0__bin.19	35450.0	0.0	29164.0	46747.0	45666.0	30752.0	26838.0	27298.0	29576.0	28283.0	27893.0	28828.0	28207.0	32100.0	31546.0	34806.0	29063.0	28597.0	32893.0	814.0	30745.0	34348.0	29936.0	31252.0	81333.0	27667.0	29072.0	47737.0	30128.0	29198.0	29687.0	46248.0	23021.0
ZeeviD_2015__PNP_Main_376__bin.3	36552.0	29164.0	0.0	49783.0	47176.0	29799.0	27553.0	25604.0	29488.0	31351.0	27234.0	28600.0	26545.0	31572.0	31580.0	32160.0	19081.0	30810.0	31574.0	28997.0	28218.0	33818.0	32350.0	33778.0	81048.0	26795.0	27525.0	48521.0	32692.0	27168.0	29342.0	50190.0	23222.0
CM_madagascar__A55_01_1FE__bin.6	47695.0	46747.0	49783.0	0.0	42415.0	47466.0	41430.0	48350.0	44124.0	46504.0	47273.0	47099.0	46707.0	49293.0	42200.0	47060.0	46605.0	49920.0	45056.0	46109.0	51683.0	47811.0	49041.0	49493.0	73677.0	49275.0	48970.0	46546.0	48298.0	49019.0	47316.0	24982.0	34198.0
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.133	44555.0	45666.0	47176.0	42415.0	0.0	46308.0	42621.0	45714.0	43897.0	43192.0	46047.0	46029.0	47922.0	47015.0	38000.0	48388.0	45664.0	48719.0	46301.0	45493.0	49361.0	48368.0	47220.0	47590.0	72098.0	45367.0	48186.0	42446.0	47905.0	47683.0	45832.0	39274.0	35561.0
LiJ_2014__O2.UC2-1__bin.2	37464.0	30752.0	29799.0	47466.0	46308.0	0.0	30071.0	28628.0	32210.0	31467.0	29419.0	5706.0	30158.0	31327.0	29367.0	34025.0	29817.0	33975.0	33584.0	31128.0	31278.0	36152.0	33424.0	36633.0	80229.0	31783.0	30973.0	48450.0	35264.0	19577.0	5544.0	46962.0	24264.0
BritoIL_2016__W2.47.ST__bin.15	35285.0	26838.0	27553.0	41430.0	42621.0	30071.0	0.0	28063.0	1779.0	32406.0	28761.0	29107.0	29093.0	33541.0	32340.0	31977.0	28663.0	21471.0	27082.0	27271.0	29342.0	14224.0	3083.0	11528.0	72857.0	28461.0	30513.0	44796.0	14584.0	29808.0	29597.0	41532.0	2007.0
QinN_2014__LD-54__bin.16	35060.0	27298.0	25604.0	48350.0	45714.0	28628.0	28063.0	0.0	29736.0	30746.0	17043.0	28185.0	25382.0	30021.0	29587.0	31150.0	25328.0	30683.0	30202.0	26337.0	25863.0	34995.0	31419.0	31746.0	79928.0	24829.0	27345.0	48697.0	33139.0	28239.0	27899.0	45833.0	23590.0
BritoIL_2016__W1.51.ST__bin.18	36515.0	29576.0	29488.0	44124.0	43897.0	32210.0	1779.0	29736.0	0.0	34057.0	30128.0	30666.0	31187.0	34283.0	34355.0	34001.0	30285.0	22842.0	28626.0	29437.0	31134.0	15582.0	1755.0	12736.0	76932.0	30213.0	31395.0	46463.0	14659.0	31634.0	31103.0	43492.0	3181.0
CosteaPI_2017__SID713B044-11-90-0__bin.48	27947.0	28283.0	31351.0	46504.0	43192.0	31467.0	32406.0	30746.0	34057.0	0.0	30967.0	30555.0	32989.0	34098.0	23878.0	36792.0	30928.0	33790.0	35268.0	28561.0	33055.0	39099.0	36115.0	36288.0	79329.0	31981.0	31566.0	47535.0	36258.0	31896.0	30792.0	45825.0	25452.0
