	ZeeviD_2015__PNP_Main_69__bin.47	CosteaPI_2017__SID713B072-11-90-0__bin.19	ZeeviD_2015__PNP_Main_376__bin.3	CM_madagascar__A55_01_1FE__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.133	LiJ_2014__O2.UC2-1__bin.2	BritoIL_2016__W2.47.ST__bin.15	QinN_2014__LD-54__bin.16	BritoIL_2016__W1.51.ST__bin.18	CosteaPI_2017__SID713B044-11-90-0__bin.48	ZellerG_2014__CCIS51595129ST-4-0__bin.22	NielsenHB_2014__V1_UC49_1__bin.72	LiJ_2014__MH0260__bin.48	NielsenHB_2014__V1_CD29_0__bin.39	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.30	ZeeviD_2015__PNP_Main_415__bin.78	QinJ_2012__CON-110__bin.17	ZeeviD_2015__PNP_Main_301__bin.17	BritoIL_2016__WL.30.ST__bin.64	CosteaPI_2017__SID713B072-11-0-0__bin.56	ZeeviD_2015__PNP_Main_593__bin.28	BritoIL_2016__W1.13.ST__bin.39	BritoIL_2016__W2.46.ST__bin.74	BritoIL_2016__W2.44.ST__bin.5	Obregon-TitoAJ_2015__SM25__bin.48	XieH_2016__YSZC12003_36703__bin.5	QinJ_2012__T2D-104__bin.43	CosteaPI_2017__SID713A074-11-0-0__bin.43	BritoIL_2016__W2.11.ST__bin.30	CosteaPI_2017__SID713A055-11-0-0__bin.74	LiJ_2014__O2.UC7-1__bin.37	CM_madagascar__A89_02_1FE__bin.24	BritoIL_2016__W3.16.ST__bin.21
ZeeviD_2015__PNP_Main_69__bin.47	1.0	0.8671287799684269	0.8654693118913895	0.8574707608246442	0.8673775938492642	0.8519957921390409	0.7768564811762729	0.835051637741167	0.8365494831263783	0.8679734003075085	0.8534975363172568	0.8683288993423799	0.8576968908189095	0.9058094142382502	0.7617309364971684	0.8875495944191969	0.8409324353349736	0.9044423556365558	0.8558548883421127	0.8568707011376678	0.9048485389804868	0.8595931219620428	0.859233369698439	0.8898101854903938	0.8416250027468768	0.8702375357359823	0.8965097296151607	0.7526031532020079	0.889509623993314	0.8848686425749615	0.8805197161962242	0.8603172341537103	0.6621330792738037
CosteaPI_2017__SID713B072-11-90-0__bin.19	0.9020560494044746	1.0	0.9064444610774579	0.8793264219475153	0.8825895242249395	0.8901680331752418	0.8254833908094079	0.8761558664126486	0.8909327421157366	0.8962108561384853	0.8881718257481261	0.9030618960725891	0.8977203635649006	0.9436231791612758	0.7866502614353299	0.9216449870084283	0.8812061163441604	0.9538671080396572	0.8898078014322992	0.9400577329440225	0.9423087204472624	0.9002054832654472	0.9075340053972081	0.9409629212029013	0.8755375361844858	0.9150210737413182	0.9322362427054917	0.7857657210552689	0.941516726809759	0.9249154635282875	0.9202545735973361	0.9004285540991016	0.6956661208498225
ZeeviD_2015__PNP_Main_376__bin.3	0.8766856868353697	0.8826398266032717	1.0	0.854018380139368	0.8539907348932194	0.86767584979512	0.7941825785403239	0.8525761599604207	0.8571372665457697	0.8629323563910244	0.8643677550157273	0.8704845349979841	0.8803151127225936	0.9135630090809248	0.7588914471711913	0.9002609783042262	0.8748449442768775	0.9152662434670155	0.8715404397891924	0.8733499468098284	0.9282225291522711	0.8693044061136924	0.8827098372915702	0.9135960397646349	0.8520469509627189	0.8807498970483852	0.9083157977502514	0.761115991913227	0.9056654444116929	0.896890412449121	0.8914378364327723	0.8763410188314391	0.6851949654057442
CM_madagascar__A55_01_1FE__bin.6	0.8516743716441807	0.8395652590238358	0.8373928214862556	1.0	0.862100382033579	0.8322238212651746	0.759446283656764	0.8079073769233693	0.8128574083957265	0.8286453368105476	0.8265813275279625	0.8395406162386098	0.8279775173309187	0.8692657998977676	0.7465862701665994	0.8704081690128945	0.8120790484223689	0.8729875645464953	0.8392522956514638	0.8297482774693127	0.8736099708933502	0.8410825505141893	0.8341568717462723	0.8737088940740437	0.8459702709439032	0.8518855955175478	0.868045277949495	0.7609248507703334	0.8615459193659905	0.8607932582972257	0.8498493973782892	0.9055332909946814	0.6349389633413927
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.133	0.86940459171638	0.8503986772810082	0.8450349011371291	0.8699961063063627	1.0	0.833799676567638	0.7708881032027761	0.8180355462965858	0.8230085320206565	0.8450043484315805	0.8389648601254509	0.8474617096441391	0.8412921947074188	0.8882509926076664	0.7480183373075535	0.8818775561246095	0.8262250924396974	0.8818406086667367	0.8354633779639676	0.8478823422414602	0.8885934671210256	0.8502665190663093	0.8443478205263023	0.879845445941606	0.8530279862782825	0.8528055910030098	0.8797250114395013	0.7686030450389512	0.8799047750326132	0.865586569314852	0.8611692165149453	0.8715375968804978	0.6516842356565706
LiJ_2014__O2.UC2-1__bin.2	0.8706768311654632	0.8744633448165077	0.875356185466003	0.8562595373672828	0.8500951337105841	1.0	0.7954583568617067	0.8274470444076845	0.847762519599935	0.8647047595107451	0.8583248425938235	0.9077748129109466	0.8592412267087213	0.909631486813305	0.7700085951759077	0.8939732712848322	0.8479059536353103	0.920882003411267	0.8591311157320697	0.8729257754221434	0.9192785123137758	0.8658069558987428	0.8717015152212126	0.9050865113691394	0.8479972298396401	0.8871999973921084	0.9134987726610383	0.76694033832322	0.8965568949573882	0.9010366731127468	0.9199529420457677	0.8746227159669246	0.6678737823953557
BritoIL_2016__W2.47.ST__bin.15	0.8735235110367525	0.8922616395434014	0.8815803842079547	0.8597587561106058	0.8647915120665783	0.8752491867802876	1.0	0.8442587604945396	0.8866167270188213	0.8709266280933634	0.8538926542008846	0.8796104037921825	0.8667591012457545	0.9153924696771273	0.7704683874536599	0.9042477129814654	0.8657974255946806	0.9418941463325207	0.8767787811229406	0.8932946537529263	0.916453780186373	0.9004998481564761	0.9319402254617278	0.9352843698414052	0.8610607844371946	0.884290452350227	0.9084634631004296	0.7782255589714813	0.9318947919664015	0.89542205724461	0.8891024174604907	0.8758517784025105	0.6788776491912439
QinN_2014__LD-54__bin.16	0.8629326928007477	0.870352219668101	0.8697702169928665	0.8405642312656671	0.8433775494207809	0.8367279216241281	0.7758993021828214	1.0	0.833510241635497	0.840341905511188	0.8798950124311962	0.8694526610964358	0.849449936049297	0.8980718826413031	0.7390602543084314	0.8827515504199649	0.8404166245456423	0.9148268935781186	0.836714003372612	0.8586378133987345	0.8987948991805813	0.84225529882486	0.8503535235885062	0.8749994505953349	0.8266031261857983	0.87610888174907	0.8905791018186027	0.7407366710765547	0.8852733178327964	0.8836646609733693	0.8714286865419298	0.838334014595118	0.6687870024041949
BritoIL_2016__W1.51.ST__bin.18	0.9011341734957865	0.9225561779735306	0.9114985018188927	0.881572296019817	0.8844808443571567	0.893619214592681	0.8493759105917281	0.8688507377892893	1.0	0.8904434066286496	0.8885546446668723	0.902211611590821	0.8971271880927437	0.9297099545811354	0.7915229828006977	0.9282919513618023	0.8882438599009765	0.9532333833236102	0.8924749615909737	0.9089148648277169	0.9377529421466904	0.9349864232109641	0.9373719062789214	0.9667002141131409	0.8858851027956884	0.9123838947821757	0.93647009593857	0.7969506440193405	0.9626584849586282	0.921356945848618	0.9153722392080563	0.9036414505936219	0.7393103785312634
CosteaPI_2017__SID713B044-11-90-0__bin.48	0.92565049860409	0.9187575077884447	0.9085004229686732	0.8897234865923845	0.8990541226027051	0.9023789058454346	0.8260158618922235	0.8672275253951298	0.8815544079837132	1.0	0.8935029895078066	0.9120833720771127	0.9004231954659573	0.9506884297089567	0.8277606549172849	0.9342996220875072	0.8918810426121094	0.947037442744254	0.8977224705603976	0.9243139327166079	0.9471096384695111	0.8969411691776416	0.9016074321530277	0.9280994834414757	0.8806627340785745	0.9133156132516576	0.9474789328337844	0.7989462448017187	0.9284941030078026	0.9408418399553068	0.9214268596825052	0.910873054211808	0.6892367135296301
