	ZeeviD_2015__PNP_Main_69__bin.47	CosteaPI_2017__SID713B072-11-90-0__bin.19	ZeeviD_2015__PNP_Main_376__bin.3	CM_madagascar__A55_01_1FE__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.133	LiJ_2014__O2.UC2-1__bin.2	BritoIL_2016__W2.47.ST__bin.15	QinN_2014__LD-54__bin.16	BritoIL_2016__W1.51.ST__bin.18	CosteaPI_2017__SID713B044-11-90-0__bin.48	ZellerG_2014__CCIS51595129ST-4-0__bin.22	NielsenHB_2014__V1_UC49_1__bin.72	LiJ_2014__MH0260__bin.48	NielsenHB_2014__V1_CD29_0__bin.39	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.30	ZeeviD_2015__PNP_Main_415__bin.78	QinJ_2012__CON-110__bin.17	ZeeviD_2015__PNP_Main_301__bin.17	BritoIL_2016__WL.30.ST__bin.64	CosteaPI_2017__SID713B072-11-0-0__bin.56	ZeeviD_2015__PNP_Main_593__bin.28	BritoIL_2016__W1.13.ST__bin.39	BritoIL_2016__W2.46.ST__bin.74	BritoIL_2016__W2.44.ST__bin.5	Obregon-TitoAJ_2015__SM25__bin.48	XieH_2016__YSZC12003_36703__bin.5	QinJ_2012__T2D-104__bin.43	CosteaPI_2017__SID713A074-11-0-0__bin.43	BritoIL_2016__W2.11.ST__bin.30	CosteaPI_2017__SID713A055-11-0-0__bin.74	LiJ_2014__O2.UC7-1__bin.37	CM_madagascar__A89_02_1FE__bin.24	BritoIL_2016__W3.16.ST__bin.21
ZeeviD_2015__PNP_Main_69__bin.47	1.0	0.9857169046175294	0.985251626569829	0.9806664177764374	0.9821190787884236	0.9846539080225768	0.9841565050826255	0.9853370655645627	0.9847647475074518	0.9887166484646737	0.985115145406027	0.9856955135581409	0.9849643891284474	0.9852355647941969	0.9875709096423329	0.9841842411513146	0.9850662054236466	0.9858518885397245	0.9847100001590414	0.9855094145798599	0.9856697359850782	0.9826973523731881	0.9842090775779051	0.984092999116452	0.9680901722019326	0.9858863447002018	0.9858571937485725	0.9782249556584434	0.9841386487891838	0.98551816210216	0.9853765378870152	0.9814857946021833	0.9850762087812132
CosteaPI_2017__SID713B072-11-90-0__bin.19	0.9857169046175294	1.0	0.9882761135260059	0.9807752571757102	0.9812796310530362	0.9874225720496602	0.9881544816603676	0.9886426705742071	0.9879079918214589	0.9884978659460295	0.9885531582744501	0.9883667109082465	0.9885474875078818	0.987612591318549	0.9854294627293361	0.9862667832999729	0.9879856305446008	0.9890668411058025	0.986553314373151	0.9996808325017595	0.9881129174252761	0.9861266950853732	0.9879837739202616	0.9879021924856713	0.9668828249826134	0.988974369703527	0.9886323379330031	0.978090695716907	0.988339004883003	0.9884943104014224	0.9882453280455061	0.9814141079651928	0.9879456499143613
ZeeviD_2015__PNP_Main_376__bin.3	0.985251626569829	0.9882761135260059	1.0	0.9795002699229268	0.9805522908647791	0.9878198769112296	0.9876972522985327	0.989332888939809	0.9877990601866966	0.987124142714982	0.9888144481482273	0.9883415248388705	0.9892897936918519	0.9877443074031417	0.9852795304365985	0.987336822794664	0.9922301577056875	0.9880585607251837	0.9871601656889242	0.9882199234703308	0.9892033397791387	0.9862253073420766	0.9870129974403361	0.9868996632416838	0.9669764021114436	0.989195294398489	0.9892373136178384	0.9776240990680436	0.987205858411291	0.989241533667529	0.9883204484896829	0.9798518939580972	0.9879783898849089
CM_madagascar__A55_01_1FE__bin.6	0.9806664177764374	0.9807752571757102	0.9795002699229268	1.0	0.9829746632965211	0.9803165785530906	0.9811570816262671	0.9793665465786875	0.9812487011908035	0.9806261102575298	0.9802638555474377	0.9806327429552677	0.9805277968857482	0.9804277831535121	0.9804895549769204	0.9813219206272914	0.980196627244053	0.9802665751676669	0.9814510013478653	0.980812556541974	0.9795981366221796	0.9803810453922478	0.9797228655174596	0.980447905062141	0.9702523084874007	0.9800435861847752	0.9805267287250435	0.9789195750038496	0.9806466994844917	0.9803466312348197	0.980776699975786	0.9903812871333255	0.9813918613471121
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.133	0.9821190787884236	0.9812796310530362	0.9805522908647791	0.9829746632965211	1.0	0.9806509354889119	0.9807364714400709	0.9805333754626165	0.9814035792295557	0.9821647203203347	0.980874092238986	0.9810694842751568	0.9801647186794029	0.9815429924809728	0.9822722166447091	0.9808796287515252	0.9807432878356398	0.9807505617498067	0.9806915849656167	0.9812949119677121	0.9806471545110702	0.9801908912010255	0.9805189741973359	0.9811463972940188	0.9708483880045673	0.9814514457340205	0.9809122249937907	0.9807581068363437	0.9810252278715459	0.9808050502728708	0.9814434676001617	0.9842430345618931	0.9809826800725376
LiJ_2014__O2.UC2-1__bin.2	0.9846539080225768	0.9874225720496602	0.9878198769112296	0.9803165785530906	0.9806509354889119	1.0	0.986492307789057	0.9876234606063069	0.9864250685700511	0.9869905919824309	0.9877376177824758	0.9977284462150126	0.9874466938201253	0.9876795543606677	0.9863741772400924	0.9864017054119814	0.9874230151609674	0.986812959047785	0.9860387600669628	0.9872486119224332	0.9878261092941222	0.9851012727713314	0.9863019874085167	0.9855516316287258	0.9668670034108043	0.9871905239782203	0.9878680316975238	0.977630112408108	0.9859535300200277	0.9921917035104828	0.9978219507605297	0.9809226681940881	0.9870118469256447
BritoIL_2016__W2.47.ST__bin.15	0.9841565050826255	0.9881544816603676	0.9876972522985327	0.9811570816262671	0.9807364714400709	0.986492307789057	1.0	0.9869258238622467	0.9992009680009917	0.9853875768701115	0.9867541159370631	0.9869836758203231	0.9867995019810049	0.9856072474831671	0.9835467574291427	0.9861022799527659	0.9869778096206014	0.990996865193246	0.9878395841696369	0.9879794172148533	0.987400772820158	0.9937441835508619	0.998683306911208	0.9951117496103138	0.9673784072520886	0.9873354072395674	0.9867908804997414	0.9775738551882612	0.9938015835203045	0.9869066010356823	0.9869068732169313	0.9814521884291881	0.9988231644854848
QinN_2014__LD-54__bin.16	0.9853370655645627	0.9886426705742071	0.989332888939809	0.9793665465786875	0.9805333754626165	0.9876234606063069	0.9869258238622467	1.0	0.9871016379306231	0.9867763177984672	0.9929555662930274	0.9882659745735721	0.989174152745872	0.9879043273023519	0.9855489183790094	0.987240211316847	0.9890820856630387	0.9878645087010638	0.9869516491245655	0.9888902200020754	0.9895704373536663	0.9850099205669287	0.9866477014361615	0.9868855790942598	0.9657951259509496	0.98972652335355	0.9888788524944191	0.976487112743756	0.9864746338674123	0.9884306459443348	0.9884096949937228	0.9803685821929895	0.9872454151890399
BritoIL_2016__W1.51.ST__bin.18	0.9847647475074518	0.9879079918214589	0.9877990601866966	0.9812487011908035	0.9814035792295557	0.9864250685700511	0.9992009680009917	0.9871016379306231	1.0	0.9856073972492747	0.9872198672355964	0.9871889617694991	0.9869012873589674	0.9861166287418142	0.9836986409919274	0.9862085106400239	0.9871496873663415	0.9909340162125605	0.9879019937240483	0.9877857052461676	0.987482681843657	0.9936773577831556	0.9992856843408576	0.9949950760287878	0.9679078399530122	0.9875148094534212	0.9873620014693006	0.9782254054588562	0.9942197078821198	0.9870608590372336	0.9871931595833691	0.9819556833042359	0.998359941533282
CosteaPI_2017__SID713B044-11-90-0__bin.48	0.9887166484646737	0.9884978659460295	0.987124142714982	0.9806261102575298	0.9821647203203347	0.9869905919824309	0.9853875768701115	0.9867763177984672	0.9856073972492747	1.0	0.9870690987077868	0.9874956518180517	0.9863407278099453	0.9866241753379261	0.9892139724183414	0.9853334300687007	0.9870619910009555	0.9866929683029577	0.9853676144166421	0.9884551316072958	0.9869796333972108	0.9837900294937799	0.9850850439519367	0.9854361859888308	0.9670724448550928	0.9869371253424915	0.9875636424667373	0.9780054376795285	0.9854541457369591	0.9873477473389254	0.9875260582716834	0.981338709848193	0.9862338801668247
