	BritoIL_2016__W1.2.ST__bin.95	BritoIL_2016__M1.48.ST__bin.81	CM_madagascar__A90_04_1FE__bin.17	CM_madagascar__V07_01_2FE__bin.37	Obregon-TitoAJ_2015__SM30__bin.20	RampelliS_2015__H10__bin.43	Obregon-TitoAJ_2015__SM02__bin.41	CM_madagascar__A88_02_1FE__bin.30	CM_madagascar__A72_02_1FE__bin.1	BritoIL_2016__M1.4.ST__bin.21	BritoIL_2016__M2.40.ST__bin.49	BritoIL_2016__M1.27.ST__bin.11	CM_madagascar__A81_01_1FE__bin.13	BritoIL_2016__W3.18.ST__bin.61	BritoIL_2016__M1.3.ST__bin.79	Obregon-TitoAJ_2015__SM37__bin.34	BritoIL_2016__M2.38.ST__bin.48	CM_madagascar__A40_02_1FE__bin.15	BritoIL_2016__M1.24.ST__bin.31	LeChatelierE_2013__MH0189__bin.74	BritoIL_2016__M2.39.ST__bin.19	Obregon-TitoAJ_2015__SM18__bin.32	CM_madagascar__A08_01_1FE__bin.3	RampelliS_2015__H11__bin.10	CM_madagascar__V50_02_1FE__bin.9	BritoIL_2016__M1.29.ST__bin.89	RampelliS_2015__H14__bin.29	Obregon-TitoAJ_2015__SM01__bin.40	Obregon-TitoAJ_2015__HCO70__bin.24	CM_madagascar__A45_02_1FE__bin.2	Obregon-TitoAJ_2015__SM03__bin.7	BritoIL_2016__M2.36.ST__bin.37	CM_madagascar__A32_01_1FE__bin.17	CM_madagascar__A81_03_1FE__bin.15	Obregon-TitoAJ_2015__SM23__bin.1	SchirmerM_2016__G89199__bin.16	BritoIL_2016__M1.1.ST__bin.111	RampelliS_2015__H13__bin.27	CM_madagascar__A73_01_1FE__bin.37	CM_madagascar__V18_02_1FE__bin.38	BritoIL_2016__M1.16.ST__bin.30	CM_madagascar__A56_01_1FE__bin.45	BritoIL_2016__M2.37.ST__bin.15	Obregon-TitoAJ_2015__SM40__bin.39	RampelliS_2015__H16__bin.3	CM_madagascar__A39_02_1FE__bin.22	CM_madagascar__A36_01_1FE__bin.38
BritoIL_2016__W1.2.ST__bin.95	1.0	0.42347228915380114	0.8105582269560925	0.6297116411701321	0.6157937811671539	0.8292511909912635	0.695540070421792	0.7466017322869729	0.8509217797507448	0.3517917925664323	0.8271640982528219	0.47310698929837336	0.7436457992568543	0.7734325992160505	0.5771450447376536	0.7829294574379647	0.7472601045187903	0.8342748701136526	0.824112604515859	0.8217353120848533	0.7104463681655041	0.8114868659722979	0.6570859729780117	0.43852573866081346	0.8257910726366899	0.7361627510227341	0.3044206500238609	0.7281526532459568	0.7903263251573234	0.8560580211781286	0.5220440376567811	0.8356009947693703	0.7896486062793352	0.7648245141939893	0.4406538697396176	0.8208160532607306	0.6379855568492404	0.7943914659012429	0.8137328357141433	0.7525393938754381	0.5286365539050325	0.8332237023383646	0.49455890232992245	0.7916934881534037	0.8018000588607054	0.8127995066018965	0.6548699025984305
BritoIL_2016__M1.48.ST__bin.81	0.4363879997921749	1.0	0.8527891457301003	0.677037380727122	0.24239172856108912	0.8508522641456999	0.7677343076947243	0.7299802203671013	0.6390386155948571	0.7775510228740519	0.8278483215102601	0.8087054550463438	0.7424086445574594	0.7750837039748967	0.286813739172252	0.8180001909091018	0.786762991183141	0.866090556161712	0.827758304243861	0.8329297659913559	0.8413539321837706	0.8416203591266029	0.6934616049172385	0.5625662291465033	0.8599476329083794	0.27549210445869415	0.608034010818988	0.8169145464277645	0.8240059737632897	0.8320308016128194	0.8103493274079014	0.8765941816222199	0.8061988668699003	0.8266043916343149	0.8194501334551285	0.8360888283135114	0.24947167718479155	0.7878105746726453	0.8474539613034501	0.7772235775157409	0.6336532873218232	0.8628759127086256	0.42175626707458386	0.8377768030941773	0.818279304849212	0.8356925106842641	0.8119460766367133
CM_madagascar__A90_04_1FE__bin.17	0.5942020701428058	0.6066578247512888	1.0	0.7024014997447132	0.448478938420042	0.8825560986008228	0.7685091430447706	0.7783488539605534	0.7357731404042297	0.5433832617900324	0.8611747656433998	0.631715887426315	0.8030764192477553	0.8106709827591245	0.4485240648514094	0.8583511403664095	0.8062034660537495	0.8800040914631106	0.85927644709721	0.8498716690247018	0.7835439806497863	0.8711361030361063	0.7172429383581543	0.5111569729361749	0.8742936639052156	0.4844769373851425	0.4757645277024716	0.7947452204662548	0.8518447685143004	0.8662495551823194	0.6543637688907836	0.8887835461295275	0.8468860183703255	0.8294285360641844	0.6095811579528244	0.8642184359952484	0.4436890900620424	0.8336201368749129	0.8653096360832664	0.825485775289282	0.6073592184273997	0.8757063360947844	0.42410937615502176	0.8504716356741201	0.8538432247605721	0.8782265398427709	0.7479736083438342
CM_madagascar__V07_01_2FE__bin.37	0.5625044841135385	0.5868797325399747	0.8558935522505928	1.0	0.4402637522852613	0.8750926280387888	0.7650895330185246	0.7864781654437584	0.7017128397256063	0.5358993547589733	0.8419408238409778	0.6284168945163677	0.7820079297456585	0.7834412750017151	0.42258338356413316	0.8423016476924293	0.797602956556075	0.8633577356391845	0.8340194572559896	0.8433228472720093	0.766130632897604	0.8640202061356812	0.7743096559919016	0.5292730787177294	0.8486268007807202	0.45993257988006403	0.49170131326265937	0.7683945538117191	0.8382362259815168	0.8559836272904329	0.6537091277960576	0.8513583787330736	0.9369369982702451	0.8270271204423731	0.6105940815461904	0.8496040102245644	0.43491737971709105	0.8064612082938164	0.8590802186309746	0.8370123575622971	0.608843378882326	0.8599464053512953	0.40595301748765	0.8406740126702066	0.8491321636495892	0.8663888654682148	0.7605030376759802
Obregon-TitoAJ_2015__SM30__bin.20	0.8645721270387396	0.33024475164724815	0.858930533663126	0.6919816775797285	1.0	0.9019306036274441	0.8026611134203909	0.7763183129545108	0.8807915022162227	0.262741531230837	0.8529037249826118	0.4203448006222709	0.7876657022565551	0.8346199908634832	0.7657569933451587	0.871651692930723	0.7791926117679983	0.8940567369465102	0.8597240113424507	0.8557936628789905	0.6819784262967064	0.8975763537066684	0.6854733497680888	0.4289216029236854	0.8816878685987793	0.857113107609237	0.23875447051415544	0.7890946205670403	0.8530362456323745	0.8636230816401282	0.4710401224787123	0.8686193570690712	0.8570875912108354	0.8083455084965492	0.40510657211880763	0.8591313724118347	0.7876558249410448	0.8711528884974545	0.8619661619632811	0.8372539416662208	0.522360184541178	0.8884982776431078	0.5276964042455994	0.8655466888357526	0.848049024409316	0.8754363509904066	0.6799840316732584
RampelliS_2015__H10__bin.43	0.48099971027227606	0.47892230808258734	0.6983145463720783	0.5682356397745837	0.3726197779298206	1.0	0.6147399999727955	0.6196021208613484	0.5920463618767284	0.42582324160435703	0.6938540316360912	0.49483012841875307	0.6386330156303346	0.6530976382429713	0.3573828881093294	0.7068499523241468	0.641077678315172	0.7149371644497281	0.6861874687998608	0.6917851308467531	0.621029676008232	0.7058627697154276	0.577165510702923	0.5211586252487509	0.7021476577621866	0.3874856666390088	0.38492980563758467	0.6365233081193133	0.6985294617729433	0.6969097749781343	0.5289523690342274	0.7121609471512147	0.7040339484719923	0.6625076682631162	0.48243882732363674	0.6946756069659794	0.3651881937992826	0.688043154468404	0.7130927006296477	0.6585820616371929	0.4798724245857778	0.7156145560296693	0.3321928988142927	0.6878224581153008	0.6958896069360545	0.7003423003837193	0.6037670725121842
Obregon-TitoAJ_2015__SM02__bin.41	0.5851387142117334	0.6267579097926069	0.8819333678577593	0.7205509111982442	0.4809533673645533	0.8915987275282976	1.0	0.7801686764814678	0.7371043870681365	0.5645927350743508	0.8714088431851249	0.6564928115212941	0.8064264753027052	0.8091987867130281	0.43369386698231854	0.8812083549110996	0.8276397622746664	0.8923602377253336	0.8675125151044364	0.8694720228847623	0.7975818105595424	0.8741855934502232	0.7225079529481394	0.5181997977855047	0.8834588542822618	0.4708155162634706	0.4898947005006042	0.8023673892135829	0.875938941086533	0.8696929792113635	0.6753135557692782	0.8853207072575275	0.8751483317304136	0.816583068235062	0.712896845947079	0.8655806268649355	0.43156913516312795	0.8435796897733718	0.8842243101279871	0.8486567532243348	0.6403112130403689	0.8865704914798648	0.4304934526892062	0.8685684693349115	0.8669714680279155	0.8799990135878276	0.7679396315750536
CM_madagascar__A88_02_1FE__bin.30	0.6141779941596193	0.5827315715735992	0.8734330200940923	0.7242819490763179	0.4548614778429656	0.8787380726743976	0.7628815116506189	1.0	0.8394430659345694	0.5250521462554769	0.8831243866032954	0.6223424700807092	0.8201886187331052	0.8293702179170916	0.46299894622364657	0.8603941654067166	0.8224017902141071	0.8859929732167185	0.864753954072713	0.8758738265585401	0.7971391298266935	0.8821183557230666	0.7382356841950427	0.5015956151329036	0.8875541055078502	0.4931750498554373	0.4631470054183878	0.8112500874127982	0.8603425617134356	0.9681036124996685	0.6407736695772115	0.8861940829372629	0.8487495749929467	0.8367702839891102	0.5855442139961755	0.8800566193793571	0.48440338655265625	0.8267818345354101	0.8698366767221527	0.8398245474428441	0.6174256508937809	0.8829623413608424	0.41424454845562686	0.8742090046033388	0.8562923952071261	0.8828461124815831	0.7702434777995607
CM_madagascar__A72_02_1FE__bin.1	0.6851825975301182	0.49933957098077725	0.8081847879451641	0.6325456021753088	0.5051540843687451	0.8218899882926093	0.7055194682578647	0.8216799161599758	1.0	0.4390998527134711	0.815711035159938	0.5372644359681257	0.7578769968654405	0.7687214396314059	0.4877398126817478	0.80173392122059	0.7498154197666075	0.8276624872540504	0.8194394614600249	0.8210770799501491	0.7277106386192833	0.8284791721741758	0.6602293326787265	0.45195532308621933	0.8300374825333283	0.5494151025340837	0.36205153140224333	0.7741762339967521	0.7941330865969258	0.9493707277465161	0.570077703085464	0.8416112768609086	0.7819465425431474	0.769545677706862	0.5080875410702821	0.8150930926394501	0.527521337663809	0.7660905812153026	0.807162751614487	0.7558060160882208	0.5485427130933949	0.8235040031723252	0.4528574530760225	0.828769024509989	0.7935817062577892	0.8172863401185846	0.7022281808225387
BritoIL_2016__M1.4.ST__bin.21	0.4370689830987475	0.9374440970896981	0.9209172301874259	0.7453551419023451	0.2325022069813448	0.9120842061713899	0.8338019223317378	0.7929785944660854	0.6775024837644839	1.0	0.9000616206672513	0.91937015811601	0.7987990525276127	0.8584021163712857	0.22580114151193517	0.8882793994679936	0.8606775651241592	0.9316454903286144	0.8831676519175244	0.8883908411002567	0.9105458746201515	0.9134047530948726	0.7555786370032834	0.6034746481212252	0.921301084698554	0.25702155120925096	0.6729960172363058	0.9016159765054818	0.9008103918957897	0.8887470172974895	0.874728679686157	0.9451088049086762	0.8773792424299811	0.8819694722765268	0.9097446602705482	0.8929067765252936	0.20938571624192595	0.8486710039070126	0.9097854493647098	0.840645749630713	0.7005723583962893	0.9317365374137965	0.43002339545900836	0.9008657485235805	0.8977177045063209	0.9034893613301906	0.8749872534080745
