	BritoIL_2016__W1.2.ST__bin.95	BritoIL_2016__M1.48.ST__bin.81	CM_madagascar__A90_04_1FE__bin.17	CM_madagascar__V07_01_2FE__bin.37	Obregon-TitoAJ_2015__SM30__bin.20	RampelliS_2015__H10__bin.43	Obregon-TitoAJ_2015__SM02__bin.41	CM_madagascar__A88_02_1FE__bin.30	CM_madagascar__A72_02_1FE__bin.1	BritoIL_2016__M1.4.ST__bin.21	BritoIL_2016__M2.40.ST__bin.49	BritoIL_2016__M1.27.ST__bin.11	CM_madagascar__A81_01_1FE__bin.13	BritoIL_2016__W3.18.ST__bin.61	BritoIL_2016__M1.3.ST__bin.79	Obregon-TitoAJ_2015__SM37__bin.34	BritoIL_2016__M2.38.ST__bin.48	CM_madagascar__A40_02_1FE__bin.15	BritoIL_2016__M1.24.ST__bin.31	LeChatelierE_2013__MH0189__bin.74	BritoIL_2016__M2.39.ST__bin.19	Obregon-TitoAJ_2015__SM18__bin.32	CM_madagascar__A08_01_1FE__bin.3	RampelliS_2015__H11__bin.10	CM_madagascar__V50_02_1FE__bin.9	BritoIL_2016__M1.29.ST__bin.89	RampelliS_2015__H14__bin.29	Obregon-TitoAJ_2015__SM01__bin.40	Obregon-TitoAJ_2015__HCO70__bin.24	CM_madagascar__A45_02_1FE__bin.2	Obregon-TitoAJ_2015__SM03__bin.7	BritoIL_2016__M2.36.ST__bin.37	CM_madagascar__A32_01_1FE__bin.17	CM_madagascar__A81_03_1FE__bin.15	Obregon-TitoAJ_2015__SM23__bin.1	SchirmerM_2016__G89199__bin.16	BritoIL_2016__M1.1.ST__bin.111	RampelliS_2015__H13__bin.27	CM_madagascar__A73_01_1FE__bin.37	CM_madagascar__V18_02_1FE__bin.38	BritoIL_2016__M1.16.ST__bin.30	CM_madagascar__A56_01_1FE__bin.45	BritoIL_2016__M2.37.ST__bin.15	Obregon-TitoAJ_2015__SM40__bin.39	RampelliS_2015__H16__bin.3	CM_madagascar__A39_02_1FE__bin.22	CM_madagascar__A36_01_1FE__bin.38
BritoIL_2016__W1.2.ST__bin.95	1.0	0.4282837414303151	0.8184762815980564	0.6359981286516795	0.6214412430630548	0.8413510525161779	0.702319604249696	0.7535794226726278	0.8595820420912669	0.3556423614164559	0.8348746161449521	0.4776839367728153	0.7514448427117666	0.7811847417105484	0.5820403324809084	0.7903960903359398	0.7537658539902751	0.8427387346824394	0.8323185138023664	0.830755539296556	0.7175043764458686	0.8198053375637999	0.6632651745126111	0.4461946319505758	0.8346371800328541	0.7373112382908821	0.3085555559463969	0.7348723883493324	0.7979911146130495	0.8648924033341893	0.5283404915924166	0.8440367187619084	0.7971937982860045	0.7727372924779067	0.4456669961459136	0.8292793315675122	0.6440639213189489	0.8038859790751365	0.8220331331834848	0.759823113027797	0.5328828496085528	0.8416934295272032	0.4990215287133542	0.7998026642090563	0.8120256407550586	0.8214527337983564	0.6615450817894123
BritoIL_2016__M1.48.ST__bin.81	0.4413461991568584	1.0	0.8619527826209886	0.6835597056133318	0.24476963433657276	0.8631961083542065	0.7753011953568006	0.7367309112043102	0.645764536580238	0.7837519438292258	0.8350944093840281	0.8156319514172584	0.7504117232687988	0.7825345962332909	0.2869563168559446	0.826018373188629	0.7933946659030302	0.8745896360523381	0.8354436038805295	0.8414524074483548	0.8489159867040269	0.8503103481191224	0.7005028884063802	0.5720585196811576	0.8692629096238729	0.2785520873735378	0.6146650813961497	0.8253217966238088	0.8328820387158825	0.840479737657062	0.8190175672622305	0.8847041935963288	0.8144417902440616	0.8355106637232833	0.828492337657787	0.8450247033961279	0.25227127458407794	0.7972527213609161	0.8565052276470212	0.78494029257424	0.6391443405721715	0.871202811921911	0.42562761367247487	0.8470836218114857	0.8279872743375877	0.8441879657185251	0.8196253348461067
CM_madagascar__A90_04_1FE__bin.17	0.6000066185432672	0.6131766600939661	1.0	0.7092650150679303	0.4526701094552337	0.8942743583881011	0.7761978273987062	0.7855742402857835	0.7428945210495462	0.5490051555873399	0.8693684362531138	0.6378414781527904	0.8112008959960392	0.8185517767780244	0.45263787628997126	0.8668469431785167	0.8137271166015414	0.8885604926259113	0.8677339998865392	0.8580481486129424	0.7913873841969816	0.8797685744689264	0.7239354030177119	0.5191391939817672	0.8831251214115892	0.48906092326099926	0.48139759566373674	0.8025426380310091	0.8604828270290993	0.8750096699495787	0.6615736832966878	0.8975681581023863	0.8551742395981426	0.8380579990682466	0.6163359400652227	0.8730335620312223	0.4479748117153373	0.8432208925922169	0.8740340794809687	0.8336377576719232	0.6130610504745582	0.8841428298828088	0.4282227578180468	0.8589674384862274	0.8633094607348474	0.886846118009486	0.7553429694739032
CM_madagascar__V07_01_2FE__bin.37	0.5681200344170443	0.5925335123662032	0.864256914961307	1.0	0.4447481276698477	0.8867583930822369	0.7724992524295385	0.7933757139887061	0.7083941034365199	0.5411430836770935	0.8498255319795195	0.6341052380206743	0.789647549985101	0.7910746109360525	0.426287457731502	0.8503984511282684	0.8050262919614835	0.87200179731126	0.8420230434994362	0.8517422450365773	0.7737435448403498	0.8728433705032523	0.7816638640411538	0.5377270401603754	0.8569351758217645	0.46423052087986555	0.4972021749979969	0.775338710952863	0.8462141513124509	0.8640909045681138	0.6611759296451096	0.8590686974049486	0.9380210409008761	0.8344876379863201	0.617003549061308	0.857703432120864	0.43930539575673244	0.8154681885857119	0.8678321608740212	0.8452222784900281	0.6142934424847305	0.8685506664243718	0.4097953463673312	0.8490436596860257	0.8585994692904338	0.8751151467987488	0.7679567472227299
Obregon-TitoAJ_2015__SM30__bin.20	0.8725011420646058	0.33348451113461547	0.8669574987344689	0.6990299653059293	1.0	0.9134179215658838	0.8028035113856639	0.7826035780575435	0.8889378181833147	0.2656816788143929	0.8597429428638453	0.4241064116124306	0.794439894477346	0.8423843839641783	0.7722488589642812	0.8795486066811808	0.7852424675180364	0.9030286318683354	0.8670801420687214	0.8631588478111457	0.6879673719344311	0.9059556096978776	0.6912030158736692	0.43568427160971435	0.8901280347023018	0.8647976590762241	0.24169626431696306	0.7962828369296365	0.8598960412542545	0.8716467542729679	0.4759721953568386	0.8760182894958866	0.865424868611126	0.8161806890250678	0.40519876039690345	0.8670842576168507	0.7937929303114235	0.8805865479193846	0.8697363168313572	0.8448520666224931	0.5265070108362382	0.8973606989846943	0.5321905828027705	0.8732090163428416	0.8564636741144369	0.8835513887917162	0.6859902626131261
RampelliS_2015__H10__bin.43	0.4880181263457717	0.48587033256117945	0.7075865136505285	0.5758107275430409	0.37736559966157623	1.0	0.622829252434461	0.6272992887388411	0.6001097700813278	0.43179156470653846	0.7027118106894568	0.5012745299405718	0.6470310389527363	0.6615769349527254	0.36181653842020856	0.7165452893400601	0.6489764994089826	0.7243754191190372	0.69532171339263	0.7010693401417082	0.6295001312616214	0.7154996170969282	0.5846134175221342	0.5221917154193638	0.7115580278383455	0.39254604018373906	0.39048462062670963	0.6446455460143394	0.7079479931934388	0.706480991548928	0.5371038517464597	0.7217433855704711	0.713223622195048	0.6717038030504384	0.48932020082347966	0.7041097809631203	0.370096902361757	0.6976497368646564	0.7230454600481792	0.6670589779548487	0.48567480035311417	0.7251218420698258	0.33632287910464614	0.6969985295977954	0.7059603657914532	0.7098716900647875	0.6119141344962342
Obregon-TitoAJ_2015__SM02__bin.41	0.5908421493921235	0.6329353160217998	0.8907568247392172	0.727529284111366	0.48103869201745947	0.9033311139059456	1.0	0.7867707331508471	0.7438475006781584	0.5701708959088555	0.8790974328623216	0.6627570220216518	0.813819141328204	0.8171112919533428	0.43722867500184953	0.8891908954156494	0.8346763335059555	0.9010944243051959	0.8754146630169416	0.8772809548469828	0.804956227959853	0.8822648023476609	0.7292569850311953	0.526114275850164	0.892038174151069	0.47510640921308966	0.4951463589060689	0.8095050676925353	0.8837473798426673	0.87794974229982	0.6818051342753569	0.893483761189613	0.8837833838869572	0.8248891519321349	0.7130472738033587	0.8735587285147098	0.43533525683706936	0.8530423417424972	0.8929742793026066	0.8570087050874208	0.645733520751646	0.8953332840127247	0.43420038963280805	0.8761914626026485	0.8762738280190377	0.8884259327760105	0.7750146728810634
CM_madagascar__A88_02_1FE__bin.30	0.6199180610515096	0.5881205404401747	0.881541069546828	0.7306340261249725	0.45854414888871203	0.8896544240521439	0.7693372783633431	1.0	0.8402730655246335	0.5299072339214708	0.8908707279255557	0.627696714966759	0.8277565173776643	0.8373176689598962	0.46685379033949925	0.8679852133716262	0.8293866153523399	0.8938540965857164	0.8725041536150316	0.883796199170965	0.804668928548176	0.8904955160248759	0.744718940725683	0.5090569304483493	0.8955406210287461	0.4973390338534696	0.46797170960142176	0.8182686719765421	0.8682620406608167	0.9688029148852542	0.6475795697602358	0.8938651889683843	0.8561597688926185	0.8444553760679433	0.591115966038018	0.8880648373880815	0.4891625009946974	0.8354454676765558	0.8780546854465529	0.8473104589111621	0.6223386118606508	0.8908306988924497	0.41786307659290234	0.8824602904757426	0.8660083578692015	0.891253173988845	0.7778803421276637
CM_madagascar__A72_02_1FE__bin.1	0.692156048189131	0.5045951508742778	0.8160070244344575	0.6385682994070773	0.5098261830129537	0.8330837644926168	0.711973639487896	0.8224923524302278	1.0	0.4437837531628838	0.8233826806148269	0.5424227689867442	0.7654084368745043	0.7766701914724876	0.49203708599267343	0.8092209864420862	0.7564027153593413	0.8358165905056838	0.8274878205370293	0.8294280373125873	0.7351462479700895	0.8374046414139507	0.6665673741455493	0.459231844102874	0.8386258922164734	0.5546975905434496	0.36635163714641794	0.7814168775255863	0.8019605158805091	0.9497804864232033	0.5770129158956154	0.8497436647909664	0.7892518599645002	0.7774486385437517	0.5133690849352317	0.8231518373050342	0.5330346689829676	0.7748423278824729	0.8156090675629745	0.76285499830054	0.5528971071415084	0.8315060991729295	0.45713348313758073	0.8378767136221157	0.8034555685637675	0.8256948902904189	0.7098073001246271
BritoIL_2016__M1.4.ST__bin.21	0.4418529611425608	0.9449201553481786	0.9304451255575723	0.7526483776137797	0.23510396848751125	0.9248679453076517	0.8420398625990229	0.8003111625183187	0.6847294371979058	1.0	0.9081495153381561	0.9277246386523283	0.8071156574764953	0.8668002995084915	0.22774008023797523	0.8967635310536114	0.868362667490218	0.9408121108647579	0.89174064545828	0.8974401929906856	0.9187437541699565	0.9224402658283537	0.763045226364905	0.6130498879756664	0.9305631225799684	0.25979957987233016	0.6799206943469229	0.91061507040489	0.9098706694364403	0.8977643206139342	0.8838057098904812	0.9540270489964426	0.8859638899976401	0.8908287178530951	0.9192426921967549	0.9014142161647181	0.2115271436854112	0.8582957733757929	0.9193483068155662	0.8490679691984069	0.7066878090138071	0.9409526875642792	0.4336368721757194	0.9102843873915083	0.9078887564861944	0.9123850257408319	0.8835668023389632
BritoIL_2016__M2.40.ST__bin.49	0.6096863852531027	0.5917973466133957	0.8660424226752041	0.6947535076798195	0.4471857216495728	0.8847157978740712	0.7631072400429502	0.7908510051666886	0.7467414926027472	0.5337996824978208	1.0	0.6477793685234436	0.790845439459664	0.82863402136889	0.44117261740644903	0.8719155279800936	0.8597698708584718	0.9000343361310287	0.8466330897551603	0.8890570493532648	0.8678140300342676	0.864609039050713	0.7154185497308767	0.505051949453105	0.8788080139331054	0.4870875597029111	0.4663060659356467	0.7896496687119926	0.8527476611186557	0.8852997689803453	0.6421464448832315	0.9075664502605607	0.8375751156382667	0.8213236792577231	0.5965620199577691	0.8569853048209298	0.5277018082553991	0.8313282517001094	0.8764883984977728	0.8143224479520766	0.6657861432732864	0.9009222804671084	0.4557432102655613	0.8790631801936181	0.8743396074549649	0.8900306199512615	0.7490131573314062
BritoIL_2016__M1.27.ST__bin.11	0.4932794283064353	0.8173325487318637	0.8984940010679298	0.7330429823573642	0.3119329650065323	0.8924199991040045	0.8135233570287821	0.7879469231635422	0.695622456553299	0.7710937320271172	0.9159973943482056	1.0	0.7929420981066646	0.8306320279647462	0.3392051309061542	0.9071912114948959	0.8553518174784507	0.9141751332187912	0.8794982909491135	0.9067226300616179	0.9307795039817314	0.885871967085484	0.7503387226252184	0.57533445453852	0.9029715569859196	0.34461924428833135	0.598104848425409	0.8157100703840794	0.8875113966995885	0.8809106946750018	0.8267526095869098	1.0114366561447734	0.858058571468355	0.8732911004641014	0.7900180046664415	0.8829527168642095	0.3502688591918847	0.83398958950087	0.8951812393070807	0.8248159274098344	0.6846616466702264	0.9168691737589554	0.4993019710690316	0.9160579345850632	0.8698984255906003	0.9188645799657826	0.8635314088802841
CM_madagascar__A81_01_1FE__bin.13	0.5905340835741761	0.5722682714559713	0.869613633337526	0.6946993392775775	0.4446752665165632	0.8766258328138685	0.760219635724991	0.7907609434310848	0.7470065694449628	0.5105277440298401	0.8510483514650752	0.6034439943183677	1.0	0.7982232689841939	0.4517584172885271	0.8349847938473248	0.7954317501519234	0.863911268493985	0.8511732073164607	0.8701172032473579	0.7633613038083799	0.8605314067752958	0.721781540960782	0.5047470563274964	0.8509691071608747	0.47604403218977354	0.46231403504164703	0.7923757764905186	0.8531658329889431	0.863451006517844	0.6223640326689251	0.8807064537574931	0.8487525702567561	0.8175187963343059	0.575364788714874	0.8529050639413998	0.4662108276284345	0.8202384424255575	0.8571096192910123	0.8467972631228798	0.602830311683513	0.8621314967083666	0.40175387916994354	0.8745336910384367	0.8335662286575969	0.8549935199352409	0.7478824032954573
