	BritoIL_2016__W1.2.ST__bin.95	BritoIL_2016__M1.48.ST__bin.81	CM_madagascar__A90_04_1FE__bin.17	CM_madagascar__V07_01_2FE__bin.37	Obregon-TitoAJ_2015__SM30__bin.20	RampelliS_2015__H10__bin.43	Obregon-TitoAJ_2015__SM02__bin.41	CM_madagascar__A88_02_1FE__bin.30	CM_madagascar__A72_02_1FE__bin.1	BritoIL_2016__M1.4.ST__bin.21	BritoIL_2016__M2.40.ST__bin.49	BritoIL_2016__M1.27.ST__bin.11	CM_madagascar__A81_01_1FE__bin.13	BritoIL_2016__W3.18.ST__bin.61	BritoIL_2016__M1.3.ST__bin.79	Obregon-TitoAJ_2015__SM37__bin.34	BritoIL_2016__M2.38.ST__bin.48	CM_madagascar__A40_02_1FE__bin.15	BritoIL_2016__M1.24.ST__bin.31	LeChatelierE_2013__MH0189__bin.74	BritoIL_2016__M2.39.ST__bin.19	Obregon-TitoAJ_2015__SM18__bin.32	CM_madagascar__A08_01_1FE__bin.3	RampelliS_2015__H11__bin.10	CM_madagascar__V50_02_1FE__bin.9	BritoIL_2016__M1.29.ST__bin.89	RampelliS_2015__H14__bin.29	Obregon-TitoAJ_2015__SM01__bin.40	Obregon-TitoAJ_2015__HCO70__bin.24	CM_madagascar__A45_02_1FE__bin.2	Obregon-TitoAJ_2015__SM03__bin.7	BritoIL_2016__M2.36.ST__bin.37	CM_madagascar__A32_01_1FE__bin.17	CM_madagascar__A81_03_1FE__bin.15	Obregon-TitoAJ_2015__SM23__bin.1	SchirmerM_2016__G89199__bin.16	BritoIL_2016__M1.1.ST__bin.111	RampelliS_2015__H13__bin.27	CM_madagascar__A73_01_1FE__bin.37	CM_madagascar__V18_02_1FE__bin.38	BritoIL_2016__M1.16.ST__bin.30	CM_madagascar__A56_01_1FE__bin.45	BritoIL_2016__M2.37.ST__bin.15	Obregon-TitoAJ_2015__SM40__bin.39	RampelliS_2015__H16__bin.3	CM_madagascar__A39_02_1FE__bin.22	CM_madagascar__A36_01_1FE__bin.38
BritoIL_2016__W1.2.ST__bin.95	0.0	8207.0	13506.0	10723.0	9633.0	20639.0	11564.0	11902.0	14772.0	6568.0	13152.0	7807.0	13303.0	13223.0	8350.0	12736.0	11097.0	14437.0	13997.0	15386.0	12039.0	14189.0	10540.0	13081.0	15089.0	1959.0	7053.0	11462.0	13074.0	15069.0	10740.0	14389.0	12870.0	13497.0	8551.0	14436.0	10368.0	16195.0	14158.0	12424.0	7243.0	14447.0	7612.0	13832.0	17442.0	14760.0	11386.0
BritoIL_2016__M1.48.ST__bin.81	8207.0	0.0	15168.0	10796.0	3936.0	20432.0	12525.0	11174.0	11133.0	10264.0	11994.0	11465.0	13247.0	12333.0	236.0	13272.0	10977.0	14068.0	12721.0	14107.0	12517.0	14384.0	11655.0	15712.0	15419.0	5065.0	10976.0	13916.0	14692.0	13985.0	14348.0	13424.0	13644.0	14742.0	14967.0	14791.0	4634.0	15629.0	14982.0	12773.0	9089.0	13783.0	6408.0	15405.0	16069.0	14062.0	12711.0
CM_madagascar__A90_04_1FE__bin.17	13506.0	15168.0	0.0	15970.0	9752.0	27266.0	17890.0	16812.0	16570.0	13081.0	19065.0	14253.0	18904.0	18337.0	9572.0	19768.0	17506.0	19909.0	19679.0	19025.0	18250.0	20086.0	15572.0	18573.0	20549.0	10666.0	13107.0	18143.0	20099.0	20383.0	16776.0	20440.0	19285.0	20079.0	15717.0	20511.0	9972.0	22339.0	20300.0	18968.0	13267.0	19630.0	9571.0	19768.0	22026.0	20056.0	17147.0
CM_madagascar__V07_01_2FE__bin.37	10723.0	10796.0	15970.0	0.0	8563.0	22276.0	14149.0	13171.0	12758.0	10013.0	15056.0	10862.0	14588.0	14576.0	7073.0	15461.0	14175.0	16506.0	15283.0	16077.0	14537.0	16848.0	14043.0	16143.0	15865.0	8207.0	10504.0	13260.0	15234.0	15481.0	14258.0	14723.0	2070.0	14246.0	12239.0	15466.0	8379.0	17199.0	16712.0	15677.0	10407.0	16430.0	7337.0	15982.0	18078.0	16663.0	14233.0
Obregon-TitoAJ_2015__SM30__bin.20	9633.0	3936.0	9752.0	8563.0	0.0	13956.0	173.0	7636.0	9897.0	3572.0	8309.0	4570.0	8230.0	9433.0	7887.0	9594.0	7350.0	10900.0	8937.0	8948.0	7276.0	10180.0	6961.0	8216.0	10254.0	9336.0	3574.0	8733.0	8334.0	9748.0	5992.0	8989.0	10129.0	9519.0	112.0	9662.0	7456.0	11461.0	9440.0	9231.0	5038.0	10767.0	5460.0	9309.0	10223.0	9859.0	7297.0
RampelliS_2015__H10__bin.43	20639.0	20432.0	27266.0	22276.0	13956.0	0.0	23788.0	22635.0	23712.0	17551.0	26048.0	18951.0	24696.0	24935.0	13038.0	28511.0	23228.0	27755.0	26861.0	27302.0	24909.0	28339.0	21902.0	3038.0	27673.0	14881.0	16335.0	23885.0	27697.0	28146.0	23971.0	28179.0	27024.0	27043.0	20236.0	27743.0	14435.0	28250.0	29268.0	24928.0	17063.0	27958.0	12145.0	26984.0	29615.0	28023.0	23958.0
Obregon-TitoAJ_2015__SM02__bin.41	11564.0	12525.0	17890.0	14149.0	173.0	23788.0	0.0	13386.0	13672.0	11310.0	15589.0	12701.0	14989.0	16043.0	7167.0	16185.0	14267.0	17709.0	16022.0	15833.0	14952.0	16381.0	13684.0	16047.0	17395.0	8700.0	10648.0	14472.0	15832.0	16741.0	13162.0	16551.0	17508.0	16841.0	305.0	16176.0	7636.0	19186.0	17741.0	16934.0	10994.0	17767.0	7516.0	15456.0	18861.0	17086.0	14345.0
CM_madagascar__A88_02_1FE__bin.30	11902.0	11174.0	16812.0	13171.0	7636.0	22635.0	13386.0	0.0	1721.0	10067.0	16062.0	11102.0	15692.0	16479.0	7993.0	15740.0	14483.0	16300.0	16070.0	16427.0	15613.0	17370.0	13443.0	15471.0	16560.0	8634.0	10004.0	14553.0	16421.0	1450.0	14112.0	15906.0	15365.0	15935.0	11553.0	16605.0	9868.0	17964.0	17040.0	15522.0	10187.0	16315.0	7503.0	17109.0	20146.0	17432.0	15835.0
CM_madagascar__A72_02_1FE__bin.1	14772.0	11133.0	16570.0	12758.0	9897.0	23712.0	13672.0	1721.0	0.0	9922.0	16251.0	10927.0	15954.0	16838.0	9103.0	15860.0	13954.0	17273.0	17049.0	17690.0	15751.0	18907.0	13426.0	15414.0	18193.0	11190.0	9109.0	15338.0	16581.0	868.0	14691.0	17227.0	15475.0	16741.0	11188.0	17071.0	11679.0	18539.0	17892.0	14932.0	9224.0	16951.0	9058.0	19293.0	20916.0	17812.0	16055.0
BritoIL_2016__M1.4.ST__bin.21	6568.0	10264.0	13081.0	10013.0	3572.0	17551.0	11310.0	10067.0	9922.0	0.0	11104.0	11470.0	11418.0	11530.0	2662.0	11648.0	10551.0	12585.0	11770.0	12424.0	11255.0	12405.0	10251.0	13146.0	12716.0	3814.0	9507.0	12355.0	12439.0	12380.0	12462.0	12244.0	11786.0	12163.0	13040.0	11680.0	2940.0	13214.0	13129.0	11563.0	8396.0	12653.0	4961.0	12931.0	13964.0	12213.0	11779.0
