	BritoIL_2016__W1.2.ST__bin.95	BritoIL_2016__M1.48.ST__bin.81	CM_madagascar__A90_04_1FE__bin.17	CM_madagascar__V07_01_2FE__bin.37	Obregon-TitoAJ_2015__SM30__bin.20	RampelliS_2015__H10__bin.43	Obregon-TitoAJ_2015__SM02__bin.41	CM_madagascar__A88_02_1FE__bin.30	CM_madagascar__A72_02_1FE__bin.1	BritoIL_2016__M1.4.ST__bin.21	BritoIL_2016__M2.40.ST__bin.49	BritoIL_2016__M1.27.ST__bin.11	CM_madagascar__A81_01_1FE__bin.13	BritoIL_2016__W3.18.ST__bin.61	BritoIL_2016__M1.3.ST__bin.79	Obregon-TitoAJ_2015__SM37__bin.34	BritoIL_2016__M2.38.ST__bin.48	CM_madagascar__A40_02_1FE__bin.15	BritoIL_2016__M1.24.ST__bin.31	LeChatelierE_2013__MH0189__bin.74	BritoIL_2016__M2.39.ST__bin.19	Obregon-TitoAJ_2015__SM18__bin.32	CM_madagascar__A08_01_1FE__bin.3	RampelliS_2015__H11__bin.10	CM_madagascar__V50_02_1FE__bin.9	BritoIL_2016__M1.29.ST__bin.89	RampelliS_2015__H14__bin.29	Obregon-TitoAJ_2015__SM01__bin.40	Obregon-TitoAJ_2015__HCO70__bin.24	CM_madagascar__A45_02_1FE__bin.2	Obregon-TitoAJ_2015__SM03__bin.7	BritoIL_2016__M2.36.ST__bin.37	CM_madagascar__A32_01_1FE__bin.17	CM_madagascar__A81_03_1FE__bin.15	Obregon-TitoAJ_2015__SM23__bin.1	SchirmerM_2016__G89199__bin.16	BritoIL_2016__M1.1.ST__bin.111	RampelliS_2015__H13__bin.27	CM_madagascar__A73_01_1FE__bin.37	CM_madagascar__V18_02_1FE__bin.38	BritoIL_2016__M1.16.ST__bin.30	CM_madagascar__A56_01_1FE__bin.45	BritoIL_2016__M2.37.ST__bin.15	Obregon-TitoAJ_2015__SM40__bin.39	RampelliS_2015__H16__bin.3	CM_madagascar__A39_02_1FE__bin.22	CM_madagascar__A36_01_1FE__bin.38
BritoIL_2016__W1.2.ST__bin.95	1705722.0	730533.0	1396093.0	1084836.0	1060006.0	1435111.0	1197962.0	1285397.0	1466208.0	606627.0	1424064.0	814796.0	1281756.0	1332484.0	992799.0	1348196.0	1285715.0	1437478.0	1419704.0	1417038.0	1223863.0	1398360.0	1131346.0	761084.0	1423659.0	1257648.0	526310.0	1253488.0	1361151.0	1475266.0	901202.0	1439692.0	1359791.0	1318075.0	760184.0	1414520.0	1098594.0	1371206.0	1402160.0	1296047.0	908950.0	1435695.0	851192.0	1364241.0	1385090.0	1401170.0	1128412.0
BritoIL_2016__M1.48.ST__bin.81	730533.0	1655238.0	1426737.0	1131454.0	405152.0	1428795.0	1283308.0	1219465.0	1068894.0	1297296.0	1382280.0	1350065.0	1242110.0	1295281.0	474981.0	1367257.0	1313257.0	1447654.0	1382858.0	1392804.0	1405158.0	1407466.0	1159499.0	946893.0	1438837.0	461070.0	1017417.0	1366104.0	1378618.0	1391194.0	1355669.0	1464396.0	1348095.0	1382969.0	1371352.0	1398717.0	417569.0	1319643.0	1417720.0	1299263.0	1057936.0	1442048.0	704515.0	1402125.0	1370516.0	1397332.0	1356675.0
CM_madagascar__A90_04_1FE__bin.17	1396093.0	1426737.0	2326796.0	1650315.0	1053271.0	2080794.0	1806054.0	1827871.0	1728564.0	1277423.0	2022843.0	1484127.0	1887499.0	1904603.0	1053196.0	2016976.0	1893377.0	2067499.0	2019040.0	1996503.0	1841397.0	2047042.0	1684450.0	1207931.0	2054852.0	1137945.0	1120114.0	1867353.0	2002168.0	2035969.0	1539347.0	2088458.0	1989816.0	1949990.0	1434088.0	2031371.0	1042346.0	1962003.0	2033699.0	1939705.0	1426468.0	2057220.0	996387.0	1998642.0	2008745.0	2063510.0	1757529.0
CM_madagascar__V07_01_2FE__bin.37	1084836.0	1131454.0	1650315.0	1909519.0	849255.0	1693282.0	1475102.0	1514966.0	1352692.0	1033323.0	1622758.0	1210836.0	1507847.0	1510572.0	814004.0	1623852.0	1537213.0	1665104.0	1607859.0	1626418.0	1477478.0	1666711.0	1492602.0	1026800.0	1636334.0	886457.0	949417.0	1480524.0	1615862.0	1649998.0	1262528.0	1640408.0	1791169.0	1593470.0	1178180.0	1637801.0	838862.0	1557152.0	1657142.0	1613968.0	1173005.0	1658514.0	782512.0	1621265.0	1639512.0	1671049.0	1466428.0
Obregon-TitoAJ_2015__SM30__bin.20	1060006.0	405152.0	1053271.0	849255.0	1214905.0	1109716.0	975330.0	950789.0	1079975.0	322778.0	1044506.0	515249.0	965169.0	1023417.0	938209.0	1068568.0	953995.0	1097094.0	1053420.0	1048656.0	835815.0	1100650.0	839746.0	529315.0	1081421.0	1050647.0	293638.0	967408.0	1044692.0	1058968.0	578261.0	1064279.0	1051409.0	991582.0	492278.0	1053425.0	964383.0	1069829.0	1056647.0	1026415.0	639656.0	1090208.0	646561.0	1060866.0	1040522.0	1073431.0	833413.0
RampelliS_2015__H10__bin.43	1435111.0	1428795.0	2080794.0	1693282.0	1109716.0	2940692.0	1831549.0	1844694.0	1764738.0	1269766.0	2066459.0	1474094.0	1902719.0	1945494.0	1063991.0	2107139.0	1908440.0	2130165.0	2044727.0	2061629.0	1851166.0	2104064.0	1719168.0	1535605.0	2092473.0	1154357.0	1148295.0	1895704.0	2081857.0	2077543.0	1579457.0	2122425.0	2097371.0	1975274.0	1438940.0	2070570.0	1088341.0	2051573.0	2126254.0	1961615.0	1428220.0	2132360.0	989022.0	2049658.0	2076012.0	2087514.0	1799451.0
Obregon-TitoAJ_2015__SM02__bin.41	1197962.0	1283308.0	1806054.0	1475102.0	975330.0	1831549.0	2027550.0	1595217.0	1508188.0	1156050.0	1782414.0	1343773.0	1650059.0	1656734.0	886503.0	1802879.0	1692348.0	1827014.0	1774947.0	1778731.0	1632089.0	1788836.0	1478605.0	1066723.0	1808652.0	963302.0	1003934.0	1641312.0	1791842.0	1780087.0	1382394.0	1811583.0	1791915.0	1672504.0	1445739.0	1771184.0	882664.0	1729586.0	1810550.0	1737628.0	1309257.0	1815333.0	880363.0	1776522.0	1776689.0	1801328.0	1571381.0
CM_madagascar__A88_02_1FE__bin.30	1285397.0	1219465.0	1827871.0	1514966.0	950789.0	1844694.0	1595217.0	2073495.0	1742302.0	1098760.0	1847216.0	1301526.0	1716349.0	1736174.0	968019.0	1799763.0	1719729.0	1853402.0	1809133.0	1832547.0	1668477.0	1846438.0	1544171.0	1055527.0	1856899.0	1031230.0	970337.0	1696676.0	1800337.0	2008808.0	1342753.0	1853425.0	1775243.0	1750974.0	1225676.0	1841398.0	1014276.0	1732292.0	1820642.0	1756894.0	1290416.0	1847133.0	866437.0	1829777.0	1795664.0	1848009.0	1612931.0
CM_madagascar__A72_02_1FE__bin.1	1466208.0	1068894.0	1728564.0	1352692.0	1079975.0	1764738.0	1508188.0	1742302.0	2118320.0	940076.0	1744188.0	1149025.0	1621380.0	1645236.0	1042292.0	1714189.0	1602303.0	1770527.0	1752884.0	1756994.0	1557275.0	1773891.0	1412003.0	972800.0	1776478.0	1175027.0	776050.0	1655291.0	1698809.0	2011939.0	1222298.0	1800029.0	1671888.0	1646885.0	1087480.0	1743699.0	1129138.0	1641364.0	1727721.0	1615971.0	1171213.0	1761396.0	968355.0	1774891.0	1701976.0	1749086.0	1503599.0
BritoIL_2016__M1.4.ST__bin.21	606627.0	1297296.0	1277423.0	1033323.0	322778.0	1269766.0	1156050.0	1098760.0	940076.0	1372916.0	1246813.0	1273688.0	1108102.0	1190044.0	312668.0	1231181.0	1192189.0	1291656.0	1224285.0	1232110.0	1261358.0	1266433.0	1047597.0	841666.0	1277585.0	356683.0	933474.0	1250198.0	1249176.0	1232555.0	1213391.0	1309799.0	1216354.0	1223033.0	1262043.0	1237566.0	290409.0	1178368.0	1262188.0	1165699.0	970223.0	1291849.0	595347.0	1249744.0	1246455.0	1252628.0	1213063.0
