Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	100.00	100.00	100.00	NC_006347.1 Bacteroides fragilis YCH46, complete sequence	NC_006347.1 Bacteroides fragilis YCH46, complete sequence
references/bacteroides_fragilis/GCF_015553755.1_ASM1555375v1_genomic.fna	references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	99.91	96.54	92.43	NZ_JADNHE010000010.1 Bacteroides fragilis strain D54t1_190329_B1 NODE_10_length_191338_cov_28.9312, whole genome shotgun sequence	NC_006347.1 Bacteroides fragilis YCH46, complete sequence
references/bacteroides_fragilis/GCF_014042505.1_ASM1404250v1_genomic.fna	references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	99.67	90.23	89.29	NZ_JACFSS010000010.1 Bacteroides fragilis strain BFR_KZ06 NODE_10_length_185715_cov_22.008126, whole genome shotgun sequence	NC_006347.1 Bacteroides fragilis YCH46, complete sequence
references/bacteroides_fragilis/GCF_000598585.1_ASM59858v1_genomic.fna	references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	99.64	88.52	93.20	NZ_JGDQ01000001.1 Bacteroides fragilis str. 3725 D9(v) gbf3725D9v.contig.0, whole genome shotgun sequence	NC_006347.1 Bacteroides fragilis YCH46, complete sequence
references/bacteroides_fragilis/GCF_000599105.1_ASM59910v1_genomic.fna	references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	99.24	83.07	75.42	NZ_JGDI01000001.1 Bacteroides fragilis str. S13 L11 gbfS13L11.contig.0, whole genome shotgun sequence	NC_006347.1 Bacteroides fragilis YCH46, complete sequence
references/bacteroides_fragilis/GCF_001373095.1_4g8B_assembly_genomic.fna	references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	99.23	88.85	76.94	NZ_CDQP01000001.1 Bacteroides fragilis strain 4g8B, whole genome shotgun sequence	NC_006347.1 Bacteroides fragilis YCH46, complete sequence
references/bacteroides_fragilis/GCF_000944095.1_2d2A_assembly_genomic.fna	references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	99.18	87.63	79.39	NZ_CDQM01000001.1 Bacteroides fragilis strain 2d2A, whole genome shotgun sequence	NC_006347.1 Bacteroides fragilis YCH46, complete sequence
references/bacteroides_fragilis/GCF_000598345.1_ASM59834v1_genomic.fna	references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	99.17	85.24	82.93	NZ_JGCT01000001.1 Bacteroides fragilis str. 3783N2-1 gbf3783N21.contig.0, whole genome shotgun sequence	NC_006347.1 Bacteroides fragilis YCH46, complete sequence
references/bacteroides_fragilis/GCF_000598165.1_ASM59816v1_genomic.fna	references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	99.17	84.89	83.17	NZ_JGCU01000001.1 Bacteroides fragilis str. 3976T7 gbf3976T7.contig.0, whole genome shotgun sequence	NC_006347.1 Bacteroides fragilis YCH46, complete sequence
references/bacteroides_fragilis/GCF_001682215.1_ASM168221v1_genomic.fna	references/bacteroides_fragilis/GCF_000009925.1_ASM992v1_genomic.fna	99.14	89.83	82.92	NZ_CP012706.1 Bacteroides fragilis strain S14 chromosome, complete genome	NC_006347.1 Bacteroides fragilis YCH46, complete sequence
