assembly	ncontigs	nbps	ulen	maxlen	n50num	n50len	nonATGC
references/D3/Escherichia_coli_0_1288_GCA_000303255.LargeContigs.fna	135	4945604	36634	787821	9	176434	1141
references/D3/Escherichia_coli_0_1304_GCA_000303235.LargeContigs.fna	507	5368321	10588	362100	13	146570	2167
references/D3/Escherichia_coli_042_NC_017626.LargeContigs.fna	2	5355323	2677661	5241977	1	5241977	0
references/D3/Escherichia_coli_07798_GCA_000303655.LargeContigs.fna	224	4904373	21894	438203	9	201583	1974
references/D3/Escherichia_coli_08BKT055439_GCA_000462305.LargeContigs.fna	133	5210702	39178	308048	13	138368	0
references/D3/Escherichia_coli_08BKT77219_GCA_000462325.LargeContigs.fna	139	5321305	38282	423177	12	117841	0
references/D3/Escherichia_coli_09BKT024447_GCA_000462345.LargeContigs.fna	149	5354473	35936	434698	15	121202	0
references/D3/Escherichia_coli_09BKT076207_GCA_000461935.LargeContigs.fna	70	5498848	78554	657695	8	277492	0
references/D3/Escherichia_coli_09BKT078844_GCA_000340455.LargeContigs.fna	616	5326340	8646	206163	20	86419	60
references/D3/Escherichia_coli_100329_GCA_001265615.LargeContigs.fna	390	4814472	12344	117935	53	27458	0
references/D3/Escherichia_coli_10_0821_GCA_000304855.LargeContigs.fna	107	5188594	48491	398279	12	124514	0
references/D3/Escherichia_coli_10_0833_GCA_000305415.LargeContigs.fna	415	5373953	12949	440702	12	147476	2981
references/D3/Escherichia_coli_10_0869_GCA_000305435.LargeContigs.fna	384	5293905	13786	272925	15	127729	1896
references/D3/Escherichia_coli_101_1_GCA_000168095.LargeContigs.fna	91	4979767	54722	454913	9	153834	44
references/D3/Escherichia_coli_103385_GCA_001265235.LargeContigs.fna	149	5052771	33911	244923	18	99965	0
references/D3/Escherichia_coli_103573_GCA_001265255.LargeContigs.fna	134	5150488	38436	353375	13	123720	0
references/D3/Escherichia_coli_1047_GCA_000503655.LargeContigs.fna	400	5092807	12732	328347	17	74682	0
references/D3/Escherichia_coli_10810_GCA_000699305.LargeContigs.fna	644	5029940	7810	65323	93	16523	0
