query	target	avg_jacc_sim	jacc_SD	num_shared_SCPs	poss_shared_SCPs	AAI_estimate
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291485_1.LargeContigs.fna	0.2934	N/A	40	56	57.49
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291495_1.LargeContigs.fna	0.0441	N/A	59	63	39.74
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291505_1.LargeContigs.fna	0.0328	N/A	37	47	37.99
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291515_1.LargeContigs.fna	0.0936	N/A	38	51	45.06
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291565_1.LargeContigs.fna	0.0919	N/A	51	63	44.91
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291575_1.LargeContigs.fna	0.0376	N/A	54	63	38.77
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291585_1.LargeContigs.fna	0.0472	N/A	57	63	40.16
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291595_1.LargeContigs.fna	0.053	N/A	49	59	40.92
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291645_1.LargeContigs.fna	0.0391	N/A	55	63	39.0
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291655_1.LargeContigs.fna	0.1502	N/A	63	63	49.32
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291665_1.LargeContigs.fna	0.1907	N/A	61	63	51.87
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291675_1.LargeContigs.fna	0.0375	N/A	58	63	38.76
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291725_1.LargeContigs.fna	0.038	N/A	44	60	38.84
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291735_1.LargeContigs.fna	0.0258	N/A	55	63	36.67
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291765_1.LargeContigs.fna	0.0352	N/A	47	63	38.39
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291775_1.LargeContigs.fna	0.0379	N/A	27	39	38.82
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291785_1.LargeContigs.fna	0.1352	N/A	36	52	48.29
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291795_1.LargeContigs.fna	0.0384	N/A	53	63	38.89
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291845_1.LargeContigs.fna	0.0526	N/A	45	60	40.87
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291855_1.LargeContigs.fna	0.0593	N/A	55	63	41.67
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291875_1.LargeContigs.fna	0.0493	N/A	54	63	40.45
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291895_1.LargeContigs.fna	0.0398	N/A	62	63	39.12
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291925_1.LargeContigs.fna	0.0582	N/A	62	63	41.54
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291945_1.LargeContigs.fna	0.0951	N/A	62	63	45.19
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291955_1.LargeContigs.fna	0.0527	N/A	53	63	40.88
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002291985_1.LargeContigs.fna	0.0398	N/A	59	63	39.11
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292005_1.LargeContigs.fna	0.0479	N/A	60	63	40.26
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292015_1.LargeContigs.fna	0.0425	N/A	55	63	39.51
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292025_1.LargeContigs.fna	0.0436	N/A	53	63	39.67
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292065_1.LargeContigs.fna	0.1588	N/A	62	63	49.88
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292085_1.LargeContigs.fna	1.0	N/A	63	63	>90%
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292105_1.LargeContigs.fna	0.0374	N/A	50	63	38.74
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292125_1.LargeContigs.fna	0.7616	N/A	40	55	83.1
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292135_1.LargeContigs.fna	0.133	N/A	39	57	48.14
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292165_1.LargeContigs.fna	0.0403	N/A	39	55	39.18
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292185_1.LargeContigs.fna	0.034	N/A	52	63	38.19
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292205_1.LargeContigs.fna	0.1497	N/A	39	53	49.29
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292215_1.LargeContigs.fna	0.1533	N/A	60	63	49.53
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292245_1.LargeContigs.fna	0.0402	N/A	41	53	39.18
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292265_1.LargeContigs.fna	0.0388	N/A	59	63	38.96
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292285_1.LargeContigs.fna	0.1251	N/A	62	63	47.56
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292295_1.LargeContigs.fna	0.0545	N/A	62	63	41.09
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292325_1.LargeContigs.fna	0.0326	N/A	37	49	37.95
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292345_1.LargeContigs.fna	0.0338	N/A	61	63	38.15
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292365_1.LargeContigs.fna	0.0424	N/A	57	63	39.5
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292375_1.LargeContigs.fna	0.1232	N/A	58	63	47.43
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292405_1.LargeContigs.fna	0.0446	N/A	54	63	39.81
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292805_1.LargeContigs.fna	0.0292	N/A	53	63	37.34
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292815_1.LargeContigs.fna	0.1223	N/A	59	63	47.36
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292845_1.LargeContigs.fna	0.0912	N/A	48	62	44.85
