	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	RaymondF_2016__P23C7__bin.9	ZellerG_2014__CCIS91228662ST-4-0__bin.28	RaymondF_2016__P23C0__bin.29	RaymondF_2016__P25C7__bin.10	CosteaPI_2017__SID713B061-11-90-0__bin.11	WenC_2017__N244__bin.3	ZellerG_2014__CCIS48174381ST-4-0__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	QinJ_2012__T2D-043__bin.16	ZeeviD_2015__PNP_Main_62__bin.42	RaymondF_2016__P6C7__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.65	LouisS_2016__AS68_0__bin.29	VogtmannE_2016__MMRS84085284ST-27-0-0__bin.2	LiJ_2017__nHF611623__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.84	HeQ_2017__SZAXPI029571-86__bin.34	LiJ_2017__H1M5XX814__bin.21	ZellerG_2014__CCMD25963797ST-21-0__bin.52	RaymondF_2016__P25C0__bin.19	NielsenHB_2014__V1_UC35_4__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.69	RaymondF_2016__P6C90__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES62__bin.82	CosteaPI_2017__SID713B053-11-90-0__bin.18	XieH_2016__YSZC12003_37648__bin.37	RaymondF_2016__P38C7__bin.46	CosteaPI_2017__pluto4-11-30-0__bin.14	VatanenT_2016__G80439__bin.13	RaymondF_2016__P14E90__bin.92	LeChatelierE_2013__MH0220__bin.39	LeChatelierE_2013__MH0244__bin.23	RaymondF_2016__P23C90__bin.54
VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	2005944.0	1667795.0	1782936.0	1668730.0	991138.0	1194491.0	1775435.0	1281638.0	1151083.0	1357230.0	1316683.0	1672275.0	1488469.0	1428993.0	1559650.0	1758352.0	1428607.0	1773714.0	1649773.0	1714900.0	1196883.0	1638992.0	1428331.0	1418675.0	1468700.0	1493682.0	1708839.0	1468406.0	1610169.0	1126012.0	1365857.0	1128086.0	1770672.0	1748428.0
RaymondF_2016__P23C7__bin.9	1667795.0	2155352.0	1743229.0	2031954.0	999411.0	1200003.0	1815255.0	1272772.0	1167588.0	1374917.0	1342943.0	1620676.0	1486835.0	1469550.0	1604801.0	1763260.0	1454728.0	1752094.0	1660719.0	1718705.0	1247578.0	1668260.0	1431929.0	1405393.0	1495634.0	1481737.0	1752204.0	1474546.0	1651713.0	1070398.0	1400548.0	1173378.0	1808947.0	2066359.0
ZellerG_2014__CCIS91228662ST-4-0__bin.28	1782936.0	1743229.0	2344421.0	1738293.0	1033142.0	1261771.0	1909466.0	1328932.0	1181607.0	1402545.0	1398389.0	1727549.0	1571270.0	1497189.0	1656445.0	1838605.0	1509164.0	1795466.0	1734077.0	1789230.0	1268468.0	1719011.0	1489680.0	1470299.0	1545903.0	1572316.0	1797254.0	1508702.0	1637374.0	1186614.0	1465306.0	1195797.0	1888034.0	1831028.0
RaymondF_2016__P23C0__bin.29	1668730.0	2031954.0	1738293.0	2164076.0	989369.0	1198922.0	1819635.0	1265851.0	1159505.0	1364878.0	1335281.0	1617048.0	1485962.0	1443603.0	1611024.0	1761203.0	1445845.0	1750902.0	1657378.0	1720354.0	1230289.0	1668618.0	1425202.0	1393135.0	1491014.0	1476129.0	1752763.0	1472062.0	1652040.0	1072442.0	1391722.0	1136127.0	1822585.0	2119219.0
RaymondF_2016__P25C7__bin.10	991138.0	999411.0	1033142.0	989369.0	1293685.0	782557.0	1060025.0	797753.0	741556.0	883864.0	857075.0	993331.0	940107.0	885063.0	959047.0	1064639.0	935033.0	1053187.0	1021525.0	1039118.0	835210.0	1015297.0	896527.0	880975.0	931001.0	955199.0	1030078.0	923005.0	974623.0	645057.0	909614.0	732093.0	1043326.0	1058016.0
CosteaPI_2017__SID713B061-11-90-0__bin.11	1194491.0	1200003.0	1261771.0	1198922.0	782557.0	1602933.0	1308994.0	998387.0	909374.0	1051819.0	995631.0	1198077.0	1117327.0	1048537.0	1173240.0	1300285.0	1121775.0	1287324.0	1243908.0	1254626.0	920753.0	1233331.0	1126518.0	1065534.0	1133964.0	1112569.0	1261435.0	1105641.0	1185654.0	755931.0	1036314.0	874478.0	1291179.0	1274340.0
WenC_2017__N244__bin.3	1775435.0	1815255.0	1909466.0	1819635.0	1060025.0	1308994.0	2758433.0	1409275.0	1263731.0	1491989.0	1442483.0	1718483.0	1605560.0	1789491.0	1873912.0	2081077.0	1562830.0	2102678.0	1858658.0	1959717.0	1306037.0	1911298.0	1564988.0	1511150.0	1646348.0	1575685.0	1952840.0	1598526.0	1756276.0	1203329.0	1481446.0	1223301.0	2170248.0	1915656.0
ZellerG_2014__CCIS48174381ST-4-0__bin.35	1281638.0	1272772.0	1328932.0	1265851.0	797753.0	998387.0	1409275.0	1496922.0	932845.0	1105044.0	1057157.0	1276074.0	1193472.0	1137134.0	1255118.0	1396192.0	1164382.0	1386096.0	1336434.0	1368081.0	983450.0	1311140.0	1171769.0	1135825.0	1232306.0	1185434.0	1353936.0	1177557.0	1273497.0	855252.0	1093981.0	928308.0	1389540.0	1342030.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	1151083.0	1167588.0	1181607.0	1159505.0	741556.0	909374.0	1263731.0	932845.0	1470944.0	1032668.0	951867.0	1135983.0	1090825.0	1014222.0	1142828.0	1262146.0	1090271.0	1251429.0	1207780.0	1231052.0	900933.0	1180725.0	1016598.0	1008974.0	1090663.0	1071604.0	1232953.0	1041719.0	1154717.0	744326.0	1003214.0	867621.0	1263260.0	1222656.0
QinJ_2012__T2D-043__bin.16	1357230.0	1374917.0	1402545.0	1364878.0	883864.0	1051819.0	1491989.0	1105044.0	1032668.0	1606705.0	1107914.0	1353171.0	1236758.0	1219569.0	1321966.0	1499978.0	1255071.0	1500887.0	1432898.0	1472862.0	1055136.0	1414009.0	1206488.0	1221147.0	1275578.0	1254146.0	1440739.0	1273341.0	1389990.0	890883.0	1177610.0	992783.0	1469535.0	1448598.0
