	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	RaymondF_2016__P23C7__bin.9	ZellerG_2014__CCIS91228662ST-4-0__bin.28	RaymondF_2016__P23C0__bin.29	RaymondF_2016__P25C7__bin.10	CosteaPI_2017__SID713B061-11-90-0__bin.11	WenC_2017__N244__bin.3	ZellerG_2014__CCIS48174381ST-4-0__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	QinJ_2012__T2D-043__bin.16	ZeeviD_2015__PNP_Main_62__bin.42	RaymondF_2016__P6C7__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.65	LouisS_2016__AS68_0__bin.29	VogtmannE_2016__MMRS84085284ST-27-0-0__bin.2	LiJ_2017__nHF611623__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.84	HeQ_2017__SZAXPI029571-86__bin.34	LiJ_2017__H1M5XX814__bin.21	ZellerG_2014__CCMD25963797ST-21-0__bin.52	RaymondF_2016__P25C0__bin.19	NielsenHB_2014__V1_UC35_4__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.69	RaymondF_2016__P6C90__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES62__bin.82	CosteaPI_2017__SID713B053-11-90-0__bin.18	XieH_2016__YSZC12003_37648__bin.37	RaymondF_2016__P38C7__bin.46	CosteaPI_2017__pluto4-11-30-0__bin.14	VatanenT_2016__G80439__bin.13	RaymondF_2016__P14E90__bin.92	LeChatelierE_2013__MH0220__bin.39	LeChatelierE_2013__MH0244__bin.23	RaymondF_2016__P23C90__bin.54
VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	1.0	0.7946408274607866	0.8812798363264378	0.7950182058920887	0.4748263161882884	0.5722602425591143	0.844871043259433	0.6140988980749214	0.553656034266161	0.6457832322338011	0.6331502773756397	0.8082309376532945	0.714745277036647	0.6810364596419441	0.7468513577647233	0.8382806299677358	0.6869239619849806	0.8448780225170792	0.7848923000841499	0.8173956999796604	0.5751451685590425	0.7849715645102754	0.6808574915351576	0.68527087495962	0.7041826691074128	0.7242146341074327	0.8182511575597325	0.6988684629281774	0.7665627754314178	0.5551959576139712	0.6548472938426995	0.5429448678527417	0.8479513884734569	0.8331129881990723
RaymondF_2016__P23C7__bin.9	0.7395566942197841	1.0	0.7730598064724463	0.9420382378377173	0.44182295977640773	0.5337327731154817	0.8073080406355899	0.5638549990906359	0.5190581399233165	0.6106120949153548	0.5956089770951566	0.7189572747282115	0.6596022366648232	0.653629662347496	0.7098441461069933	0.784803595885962	0.6460271918461578	0.78073604682669	0.7400693714994118	0.760851591758562	0.552582130436235	0.7384863354106429	0.6325500428700277	0.6231673527108332	0.6629984336665194	0.654825290718175	0.776071843485426	0.6558845144551795	0.7344113629699465	0.47496000653257564	0.6205000389727525	0.5202352098404344	0.8012259714422516	0.9582759567810734
ZellerG_2014__CCIS91228662ST-4-0__bin.28	0.7540446020573949	0.7107153535990337	1.0	0.7083992166935887	0.4239558509329169	0.5173298652417804	0.7775386758606923	0.5446206120828981	0.486807190346785	0.5714242450481377	0.5754021995196256	0.7136819709429322	0.6457786378811655	0.6105093752359325	0.6783811440010135	0.7496358375906034	0.6208483885786725	0.7317840950921357	0.7059482917104052	0.7298053549255871	0.5217556914905642	0.7042229190064413	0.6075939432380106	0.6071917117275438	0.6339471451586554	0.6520714496244489	0.735939065551793	0.6141512126021734	0.6668452466515187	0.5005321143258825	0.6011761539416342	0.49219402146628094	0.7732361209868023	0.7463612550817452
RaymondF_2016__P23C0__bin.29	0.7369251357161208	0.9382406163184657	0.7674342305907926	1.0	0.4355923729111177	0.5311657261574917	0.8057230892075878	0.5583750293427773	0.5133391803245357	0.6036701114008935	0.5898078440868066	0.7144411748940425	0.6565638175369072	0.6392321711437121	0.7093854374800146	0.7807341331820139	0.6394710721804594	0.7768779839525045	0.7354598452180052	0.7584183734767171	0.5428034874930456	0.7354880327677956	0.6269613451653269	0.6152473388180453	0.6582814097101951	0.6495908646461585	0.7730444771810232	0.651939673098357	0.7314599856936632	0.47388492825575446	0.6140579166350905	0.501310490019759	0.8037083725340515	0.9790714374171702
RaymondF_2016__P25C7__bin.10	0.7362495507020642	0.7361019104341474	0.7682944457112821	0.7286588311683292	1.0	0.5795259278727047	0.7806166106896192	0.590421161256411	0.5533170748675297	0.6504334517289757	0.6522275515291589	0.7375311609858659	0.6982750824195999	0.6520528567618856	0.7087103893142458	0.7843045254447566	0.6988455458631738	0.7759029439160228	0.7528455535930307	0.765374105752173	0.6429640909494969	0.7512122348175947	0.6611400766028824	0.6538407726765015	0.6897359094369958	0.7071350444660022	0.7621793558710196	0.679161465117088	0.7176839802579453	0.47874946374117344	0.6855123155945999	0.5425563409949099	0.7717690164143512	0.779446310346027
CosteaPI_2017__SID713B061-11-90-0__bin.11	0.7161384786513223	0.7176731653787151	0.7566373641318758	0.7171123184811842	0.4677201105723071	1.0	0.7831362882915256	0.5977954162775362	0.5465094299013121	0.6289258503006675	0.5969394853059984	0.7184454995935576	0.6695563694801967	0.627902725815739	0.70121520986841	0.7781323361612743	0.6758978697175739	0.770551233270511	0.7451540395013392	0.7509877206346116	0.551227031947062	0.7373826604106348	0.6785342868354448	0.6388651303579127	0.6787239391789924	0.6648100700403573	0.7553553392437488	0.6624618745761676	0.7089273226017556	0.4528941633867417	0.6203422101859528	0.5229825575991012	0.7734003854184798	0.7622969893314319
WenC_2017__N244__bin.3	0.6143937518148891	0.6308048808870833	0.6608382367815351	0.6321146825027107	0.36610350876747777	0.455082650185812	1.0	0.4882174045916649	0.4395655069381783	0.5216465290257186	0.49958001517528244	0.5949972321241807	0.5567925702745	0.6257190223579836	0.647701793010742	0.7300615965658763	0.5423640885966778	0.7521882895107476	0.6484732454984405	0.6788335986409675	0.45205629428012206	0.6615415346321625	0.5404133433728497	0.5235827732629358	0.5706866905957114	0.5432432109099623	0.6773142577688129	0.5564568724344583	0.6110599749930485	0.4165937689985582	0.5126990577621424	0.42350022639665347	0.7500997849141161	0.6658697166108439
ZellerG_2014__CCIS48174381ST-4-0__bin.35	0.8229206331392016	0.8118699571520761	0.8529636146706374	0.8072337770438273	0.5102597196113091	0.6401308819029983	0.8996560943055149	1.0	0.6026192413499167	0.7046933641165004	0.678242420112738	0.818007885514409	0.765403274185295	0.7256537080756379	0.8048295101548378	0.8910504354936329	0.7495667776944958	0.884741489536529	0.8521205513714142	0.8759000134943571	0.6300789219478369	0.8419450044825315	0.7472613803524834	0.7284601335273314	0.8191215039928601	0.7576486951223911	0.8670652178269809	0.7511794201701891	0.8117390218060794	0.54869926422352	0.7010425392906243	0.5956896885742877	0.8902768480922854	0.8561601740104028
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	0.7550273837753171	0.7605680433789458	0.7758833782931233	0.7552326941066417	0.4866385124110775	0.5955481649879262	0.8243087432288381	0.6132619596667174	1.0	0.6722125383427241	0.6267730110731612	0.7461643679161137	0.7157519252942328	0.661052358213501	0.7486913165966889	0.8225840004786042	0.7173060293253856	0.8157197010899123	0.7871625296408293	0.804493576913873	0.5929607109448083	0.7746127656797268	0.6628722779385211	0.6630769084343116	0.7176479865990819	0.7001449409358887	0.8099241031609633	0.6784044803881044	0.7522271412099985	0.48804985098005094	0.6598313735941	0.5688340276720256	0.830491847412274	0.7963464278721691
QinJ_2012__T2D-043__bin.16	0.8062494359574408	0.8191198757705989	0.8337927622058809	0.8130851649805035	0.5237153055476892	0.6274493450882396	0.8955763503567861	0.6565430492840939	0.6154129102728877	1.0	0.6585776480436669	0.8042005221867113	0.734836824432612	0.7466772058343006	0.785205124773994	0.9175081922319281	0.7474894271194774	0.9006233253770917	0.8561397394045578	0.8755695662862817	0.6268113935040969	0.8397440724961955	0.7156982769083311	0.7258308152398854	0.758198300248023	0.7422756510996107	0.8571660634652908	0.7610606800875083	0.8305438770651736	0.5297979405055688	0.698945357112849	0.5893919543413383	0.8733787471875671	0.8631192409309736
