	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	RaymondF_2016__P23C7__bin.9	ZellerG_2014__CCIS91228662ST-4-0__bin.28	RaymondF_2016__P23C0__bin.29	RaymondF_2016__P25C7__bin.10	CosteaPI_2017__SID713B061-11-90-0__bin.11	WenC_2017__N244__bin.3	ZellerG_2014__CCIS48174381ST-4-0__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	QinJ_2012__T2D-043__bin.16	ZeeviD_2015__PNP_Main_62__bin.42	RaymondF_2016__P6C7__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.65	LouisS_2016__AS68_0__bin.29	VogtmannE_2016__MMRS84085284ST-27-0-0__bin.2	LiJ_2017__nHF611623__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.84	HeQ_2017__SZAXPI029571-86__bin.34	LiJ_2017__H1M5XX814__bin.21	ZellerG_2014__CCMD25963797ST-21-0__bin.52	RaymondF_2016__P25C0__bin.19	NielsenHB_2014__V1_UC35_4__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.69	RaymondF_2016__P6C90__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES62__bin.82	CosteaPI_2017__SID713B053-11-90-0__bin.18	XieH_2016__YSZC12003_37648__bin.37	RaymondF_2016__P38C7__bin.46	CosteaPI_2017__pluto4-11-30-0__bin.14	VatanenT_2016__G80439__bin.13	RaymondF_2016__P14E90__bin.92	LeChatelierE_2013__MH0220__bin.39	LeChatelierE_2013__MH0244__bin.23	RaymondF_2016__P23C90__bin.54
VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	1.0	0.9557559532196703	0.9915095101562815	0.9556740754945378	0.9609913049444174	0.9610135195660746	0.9545626846378493	0.9611512767255652	0.9648331180288476	0.9544476617817171	0.9645936037755481	0.9694972417814056	0.9632306752777519	0.9560025836375685	0.9605629468149905	0.9563181888495591	0.9645276832606868	0.9554967711818253	0.9543434157305277	0.9561198903726165	0.9639279695676186	0.9607179290685982	0.9561943275053192	0.9689428516044901	0.9617695921563287	0.9725858649966994	0.960515297228118	0.9547025822558611	0.9549817441523218	0.9890587311680515	0.9617309864795509	0.9654556478850017	0.9606200357830248	0.9558174543075265
RaymondF_2016__P23C7__bin.9	0.9557559532196703	1.0	0.9558216390388182	0.9992470301985182	0.9528452258380186	0.9586492700434915	0.9585611938818513	0.9548497295666467	0.9581744587988229	0.9572097806631237	0.955920690602654	0.9561479283953116	0.9561753657937835	0.9586621754959002	0.9533668037345441	0.9593185349863321	0.9571658756826018	0.9604284929918143	0.9604936175234944	0.9541503632095095	0.9546569432933252	0.9541066740196372	0.952119832757071	0.9557077628819839	0.9554443132477598	0.9525165397098135	0.9546308534850965	0.9587100029432788	0.9583474853076775	0.9563788422624108	0.9549090784464367	0.9556085080852036	0.9546570463369021	0.9995465453970003
ZellerG_2014__CCIS91228662ST-4-0__bin.28	0.9915095101562815	0.9558216390388182	1.0	0.9554120047655947	0.9620468435123148	0.9612195873894709	0.9546532905011139	0.9607865564227515	0.9658719015713346	0.9551629359485792	0.964670774727204	0.9685230346577723	0.9635371387476372	0.955985516858593	0.9601351086211737	0.9558670840120636	0.9644611188711101	0.9555235242549845	0.954421285790654	0.9562610731990856	0.9643246814267289	0.9604330629646931	0.9562161001020353	0.9681792614971513	0.961405081690119	0.9722791092884636	0.9599928557677435	0.9543495004314968	0.9548007968857452	0.9889129910821884	0.961853701547663	0.9649714792728197	0.9601474337856204	0.9556298429079184
RaymondF_2016__P23C0__bin.29	0.9556740754945378	0.9992470301985182	0.9554120047655947	1.0	0.9527840472058453	0.9587637894708747	0.95823942713786	0.9545878622365508	0.9580855623735991	0.957146353007375	0.9558954257568257	0.956128080304357	0.9561846130654754	0.958259992532573	0.9529119367557528	0.9593260969916585	0.9571316427417876	0.9602039405974749	0.960306580635196	0.9540332977980114	0.954790297239104	0.9538744038479748	0.9519997866969033	0.9557164237493136	0.9554377088343906	0.9523314019303191	0.9544513433932597	0.9584154743482272	0.9581698990339217	0.9562503147023336	0.9548372447945782	0.9548879658700128	0.9542962330974961	0.999795207574111
RaymondF_2016__P25C7__bin.10	0.9609913049444174	0.9528452258380186	0.9620468435123148	0.9527840472058453	1.0	0.9580439507920828	0.9526869649300724	0.9574630242694168	0.9652918997351515	0.9520197677470742	0.9844844383513695	0.9605388334804813	0.9608991316945837	0.9530971241595231	0.9559990282019546	0.9530394809883914	0.966902772415519	0.953082406068438	0.9534225789872984	0.9528783064098592	0.9959088133523305	0.9571898666104598	0.954022578238023	0.9601452935667868	0.958431838419078	0.9577166642762398	0.9572284817266266	0.9519135866002892	0.9526319407606839	0.9601492581275763	0.974959708183911	0.9587538741662603	0.9569645537444672	0.9530649820040529
CosteaPI_2017__SID713B061-11-90-0__bin.11	0.9610135195660746	0.9586492700434915	0.9612195873894709	0.9587637894708747	0.9580439507920828	1.0	0.9589921726150006	0.9597741156485411	0.9633198222073647	0.9584595828750003	0.9610528398573367	0.9612236943034547	0.9605549673461753	0.9598955497040161	0.9580316047867444	0.9592466267010694	0.9658077600231776	0.9594647501328337	0.9602253542866515	0.9594755728001811	0.9596276091416482	0.9583599212214726	0.9654927839590668	0.9610749164268808	0.9594211103703468	0.957824638292097	0.959846523998462	0.9604220538131274	0.9584271634051755	0.9603508785854794	0.9595228859206766	0.9586358947852319	0.9601372079316656	0.9588579186088485
WenC_2017__N244__bin.3	0.9545626846378493	0.9585611938818513	0.9546532905011139	0.95823942713786	0.9526869649300724	0.9589921726150006	1.0	0.9556083801954905	0.9594700137924922	0.9644353946309255	0.95533742858668	0.9550632738293018	0.9565976979994519	0.9645223138870215	0.953428976387365	0.9676845210436711	0.9572858212345553	0.9867706800565754	0.9623986768948348	0.9555037793722256	0.9547715723214579	0.9547532619193867	0.9525274315202417	0.9557409919597657	0.9561775517691278	0.9510149554003496	0.9567225169496733	0.9602277348006851	0.9597398131045463	0.9549724140280837	0.9546389136019807	0.9549546677391746	0.9533933449080474	0.9588135865729547
ZellerG_2014__CCIS48174381ST-4-0__bin.35	0.9611512767255652	0.9548497295666467	0.9607865564227515	0.9545878622365508	0.9574630242694168	0.9597741156485411	0.9556083801954905	1.0	0.9670138125840841	0.954596378062774	0.9603833678441329	0.9595791466639082	0.9600133057164307	0.9552497770711279	0.9598834531892619	0.9553363720749009	0.9636382218206739	0.9554814385150812	0.9544489290155743	0.958389159706187	0.9590512989984239	0.9612444132586909	0.9546181883972011	0.9600493033697973	0.995013413876099	0.9567306151164889	0.9586339383840891	0.9549066414619419	0.9541522280774906	0.9603719137751212	0.9592543197733782	0.9605658897693438	0.9590763849907163	0.9549749260448723
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	0.9648331180288476	0.9581744587988229	0.9658719015713346	0.9580855623735991	0.9652918997351515	0.9633198222073647	0.9594700137924922	0.9670138125840841	1.0	0.9575071562205859	0.9685680877685643	0.9661817122263273	0.9651694818142231	0.9587358586187245	0.963647198003549	0.9586648454299265	0.9677566403215347	0.9588062926462468	0.9586779049164583	0.9612632122769793	0.9681208258549748	0.9650104808486312	0.9591283870320422	0.9666740669234292	0.9678700020079529	0.961058376041896	0.9662598655423199	0.9579310735428652	0.958229592185791	0.9644886783479282	0.9674655656719304	0.9643876761858	0.9670273736206323	0.9580626112332495
QinJ_2012__T2D-043__bin.16	0.9544476617817171	0.9572097806631237	0.9551629359485792	0.957146353007375	0.9520197677470742	0.9584595828750003	0.9644353946309255	0.954596378062774	0.9575071562205859	1.0	0.9550741303025325	0.954877838794949	0.9546459372003253	0.9836999792549663	0.9543308980715086	0.9827910809358538	0.956913991320013	0.9641205500480716	0.959987382214226	0.9551349685170777	0.9544750629302763	0.9541813383083134	0.9531101842703782	0.9550005036248708	0.9550188228395284	0.9509403211428334	0.9559073503250762	0.9603083541643598	0.9600349642803185	0.9554891046299009	0.9536255636416131	0.9538630294837844	0.9549020608559851	0.9573242542099326
