	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	RaymondF_2016__P23C7__bin.9	ZellerG_2014__CCIS91228662ST-4-0__bin.28	RaymondF_2016__P23C0__bin.29	RaymondF_2016__P25C7__bin.10	CosteaPI_2017__SID713B061-11-90-0__bin.11	WenC_2017__N244__bin.3	ZellerG_2014__CCIS48174381ST-4-0__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	QinJ_2012__T2D-043__bin.16	ZeeviD_2015__PNP_Main_62__bin.42	RaymondF_2016__P6C7__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.65	LouisS_2016__AS68_0__bin.29	VogtmannE_2016__MMRS84085284ST-27-0-0__bin.2	LiJ_2017__nHF611623__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.84	HeQ_2017__SZAXPI029571-86__bin.34	LiJ_2017__H1M5XX814__bin.21	ZellerG_2014__CCMD25963797ST-21-0__bin.52	RaymondF_2016__P25C0__bin.19	NielsenHB_2014__V1_UC35_4__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.69	RaymondF_2016__P6C90__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES62__bin.82	CosteaPI_2017__SID713B053-11-90-0__bin.18	XieH_2016__YSZC12003_37648__bin.37	RaymondF_2016__P38C7__bin.46	CosteaPI_2017__pluto4-11-30-0__bin.14	VatanenT_2016__G80439__bin.13	RaymondF_2016__P14E90__bin.92	LeChatelierE_2013__MH0220__bin.39	LeChatelierE_2013__MH0244__bin.23	RaymondF_2016__P23C90__bin.54
VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	1.0	0.8314265004406902	0.8888264079156746	0.8318926151477808	0.4941005332152842	0.5954757460826424	0.885087021372481	0.638920129375496	0.5738360592319626	0.676604132518156	0.656390706819333	0.8336598628874984	0.7420291892495503	0.7123793086945598	0.7775142277152304	0.8765708314888152	0.7121868805908839	0.8842290712003924	0.8224422017763208	0.85490920982839	0.5966682021033488	0.8170676748702855	0.7120492895115716	0.7072355958092549	0.7321739789346063	0.7446279656859812	0.8518876897859562	0.7320274145240345	0.8026988789318147	0.5613377043426935	0.6809048507834715	0.5623716315111489	0.8827125782175375	0.8716235348544127
RaymondF_2016__P23C7__bin.9	0.7737924014267739	1.0	0.8087908610751283	0.9427480986864326	0.4636880658008529	0.5567549987194667	0.8422081404800701	0.5905170013993074	0.5417156919148242	0.6379083323744799	0.6230736325203493	0.751931007093041	0.6898339575159881	0.6818143857708625	0.744565620835947	0.8180844706572291	0.6749375508037666	0.8129038783456252	0.7705094109918009	0.7974126731967679	0.5788279594237972	0.7740081434494226	0.6643596962352321	0.6520480181427442	0.6939163533381091	0.6874686826096155	0.8129549140929184	0.6841323366206541	0.7663309751725008	0.496623289374543	0.6498001254551461	0.5444020280678051	0.8392814723534717	0.958710688555744
ZellerG_2014__CCIS91228662ST-4-0__bin.28	0.7605016334523534	0.7435648290132191	1.0	0.7414594051153782	0.4406810892753477	0.5382015431528723	0.8144723153392671	0.5668487016623721	0.5040080258622491	0.5982479256072182	0.5964752064582257	0.7368766104722658	0.6702166547731828	0.6386178079790277	0.7065475868028822	0.7842469419954863	0.6437256789629507	0.7658462366614187	0.7396610932933974	0.7631863048488304	0.541058112002921	0.7332347731060249	0.6354148849545368	0.6271480250347528	0.6593964991782619	0.6706628203722795	0.7666088983164713	0.6435286153809405	0.698412955693538	0.5061437344231262	0.6250182880975729	0.5100606930239918	0.8053306125478317	0.7810150139416087
RaymondF_2016__P23C0__bin.29	0.7711050813372543	0.9389476155181241	0.8032495161907438	1.0	0.45717849095872787	0.5540110421260621	0.8408369206996427	0.5849383293377867	0.5357968019607444	0.6306978128309727	0.6170213060909137	0.7472232953001651	0.6866496370737442	0.6670759252447696	0.7444396592356276	0.8138360205464134	0.6681119332223082	0.8090760213596935	0.7658594245303769	0.7949600660974938	0.5685054499010201	0.7710533271474754	0.6585729891186816	0.6437551176576054	0.6889841207055575	0.6821058964657434	0.8099359726737878	0.6802265724493964	0.7633927828782353	0.4955657749542992	0.6431021831026267	0.5249940390263558	0.842200089091141	0.9792719849025635
RaymondF_2016__P25C7__bin.10	0.7661354966626343	0.7725304073248125	0.7986039878332052	0.7647680849665877	1.0	0.6049053672261795	0.8193841622960767	0.6166516578610712	0.573212180708596	0.6832142291206901	0.6625067153132331	0.7678306542937423	0.7266892636151768	0.6841410389700738	0.7413296126955171	0.8229507182969579	0.7227671341941817	0.8140984861075146	0.7896242130039384	0.8032233503519017	0.6456053830723862	0.784810058089875	0.693002546987868	0.6809810734452358	0.7196504558683141	0.738355163737695	0.7962355596609685	0.7134696622439002	0.7533696378948508	0.49861983403997107	0.7031186107901073	0.5658974170682971	0.8064760741602477	0.8178312340330142
CosteaPI_2017__SID713B061-11-90-0__bin.11	0.7451908470285408	0.7486295434681299	0.7871639051663419	0.7479551547070277	0.48820318753185565	1.0	0.8166242756247454	0.6228501128868144	0.5673187837545299	0.6561840076909016	0.6211307646670198	0.7474279960547322	0.6970515922998654	0.654136511008258	0.7319332748156037	0.8111911102959387	0.6998265055370374	0.8031053075830369	0.7760199584137328	0.7827064512365769	0.5744176456533118	0.7694214293423368	0.7027854564102181	0.6647401981243134	0.707430691114351	0.694083283580786	0.7869542894182102	0.689761206488356	0.7396778280813983	0.47159238720520447	0.6465111143135739	0.5455486910557085	0.8055102739790122	0.7950051561730902
WenC_2017__N244__bin.3	0.6436389790870396	0.6580747112581672	0.6922285224980995	0.6596625692920582	0.38428520830486	0.47454261169294304	1.0	0.5108969476510759	0.45813365776874043	0.5408828128143769	0.5229356667354255	0.6229924743504737	0.5820551015739733	0.6487346257821016	0.6793393205490219	0.7544417428300778	0.5665644226269044	0.7622726381246164	0.673809369304964	0.7104457494526784	0.473470626257734	0.6928926676848776	0.5673467508545613	0.547829147925652	0.5968417576210842	0.571224677198975	0.7079526673296035	0.5795051030784507	0.636693369025095	0.4362364429369863	0.537060715268415	0.443476785551797	0.7867684297570396	0.6944725501761326
ZellerG_2014__CCIS48174381ST-4-0__bin.35	0.8561822192472286	0.8502593989533189	0.887776383806237	0.845635911557182	0.5329289034431988	0.6669599351202	0.9414485190277115	1.0	0.6231754226339115	0.7382108085792045	0.7062204977948083	0.8524652587108748	0.7972840268230409	0.7596481312987584	0.8384658652889062	0.932708584682435	0.7778508165422113	0.9259640782886484	0.8927880009780069	0.9139293830941091	0.6569814592877918	0.8758906609696431	0.78278560940383	0.758773670237995	0.8232265943048469	0.791914341562219	0.9044799929455242	0.7866522103356086	0.8507437261260106	0.5713403904812676	0.730820309942669	0.6201445365890808	0.9282647993683038	0.8965263387137072
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	0.7825471261992298	0.7937678116909958	0.8032984260447712	0.7882727010681576	0.5041361193899971	0.6182247590662867	0.8591292394543912	0.6341811788892031	1.0	0.7020444014184088	0.647113010420519	0.7722816096329976	0.7415815965801553	0.6895041551547849	0.7769350838645115	0.8580517001327039	0.7412049676942154	0.8507659027128157	0.8210917614810626	0.8369128940326757	0.6124862673222095	0.8026988111036178	0.6911194443840146	0.6859363782713686	0.7414714632236169	0.7285144777775361	0.8382052613831662	0.7081975928383405	0.7850176485304675	0.5060192638196968	0.6820205255944481	0.5898395860073531	0.8588090369177889	0.8312049948876368
QinJ_2012__T2D-043__bin.16	0.8447288083375604	0.8557370519168112	0.8729324922745619	0.849488860742949	0.5501096965528831	0.6546435095428221	0.9286017034863276	0.6877703125340371	0.6427240843838788	1.0	0.6895565769696366	0.8422025200643554	0.7697480246840583	0.7590497322159326	0.8227807842758939	0.9335739914919042	0.7811458855234782	0.9341397456284757	0.8918239502584482	0.9166972157303301	0.6567079831082868	0.8800675917483296	0.7509082252186929	0.7600318664596176	0.793909273948858	0.7805701731182763	0.8967041242791925	0.7925169835159535	0.8651183633585505	0.5544782645227344	0.7329347951241827	0.6178999878633601	0.9146265182469713	0.9015955013521462
ZeeviD_2015__PNP_Main_62__bin.42	0.7902040321511027	0.8059639059280771	0.8392396851146011	0.8013655756584969	0.514371432498108	0.5975254717609588	0.8657025896965475	0.6344501478463407	0.5712606158593783	0.6649118353291239	1.0	0.7867495830475131	0.7325136518556261	0.7051859347027499	0.798199797510228	0.8525017449289035	0.7198871482610426	0.8415364496593263	0.812751574336972	0.8342866676629116	0.6099635290354369	0.8225741887355912	0.6884202136885247	0.6788802687700637	0.743040839438334	0.747819213962792	0.8387115553002928	0.7018971263136479	0.7765278705505814	0.528874597376035	0.6993597026149028	0.5875474191556285	0.8672359666005904	0.8473182708309702
RaymondF_2016__P6C7__bin.13	0.8865376061801443	0.8591829821253152	0.9158404897632878	0.8572596391134173	0.5266031525224792	0.6351469199739808	0.9110342527881317	0.6764961440365499	0.6022284908172034	0.7173682433166746	0.6949730663060311	1.0	0.7946847238958404	0.7252455734748309	0.8149089831463623	0.9060175507700529	0.7759236473114813	0.9061893156917329	0.8684985784332176	0.8953919818650171	0.6456866064181765	0.8568063705700952	0.7618161277718962	0.7624432817914869	0.7851724461498416	0.7884587756235888	0.9012966661170896	0.7830969533462087	0.8405130893882677	0.5732171834899982	0.7399224619214663	0.6075998555902326	0.9151751657611015	0.9088681062758344
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.65	0.8110486911793553	0.8101583444127198	0.8561659510472744	0.8096826573091258	0.5122528933545476	0.608817920272008	0.8748501558379286	0.6503084065299362	0.5943773021512173	0.6738944225278438	0.6650661493864563	0.8167939887971055	1.0	0.7110029205989408	0.7801938711013273	0.8769327172467906	0.751530590004577	0.8678701423247096	0.8217116017523594	0.8733936705825941	0.6072606307621892	0.8123853011050326	0.7198126675530175	0.7048456877574595	0.7513033717660905	0.7540392537215841	0.853116213683224	0.7215394171879427	0.7914730498463416	0.5337846821124212	0.7098913493603016	0.6064798064558314	0.8686188182472048	0.8509715350580851
LouisS_2016__AS68_0__bin.29	0.6840340687972191	0.7034479985562934	0.7166783066316207	0.6910276214214288	0.42366424820266657	0.5019164057447655	0.8565981847398862	0.5443262470758478	0.4854904127057677	0.5837864462939676	0.5624620943224894	0.6548521421285196	0.6246142416686492	1.0	0.7226020036695807	0.7904523885543163	0.6076238818573076	0.7798045730462451	0.7205451045849655	0.7561155290854721	0.5187042828209913	0.7354675556121465	0.6063730842524437	0.5832689904153385	0.6377167414927334	0.6056474014476319	0.7338744999562006	0.6090154121433157	0.6797982065678123	0.46938274358840576	0.5654055135617958	0.48229855720280873	0.8119213026676502	0.7276927930028094
VogtmannE_2016__MMRS84085284ST-27-0-0__bin.2	0.6913437197053683	0.711357735855413	0.7342498943912793	0.7141161957455976	0.42511532738260144	0.5200603377085412	0.8306461657939449	0.556354276144752	0.5065796560147768	0.5859858889904959	0.5895497677494682	0.6813754976243025	0.634690902224277	0.6691421734961783	1.0	0.7716112233811724	0.6319262365750593	0.7698013580860376	0.7322782360927832	0.7751152608923261	0.5322041215991886	0.7903969425111781	0.6149752057763205	0.5969975651261166	0.662516195922905	0.6407038394587868	0.7671931662181528	0.6350557122017191	0.7023101824537482	0.4626588397269643	0.587886181060112	0.508345637728178	0.8542586356461458	0.7539695802557571
LiJ_2017__nHF611623__bin.25	0.7924038197214073	0.7946156168741917	0.8285699478596311	0.7936886269101987	0.47978107354180466	0.585975277263284	0.9378402981509772	0.6291959026773201	0.5687878828847098	0.6759672106029265	0.6401444788441693	0.7701722840365749	0.7252702781871195	0.744164289480444	0.7844628911090982	1.0	0.7067557153865913	0.9089841866417907	0.8358011004907594	0.8568947413486194	0.5854106110382558	0.8195366402134285	0.7069431863759064	0.6753128647459903	0.7303919315370367	0.7117146835751078	0.847158868143902	0.7139224248651426	0.786755354865458	0.5214681321850735	0.6623778171346681	0.5540159800992335	0.8890361016849856	0.8382900482647667
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.84	0.7808054838663838	0.7950819224139156	0.8248339307127343	0.7902269167243278	0.5110425008389546	0.6131063838159918	0.8541650953347566	0.636393249448804	0.5958878653824923	0.6859593432215201	0.6555962917660022	0.7999440332564883	0.7538233921312071	0.6937728253039639	0.7791652866273369	0.8571536319902407	1.0	0.8456001066866048	0.8201445297427169	0.8432827337130764	0.6245549714755435	0.8103366858724418	0.7199536744025387	0.6954857137235483	0.7467832786236553	0.7331304538881037	0.844479678715913	0.7287536796494208	0.7931575190554737	0.49969885082348725	0.6974560273012771	0.5836292902826649	0.8507158168357146	0.8356605442109947
HeQ_2017__SZAXPI029571-86__bin.34	0.7928265785447275	0.7831627259573674	0.8025494333773019	0.7826299178036146	0.47076058810934907	0.5754167145314931	0.9398691133526997	0.6195664854731555	0.5593721267135794	0.6708765364609292	0.6267719111765897	0.7640540442686694	0.7119380762496743	0.7281699514974725	0.7762585692938906	0.9015923007433836	0.691559505328752	1.0	0.806712220571848	0.8516960687072206	0.5794655201159662	0.8110837505581746	0.6878079459038808	0.6625438102845383	0.7191005912293162	0.6953995681214445	0.8470049432259835	0.7158299895002823	0.782912413401913	0.508452742106997	0.6413825656411153	0.5418024202542192	0.8816236166320177	0.8265718399269087
LiJ_2017__H1M5XX814__bin.21	0.7848605729319051	0.7900680068220904	0.8249672335091187	0.7884785644114282	0.4859787963339589	0.5917749566483269	0.8842352146413288	0.6357931393747368	0.574587475231863	0.6816847804109906	0.6442703241444437	0.779377686435981	0.7174317731488419	0.7161135016971972	0.785918615410598	0.8823289303732882	0.7138856181865323	0.8586028986748303	1.0	0.857894048273188	0.6003943872368869	0.818027159912369	0.6973789185987598	0.6869117195806841	0.7415973872440229	0.725352343844776	0.837402562803432	0.7195664119086868	0.7930894221917749	0.5172557498947429	0.6811904880839393	0.5693543514613498	0.8870220909183895	0.8339258656657128
