	BackhedF_2015__SID590_12M__bin.26	BackhedF_2015__SID130_12M__bin.16	BackhedF_2015__SID9_12M__bin.2	BackhedF_2015__SID635_4M__bin.8	BackhedF_2015__SID180_12M__bin.16	BackhedF_2015__SID229_12M__bin.22	GeversD_2014__SKSTL0001__bin.7	BackhedF_2015__SID157_12M__bin.15	BackhedF_2015__SID608_12M__bin.6	BackhedF_2015__SID281_12M__bin.16	BackhedF_2015__SID608_4M__bin.8	BackhedF_2015__SID332_12M__bin.35	KosticAD_2015__PRJNA231909.3105747__bin.1	BackhedF_2015__SID560_12M__bin.12	BackhedF_2015__SID12_12M__bin.11	WenC_2017__N209__bin.11	BackhedF_2015__SID343_12M__bin.16	BackhedF_2015__SID591_12M__bin.12	BackhedF_2015__SID282_12M__bin.23	BackhedF_2015__SID258_12M__bin.21	BackhedF_2015__SID526_12M__bin.21	BackhedF_2015__SID272_12M__bin.5	KosticAD_2015__PRJNA231909.3112118__bin.9	BackhedF_2015__SID70_4M__bin.11	NielsenHB_2014__V1_CD21_0__bin.18	BackhedF_2015__SID521_12M__bin.10	BackhedF_2015__SID275_12M__bin.13	BackhedF_2015__SID195_12M__bin.8	BackhedF_2015__SID265_12M__bin.15
BackhedF_2015__SID590_12M__bin.26	1.0	0.9889531911258725	0.934816730250092	0.8130999023951502	0.9182056912295071	0.9028451750920462	0.715796848757705	0.9393075582834108	0.9375244169146567	0.9066909569169429	0.9852958356520243	0.9131951205112132	0.8370416686032708	0.8745309754078487	0.5618107521100612	0.8307604761910744	0.9412850928376632	0.9615955692171638	0.9198120258721942	0.8145385375854042	0.9389599116657266	0.6457804431034071	0.9297122604001924	0.9130663625046636	0.8810574361203266	0.8414671755015596	0.9364802208859305	0.9530369303086298	0.8166928788657236
BackhedF_2015__SID130_12M__bin.16	0.9585328696552091	1.0	0.9073324556931203	0.7869717607847018	0.8890076324260157	0.8804857966867813	0.7009355238827208	0.9100448205276495	0.9090829674385335	0.8850969082206479	0.9747029593723603	0.8910263063776034	0.8245482562607962	0.8545060229962028	0.5474246840114753	0.8090012403643474	0.9266191320493407	0.943113999376013	0.8983053426982109	0.79558612922618	0.8938981683699482	0.6272134415925366	0.9063368159923295	0.8764670162008324	0.8647792836325173	0.8232375792349311	0.9076928462176498	0.9223790644761172	0.7976355459505529
BackhedF_2015__SID9_12M__bin.2	0.8797476173250203	0.8809815131375177	1.0	0.7912922125362631	0.9137927977131995	0.8294451576904072	0.6965455645952585	0.9552440128715283	0.8474677206944573	0.9139928809383637	0.8828206828719303	0.8324053254647723	0.7660778840947726	0.8375427652033697	0.5794732343615896	0.7888560441093371	0.8582979271732525	0.8599180988724409	0.8892124109526207	0.7666057255130051	0.8453182298575006	0.5885564808050143	0.8517516296291042	0.8176916720455658	0.8177936346935446	0.7853733547070687	0.9570752029204467	0.8532967331758675	0.7530503086660567
BackhedF_2015__SID635_4M__bin.8	0.9372459940958955	0.9359174800949146	0.9692034526884309	1.0	0.933300995299522	0.8907556059127922	0.758934799645971	0.9680175638962746	0.9046134187153957	0.9526042675344844	0.9440612347216365	0.9006890535152227	0.8307726557791263	0.8834227154174593	0.6126299328322145	0.8515539450892946	0.9195445405133421	0.9227800331947504	0.9285161729384956	0.8155240661940246	0.9025750366065337	0.6602088337131242	0.9071021200115114	0.8884645527487027	0.8653780925507288	0.8495637080382337	0.9707669000917651	0.9129533735024805	0.8124304747356094
BackhedF_2015__SID180_12M__bin.16	0.9229027083434604	0.9219134600269817	0.9759600664380937	0.8138193002535936	1.0	0.8697702254564462	0.7241288207112109	0.9912400704279145	0.8886410682619217	0.9480016489576276	0.9251046854512317	0.8732550057416806	0.8034536571569622	0.8594973835739326	0.5879061078981409	0.8254674308772997	0.897748528911366	0.8993842292227867	0.9029406621461322	0.7908450024020994	0.8862282366948626	0.6184102457590792	0.8890286869385763	0.8546701421878737	0.8411858732562684	0.8276340551415976	0.98642924286204	0.893217683239785	0.7810484769553122
BackhedF_2015__SID229_12M__bin.22	0.9646405944135488	0.9706068083490085	0.9416907527542696	0.825659786557111	0.9245722384660243	1.0	0.7263426749549203	0.9445971891250559	0.9374995386342634	0.9166478205753683	0.9745409998114273	0.9318564484837342	0.8422743216917057	0.8865785184086606	0.5707456542703006	0.8479029836773835	0.9712349368281256	0.953618147544427	0.9386155404085922	0.8234828113581197	0.9317463917844017	0.6512833349327346	0.9242078434188442	0.9273592230533889	0.8813508251903679	0.8604759549599669	0.9396067217800194	0.9583052878888642	0.8218192103968684
GeversD_2014__SKSTL0001__bin.7	0.9127590661644392	0.9221746300370584	0.9438093628636256	0.8395782058048762	0.9186842398229657	0.8668734096819484	1.0	0.9353392798647414	0.8963070582289674	0.928040135482884	0.9219455681735359	0.878691319916929	0.8291594951348382	0.867517746287556	0.6124745809409318	0.8302559486004399	0.902401225080512	0.9037255390362263	0.9243298939347461	0.8127975902051224	0.8786436654383291	0.653634835343765	0.8939319429972344	0.8592530981417957	0.8627178590564734	0.8416934239222279	0.9407266386933542	0.8944345175404522	0.80250702603216
BackhedF_2015__SID157_12M__bin.15	0.8853012222219263	0.8849418931786383	0.9566783552201423	0.7915107181578674	0.9294930707804218	0.8332544526166642	0.6913310240374555	1.0	0.8564634385658332	0.9261303547501138	0.8967985676564199	0.8348379867036415	0.7714714642717712	0.8295365513705857	0.5784318513526193	0.7888645883003765	0.8614466871430944	0.8654963905782386	0.8835048729931665	0.7544329334835767	0.8475106992146558	0.5930012529158486	0.8540594266304259	0.8279542012343278	0.803839492984944	0.7884534614131221	0.9661011230068559	0.8643852528282363	0.74820416874968
BackhedF_2015__SID608_12M__bin.6	0.9584317610791812	0.9588504067348015	0.9205982651889074	0.8022910576132188	0.9038347813635906	0.8970102792918725	0.7185699526712097	0.9289753519159781	1.0	0.8948945777040367	1.0010915607585191	0.9011578891269633	0.8295139408361226	0.8806025158549201	0.5655915649321338	0.8301325989483775	0.9407853972285914	0.9400084628063514	0.9094197198798256	0.8019154322933756	0.9188231947671861	0.6330108520402233	0.9119633774944572	0.8815197479393581	0.8770087125811368	0.8516572139645294	0.9217736192880072	0.9314198059204971	0.8080015256166838
BackhedF_2015__SID281_12M__bin.16	0.7762339326816025	0.7817950013295052	0.8314660664311645	0.7075158579448619	0.8074701788903619	0.734486126768383	0.6230655296821097	0.8412444490807595	0.7494222903569338	1.0	0.7819853531281279	0.7415202709878317	0.6812494606026892	0.7303373716772118	0.514627379632734	0.6964004421108724	0.7615916314036375	0.7664369987973961	0.7852925811999638	0.6712038326312991	0.7463513888825408	0.526599647418999	0.7489343122291083	0.7253078362297009	0.7121585060502565	0.6953061881272636	0.8354720576733687	0.7533003049661655	0.6666445306524201
