	BackhedF_2015__SID590_12M__bin.26	BackhedF_2015__SID130_12M__bin.16	BackhedF_2015__SID9_12M__bin.2	BackhedF_2015__SID635_4M__bin.8	BackhedF_2015__SID180_12M__bin.16	BackhedF_2015__SID229_12M__bin.22	GeversD_2014__SKSTL0001__bin.7	BackhedF_2015__SID157_12M__bin.15	BackhedF_2015__SID608_12M__bin.6	BackhedF_2015__SID281_12M__bin.16	BackhedF_2015__SID608_4M__bin.8	BackhedF_2015__SID332_12M__bin.35	KosticAD_2015__PRJNA231909.3105747__bin.1	BackhedF_2015__SID560_12M__bin.12	BackhedF_2015__SID12_12M__bin.11	WenC_2017__N209__bin.11	BackhedF_2015__SID343_12M__bin.16	BackhedF_2015__SID591_12M__bin.12	BackhedF_2015__SID282_12M__bin.23	BackhedF_2015__SID258_12M__bin.21	BackhedF_2015__SID526_12M__bin.21	BackhedF_2015__SID272_12M__bin.5	KosticAD_2015__PRJNA231909.3112118__bin.9	BackhedF_2015__SID70_4M__bin.11	NielsenHB_2014__V1_CD21_0__bin.18	BackhedF_2015__SID521_12M__bin.10	BackhedF_2015__SID275_12M__bin.13	BackhedF_2015__SID195_12M__bin.8	BackhedF_2015__SID265_12M__bin.15
BackhedF_2015__SID590_12M__bin.26	1.0	0.9895391970776329	0.9383861534267844	0.81639265287972	0.921966681196432	0.903617409087426	0.7186119384423673	0.9429645997133407	0.9395267609384638	0.9105508707181682	0.9877657910703496	0.9161009688882971	0.8388879327996261	0.876802769113655	0.5650369252839271	0.8359089121895519	0.9419307671339221	0.9631111451674293	0.924027437389064	0.8179377489583163	0.9408225061458395	0.6469989335068531	0.9316587046065218	0.9152803721294815	0.8838024940111825	0.8440577237845558	0.9403285150621744	0.9555847686187218	0.8183202544509445
BackhedF_2015__SID130_12M__bin.16	0.95910084999201	1.0	0.9108404800133929	0.7902365823776948	0.8926806328141051	0.8811752261952774	0.7037608151400546	0.913593023521265	0.9109123146111876	0.8888566580170911	0.9768942189889889	0.8935800872059841	0.826100918478385	0.8566634960011567	0.5505793186366645	0.8139833958588572	0.9274607535023172	0.9445707806685792	0.9025734135892187	0.7987708978563764	0.89559054279257	0.6282882211044569	0.908039843851065	0.8783304543690502	0.8673330644608981	0.8255685510565925	0.9114985579813261	0.9245560180499646	0.7991812073386956
BackhedF_2015__SID9_12M__bin.2	0.8831067693740853	0.8843876566678252	1.0	0.7919397492369056	0.9144468363798	0.8327079624257299	0.6979154106050611	0.956144535156721	0.850548470382954	0.9146942066301138	0.8862915505179112	0.8362666066121447	0.7691015938091826	0.8404281603692171	0.5809089866626945	0.793526524474582	0.8614883236513149	0.8624976060943518	0.8923159175219707	0.7702087012854978	0.8483951374752039	0.591554182655592	0.8549907908518521	0.8209145783534185	0.82147611177707	0.788640297057092	0.9576710194373317	0.856797155212567	0.7568876507569471
BackhedF_2015__SID635_4M__bin.8	0.9410414898180443	0.9398002161097707	0.9699965791669457	1.0	0.9344275172534874	0.8945999706785738	0.7607371623737323	0.9692045386671783	0.9080661071462831	0.953482100355296	0.948078270108254	0.9051477202591145	0.834102628611558	0.8867237288166271	0.6140098498272388	0.8567333397285415	0.9231894471825186	0.9259297335551143	0.9322222564104421	0.8196236359654442	0.9059770460292093	0.6636687620023276	0.9105414147045142	0.8921130793470372	0.8695218254578758	0.8532201984807157	0.9715661804498485	0.9167626249554296	0.8168648879541427
BackhedF_2015__SID180_12M__bin.16	0.9266829373920081	0.9257224132608516	0.9766586007470813	0.8148016042615328	1.0	0.8734541811366066	0.7257234864721713	0.9923650484113	0.8920734505827221	0.9489520722763632	0.928890280556378	0.8775039756166388	0.8067067500572905	0.8626242163189988	0.589384298665872	0.8305550838335866	0.9013156939479089	0.902434043273143	0.9063073891861965	0.7947656958733762	0.8897127013297088	0.6217372008502359	0.8925519765711656	0.8582092143398709	0.8450497496576772	0.8312255252580284	0.9872874962674342	0.8971140716311738	0.7851774996827714
BackhedF_2015__SID229_12M__bin.22	0.9654656841198249	0.9713668035440941	0.9453951001952164	0.8292232077367175	0.9284883108376992	1.0	0.7291997871342376	0.9483646178448885	0.9396976527724558	0.9205632218696083	0.9772075259992176	0.9350004462664943	0.8442999689291147	0.8887122091130973	0.5739617928773183	0.8533893772468512	0.9717291853589693	0.9552179961493577	0.9430272034659808	0.8269875132621678	0.933848206310678	0.6526030087085719	0.9263371721199537	0.9298348277109347	0.884276051729333	0.8633072306580384	0.9435637298752265	0.9610687847660053	0.8235163652298675
GeversD_2014__SKSTL0001__bin.7	0.9163487699137655	0.9258916793678533	0.945665484782203	0.8415720852078096	0.9207073526455444	0.8702833078775656	1.0	0.9375566147219502	0.8995183293541176	0.9303383628163717	0.9253158210466205	0.8826306233285892	0.8321753428519484	0.8709276444831732	0.614766801407369	0.8353273462222012	0.9057943040483881	0.9070909864156704	0.9278022635476877	0.8165855205671123	0.8817648335577232	0.6569538296180193	0.8969305710288001	0.8626289574241273	0.8662531005445425	0.8452603015767626	0.9426604494257835	0.898032630903649	0.806847988620591
BackhedF_2015__SID157_12M__bin.15	0.8887479987532999	0.8883922215621697	0.9575802296805198	0.7924812617599605	0.9305479708712604	0.8365778022855577	0.6929699078205569	1.0	0.859561541610392	0.9274844983852392	0.9004540155020587	0.8384540681878657	0.774362079952784	0.8324822207600431	0.5800769508769967	0.7936027590787561	0.8646389142698324	0.8682114855651248	0.8866814127728747	0.7580558226844366	0.85044571304764	0.596007303791987	0.857132370722201	0.8309895548907672	0.8073362914342054	0.7915672518047109	0.9669876061078834	0.8677532966367808	0.752018857967056
BackhedF_2015__SID608_12M__bin.6	0.9604787585486865	0.960779900899125	0.9239448620556143	0.805353206588147	0.9073258495071603	0.8991134600357134	0.7211444308249053	0.9323357538158075	1.0	0.8985137437130916	1.0014668650310805	0.9022805914718284	0.8303377481615227	0.8837404319883807	0.5686646295146471	0.8350009599313729	0.9427543802085908	0.9426593502131433	0.9137814682519554	0.8050209226513626	0.9202277766255748	0.6351737475785009	0.9129550925483	0.883194972656403	0.8789240806650559	0.8529423662340447	0.9254309899236101	0.932100426158162	0.8106851598462312
BackhedF_2015__SID281_12M__bin.16	0.779538472168712	0.7851159411834451	0.8321040675867183	0.7081678397409925	0.8082797117514543	0.7376234362855159	0.6246085084565399	0.842474476593047	0.7524531319189047	1.0	0.7854003934474888	0.7451950285917542	0.6843813929503695	0.7330109003290559	0.5159375269698655	0.700745732745537	0.7647340492317504	0.7690320207752319	0.789095853153804	0.674618066375242	0.7495282205951505	0.5294508915212524	0.7521530858634484	0.7285811881339851	0.7157499175276635	0.6984459173706502	0.8361175868661561	0.7568091768924746	0.6702136268765986
