	BackhedF_2015__SID590_12M__bin.26	BackhedF_2015__SID130_12M__bin.16	BackhedF_2015__SID9_12M__bin.2	BackhedF_2015__SID635_4M__bin.8	BackhedF_2015__SID180_12M__bin.16	BackhedF_2015__SID229_12M__bin.22	GeversD_2014__SKSTL0001__bin.7	BackhedF_2015__SID157_12M__bin.15	BackhedF_2015__SID608_12M__bin.6	BackhedF_2015__SID281_12M__bin.16	BackhedF_2015__SID608_4M__bin.8	BackhedF_2015__SID332_12M__bin.35	KosticAD_2015__PRJNA231909.3105747__bin.1	BackhedF_2015__SID560_12M__bin.12	BackhedF_2015__SID12_12M__bin.11	WenC_2017__N209__bin.11	BackhedF_2015__SID343_12M__bin.16	BackhedF_2015__SID591_12M__bin.12	BackhedF_2015__SID282_12M__bin.23	BackhedF_2015__SID258_12M__bin.21	BackhedF_2015__SID526_12M__bin.21	BackhedF_2015__SID272_12M__bin.5	KosticAD_2015__PRJNA231909.3112118__bin.9	BackhedF_2015__SID70_4M__bin.11	NielsenHB_2014__V1_CD21_0__bin.18	BackhedF_2015__SID521_12M__bin.10	BackhedF_2015__SID275_12M__bin.13	BackhedF_2015__SID195_12M__bin.8	BackhedF_2015__SID265_12M__bin.15
BackhedF_2015__SID590_12M__bin.26	0.0	1866.0	11366.0	10485.0	11976.0	2459.0	8964.0	11645.0	6376.0	12291.0	7865.0	9253.0	5879.0	7234.0	10273.0	16394.0	2056.0	4826.0	13423.0	10824.0	5931.0	3880.0	6198.0	7050.0	8741.0	8249.0	12254.0	8113.0	5182.0
BackhedF_2015__SID130_12M__bin.16	1866.0	0.0	11525.0	10726.0	12067.0	2265.0	9282.0	11657.0	6010.0	12352.0	7199.0	8390.0	5101.0	7088.0	10364.0	16368.0	2765.0	4786.0	14022.0	10463.0	5560.0	3531.0	5595.0	6122.0	8390.0	7658.0	12503.0	7152.0	5078.0
BackhedF_2015__SID9_12M__bin.2	11366.0	11525.0	0.0	2191.0	2213.0	11040.0	4635.0	3047.0	10424.0	2373.0	11744.0	13065.0	10231.0	9763.0	4858.0	15803.0	10795.0	8728.0	10501.0	12191.0	10411.0	10143.0	10960.0	10905.0	12460.0	11054.0	2016.0	11844.0	12984.0
BackhedF_2015__SID635_4M__bin.8	10485.0	10726.0	2191.0	0.0	3112.0	10620.0	4979.0	3279.0	9538.0	2425.0	11097.0	12317.0	9199.0	9119.0	3812.0	14308.0	10069.0	8701.0	10238.0	11325.0	9398.0	9558.0	9501.0	10079.0	11447.0	10101.0	2208.0	10523.0	12250.0
BackhedF_2015__SID180_12M__bin.16	11976.0	12067.0	2213.0	3112.0	0.0	11671.0	5052.0	3564.0	10874.0	3011.0	11993.0	13461.0	10306.0	9906.0	4683.0	16118.0	11301.0	9662.0	10666.0	12421.0	11039.0	10540.0	11162.0	11212.0	12241.0	11378.0	2719.0	12344.0	13081.0
BackhedF_2015__SID229_12M__bin.22	2459.0	2265.0	11040.0	10620.0	11671.0	0.0	8515.0	11228.0	6551.0	11669.0	7947.0	9370.0	6037.0	6359.0	9585.0	16351.0	1473.0	4768.0	13148.0	10445.0	6264.0	3933.0	6346.0	7378.0	8718.0	8438.0	11793.0	8236.0	5058.0
GeversD_2014__SKSTL0001__bin.7	8964.0	9282.0	4635.0	4979.0	5052.0	8515.0	0.0	5537.0	8019.0	5739.0	8416.0	9837.0	7531.0	8515.0	5724.0	12664.0	8473.0	8404.0	8671.0	9459.0	7794.0	8288.0	7488.0	8430.0	8828.0	8907.0	4829.0	8985.0	10840.0
BackhedF_2015__SID157_12M__bin.15	11645.0	11657.0	3047.0	3279.0	3564.0	11228.0	5537.0	0.0	10467.0	4575.0	12350.0	12217.0	9766.0	9952.0	5558.0	16008.0	10785.0	9173.0	10732.0	12240.0	9916.0	10156.0	10382.0	10255.0	11814.0	10520.0	2995.0	11379.0	12888.0
BackhedF_2015__SID608_12M__bin.6	6376.0	6010.0	10424.0	9538.0	10874.0	6551.0	8019.0	10467.0	0.0	11273.0	1169.0	3497.0	2566.0	9774.0	9572.0	15164.0	6133.0	8257.0	13586.0	9673.0	4375.0	6737.0	3089.0	5218.0	5966.0	4003.0	11392.0	2120.0	8359.0
BackhedF_2015__SID281_12M__bin.16	12291.0	12352.0	2373.0	2425.0	3011.0	11669.0	5739.0	4575.0	11273.0	0.0	12702.0	13668.0	11649.0	9944.0	4873.0	16162.0	11688.0	9652.0	14146.0	12699.0	11816.0	10605.0	11972.0	12175.0	13358.0	11678.0	2401.0	13051.0	13275.0
