	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.6	LiJ_2014__MH0355__bin.86	XieH_2016__YSZC12003_36526__bin.48	NielsenHB_2014__V1_UC10_2__bin.56	ZellerG_2014__CCIS20795251ST-4-0__bin.48	ZeeviD_2015__PNP_Main_688__bin.22	LiuW_2016__SRR3993041__bin.110	IjazUZ_2017__S130_a_WGS__bin.9	KarlssonFH_2013__S598__bin.41	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.113	BritoIL_2016__W2.68.ST__bin.39	LeChatelierE_2013__MH0457__bin.109	BritoIL_2016__M1.59.ST__bin.86	NielsenHB_2014__MH0117__bin.28	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.9	HeQ_2017__SZAXPI029560-51__bin.8	ZeeviD_2015__PNP_Main_326__bin.18	BackhedF_2015__SID599_M__bin.7	ZellerG_2014__CCIS15794887ST-4-0__bin.48	ZeeviD_2015__PNP_Main_223__bin.127	CosteaPI_2017__SID713B051-11-0-0__bin.81	XieH_2016__YSZC12003_35550__bin.11	LeChatelierE_2013__MH0451__bin.82	NielsenHB_2014__MH0099__bin.19	LeChatelierE_2013__MH0099__bin.44	NielsenHB_2014__V1_UC37_0__bin.35	BackhedF_2015__SID511_M__bin.69	VogtmannE_2016__MMRS29805707ST-27-0-0__bin.51	XieH_2016__YSZC12003_36118__bin.30	ZeeviD_2015__PNP_Main_183__bin.3	HMP_2012__SRS011134__bin.55	ZeeviD_2015__PNP_Main_616__bin.33
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.6	0.0	43596.0	32579.0	42272.0	41669.0	26581.0	22104.0	28665.0	41388.0	171.0	29047.0	40681.0	30893.0	40842.0	26594.0	34380.0	43230.0	43240.0	35685.0	43263.0	29749.0	26796.0	43353.0	42173.0	42971.0	40835.0	36382.0	38801.0	39782.0	42427.0	33825.0	43203.0
LiJ_2014__MH0355__bin.86	43596.0	0.0	19162.0	29323.0	40537.0	38187.0	14687.0	19629.0	28242.0	41818.0	41351.0	28525.0	34676.0	23304.0	28037.0	38419.0	29126.0	30371.0	21715.0	29925.0	30782.0	5046.0	27850.0	2254.0	2492.0	9883.0	9238.0	21519.0	27081.0	29703.0	44068.0	10767.0
XieH_2016__YSZC12003_36526__bin.48	32579.0	19162.0	0.0	20686.0	31663.0	27705.0	9456.0	14952.0	20461.0	30912.0	31813.0	18850.0	27109.0	14168.0	23587.0	29610.0	21292.0	20689.0	13875.0	20114.0	25463.0	11330.0	17121.0	18044.0	18273.0	15471.0	14429.0	13112.0	19320.0	20695.0	32902.0	16310.0
NielsenHB_2014__V1_UC10_2__bin.56	42272.0	29323.0	20686.0	0.0	42506.0	37717.0	15549.0	5871.0	28240.0	41337.0	40855.0	7343.0	35685.0	22433.0	29319.0	39152.0	13046.0	7270.0	21534.0	7499.0	30928.0	18556.0	25079.0	27743.0	28119.0	26302.0	23603.0	22856.0	10249.0	8580.0	43133.0	27357.0
ZellerG_2014__CCIS20795251ST-4-0__bin.48	41669.0	40537.0	31663.0	42506.0	0.0	33595.0	21078.0	30194.0	40604.0	39987.0	40060.0	41801.0	25474.0	39300.0	22021.0	30758.0	43292.0	45092.0	35195.0	43695.0	19278.0	25083.0	40735.0	39328.0	40604.0	38984.0	34932.0	37787.0	38591.0	43343.0	42130.0	41665.0
ZeeviD_2015__PNP_Main_688__bin.22	26581.0	38187.0	27705.0	37717.0	33595.0	0.0	20236.0	25271.0	36386.0	26095.0	27784.0	36009.0	25757.0	35203.0	23447.0	28344.0	37523.0	37358.0	32660.0	36739.0	24342.0	24624.0	37526.0	36866.0	37109.0	35506.0	32171.0	34903.0	33910.0	36741.0	31410.0	37596.0
LiuW_2016__SRR3993041__bin.110	22104.0	14687.0	9456.0	15549.0	21078.0	20236.0	0.0	11202.0	14845.0	21469.0	22624.0	15063.0	20038.0	10736.0	17991.0	20823.0	15252.0	15986.0	8589.0	15089.0	18281.0	9876.0	13988.0	14654.0	15359.0	13422.0	13455.0	11831.0	15129.0	15997.0	22506.0	13826.0
IjazUZ_2017__S130_a_WGS__bin.9	28665.0	19629.0	14952.0	5871.0	30194.0	25271.0	11202.0	0.0	20746.0	27449.0	28168.0	6950.0	24708.0	15239.0	20557.0	26026.0	9222.0	1344.0	14727.0	6753.0	22363.0	12286.0	17744.0	18591.0	19361.0	18223.0	17280.0	15380.0	7592.0	7287.0	30031.0	19642.0
KarlssonFH_2013__S598__bin.41	41388.0	28242.0	20461.0	28240.0	40604.0	36386.0	14845.0	20746.0	0.0	39718.0	40413.0	26782.0	34031.0	19392.0	28747.0	37185.0	29586.0	29279.0	20076.0	27753.0	30322.0	16664.0	27831.0	27664.0	28285.0	24139.0	22311.0	21452.0	28437.0	27884.0	42961.0	25701.0
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.113	171.0	41818.0	30912.0	41337.0	39987.0	26095.0	21469.0	27449.0	39718.0	0.0	28241.0	40014.0	30608.0	39570.0	25894.0	34213.0	41335.0	41590.0	35762.0	41019.0	28977.0	26755.0	41022.0	40789.0	41811.0	39769.0	34865.0	37967.0	38118.0	40397.0	32510.0	42012.0
BritoIL_2016__W2.68.ST__bin.39	29047.0	41351.0	31813.0	40855.0	40060.0	27784.0	22624.0	28168.0	40413.0	28241.0	0.0	40037.0	30188.0	38993.0	26961.0	33674.0	41676.0	41774.0	35043.0	41228.0	28950.0	25685.0	41124.0	40223.0	41079.0	38688.0	35334.0	37868.0	38473.0	40819.0	33809.0	41515.0
LeChatelierE_2013__MH0457__bin.109	40681.0	28525.0	18850.0	7343.0	41801.0	36009.0	15063.0	6950.0	26782.0	40014.0	40037.0	0.0	34713.0	20207.0	28340.0	37471.0	14063.0	9587.0	21843.0	9496.0	29983.0	16875.0	25227.0	26131.0	27058.0	24213.0	22720.0	21182.0	10457.0	10572.0	42452.0	26258.0
BritoIL_2016__M1.59.ST__bin.86	30893.0	34676.0	27109.0	35685.0	25474.0	25757.0	20038.0	24708.0	34031.0	30608.0	30188.0	34713.0	0.0	33484.0	19048.0	14575.0	35035.0	35292.0	30697.0	35432.0	19471.0	22222.0	34874.0	33855.0	34310.0	33631.0	30428.0	33638.0	31003.0	34842.0	32115.0	35234.0
NielsenHB_2014__MH0117__bin.28	40842.0	23304.0	14168.0	22433.0	39300.0	35203.0	10736.0	15239.0	19392.0	39570.0	38993.0	20207.0	33484.0	0.0	26518.0	37354.0	24609.0	22133.0	14881.0	20962.0	27949.0	13059.0	22357.0	22167.0	22565.0	18177.0	16499.0	13473.0	22995.0	23234.0	41277.0	18930.0
VogtmannE_2016__MMRS94549160ST-27-0-0__bin.9	26594.0	28037.0	23587.0	29319.0	22021.0	23447.0	17991.0	20557.0	28747.0	25894.0	26961.0	28340.0	19048.0	26518.0	0.0	21560.0	28405.0	29399.0	24646.0	29586.0	18043.0	18187.0	28856.0	27851.0	28123.0	26312.0	25364.0	26569.0	26707.0	29230.0	27689.0	28471.0
HeQ_2017__SZAXPI029560-51__bin.8	34380.0	38419.0	29610.0	39152.0	30758.0	28344.0	20823.0	26026.0	37185.0	34213.0	33674.0	37471.0	14575.0	37354.0	21560.0	0.0	38592.0	39102.0	33670.0	38843.0	21903.0	25742.0	38111.0	37991.0	38294.0	37348.0	33599.0	36751.0	34702.0	38082.0	35913.0	38819.0
ZeeviD_2015__PNP_Main_326__bin.18	43230.0	29126.0	21292.0	13046.0	43292.0	37523.0	15252.0	9222.0	29586.0	41335.0	41676.0	14063.0	35035.0	24609.0	28405.0	38592.0	0.0	12793.0	21660.0	14881.0	30370.0	17245.0	22527.0	28161.0	29019.0	27169.0	24978.0	23604.0	13991.0	12673.0	44354.0	29194.0
BackhedF_2015__SID599_M__bin.7	43240.0	30371.0	20689.0	7270.0	45092.0	37358.0	15986.0	1344.0	29279.0	41590.0	41774.0	9587.0	35292.0	22133.0	29399.0	39102.0	12793.0	0.0	21834.0	9582.0	31560.0	17183.0	26023.0	27755.0	28525.0	26734.0	24600.0	22640.0	11095.0	10394.0	44278.0	29052.0
ZellerG_2014__CCIS15794887ST-4-0__bin.48	35685.0	21715.0	13875.0	21534.0	35195.0	32660.0	8589.0	14727.0	20076.0	35762.0	35043.0	21843.0	30697.0	14881.0	24646.0	33670.0	21660.0	21834.0	0.0	20707.0	25510.0	13308.0	20231.0	20803.0	21273.0	18933.0	17037.0	16502.0	21164.0	22133.0	36430.0	19258.0
ZeeviD_2015__PNP_Main_223__bin.127	43263.0	29925.0	20114.0	7499.0	43695.0	36739.0	15089.0	6753.0	27753.0	41019.0	41228.0	9496.0	35432.0	20962.0	29586.0	38843.0	14881.0	9582.0	20707.0	0.0	30468.0	16962.0	25601.0	27941.0	28827.0	25889.0	24407.0	20866.0	11936.0	10679.0	44010.0	28997.0
CosteaPI_2017__SID713B051-11-0-0__bin.81	29749.0	30782.0	25463.0	30928.0	19278.0	24342.0	18281.0	22363.0	30322.0	28977.0	28950.0	29983.0	19471.0	27949.0	18043.0	21903.0	30370.0	31560.0	25510.0	30468.0	0.0	19193.0	29391.0	30027.0	30442.0	28958.0	26975.0	27946.0	27666.0	30703.0	30317.0	30954.0
XieH_2016__YSZC12003_35550__bin.11	26796.0	5046.0	11330.0	18556.0	25083.0	24624.0	9876.0	12286.0	16664.0	26755.0	25685.0	16875.0	22222.0	13059.0	18187.0	25742.0	17245.0	17183.0	13308.0	16962.0	19193.0	0.0	16536.0	4808.0	4833.0	7609.0	7432.0	13372.0	16697.0	17487.0	27124.0	7772.0
LeChatelierE_2013__MH0451__bin.82	43353.0	27850.0	17121.0	25079.0	40735.0	37526.0	13988.0	17744.0	27831.0	41022.0	41124.0	25227.0	34874.0	22357.0	28856.0	38111.0	22527.0	26023.0	20231.0	25601.0	29391.0	16536.0	0.0	26710.0	27554.0	24392.0	23051.0	21402.0	25389.0	25662.0	44013.0	25907.0
NielsenHB_2014__MH0099__bin.19	42173.0	2254.0	18044.0	27743.0	39328.0	36866.0	14654.0	18591.0	27664.0	40789.0	40223.0	26131.0	33855.0	22167.0	27851.0	37991.0	28161.0	27755.0	20803.0	27941.0	30027.0	4808.0	26710.0	0.0	646.0	9349.0	8941.0	20490.0	25170.0	28317.0	42749.0	10201.0
LeChatelierE_2013__MH0099__bin.44	42971.0	2492.0	18273.0	28119.0	40604.0	37109.0	15359.0	19361.0	28285.0	41811.0	41079.0	27058.0	34310.0	22565.0	28123.0	38294.0	29019.0	28525.0	21273.0	28827.0	30442.0	4833.0	27554.0	646.0	0.0	9680.0	9312.0	20733.0	25729.0	29097.0	43857.0	10655.0
NielsenHB_2014__V1_UC37_0__bin.35	40835.0	9883.0	15471.0	26302.0	38984.0	35506.0	13422.0	18223.0	24139.0	39769.0	38688.0	24213.0	33631.0	18177.0	26312.0	37348.0	27169.0	26734.0	18933.0	25889.0	28958.0	7609.0	24392.0	9349.0	9680.0	0.0	1439.0	17101.0	25835.0	27537.0	40610.0	594.0
BackhedF_2015__SID511_M__bin.69	36382.0	9238.0	14429.0	23603.0	34932.0	32171.0	13455.0	17280.0	22311.0	34865.0	35334.0	22720.0	30428.0	16499.0	25364.0	33599.0	24978.0	24600.0	17037.0	24407.0	26975.0	7432.0	23051.0	8941.0	9312.0	1439.0	0.0	15858.0	23441.0	24889.0	37285.0	1193.0
