	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.6	LiJ_2014__MH0355__bin.86	XieH_2016__YSZC12003_36526__bin.48	NielsenHB_2014__V1_UC10_2__bin.56	ZellerG_2014__CCIS20795251ST-4-0__bin.48	ZeeviD_2015__PNP_Main_688__bin.22	LiuW_2016__SRR3993041__bin.110	IjazUZ_2017__S130_a_WGS__bin.9	KarlssonFH_2013__S598__bin.41	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.113	BritoIL_2016__W2.68.ST__bin.39	LeChatelierE_2013__MH0457__bin.109	BritoIL_2016__M1.59.ST__bin.86	NielsenHB_2014__MH0117__bin.28	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.9	HeQ_2017__SZAXPI029560-51__bin.8	ZeeviD_2015__PNP_Main_326__bin.18	BackhedF_2015__SID599_M__bin.7	ZellerG_2014__CCIS15794887ST-4-0__bin.48	ZeeviD_2015__PNP_Main_223__bin.127	CosteaPI_2017__SID713B051-11-0-0__bin.81	XieH_2016__YSZC12003_35550__bin.11	LeChatelierE_2013__MH0451__bin.82	NielsenHB_2014__MH0099__bin.19	LeChatelierE_2013__MH0099__bin.44	NielsenHB_2014__V1_UC37_0__bin.35	BackhedF_2015__SID511_M__bin.69	VogtmannE_2016__MMRS29805707ST-27-0-0__bin.51	XieH_2016__YSZC12003_36118__bin.30	ZeeviD_2015__PNP_Main_183__bin.3	HMP_2012__SRS011134__bin.55	ZeeviD_2015__PNP_Main_616__bin.33
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.6	1.0	0.7975503327692319	0.6071926722469702	0.7685997890311369	0.824503502234904	0.7176242477594045	0.4263756611748993	0.5385807411229918	0.7636177365621182	0.9278137402958118	0.8187914064337914	0.7535724313782034	0.6507509125541651	0.7455654800300516	0.5541901603515136	0.706924787323655	0.7993648167682302	0.7946529258649344	0.6327161102805582	0.7932269888368634	0.6015329392212365	0.47704233795997664	0.7986871362115152	0.7788902127142889	0.7936838350800239	0.7522944761066379	0.6765042914709387	0.6923724890531444	0.7415646604387849	0.7877600115349882	0.8564182343879246	0.8033352811273933
LiJ_2014__MH0355__bin.86	0.8165726908323252	1.0	0.655356156368951	0.8279811007176973	0.8118836113759321	0.706441093585013	0.4457111822307587	0.574081628054603	0.8125432681213303	0.7841850208969001	0.7842510642695253	0.7996850119616202	0.6633738218056568	0.7982732377491486	0.5705580198798321	0.7049935782532383	0.8572033506522366	0.8786930871236401	0.6683294056951142	0.8506673877048996	0.6057529216422578	0.5225437110004172	0.8539516857765108	0.8977508735207256	0.9203478077096702	0.8174110531742388	0.7309587244460709	0.7405544379980933	0.8076350800639921	0.8395153815014844	0.8233075608783924	0.8801701277278826
XieH_2016__YSZC12003_36526__bin.48	0.8101587275871706	0.8540518264405571	1.0	0.842990712876821	0.8201343858469589	0.6896083855472437	0.4678626251007489	0.5888422890146253	0.8413858186074581	0.7741685938898587	0.7860184851418179	0.7947568053592331	0.662378848202316	0.8007045333959765	0.6241975528653185	0.6915261582577632	0.8474094880134143	0.8566976237439298	0.6525398844071105	0.860400524906744	0.6818643909907209	0.498682670382056	0.852983584513631	0.8510020210529726	0.8573365437969065	0.7786359715027481	0.7274950283716956	0.7349079185584505	0.7692587312323563	0.823366450520654	0.826560038233948	0.8587014633395571
NielsenHB_2014__V1_UC10_2__bin.56	0.8628725414521854	0.9078833698824804	0.7092928549399282	1.0	0.8768242624995527	0.7721318291101603	0.48131307709740134	0.6299164566581641	0.8783015636900837	0.8499201712101772	0.8398210199341944	0.9167113946438886	0.7227018765303358	0.8665249002779098	0.6165559968715975	0.7685016212826791	0.9385096808381937	0.9473828595575594	0.7378122651781196	0.9611403333895628	0.6529211202952557	0.5577391328054581	0.911123379356292	0.900937328010278	0.9143574250998073	0.8704822613102146	0.7738366040134201	0.8070605454938906	0.8705214515378756	0.927789449649929	0.8775330944433369	0.9245298450622869
ZellerG_2014__CCIS20795251ST-4-0__bin.48	0.8444449453292834	0.8121492726633981	0.6295355553966542	0.799917146738877	1.0	0.7146979819867995	0.43735485134601576	0.5669976651857748	0.7868463841468912	0.8066860871809062	0.8061762209586106	0.7820057639754643	0.6983317425921723	0.7612916714596164	0.6123089167519035	0.760821444227164	0.8307127556714845	0.8379993346867587	0.6570092615333916	0.8244738895642199	0.663667834591936	0.4869377869940588	0.8190130357870127	0.8028822986261592	0.8233119230972508	0.7638487749220433	0.6943872744852372	0.7087086083450178	0.777733302658455	0.8132016489819774	0.8393975806225964	0.8315599419249937
ZeeviD_2015__PNP_Main_688__bin.22	0.9582047296434629	0.9212985949688007	0.6901129010357875	0.9183458610046591	0.9317618519741975	1.0	0.5095563603348728	0.6235183132329903	0.8849051862330045	0.9457402202086977	0.9172717710932006	0.8990132558907752	0.791294197279918	0.8529429050281594	0.670087203941302	0.8481368593205671	0.9147800851570907	0.9163486617447678	0.7825150321922986	0.915138790655823	0.7044580811079744	0.589960096546497	0.921474907841059	0.9009780297948489	0.9151641229650556	0.8730435857579731	0.7905747596977146	0.8409911215322602	0.8588129077235171	0.8992665789831004	0.9566452726871095	0.9195820776952057
LiuW_2016__SRR3993041__bin.110	0.903815713274564	0.9227929348175793	0.7432967634000386	0.9088009137121164	0.905195933337623	0.808944083392317	1.0	0.6432549385496429	0.9153529373914162	0.8790457499517406	0.9079081140209768	0.8941364777041374	0.7925069171867962	0.8471864744868413	0.7646580014156104	0.8031336464834953	0.9252332539733608	0.9210797245994466	0.7589714304098836	0.9174345280226498	0.7531996010552732	0.5898317354095618	0.9226368959526414	0.9272537159770928	0.9356975098127533	0.8767743388456342	0.8732642687085773	0.8389743259764494	0.8733929605559487	0.9206067820603565	0.916707419085001	0.9330914999034812
IjazUZ_2017__S130_a_WGS__bin.9	0.7520010511213727	0.7828968142121782	0.6162018915946317	0.7834372092727554	0.772983213845981	0.6520120709422159	0.42370469423175955	1.0	0.7676280047554765	0.71862582834086	0.729542868162678	0.7720422906816818	0.6322770552495671	0.7368392610786285	0.5408199594385825	0.6504979051744416	0.8211334733415699	0.8426094088078038	0.6210167056245589	0.8202910928059642	0.5669221004626206	0.49021249181460425	0.7881471230850412	0.7731707627199461	0.7900162542357436	0.7317574283128866	0.6853925917135185	0.6887504582762033	0.7684629681039763	0.7983944968710066	0.7592529409146875	0.7955017938996815
KarlssonFH_2013__S598__bin.41	0.7224504565564202	0.7508303310267386	0.5966005608773005	0.7401663390335277	0.7268472980676585	0.627000081848454	0.40853866047107373	0.5201340017145097	1.0	0.6960256113864123	0.6987093791148592	0.7176170899571946	0.5932548258279259	0.7099793368552101	0.5199789204332511	0.6227497059917376	0.7669731436555243	0.7625231724460769	0.5899349376587609	0.7601589008757784	0.5415402443104554	0.4469643557162529	0.7576129831751169	0.7452933549106918	0.758890249838816	0.7029489854381549	0.6472051624835405	0.6481801642425643	0.7170240476501596	0.7524235040041125	0.7455137713613695	0.7659119856291347
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.113	1.0022913348193534	0.8273989537740621	0.6267944348846913	0.8178335531757737	0.8508615664860105	0.7651451492974742	0.44797850162278974	0.5559917790677752	0.7947423088620961	1.0	0.8562025490792441	0.8012244499771687	0.6943933209434561	0.7753040834947652	0.5820957802548423	0.7557863377419326	0.833323632392834	0.8268086993662144	0.6833850762370953	0.8218677780938554	0.6275470092546972	0.5121260389912224	0.825815924244126	0.8094339050329845	0.8280179011045136	0.8003472663432838	0.7063500716913166	0.7386205918448155	0.7684989420509537	0.8177196012831475	0.8782616679769768	0.8395704915425561
