	HMP_2012__SRS019126__bin.26	HMP_2012__SRS023958__bin.34	FerrettiP_2018__CA_C10005MS2061SA_t0M15__bin.32	HMP_2012__SRS063288__bin.15	HMP_2012__SRS019127__bin.32	HMP_2012__SRS018145__bin.57	HMP_2012__SRS047824__bin.58	HMP_2012__SRS057539__bin.64	HMP_2012__SRS022530__bin.53	HMP_2012__SRS022621__bin.36	HMP_2012__SRS023926__bin.59	HMP_2012__SRS013252__bin.16	HMP_2012__SRS057205__bin.2	HMP_2012__SRS024441__bin.2	HMP_2012__SRS011115__bin.71	HMP_2012__SRS015644__bin.55	HMP_2012__SRS022077__bin.47	HMP_2012__SRS017209__bin.31	HMP_2012__SRS018300__bin.3	HMP_2012__SRS077736__bin.49	HMP_2012__SRS062761__bin.49	HMP_2012__SRS042131__bin.27	HMP_2012__SRS016037__bin.60	CM_cf__CF_TNFC057IS_t1M15__bin.15	HMP_2012__SRS016002__bin.40	HMP_2012__SRS019327__bin.47	HMP_2012__SRS013164__bin.35	HMP_2012__SRS017439__bin.53	HMP_2012__SRS017808__bin.52	HMP_2012__SRS057692__bin.13	HMP_2012__SRS015762__bin.44	HMP_2012__SRS019122__bin.5	HMP_2012__SRS042643__bin.39	HMP_2012__SRS021496__bin.20	HMP_2012__SRS011306__bin.51	HMP_2012__SRS043663__bin.27	HMP_2012__SRS016225__bin.43	HMP_2012__SRS063193__bin.55	HMP_2012__SRS024277__bin.47	CM_cf__CF_TNFC057SA_t1M16__bin.3	HMP_2012__SRS024081__bin.3	HMP_2012__SRS011243__bin.13	HMP_2012__SRS064329__bin.27
HMP_2012__SRS019126__bin.26	2759195.0	1978993.0	1562642.0	1844017.0	2529390.0	1704299.0	2230544.0	2057206.0	2179243.0	1900113.0	2169022.0	1983713.0	1652242.0	2309475.0	2131409.0	2205042.0	1991324.0	1438987.0	2081770.0	1465660.0	1842846.0	2146617.0	1648933.0	1237583.0	1950051.0	1949207.0	2159364.0	2163199.0	2236678.0	2093533.0	1669970.0	2560625.0	1927420.0	1985907.0	2011283.0	2069085.0	2092051.0	2074433.0	1944643.0	1303410.0	2177522.0	1290087.0	2141300.0
HMP_2012__SRS023958__bin.34	1978993.0	2307166.0	1471777.0	1648377.0	1947969.0	1588281.0	2001203.0	1870152.0	1897383.0	1751070.0	1954427.0	1779462.0	1501718.0	1987226.0	1883150.0	1905495.0	1775110.0	1301794.0	1862423.0	1327745.0	1665441.0	1846792.0	1470249.0	1178820.0	1737977.0	1720690.0	2159363.0	1891634.0	1972029.0	1932170.0	1476383.0	1969531.0	1738196.0	1797428.0	1806333.0	1869939.0	1856087.0	1821897.0	1794985.0	1242121.0	1831958.0	1178740.0	1813920.0
FerrettiP_2018__CA_C10005MS2061SA_t0M15__bin.32	1562642.0	1471777.0	1901521.0	1329499.0	1532098.0	1295120.0	1565466.0	1491836.0	1524761.0	1402094.0	1557680.0	1412418.0	1221469.0	1582151.0	1492863.0	1554074.0	1430384.0	1044912.0	1511917.0	1080053.0	1356570.0	1501716.0	1214056.0	1011061.0	1392273.0	1387743.0	1537880.0	1515204.0	1555466.0	1497126.0	1213518.0	1548080.0	1404937.0	1445969.0	1457642.0	1499188.0	1509175.0	1491493.0	1421972.0	1060592.0	1470966.0	978400.0	1466593.0
HMP_2012__SRS063288__bin.15	1844017.0	1648377.0	1329499.0	2042345.0	1792618.0	1471114.0	1805120.0	1690993.0	1868582.0	1595611.0	1762674.0	1605919.0	1371016.0	1861047.0	1778615.0	1793197.0	1620187.0	1189170.0	1724538.0	1243671.0	1535377.0	1750743.0	1402978.0	1036117.0	1595476.0	1593718.0	1752805.0	1736152.0	1770849.0	1720277.0	1361847.0	1817009.0	1594327.0	1708584.0	1684914.0	1706450.0	1718009.0	1703262.0	1612867.0	1117347.0	1714802.0	1102339.0	1704586.0
HMP_2012__SRS019127__bin.32	2529390.0	1947969.0	1532098.0	1792618.0	2708486.0	1654711.0	2169271.0	2012212.0	2119225.0	1863279.0	2107698.0	1921722.0	1617583.0	2241454.0	2078138.0	2140116.0	1964872.0	1410878.0	2021629.0	1423273.0	1794558.0	2091226.0	1612281.0	1211803.0	1922626.0	1883895.0	2098066.0	2091611.0	2178987.0	2032800.0	1642283.0	2486654.0	1904938.0	1952353.0	1946601.0	2017817.0	2049072.0	2033063.0	1888172.0	1256331.0	2086869.0	1252663.0	2084714.0
HMP_2012__SRS018145__bin.57	1704299.0	1588281.0	1295120.0	1471114.0	1654711.0	1907228.0	1719958.0	1624567.0	1642912.0	1514062.0	1686240.0	1561664.0	1329141.0	1711967.0	1621865.0	1675263.0	1548579.0	1142619.0	1617546.0	1157359.0	1455186.0	1629095.0	1309645.0	1055628.0	1516455.0	1508459.0	1649864.0	1646827.0	1674103.0	1708704.0	1320439.0	1683534.0	1510720.0	1577195.0	1623300.0	1606266.0	1624840.0	1617821.0	1552723.0	1133081.0	1616166.0	1063264.0	1580535.0
HMP_2012__SRS047824__bin.58	2230544.0	2001203.0	1565466.0	1805120.0	2169271.0	1719958.0	2656022.0	2055649.0	2125972.0	1912367.0	2236343.0	1962641.0	1680344.0	2246416.0	2114951.0	2181186.0	1989101.0	1455134.0	2063377.0	1461782.0	1886392.0	2094218.0	1636711.0	1241520.0	1903547.0	1931590.0	2205304.0	2115181.0	2206917.0	2116795.0	1684934.0	2216183.0	1947072.0	1980113.0	1976936.0	2123046.0	2105108.0	2051359.0	1949754.0	1303910.0	2054846.0	1263397.0	2017548.0
HMP_2012__SRS057539__bin.64	2057206.0	1870152.0	1491836.0	1690993.0	2012212.0	1624567.0	2055649.0	2538699.0	1988098.0	1834276.0	2080926.0	1902105.0	1523021.0	2071171.0	2013783.0	2032502.0	1832697.0	1355678.0	1984560.0	1423303.0	1795963.0	1943155.0	1567895.0	1184084.0	1793198.0	1784217.0	2003016.0	1946551.0	2073259.0	1976793.0	1562931.0	2055848.0	1872120.0	1907279.0	1866005.0	2006085.0	1907762.0	1967568.0	1823789.0	1238917.0	1938278.0	1179465.0	1909428.0
HMP_2012__SRS022530__bin.53	2179243.0	1897383.0	1524761.0	1868582.0	2119225.0	1642912.0	2125972.0	1988098.0	3385603.0	1838231.0	2087460.0	1894912.0	1561012.0	2184696.0	2219042.0	2100091.0	1930961.0	1376934.0	2034454.0	1443508.0	1825417.0	2056408.0	1621591.0	1191525.0	1856247.0	1856479.0	2043103.0	1993519.0	2091585.0	2014961.0	1579766.0	2147519.0	1865080.0	2086315.0	1932631.0	2016183.0	2023190.0	2010981.0	1866506.0	1242285.0	1999912.0	1252407.0	2001929.0
HMP_2012__SRS022621__bin.36	1900113.0	1751070.0	1402094.0	1595611.0	1863279.0	1514062.0	1912367.0	1834276.0	1838231.0	2333383.0	1875774.0	1749829.0	1400040.0	1905782.0	1868841.0	1870277.0	1721058.0	1275038.0	1849418.0	1357751.0	1724354.0	1839233.0	1472155.0	1091263.0	1701092.0	1639442.0	1856723.0	1775107.0	1872313.0	1814745.0	1486577.0	1892034.0	1766638.0	1806758.0	1764649.0	1886575.0	1822560.0	1784182.0	1701531.0	1141414.0	1816833.0	1139909.0	1778952.0
