	HMP_2012__SRS019126__bin.26	HMP_2012__SRS023958__bin.34	FerrettiP_2018__CA_C10005MS2061SA_t0M15__bin.32	HMP_2012__SRS063288__bin.15	HMP_2012__SRS019127__bin.32	HMP_2012__SRS018145__bin.57	HMP_2012__SRS047824__bin.58	HMP_2012__SRS057539__bin.64	HMP_2012__SRS022530__bin.53	HMP_2012__SRS022621__bin.36	HMP_2012__SRS023926__bin.59	HMP_2012__SRS013252__bin.16	HMP_2012__SRS057205__bin.2	HMP_2012__SRS024441__bin.2	HMP_2012__SRS011115__bin.71	HMP_2012__SRS015644__bin.55	HMP_2012__SRS022077__bin.47	HMP_2012__SRS017209__bin.31	HMP_2012__SRS018300__bin.3	HMP_2012__SRS077736__bin.49	HMP_2012__SRS062761__bin.49	HMP_2012__SRS042131__bin.27	HMP_2012__SRS016037__bin.60	CM_cf__CF_TNFC057IS_t1M15__bin.15	HMP_2012__SRS016002__bin.40	HMP_2012__SRS019327__bin.47	HMP_2012__SRS013164__bin.35	HMP_2012__SRS017439__bin.53	HMP_2012__SRS017808__bin.52	HMP_2012__SRS057692__bin.13	HMP_2012__SRS015762__bin.44	HMP_2012__SRS019122__bin.5	HMP_2012__SRS042643__bin.39	HMP_2012__SRS021496__bin.20	HMP_2012__SRS011306__bin.51	HMP_2012__SRS043663__bin.27	HMP_2012__SRS016225__bin.43	HMP_2012__SRS063193__bin.55	HMP_2012__SRS024277__bin.47	CM_cf__CF_TNFC057SA_t1M16__bin.3	HMP_2012__SRS024081__bin.3	HMP_2012__SRS011243__bin.13	HMP_2012__SRS064329__bin.27
HMP_2012__SRS019126__bin.26	1.0	0.6978557151632995	0.5527398389747734	0.6492462475468389	0.9157580381234381	0.6024463656972414	0.788604284945428	0.7073389158794504	0.7602162949700909	0.654092588599211	0.7647737836579147	0.6765487760016962	0.5859092960084373	0.8167364031900609	0.7379442192378575	0.7781468870449533	0.7003698542509681	0.5084573580337743	0.7205569015600565	0.5076013112520137	0.6369368602074156	0.7577630432064424	0.5732418332158473	0.43756747892048226	0.6893945516717738	0.6905811296410729	0.7611923042771533	0.7665366166581196	0.7891294381151024	0.7364814737631808	0.5898426896250536	0.9277445051908256	0.6622779470099068	0.6866810790828485	0.706360007176006	0.7151596751951202	0.7374698055048665	0.7298172111793476	0.6834399163524144	0.4608626791509843	0.7686419408559381	0.45737144348260994	0.7565181148849573
HMP_2012__SRS023958__bin.34	0.8345823404124367	1.0	0.6208057851060566	0.6922462449602672	0.8211095343811412	0.6708364287615195	0.8444468235055475	0.7709263225966403	0.7896501595463873	0.7220542431710593	0.8236672177034509	0.7281387641808175	0.6346838502301092	0.8388806873887704	0.780177065716121	0.802136907357338	0.7450746933684008	0.5494268726220827	0.7717550449339147	0.550378256267646	0.6891766782277479	0.777599444513312	0.6113881705954406	0.4976551318804109	0.7339493560498032	0.7279783942724538	0.9354407095111492	0.7995272121728562	0.8315535163052853	0.813122246080256	0.6222105388168861	0.8307031223587725	0.7161361601202514	0.7444020066176427	0.7576156202024475	0.7739490786532048	0.7803031944818881	0.765393994190275	0.7525544325809239	0.52463238449249	0.7718022890420542	0.4981119694031552	0.7653129423717236
FerrettiP_2018__CA_C10005MS2061SA_t0M15__bin.32	0.8020510948866723	0.7532401693170888	1.0	0.6788250037732951	0.7861233191744925	0.6640647145101212	0.8033642541944055	0.7454763844312001	0.7702649615754967	0.7017845188141494	0.7995178596502484	0.7006144028911592	0.6273619907431998	0.8114514643803565	0.7507779298782395	0.7979722548423078	0.7322106881806723	0.5367834486182377	0.7615377374217797	0.543200416929395	0.6817121662079988	0.7710743136678481	0.6125475343159502	0.519429446217002	0.7154993292211866	0.7142655800277777	0.7868474763097542	0.7784389444029279	0.7989472637956666	0.765980496665564	0.6214488296474243	0.7945302733969279	0.7018549887169272	0.726576251327227	0.7436841349635371	0.7534904952403891	0.7740145914770334	0.7628335422012168	0.7267692547176708	0.5447759977407559	0.7542814410148507	0.503484841871323	0.7528262901119682
HMP_2012__SRS063288__bin.15	0.8771275176329171	0.7820064680551032	0.6320185864777988	1.0	0.8524793803201711	0.6989000389258426	0.8564209279039535	0.7913305538486397	0.8970178887504315	0.7476861157150236	0.8351037655244339	0.746720558965307	0.6524020182682162	0.8840014786923855	0.8451588737456208	0.850864569893921	0.7681792253512507	0.5656326428688591	0.8110456362661549	0.5843645417400096	0.7213511918897151	0.830493378934509	0.6624918904494589	0.49230957551246246	0.7587777775057594	0.7590142703607863	0.8312929500157907	0.8248224467462648	0.8399149017428494	0.8151629621831766	0.6464828420271795	0.8643358492321327	0.7450136974898952	0.8113448021759301	0.7986231513284974	0.8019330720323942	0.8152819430605506	0.8082885114904681	0.7654627401345023	0.5316060704729122	0.8142091566312254	0.5253137937028268	0.8104375117817998
HMP_2012__SRS019127__bin.32	0.9329031052772655	0.6994446343824557	0.5519061202457757	0.6428155803648237	1.0	0.5956563925381191	0.7809488400530776	0.7047963327113376	0.7528032265996575	0.6535784198256885	0.7570982460311776	0.6677176843446856	0.584048062275382	0.8069833109715169	0.7327122975714108	0.7691895029178663	0.7037370693442757	0.5079538901068715	0.7131585690308165	0.5022470117992118	0.6318433988582551	0.7519403829297991	0.5707982245431581	0.4362717769262976	0.6922627622959838	0.6798148485906886	0.7530579814700907	0.7547615162123785	0.7830079239841002	0.728400663691819	0.5912033512449391	0.9170735975744384	0.6668094278500978	0.6874194660780968	0.6963381018029999	0.7100782503583182	0.7357398192200365	0.7285273027071212	0.675864302049189	0.4522087247266554	0.7498100414770466	0.4522888432873568	0.7499012363364624
HMP_2012__SRS018145__bin.57	0.8715617639841697	0.811508115442936	0.6620776330884404	0.7484134041656267	0.8459014863456283	1.0	0.8797820711524789	0.8119186589123063	0.8283807704165417	0.7580451839004042	0.8606731864255348	0.7750421029892598	0.680682120858125	0.8757264469691091	0.8146304479590275	0.8556533356263645	0.7891279909900651	0.5841095034259145	0.8140353434408472	0.5816624965656964	0.7309000287327996	0.8321752826615382	0.6605555287569184	0.539749311566315	0.7773501647417088	0.7730758986340385	0.8427088947939103	0.8430271577388755	0.8550891660567064	0.8851836277571428	0.6746162493419768	0.8608540772262152	0.7538705388133982	0.791797834343875	0.8260381034674408	0.8066287827150189	0.8289108591107093	0.8244588481293269	0.7903711564637265	0.5793030513394308	0.8263380151717572	0.5447183032128304	0.8086191058436643
HMP_2012__SRS047824__bin.58	0.8192375665563011	0.7335327041718781	0.5751511094411116	0.6585438674830253	0.7963748041243635	0.6317511677237614	1.0	0.7336418900144652	0.7676412318873865	0.6836163254671836	0.8197311618653761	0.6958210436509938	0.6185901321600499	0.8239675725577574	0.7598698354155199	0.7997904384828137	0.7270779383604503	0.5345256929347724	0.7428330789428702	0.5253077723000789	0.6772477788211092	0.7686257869851982	0.5908253018988548	0.45632001542155903	0.6991241036407078	0.710245999468378	0.8082553533065615	0.7787811998545193	0.8094884003219853	0.7747853745187352	0.6177851689481488	0.8139612548390035	0.695090251511471	0.7112949365630254	0.7203001330561268	0.7619601795467055	0.770567412468722	0.7490269282408053	0.7113788967109459	0.4790939231678051	0.7534301297203111	0.4651926828919339	0.7405774500361819
HMP_2012__SRS057539__bin.64	0.768774084678806	0.7006167332165019	0.5583722213622017	0.6366134780058605	0.7519327813183052	0.6099636073437614	0.7675462904424668	1.0	0.7507294090398271	0.6976900372986321	0.7770058600881791	0.7225094428287876	0.5711582980101225	0.7756177475155581	0.7637604930714511	0.7602460945547306	0.6859493780081845	0.5090926494239766	0.7531700292157518	0.5413249069700662	0.6824822477970015	0.7263893829083321	0.597017212359559	0.4426637423341641	0.6710677398147633	0.6693066015309417	0.7498911844216269	0.7276226917803175	0.7750434376032763	0.742274684789335	0.5863180314011232	0.7684908687481264	0.7129210670504853	0.7234221150282093	0.7022427629269953	0.7618138266883944	0.7131708012647423	0.7391175558819695	0.6855995925472063	0.4643461079868074	0.7254719838783565	0.44130950538051184	0.7151958542544823
HMP_2012__SRS022530__bin.53	0.6195602378660463	0.5381180250608237	0.43261865020795415	0.541120739791405	0.6022433817550374	0.4666557183461853	0.6022182754445811	0.5629354652627612	1.0	0.5211266648806726	0.5905736732865607	0.5346143655945484	0.4437590585783389	0.6202573071916584	0.6443431199700614	0.5952573293442852	0.5475848763130231	0.39142776043145044	0.5777662059018733	0.4094006296662663	0.5177999310610251	0.5828548119788409	0.46164774783103624	0.3375389849311925	0.5267661329458888	0.5281115358179916	0.5791186976145756	0.5654821312481114	0.5923512000668714	0.5714860838674823	0.4481550258550693	0.6105060162104062	0.5276365834978288	0.6046840104997544	0.5487595562740227	0.5720558494306627	0.5740017361752101	0.571113328999295	0.5307175708433624	0.35296105302364156	0.5670694408056705	0.3562910358952305	0.5680465193349604
HMP_2012__SRS022621__bin.36	0.7734559650087448	0.7139415175305555	0.5718983981626677	0.6544287843015912	0.758644423140136	0.6196003827918519	0.7781405795790918	0.75908027100566	0.7561244767789943	1.0	0.7629467601332486	0.7219260618595404	0.5723286747182096	0.7772808835926207	0.7726948383527265	0.762150062805806	0.702342478710096	0.5215474699181403	0.7631846122132544	0.5611586267663731	0.7175092987306414	0.7498837524744116	0.610229867964239	0.44523295147003294	0.6941085111188348	0.66969760215104	0.7566696080326291	0.7228813272403202	0.7624659132255613	0.7427289047704556	0.6070456500283065	0.7702837468173892	0.7306040200001457	0.7472755222781686	0.7233754595795032	0.7850254330300684	0.7434848886787981	0.7298660357086686	0.6976535785166859	0.466109935659941	0.7408213739450403	0.46482853436405425	0.7250138532765518
