	HeQ_2017__SZAXPI029463-136__bin.44	ZellerG_2014__CCIS88007743ST-4-0__bin.21	IjazUZ_2017__S15_a_WGS__bin.1	YuJ_2015__SZAXPI003422-11__bin.45	ZellerG_2014__CCIS24254057ST-4-0__bin.15	YuJ_2015__SZAXPI015211-166__bin.3	YuJ_2015__SZAXPI017457-24__bin.57	IjazUZ_2017__S14_a_WGS__bin.19	HeQ_2017__SZAXPI029483-78__bin.3	YuJ_2015__SZAXPI015233-19__bin.6	FengQ_2015__SID530450__bin.66	YuJ_2015__SZAXPI003415-12__bin.8	XieH_2016__YSZC12003_37190R1__bin.30	HeQ_2017__SZAXPI029564-74__bin.70	XieH_2016__YSZC12003_37400__bin.34	LiJ_2014__V1.CD54-0__bin.3	FengQ_2015__SID31367__bin.39	IjazUZ_2017__S149_a_WGS__bin.14	IjazUZ_2017__S16_a_WGS__bin.12	YuJ_2015__SZAXPI003428-6__bin.7	QinJ_2012__T2D-016__bin.41	NielsenHB_2014__V1_UC16_0__bin.1	YuJ_2015__SZAXPI017595-169__bin.30	YuJ_2015__SZAXPI003424-12__bin.59	GeversD_2014__SKBSTL008__bin.83	LoombaR_2017__SID5639_uuc__bin.9	FengQ_2015__SID31883__bin.30
HeQ_2017__SZAXPI029463-136__bin.44	0.0	27460.0	27035.0	33896.0	30957.0	26604.0	19806.0	34806.0	29214.0	8017.0	14917.0	31112.0	39445.0	31675.0	19814.0	17595.0	29877.0	34391.0	21074.0	33404.0	29203.0	20387.0	34552.0	13140.0	30272.0	31333.0	30742.0
ZellerG_2014__CCIS88007743ST-4-0__bin.21	27460.0	0.0	27057.0	27389.0	30428.0	22976.0	19094.0	33503.0	9103.0	25606.0	30837.0	9826.0	41506.0	26485.0	24563.0	35226.0	9321.0	31897.0	21299.0	27212.0	10675.0	30844.0	28051.0	27122.0	10271.0	29212.0	30342.0
IjazUZ_2017__S15_a_WGS__bin.1	27035.0	27057.0	0.0	24616.0	18961.0	21099.0	16841.0	224.0	26031.0	28743.0	26727.0	26709.0	34719.0	23954.0	21071.0	31946.0	25943.0	30156.0	476.0	24554.0	26570.0	25375.0	24928.0	27800.0	26938.0	27478.0	2939.0
YuJ_2015__SZAXPI003422-11__bin.45	33896.0	27389.0	24616.0	0.0	28058.0	3339.0	19488.0	30572.0	25456.0	32750.0	30996.0	26639.0	43645.0	1984.0	22685.0	37853.0	26102.0	33066.0	19052.0	1720.0	26280.0	32689.0	1933.0	31229.0	27746.0	27535.0	27377.0
ZellerG_2014__CCIS24254057ST-4-0__bin.15	30957.0	30428.0	18961.0	28058.0	0.0	24290.0	19974.0	22745.0	28025.0	32736.0	31439.0	28668.0	39426.0	27063.0	23950.0	37124.0	28413.0	34501.0	14704.0	28202.0	28657.0	28868.0	27988.0	32594.0	29203.0	31864.0	21572.0
YuJ_2015__SZAXPI015211-166__bin.3	26604.0	22976.0	21099.0	3339.0	24290.0	0.0	16180.0	25526.0	21621.0	26189.0	24916.0	22331.0	34746.0	3935.0	19243.0	29817.0	22175.0	26623.0	16078.0	3840.0	22145.0	25494.0	3474.0	24997.0	23093.0	22615.0	23210.0
YuJ_2015__SZAXPI017457-24__bin.57	19806.0	19094.0	16841.0	19488.0	19974.0	16180.0	0.0	21456.0	17972.0	19982.0	20229.0	18815.0	29215.0	18768.0	17343.0	23785.0	18310.0	22785.0	13123.0	19001.0	18818.0	20775.0	19442.0	20785.0	19222.0	21359.0	18488.0
IjazUZ_2017__S14_a_WGS__bin.19	34806.0	33503.0	224.0	30572.0	22745.0	25526.0	21456.0	0.0	31918.0	36765.0	33993.0	32637.0	43106.0	30008.0	25929.0	41475.0	31460.0	37187.0	197.0	30442.0	32601.0	31341.0	31109.0	35657.0	33577.0	34527.0	3817.0
HeQ_2017__SZAXPI029483-78__bin.3	29214.0	9103.0	26031.0	25456.0	28025.0	21621.0	17972.0	31918.0	0.0	28838.0	31848.0	2756.0	41980.0	24563.0	24125.0	37458.0	2852.0	32623.0	19971.0	25336.0	5807.0	32065.0	25821.0	28670.0	5518.0	28876.0	28479.0
YuJ_2015__SZAXPI015233-19__bin.6	8017.0	25606.0	28743.0	32750.0	32736.0	26189.0	19982.0	36765.0	28838.0	0.0	15235.0	30094.0	41380.0	30853.0	20213.0	11651.0	29417.0	28877.0	22468.0	32697.0	29286.0	20527.0	32319.0	15332.0	29122.0	30440.0	32487.0
FengQ_2015__SID530450__bin.66	14917.0	30837.0	26727.0	30996.0	31439.0	24916.0	20229.0	33993.0	31848.0	15235.0	0.0	32445.0	38216.0	29816.0	17404.0	12942.0	32564.0	29670.0	21009.0	30222.0	32008.0	19341.0	31167.0	13173.0	31247.0	29230.0	29805.0
YuJ_2015__SZAXPI003415-12__bin.8	31112.0	9826.0	26709.0	26639.0	28668.0	22331.0	18815.0	32637.0	2756.0	30094.0	32445.0	0.0	42364.0	25478.0	24679.0	39193.0	3216.0	33505.0	20645.0	26914.0	6469.0	32506.0	27248.0	29902.0	5902.0	29537.0	28931.0
XieH_2016__YSZC12003_37190R1__bin.30	39445.0	41506.0	34719.0	43645.0	39426.0	34746.0	29215.0	43106.0	41980.0	41380.0	38216.0	42364.0	0.0	41840.0	31865.0	45217.0	41733.0	38591.0	26248.0	41934.0	42768.0	31547.0	42736.0	39402.0	43570.0	38516.0	38528.0
HeQ_2017__SZAXPI029564-74__bin.70	31675.0	26485.0	23954.0	1984.0	27063.0	3935.0	18768.0	30008.0	24563.0	30853.0	29816.0	25478.0	41840.0	0.0	22328.0	35695.0	24942.0	32162.0	18743.0	2286.0	25660.0	30950.0	1691.0	30052.0	27036.0	26441.0	26549.0
XieH_2016__YSZC12003_37400__bin.34	19814.0	24563.0	21071.0	22685.0	23950.0	19243.0	17343.0	25929.0	24125.0	20213.0	17404.0	24679.0	31865.0	22328.0	0.0	21885.0	24743.0	26131.0	16754.0	22614.0	24442.0	19881.0	22817.0	19717.0	24956.0	24618.0	22631.0
LiJ_2014__V1.CD54-0__bin.3	17595.0	35226.0	31946.0	37853.0	37124.0	29817.0	23785.0	41475.0	37458.0	11651.0	12942.0	39193.0	45217.0	35695.0	21885.0	0.0	38484.0	24449.0	25701.0	36833.0	38248.0	18632.0	37602.0	18635.0	38529.0	35097.0	35424.0
FengQ_2015__SID31367__bin.39	29877.0	9321.0	25943.0	26102.0	28413.0	22175.0	18310.0	31460.0	2852.0	29417.0	32564.0	3216.0	41733.0	24942.0	24743.0	38484.0	0.0	32829.0	19908.0	25646.0	6101.0	32096.0	25643.0	29786.0	6020.0	29361.0	28075.0
IjazUZ_2017__S149_a_WGS__bin.14	34391.0	31897.0	30156.0	33066.0	34501.0	26623.0	22785.0	37187.0	32623.0	28877.0	29670.0	33505.0	38591.0	32162.0	26131.0	24449.0	32829.0	0.0	24760.0	32024.0	33449.0	26983.0	33376.0	30495.0	34066.0	33541.0	32321.0
