	HeQ_2017__SZAXPI029463-136__bin.44	ZellerG_2014__CCIS88007743ST-4-0__bin.21	IjazUZ_2017__S15_a_WGS__bin.1	YuJ_2015__SZAXPI003422-11__bin.45	ZellerG_2014__CCIS24254057ST-4-0__bin.15	YuJ_2015__SZAXPI015211-166__bin.3	YuJ_2015__SZAXPI017457-24__bin.57	IjazUZ_2017__S14_a_WGS__bin.19	HeQ_2017__SZAXPI029483-78__bin.3	YuJ_2015__SZAXPI015233-19__bin.6	FengQ_2015__SID530450__bin.66	YuJ_2015__SZAXPI003415-12__bin.8	XieH_2016__YSZC12003_37190R1__bin.30	HeQ_2017__SZAXPI029564-74__bin.70	XieH_2016__YSZC12003_37400__bin.34	LiJ_2014__V1.CD54-0__bin.3	FengQ_2015__SID31367__bin.39	IjazUZ_2017__S149_a_WGS__bin.14	IjazUZ_2017__S16_a_WGS__bin.12	YuJ_2015__SZAXPI003428-6__bin.7	QinJ_2012__T2D-016__bin.41	NielsenHB_2014__V1_UC16_0__bin.1	YuJ_2015__SZAXPI017595-169__bin.30	YuJ_2015__SZAXPI003424-12__bin.59	GeversD_2014__SKBSTL008__bin.83	LoombaR_2017__SID5639_uuc__bin.9	FengQ_2015__SID31883__bin.30
HeQ_2017__SZAXPI029463-136__bin.44	3490822.0	3063997.0	2557267.0	3284481.0	2736183.0	2456566.0	2034043.0	3209500.0	3094059.0	3386421.0	3104553.0	3159634.0	2990982.0	3038587.0	2083795.0	3240934.0	3032667.0	2785067.0	2074585.0	3209938.0	3041680.0	2057874.0	3275348.0	3244458.0	3210377.0	3154790.0	2565009.0
ZellerG_2014__CCIS88007743ST-4-0__bin.21	3063997.0	3379725.0	2514300.0	3208844.0	2679553.0	2426678.0	2040675.0	3107663.0	3163878.0	3067892.0	2912575.0	3234317.0	2965515.0	2998337.0	2040001.0	2923284.0	3058080.0	2714003.0	2002461.0	3141143.0	3083472.0	1968026.0	3182212.0	3071902.0	3214965.0	3044559.0	2512488.0
IjazUZ_2017__S15_a_WGS__bin.1	2557267.0	2514300.0	2843086.0	2701697.0	2291612.0	2102425.0	1750921.0	2756817.0	2548409.0	2545344.0	2437039.0	2621971.0	2480186.0	2559098.0	1748093.0	2455731.0	2529748.0	2301176.0	1828442.0	2647073.0	2546219.0	1666548.0	2686666.0	2607268.0	2627582.0	2581573.0	2230333.0
YuJ_2015__SZAXPI003422-11__bin.45	3284481.0	3208844.0	2701697.0	3780218.0	2862986.0	2683940.0	2195976.0	3368686.0	3235875.0	3291469.0	3076502.0	3333881.0	3125544.0	3430954.0	2132926.0	3153022.0	3200812.0	2931812.0	2188735.0	3599046.0	3208454.0	2079496.0	3659431.0	3291196.0	3345478.0	3332932.0	2683493.0
ZellerG_2014__CCIS24254057ST-4-0__bin.15	2736183.0	2679553.0	2291612.0	2862986.0	2953898.0	2235179.0	1818335.0	2819268.0	2702949.0	2691115.0	2522845.0	2733023.0	2673995.0	2697725.0	1837624.0	2619661.0	2672369.0	2463384.0	1866983.0	2801404.0	2691416.0	1749904.0	2854603.0	2756975.0	2760987.0	2782475.0	2272186.0
YuJ_2015__SZAXPI015211-166__bin.3	2456566.0	2426678.0	2102425.0	2683940.0	2235179.0	2703826.0	1713412.0	2537736.0	2445078.0	2439917.0	2300757.0	2500454.0	2379929.0	2514381.0	1648319.0	2368026.0	2453102.0	2239470.0	1675636.0	2625798.0	2457043.0	1592906.0	2663950.0	2494532.0	2514532.0	2513829.0	2066172.0
YuJ_2015__SZAXPI017457-24__bin.57	2034043.0	2040675.0	1750921.0	2195976.0	1818335.0	1713412.0	2389318.0	2139743.0	2072821.0	2046857.0	1948889.0	2126416.0	1989499.0	2071672.0	1382792.0	1978726.0	2074041.0	1899851.0	1405376.0	2145381.0	2079527.0	1382055.0	2159151.0	2095599.0	2123271.0	2088504.0	1737509.0
IjazUZ_2017__S14_a_WGS__bin.19	3209500.0	3107663.0	2756817.0	3368686.0	2819268.0	2537736.0	2139743.0	3562888.0	3131351.0	3205603.0	3030830.0	3232373.0	3048526.0	3161745.0	2095948.0	3069797.0	3108123.0	2831694.0	2202917.0	3301787.0	3122390.0	2035680.0	3345328.0	3242119.0	3274485.0	3224148.0	2734071.0
HeQ_2017__SZAXPI029483-78__bin.3	3094059.0	3163878.0	2548409.0	3235875.0	2702949.0	2445078.0	2072821.0	3131351.0	3375410.0	3067555.0	2907946.0	3237252.0	2983745.0	3039189.0	2073424.0	2957026.0	3125799.0	2753226.0	2039815.0	3165285.0	3117228.0	1987747.0	3227687.0	3079883.0	3261911.0	3115249.0	2531293.0
YuJ_2015__SZAXPI015233-19__bin.6	3386421.0	3067892.0	2545344.0	3291469.0	2691115.0	2439917.0	2046857.0	3205603.0	3067555.0	3493459.0	3138756.0	3149296.0	2977148.0	3058863.0	2085933.0	3171033.0	3042778.0	2809576.0	2061843.0	3233257.0	3037253.0	2079259.0	3246833.0	3238414.0	3176887.0	3147514.0	2540713.0
FengQ_2015__SID530450__bin.66	3104553.0	2912575.0	2437039.0	3076502.0	2522845.0	2300757.0	1948889.0	3030830.0	2907946.0	3138756.0	3296439.0	2979347.0	2774189.0	2865822.0	1950996.0	2933513.0	2888128.0	2628961.0	1948441.0	3002518.0	2880788.0	1920097.0	3039035.0	3047657.0	3005298.0	2947120.0	2429260.0
YuJ_2015__SZAXPI003415-12__bin.8	3159634.0	3234317.0	2621971.0	3333881.0	2733023.0	2500454.0	2126416.0	3232373.0	3237252.0	3149296.0	2979347.0	3591634.0	3031749.0	3098850.0	2085059.0	3037528.0	3175236.0	2806554.0	2081760.0	3268009.0	3179866.0	2030809.0	3304244.0	3167269.0	3350098.0	3159250.0	2600577.0
XieH_2016__YSZC12003_37190R1__bin.30	2990982.0	2965515.0	2480186.0	3125544.0	2673995.0	2379929.0	1989499.0	3048526.0	2983745.0	2977148.0	2774189.0	3031749.0	3463597.0	2927957.0	1994478.0	2897378.0	2930873.0	2733439.0	1963573.0	3030423.0	2934550.0	1942484.0	3098606.0	3036714.0	3057270.0	3123804.0	2463335.0
HeQ_2017__SZAXPI029564-74__bin.70	3038587.0	2998337.0	2559098.0	3430954.0	2697725.0	2514381.0	2071672.0	3161745.0	3039189.0	3058863.0	2865822.0	3098850.0	2927957.0	3481952.0	2019995.0	2943915.0	3016915.0	2752824.0	2083259.0	3301099.0	3025106.0	1955666.0	3362393.0	3099345.0	3118633.0	3119421.0	2529591.0
XieH_2016__YSZC12003_37400__bin.34	2083795.0	2040001.0	1748093.0	2132926.0	1837624.0	1648319.0	1382792.0	2095948.0	2073424.0	2085933.0	1950996.0	2085059.0	1994478.0	2019995.0	2235680.0	2024594.0	2052550.0	1843439.0	1418598.0	2094403.0	2024584.0	1356208.0	2125983.0	2109082.0	2100960.0	2081773.0	1723734.0
LiJ_2014__V1.CD54-0__bin.3	3240934.0	2923284.0	2455731.0	3153022.0	2619661.0	2368026.0	1978726.0	3069797.0	2957026.0	3171033.0	2933513.0	3037528.0	2897378.0	2943915.0	2024594.0	3487032.0	2932509.0	2726582.0	1990887.0	3090212.0	2923457.0	2047788.0	3143650.0	3127097.0	3081313.0	3052334.0	2470946.0
FengQ_2015__SID31367__bin.39	3032667.0	3058080.0	2529748.0	3200812.0	2672369.0	2453102.0	2074041.0	3108123.0	3125799.0	3042778.0	2888128.0	3175236.0	2930873.0	3016915.0	2052550.0	2932509.0	3330554.0	2728196.0	2018403.0	3128823.0	3075448.0	1972595.0	3165846.0	3073641.0	3176282.0	3065100.0	2519408.0
IjazUZ_2017__S149_a_WGS__bin.14	2785067.0	2714003.0	2301176.0	2931812.0	2463384.0	2239470.0	1899851.0	2831694.0	2753226.0	2809576.0	2628961.0	2806554.0	2733439.0	2752824.0	1843439.0	2726582.0	2728196.0	3141993.0	1870039.0	2874240.0	2735202.0	1810366.0	2906910.0	2829444.0	2822989.0	2871586.0	2271209.0
IjazUZ_2017__S16_a_WGS__bin.12	2074585.0	2002461.0	1828442.0	2188735.0	1866983.0	1675636.0	1405376.0	2202917.0	2039815.0	2061843.0	1948441.0	2081760.0	1963573.0	2083259.0	1418598.0	1990887.0	2018403.0	1870039.0	2275143.0	2140928.0	2034515.0	1369047.0	2173553.0	2103449.0	2108674.0	2093704.0	1775892.0
YuJ_2015__SZAXPI003428-6__bin.7	3209938.0	3141143.0	2647073.0	3599046.0	2801404.0	2625798.0	2145381.0	3301787.0	3165285.0	3233257.0	3002518.0	3268009.0	3030423.0	3301099.0	2094403.0	3090212.0	3128823.0	2874240.0	2140928.0	3586629.0	3140101.0	2028494.0	3552471.0	3231216.0	3249106.0	3256565.0	2635713.0
QinJ_2012__T2D-016__bin.41	3041680.0	3083472.0	2546219.0	3208454.0	2691416.0	2457043.0	2079527.0	3122390.0	3117228.0	3037253.0	2880788.0	3179866.0	2934550.0	3025106.0	2024584.0	2923457.0	3075448.0	2735202.0	2034515.0	3140101.0	3334283.0	1969485.0	3182107.0	3071725.0	3195058.0	3052987.0	2515999.0
NielsenHB_2014__V1_UC16_0__bin.1	2057874.0	1968026.0	1666548.0	2079496.0	1749904.0	1592906.0	1382055.0	2035680.0	1987747.0	2079259.0	1920097.0	2030809.0	1942484.0	1955666.0	1356208.0	2047788.0	1972595.0	1810366.0	1369047.0	2028494.0	1969485.0	2263928.0	2067781.0	2077003.0	2059500.0	2044526.0	1686331.0
YuJ_2015__SZAXPI017595-169__bin.30	3275348.0	3182212.0	2686666.0	3659431.0	2854603.0	2663950.0	2159151.0	3345328.0	3227687.0	3246833.0	3039035.0	3304244.0	3098606.0	3362393.0	2125983.0	3143650.0	3165846.0	2906910.0	2173553.0	3552471.0	3182107.0	2067781.0	3673145.0	3259128.0	3323557.0	3314381.0	2670962.0
YuJ_2015__SZAXPI003424-12__bin.59	3244458.0	3071902.0	2607268.0	3291196.0	2756975.0	2494532.0	2095599.0	3242119.0	3079883.0	3238414.0	3047657.0	3167269.0	3036714.0	3099345.0	2109082.0	3127097.0	3073641.0	2829444.0	2103449.0	3231216.0	3071725.0	2077003.0	3259128.0	3453537.0	3188207.0	3182792.0	2605838.0
