	HeQ_2017__SZAXPI029463-136__bin.44	ZellerG_2014__CCIS88007743ST-4-0__bin.21	IjazUZ_2017__S15_a_WGS__bin.1	YuJ_2015__SZAXPI003422-11__bin.45	ZellerG_2014__CCIS24254057ST-4-0__bin.15	YuJ_2015__SZAXPI015211-166__bin.3	YuJ_2015__SZAXPI017457-24__bin.57	IjazUZ_2017__S14_a_WGS__bin.19	HeQ_2017__SZAXPI029483-78__bin.3	YuJ_2015__SZAXPI015233-19__bin.6	FengQ_2015__SID530450__bin.66	YuJ_2015__SZAXPI003415-12__bin.8	XieH_2016__YSZC12003_37190R1__bin.30	HeQ_2017__SZAXPI029564-74__bin.70	XieH_2016__YSZC12003_37400__bin.34	LiJ_2014__V1.CD54-0__bin.3	FengQ_2015__SID31367__bin.39	IjazUZ_2017__S149_a_WGS__bin.14	IjazUZ_2017__S16_a_WGS__bin.12	YuJ_2015__SZAXPI003428-6__bin.7	QinJ_2012__T2D-016__bin.41	NielsenHB_2014__V1_UC16_0__bin.1	YuJ_2015__SZAXPI017595-169__bin.30	YuJ_2015__SZAXPI003424-12__bin.59	GeversD_2014__SKBSTL008__bin.83	LoombaR_2017__SID5639_uuc__bin.9	FengQ_2015__SID31883__bin.30
HeQ_2017__SZAXPI029463-136__bin.44	1.0	0.991037850232882	0.9894281668672062	0.9896799524795546	0.9886860637610861	0.9891702482245541	0.9902627427247114	0.9891553201433245	0.990558033961214	0.9976326038611265	0.9951951214876988	0.9901532899063625	0.9868120236096373	0.9895757468849831	0.9904913871086167	0.9945710094682583	0.9901482754288552	0.9876516435690775	0.989841823786444	0.9895935684739082	0.9903990557849609	0.9900931738289127	0.9894508919357576	0.9959500169211621	0.9905705778480222	0.9900681186386415	0.9880148568679487
ZellerG_2014__CCIS88007743ST-4-0__bin.21	0.991037850232882	1.0	0.9892387543252595	0.9914645274123641	0.9886443746400986	0.9905319123509588	0.9906432920479743	0.9892192300130355	0.9971228346984302	0.9916535523414775	0.9894124614816786	0.9969619551825006	0.9860037801191361	0.9911667701128992	0.9879593196277845	0.9879498536577356	0.9969520091037514	0.9882472495424655	0.989363588104837	0.9913369114363784	0.9965379935345611	0.9843274428284993	0.9911850624659828	0.9911709423021958	0.9968052529343243	0.9904051785496685	0.9879235244108628
IjazUZ_2017__S15_a_WGS__bin.1	0.9894281668672062	0.9892387543252595	1.0	0.9908886895902834	0.991725911716294	0.9899644458185191	0.9903816334374881	0.999918746873659	0.9897853915913811	0.9887076167307838	0.9890330027545723	0.9898133884775995	0.9860014531168226	0.990639670696472	0.9879462934752328	0.9869912461910527	0.989744828338633	0.986895396093128	0.9997396690734516	0.9907240941220737	0.9895649195925409	0.9847739159028123	0.990721585786994	0.989337498101461	0.9897479888353627	0.9893561018805201	0.9986822595549634
YuJ_2015__SZAXPI003422-11__bin.45	0.9896799524795546	0.9914645274123641	0.9908886895902834	1.0	0.9901997425065997	0.998755933441135	0.991125586071979	0.9909246513328936	0.9921331942673929	0.9900500354097214	0.9899249212254697	0.9920096128206136	0.98603603084775	0.9994217351791951	0.989364375510449	0.9879946920763636	0.991845194281951	0.9887216506378991	0.9912954286380032	0.9995220955775502	0.991809139230296	0.9842803256173611	0.9994717758033967	0.9905113521042198	0.9917064168408819	0.99173850531604	0.9897979983551289
ZellerG_2014__CCIS24254057ST-4-0__bin.15	0.9886860637610861	0.9886443746400986	0.991725911716294	0.9901997425065997	1.0	0.9891328613949935	0.9890152254672544	0.9919323029949618	0.9896316948636471	0.9878355254234769	0.9875382752408491	0.9895105163769203	0.9852557689898448	0.9899682139580572	0.986966865909457	0.9858287007364693	0.9893678605013005	0.9859944693965699	0.9921241918110663	0.9899329050718854	0.9893524449583416	0.9835030950269272	0.9901954842757469	0.9881776222127513	0.9894229853309704	0.9885483247827923	0.9905060589229931
YuJ_2015__SZAXPI015211-166__bin.3	0.9891702482245541	0.9905319123509588	0.9899644458185191	0.998755933441135	0.9891328613949935	1.0	0.990556853809825	0.989941428107573	0.9911573373119386	0.989266438161626	0.9891705208329259	0.9910692218293158	0.985400404801992	0.998435002491667	0.9883256821040102	0.9874084997377562	0.9909604248009255	0.9881119193380576	0.9904048373274387	0.998537587430564	0.9909871337213064	0.9839952891131052	0.9986959214699975	0.9899792826870932	0.9908161836874615	0.9910037635813733	0.9887666660858825
YuJ_2015__SZAXPI017457-24__bin.57	0.9902627427247114	0.9906432920479743	0.9903816334374881	0.991125586071979	0.9890152254672544	0.990556853809825	1.0	0.9899726275538698	0.9913296903109338	0.9902377156782325	0.9896202400444561	0.9911517783914342	0.9853153984998233	0.990940650836619	0.9874579835579032	0.987979639424559	0.9911718235078284	0.9880069542295685	0.9906622853955098	0.9911432980901761	0.9909508267985941	0.984968036727916	0.9909955348190099	0.9900815948089305	0.9909469869837623	0.9897730624408667	0.9893594795767965
IjazUZ_2017__S14_a_WGS__bin.19	0.9891553201433245	0.9892192300130355	0.999918746873659	0.9909246513328936	0.9919323029949618	0.989941428107573	0.9899726275538698	1.0	0.989806955528141	0.988531018968974	0.9887842604171134	0.9899030835859599	0.9858600517102364	0.9905090385214493	0.9876289869786846	0.9864893346367855	0.9898781354534554	0.9868675782058373	0.9999105731173712	0.9907801442067583	0.9895589596430939	0.9846041617543032	0.9907007623766638	0.9890019459495472	0.9897458684342729	0.9892911243528523	0.9986039133585046
HeQ_2017__SZAXPI029483-78__bin.3	0.990558033961214	0.9971228346984302	0.9897853915913811	0.9921331942673929	0.9896316948636471	0.9911573373119386	0.9913296903109338	0.989806955528141	1.0	0.990599027564298	0.9890479396797602	0.9991486606541597	0.9859304330631472	0.991917909679194	0.988364656722407	0.9873325428995213	0.9990875932841491	0.9881509908739784	0.9902094062451742	0.9919956654772003	0.9981371269602352	0.9838686714154266	0.9920001536704147	0.9906912048282354	0.9983083536000829	0.9907307569956687	0.9887492281612599
YuJ_2015__SZAXPI015233-19__bin.6	0.9976326038611265	0.9916535523414775	0.9887076167307838	0.9900500354097214	0.9878355254234769	0.989266438161626	0.9902377156782325	0.988531018968974	0.990599027564298	1.0	0.9951461661881331	0.9904442135639203	0.9861007917644672	0.9899135724614015	0.9903098517545865	0.9963258029796599	0.9903321898607128	0.9897219366908032	0.9891029530376464	0.9898872870297659	0.99035773443964	0.990127733004883	0.99004599251024	0.9952655837085684	0.9908331646671726	0.9903288754235883	0.9872134318201229
