	HeQ_2017__SZAXPI029463-136__bin.44	ZellerG_2014__CCIS88007743ST-4-0__bin.21	IjazUZ_2017__S15_a_WGS__bin.1	YuJ_2015__SZAXPI003422-11__bin.45	ZellerG_2014__CCIS24254057ST-4-0__bin.15	YuJ_2015__SZAXPI015211-166__bin.3	YuJ_2015__SZAXPI017457-24__bin.57	IjazUZ_2017__S14_a_WGS__bin.19	HeQ_2017__SZAXPI029483-78__bin.3	YuJ_2015__SZAXPI015233-19__bin.6	FengQ_2015__SID530450__bin.66	YuJ_2015__SZAXPI003415-12__bin.8	XieH_2016__YSZC12003_37190R1__bin.30	HeQ_2017__SZAXPI029564-74__bin.70	XieH_2016__YSZC12003_37400__bin.34	LiJ_2014__V1.CD54-0__bin.3	FengQ_2015__SID31367__bin.39	IjazUZ_2017__S149_a_WGS__bin.14	IjazUZ_2017__S16_a_WGS__bin.12	YuJ_2015__SZAXPI003428-6__bin.7	QinJ_2012__T2D-016__bin.41	NielsenHB_2014__V1_UC16_0__bin.1	YuJ_2015__SZAXPI017595-169__bin.30	YuJ_2015__SZAXPI003424-12__bin.59	GeversD_2014__SKBSTL008__bin.83	LoombaR_2017__SID5639_uuc__bin.9	FengQ_2015__SID31883__bin.30
HeQ_2017__SZAXPI029463-136__bin.44	1.0	0.8698630293953687	0.7248241245185231	0.9311803924691663	0.7749538647344378	0.6961002308338838	0.5770093691399906	0.9094402407226723	0.8779722942046314	0.9677961236637102	0.8850740599205573	0.8962135565777917	0.8455134635910969	0.8613764895488798	0.5912593079796106	0.923375353999717	0.8601956788401127	0.7879737208027221	0.5882600144034843	0.9099673372059647	0.8629706699453595	0.583669691551159	0.9283761818849543	0.925661062065038	0.9109903054352241	0.8947626089213371	0.7259800127305259
ZellerG_2014__CCIS88007743ST-4-0__bin.21	0.8984568271087144	1.0	0.7359305860683931	0.9413354636841755	0.7838285659336189	0.7112123027761135	0.5981495535879399	0.9095887979051549	0.9334413302857482	0.9001578530797624	0.8526545798844581	0.9540690440790301	0.8651618105023338	0.8793176959663878	0.5963319500846962	0.8545245545125713	0.9020730976632714	0.7935870522009926	0.5861902965477961	0.9213563233695048	0.9091855106554528	0.5731774034869701	0.9332596587000421	0.9008957829409198	0.9482114669092899	0.8921870862274298	0.7344224752013848
IjazUZ_2017__S15_a_WGS__bin.1	0.8899597127909602	0.8748391712385767	1.0	0.9416109818697007	0.799360624335669	0.7320657904825952	0.6099287886472657	0.9695777756986598	0.887197221610602	0.8851652746346752	0.8477801937753554	0.9128327458261902	0.8601452787569562	0.8916874129027402	0.6074462749280184	0.8525190585159929	0.8806645314281735	0.7987869519247747	0.6429513563782453	0.9224198634863666	0.8862373491340044	0.5772505650550142	0.9362143811337399	0.9072775146442984	0.914725759262998	0.8983530572061486	0.7834423580574066
YuJ_2015__SZAXPI003422-11__bin.45	0.8598935299498601	0.8416062248261873	0.7081816445506581	1.0	0.7499377020055457	0.7091128077798687	0.5757572711415055	0.8830480146912162	0.849268216806544	0.8620452577073597	0.8056429549830195	0.874881289915026	0.8152701775400255	0.9070826074051814	0.5582326204467574	0.8240712572661154	0.8398219361952142	0.7668197971651372	0.5739571104100345	0.9516186632622775	0.8417964254971538	0.5414521067303526	0.9675362637816125	0.8623753973977162	0.8776562621520769	0.8743932228247153	0.7026356681016809
ZellerG_2014__CCIS24254057ST-4-0__bin.15	0.9158156442774936	0.8968234515883757	0.7693735531829468	0.9597244048372692	1.0	0.7484649097565319	0.6088094443342322	0.9467229403317244	0.905557334748864	0.899956261184374	0.8434299356308173	0.9155207796613154	0.8918957255802332	0.9041144954903656	0.613993441885942	0.8742810347547546	0.8950735604276112	0.8222636665179366	0.6270626135364187	0.9388279486969421	0.9014390476583822	0.582632169424943	0.9569101573581755	0.9223002960833447	0.9248064760529985	0.9311800881411614	0.7619132414186273
YuJ_2015__SZAXPI015211-166__bin.3	0.8987124171451861	0.8890002537145513	0.7697706879066921	0.9914103200427837	0.8176890820637127	1.0	0.6277149491128496	0.9291315343516927	0.8963065670645967	0.8927083325628202	0.841711337933728	0.9165245840523761	0.8673572189926423	0.9284791255058572	0.6025077057473373	0.8647779110046282	0.8990693188097163	0.8184132410887387	0.6137813601910774	0.9697214243815986	0.9005379784054152	0.5797015044607161	0.983967163567478	0.9133483441611997	0.9214494571766082	0.9213662417625986	0.7555819050486237
YuJ_2015__SZAXPI017457-24__bin.57	0.8430175472666259	0.8460912277059813	0.725763586094442	0.9109243725615427	0.752667079057706	0.710341612125301	1.0	0.8865655387855447	0.8600148661668309	0.8483069227285777	0.8072010506763855	0.882093132852136	0.8204366266859413	0.8592008263445887	0.5714806484528221	0.8182004237192371	0.8603840091607731	0.7856074411191813	0.5826989124093152	0.889952697799121	0.8624674488703472	0.5697357990857642	0.8955312771259414	0.8683708070671212	0.880606516169049	0.865161104549499	0.7194609507817713
IjazUZ_2017__S14_a_WGS__bin.19	0.8910451296813148	0.8628281326833737	0.7736962262075037	0.9369124148724294	0.7849034266583738	0.7051049597966593	0.5945421242542567	1.0	0.8699215355632847	0.8894015192169947	0.841125794580127	0.8980736975172949	0.8435347953682519	0.8789883375508857	0.5809946874557943	0.8499627268665195	0.8635306526615487	0.7843375935477063	0.6182400344888753	0.9181722804646117	0.8672147426469763	0.5625602039693641	0.9302057768866157	0.8999614919133018	0.9096294915809872	0.8952347084724526	0.7663036278434798
HeQ_2017__SZAXPI029483-78__bin.3	0.907991918018848	0.9346346073514032	0.7472804785196465	0.9511197158271143	0.7924738031824283	0.7179741127744481	0.6087701938431183	0.9182389694881511	1.0	0.9002512287396198	0.8520736740129347	0.9582527752184179	0.8715281995372415	0.89311402170403	0.6071259491439558	0.8649521095215099	0.9252052343270891	0.8060066777073008	0.5983996018261485	0.9302422520523432	0.921790538038342	0.5793909480626057	0.9485858014285671	0.9039532975253377	0.9647399871423027	0.9143698098897616	0.7414844418900223
YuJ_2015__SZAXPI015233-19__bin.6	0.967065593155666	0.8708520695391015	0.7203751353601117	0.9328058523085573	0.7609589807694895	0.6909278168142233	0.5801914377698435	0.9070774839492892	0.8698304459849107	1.0	0.8941055269290408	0.8928692164413551	0.8403613724964283	0.8667655753223381	0.5913107896786537	0.904370711091786	0.8625723101373166	0.795972988376277	0.5837695533280911	0.9161578824883876	0.8610282817116216	0.5893104799569711	0.9201522044483704	0.9226047879766157	0.9010453536165731	0.8922600780487191	0.7179777979360857
