	Castro-NallarE_2015__ES_107__bin.27	CM_periimplantitis__SP_189SPI_T016__bin.1	CM_periimplantitis__SP_381SPT_T016__bin.31	HMP_2012__SRS015941__bin.83	HMP_2012__SRS057791__bin.56	HMP_2012__SRS047219__bin.68	HMP_2012__SRS019607__bin.29	HMP_2012__SRS064774__bin.74	CM_cf__CF_TNFC017SA_t1M16__bin.5	HMP_2012__SRS047824__bin.5	Castro-NallarE_2015__ES_114__bin.23	HMP_2012__SRS047210__bin.67	HMP_2012__SRS019894__bin.7	HMP_2012__SRS078182__bin.96	HMP_2012__SRS020220__bin.49	HMP_2012__SRS018591__bin.31	HMP_2012__SRS015038__bin.29	HMP_2012__SRS018791__bin.23	HMP_2012__SRS018443__bin.26	HMP_2012__SRS019219__bin.13	HMP_2012__SRS022143__bin.42	HMP_2012__SRS015057__bin.22	CM_periimplantitis__SP_282SPT_T016_R__bin.41	HMP_2012__SRS024318__bin.38	CM_cf__CF_TNFC023IS_t3M15__bin.27	HMP_2012__SRS023352__bin.13	HMP_2012__SRS053854__bin.2	HMP_2012__SRS016342__bin.44
Castro-NallarE_2015__ES_107__bin.27	1142188.0	1024063.0	1049115.0	814570.0	790163.0	987389.0	784939.0	682934.0	1027456.0	617995.0	960205.0	1051947.0	1004316.0	868435.0	858397.0	852312.0	1001190.0	1028565.0	973084.0	811428.0	747628.0	961511.0	1022962.0	955784.0	799915.0	608620.0	1038950.0	582854.0
CM_periimplantitis__SP_189SPI_T016__bin.1	1024063.0	1924778.0	1690170.0	1255040.0	1123661.0	1549138.0	1161089.0	1011620.0	1629237.0	915020.0	1459247.0	1566783.0	1507542.0	1361308.0	1286996.0	1339825.0	1521540.0	1569724.0	1599751.0	1303595.0	1154770.0	1454949.0	1677672.0	1474987.0	1203110.0	884610.0	1539393.0	872269.0
CM_periimplantitis__SP_381SPT_T016__bin.31	1049115.0	1690170.0	2026045.0	1249782.0	1139915.0	1559296.0	1184755.0	1001352.0	1623485.0	899144.0	1471297.0	1626930.0	1562462.0	1326292.0	1313407.0	1332156.0	1547814.0	1670097.0	1623231.0	1275952.0	1138699.0	1472607.0	1713272.0	1464247.0	1213359.0	882722.0	1614221.0	873758.0
HMP_2012__SRS015941__bin.83	814570.0	1255040.0	1249782.0	1352336.0	933975.0	1255505.0	982910.0	876014.0	1295305.0	815808.0	1180713.0	1279067.0	1289177.0	1103225.0	1009352.0	1107559.0	1220116.0	1242729.0	1201069.0	1113337.0	1044926.0	1187817.0	1237756.0	1168483.0	970563.0	769121.0	1252398.0	762741.0
HMP_2012__SRS057791__bin.56	790163.0	1123661.0	1139915.0	933975.0	1213018.0	1105866.0	906354.0	789945.0	1145919.0	736704.0	1064429.0	1134378.0	1100037.0	966476.0	946299.0	988834.0	1107803.0	1145693.0	1084882.0	951514.0	853612.0	1080511.0	1104833.0	1068089.0	903224.0	696550.0	1134795.0	688454.0
HMP_2012__SRS047219__bin.68	987389.0	1549138.0	1559296.0	1255505.0	1105866.0	1778686.0	1178124.0	1027565.0	1588155.0	929237.0	1420350.0	1571291.0	1510330.0	1325715.0	1267161.0	1317358.0	1492524.0	1537954.0	1493125.0	1331977.0	1151315.0	1424840.0	1530755.0	1403127.0	1192759.0	869358.0	1529312.0	888123.0
HMP_2012__SRS019607__bin.29	784939.0	1161089.0	1184755.0	982910.0	906354.0	1178124.0	1261202.0	845728.0	1197149.0	765874.0	1099615.0	1182382.0	1179421.0	1015400.0	999070.0	1023172.0	1163235.0	1183950.0	1146347.0	994209.0	903604.0	1099246.0	1166714.0	1084396.0	949435.0	731945.0	1177170.0	733781.0
HMP_2012__SRS064774__bin.74	682934.0	1011620.0	1001352.0	876014.0	789945.0	1027565.0	845728.0	1058421.0	1026709.0	719154.0	937730.0	1016436.0	1006494.0	902582.0	862941.0	886739.0	1006891.0	1013168.0	980101.0	895326.0	810329.0	946462.0	994781.0	932159.0	812750.0	663386.0	1003604.0	671302.0
CM_cf__CF_TNFC017SA_t1M16__bin.5	1027456.0	1629237.0	1623485.0	1295305.0	1145919.0	1588155.0	1197149.0	1026709.0	1887100.0	938997.0	1477752.0	1648607.0	1559071.0	1336843.0	1291319.0	1330719.0	1533794.0	1597666.0	1521174.0	1318315.0	1189824.0	1451097.0	1571286.0	1463428.0	1214574.0	884363.0	1582803.0	885634.0
HMP_2012__SRS047824__bin.5	617995.0	915020.0	899144.0	815808.0	736704.0	929237.0	765874.0	719154.0	938997.0	955898.0	849157.0	908832.0	915230.0	813292.0	781458.0	820839.0	910014.0	913249.0	898699.0	847153.0	741083.0	871349.0	902057.0	853492.0	747334.0	637774.0	914011.0	637260.0
