	HeQ_2017__SZAXPI029578-96__bin.24	VincentC_2016__MM048.2__bin.15	VincentC_2016__MM029.2__bin.3	VincentC_2016__MM029.3__bin.32	VincentC_2016__MM020.3__bin.15	VincentC_2016__MM060.1__bin.5	VincentC_2016__MM061__bin.15	VincentC_2016__MM001.4__bin.3	VincentC_2016__MM017__bin.15	VincentC_2016__MM058.1__bin.41	VincentC_2016__MM034.1__bin.12	VincentC_2016__MM094.1__bin.6	OhJ_2014__MET0251__bin.82	VincentC_2016__MM020.1__bin.11	VincentC_2016__MM060.2__bin.6	VincentC_2016__MM016.1__bin.15	VincentC_2016__MM052.1__bin.13	VincentC_2016__MM029.1__bin.1	VincentC_2016__MM056.1__bin.5	DavidLA_2015__LD-Run1-06__bin.19	OhJ_2014__MET0131__bin.6	VincentC_2016__MM052.2__bin.2	VincentC_2016__MM021.1__bin.15	VincentC_2016__MM075.2__bin.2	OhJ_2014__MET0119__bin.18	VincentC_2016__MM020.2__bin.4
HeQ_2017__SZAXPI029578-96__bin.24	1587970.0	1317323.0	581703.0	582248.0	1238366.0	1347806.0	782050.0	1173906.0	1402347.0	1356340.0	998444.0	1169480.0	1133538.0	1299520.0	1337041.0	1082996.0	1361055.0	1313151.0	1133905.0	987713.0	1319754.0	1111364.0	1376705.0	534482.0	1427781.0	1020286.0
VincentC_2016__MM048.2__bin.15	1317323.0	1494673.0	552100.0	555517.0	1214801.0	1297863.0	741132.0	1160211.0	1318160.0	1278865.0	986252.0	1146709.0	1107002.0	1235870.0	1310944.0	1058549.0	1299713.0	1263454.0	1099613.0	922528.0	1278443.0	1086613.0	1316290.0	498674.0	1339134.0	986861.0
VincentC_2016__MM029.2__bin.3	581703.0	552100.0	691901.0	458723.0	481581.0	569716.0	522488.0	404517.0	581850.0	591452.0	298556.0	489392.0	485996.0	547783.0	569561.0	427481.0	579456.0	572998.0	435020.0	239887.0	543978.0	431391.0	574111.0	383654.0	583293.0	437139.0
VincentC_2016__MM029.3__bin.32	582248.0	555517.0	458723.0	619779.0	461881.0	554576.0	571970.0	393039.0	582501.0	578221.0	230843.0	476158.0	466267.0	516304.0	565009.0	396981.0	564222.0	578794.0	403785.0	188451.0	514228.0	431270.0	577377.0	492953.0	581373.0	404274.0
VincentC_2016__MM020.3__bin.15	1238366.0	1214801.0	481581.0	461881.0	1366193.0	1217213.0	655324.0	1143633.0	1250206.0	1199216.0	964658.0	1071969.0	1066105.0	1220733.0	1226602.0	993122.0	1224446.0	1179566.0	1104610.0	916316.0	1194331.0	1051353.0	1256413.0	416927.0	1268032.0	938193.0
VincentC_2016__MM060.1__bin.5	1347806.0	1297863.0	569716.0	554576.0	1217213.0	1524993.0	768832.0	1172182.0	1350752.0	1299308.0	990886.0	1141623.0	1107258.0	1261122.0	1444399.0	1088743.0	1346068.0	1270939.0	1127289.0	924103.0	1284037.0	1084000.0	1397227.0	547314.0	1416409.0	990630.0
VincentC_2016__MM061__bin.15	782050.0	741132.0	522488.0	571970.0	655324.0	768832.0	855165.0	597335.0	787087.0	781189.0	433531.0	660231.0	651464.0	711898.0	779610.0	584588.0	786075.0	764266.0	589681.0	375132.0	712163.0	607160.0	780453.0	518156.0	800675.0	557352.0
VincentC_2016__MM001.4__bin.3	1173906.0	1160211.0	404517.0	393039.0	1143633.0	1172182.0	597335.0	1316056.0	1183589.0	1140697.0	997554.0	1021693.0	1002754.0	1093962.0	1188042.0	956929.0	1177975.0	1096270.0	1044887.0	918329.0	1153286.0	1006625.0	1188659.0	366400.0	1213575.0	887548.0
VincentC_2016__MM017__bin.15	1402347.0	1318160.0	581850.0	582501.0	1250206.0	1350752.0	787087.0	1183589.0	1602619.0	1345111.0	988239.0	1176572.0	1129310.0	1291768.0	1349064.0	1105266.0	1357119.0	1299001.0	1128036.0	954520.0	1316004.0	1113382.0	1394858.0	534471.0	1432644.0	1016914.0
VincentC_2016__MM058.1__bin.41	1356340.0	1278865.0	591452.0	578221.0	1199216.0	1299308.0	781189.0	1140697.0	1345111.0	1516625.0	945281.0	1136507.0	1098159.0	1245342.0	1288837.0	1046804.0	1329454.0	1271464.0	1094760.0	919640.0	1263102.0	1077953.0	1339611.0	532559.0	1372374.0	978303.0
