	HeQ_2017__SZAXPI029578-96__bin.24	VincentC_2016__MM048.2__bin.15	VincentC_2016__MM029.2__bin.3	VincentC_2016__MM029.3__bin.32	VincentC_2016__MM020.3__bin.15	VincentC_2016__MM060.1__bin.5	VincentC_2016__MM061__bin.15	VincentC_2016__MM001.4__bin.3	VincentC_2016__MM017__bin.15	VincentC_2016__MM058.1__bin.41	VincentC_2016__MM034.1__bin.12	VincentC_2016__MM094.1__bin.6	OhJ_2014__MET0251__bin.82	VincentC_2016__MM020.1__bin.11	VincentC_2016__MM060.2__bin.6	VincentC_2016__MM016.1__bin.15	VincentC_2016__MM052.1__bin.13	VincentC_2016__MM029.1__bin.1	VincentC_2016__MM056.1__bin.5	DavidLA_2015__LD-Run1-06__bin.19	OhJ_2014__MET0131__bin.6	VincentC_2016__MM052.2__bin.2	VincentC_2016__MM021.1__bin.15	VincentC_2016__MM075.2__bin.2	OhJ_2014__MET0119__bin.18	VincentC_2016__MM020.2__bin.4
HeQ_2017__SZAXPI029578-96__bin.24	1.0	0.9772083232434262	0.9802906294105411	0.9805083057391352	0.9753635031969548	0.9765745218525514	0.9799130490377853	0.9746146625027898	0.9762776260083987	0.9768568353067815	0.9755499557311176	0.975435236173342	0.9793010909206397	0.9759988303373553	0.9765541969169232	0.9771716608371591	0.9769928474602423	0.9755039595598678	0.9763137123480362	0.9777587214099642	0.9757386603867084	0.9767321957522468	0.9761902513610395	0.9810882312220056	0.9760894703039191	0.9787530163111128
VincentC_2016__MM048.2__bin.15	0.9772083232434262	1.0	0.9828364426734287	0.9808304696345926	0.976177991292401	0.9778959720710121	0.9818412914298668	0.9759440308702468	0.9774283850215452	0.9790235873215702	0.9768700088821113	0.9768712027201322	0.9800750134146099	0.977037228834748	0.9782103583371983	0.9780218015415442	0.9776189050967405	0.9767541992031368	0.9775748376928974	0.9746403361198793	0.9780256139694926	0.9777685339674751	0.9773454178030677	0.983518290506423	0.9775220403633991	0.979959690371795
VincentC_2016__MM029.2__bin.3	0.9802906294105411	0.9828364426734287	1.0	0.9996904449962177	0.9811371295794477	0.9820524612262952	0.983071381543691	0.9800527542723791	0.9818802096760333	0.9823806496554243	0.9818928442235293	0.9820859352012293	0.9834689997448539	0.9822685260404211	0.9821581884995637	0.9833653425532363	0.9825008283631544	0.9995113420989253	0.9818743965794676	0.9783314643978206	0.9822603119979116	0.9824683407859691	0.9832454002797368	0.9854738905367858	0.9826382281289163	0.9832410285973111
VincentC_2016__MM029.3__bin.32	0.9805083057391352	0.9808304696345926	0.9996904449962177	1.0	0.9807829289362412	0.9810918611696142	0.981554976659615	0.9776866926691753	0.9822317901600169	0.9813635270943117	0.9783879086651966	0.9816237467395277	0.9834429629375444	0.982355356534135	0.9805896897217566	0.9836893957141526	0.980709720641875	0.9996475429945715	0.9811186646358829	0.9756753745005333	0.9822452297424489	0.9806223479490807	0.9830457396120732	0.9840390463188174	0.981808580721843	0.9831055175450314
VincentC_2016__MM020.3__bin.15	0.9753635031969548	0.976177991292401	0.9811371295794477	0.9807829289362412	1.0	0.976162758695479	0.9805088780511625	0.9747882406331402	0.9760119532301077	0.9760084922149137	0.9755892761994406	0.974875206279286	0.9774890840958442	0.9995682921654448	0.9762441280871872	0.9751762623323217	0.9755791598812851	0.9750882951865347	0.9759453562795919	0.9734807642778256	0.9758618004556526	0.9760689321284097	0.9753281763241864	0.9802195588196495	0.975869694140211	0.9862437686062463
VincentC_2016__MM060.1__bin.5	0.9765745218525514	0.9778959720710121	0.9820524612262952	0.9810918611696142	0.976162758695479	1.0	0.9818165737118122	0.975833104415526	0.9778627016654426	0.9791311990690429	0.9781296738474456	0.9768872911635452	0.9798339682350455	0.9772765838673816	0.9997902241693604	0.9769679345814394	0.9787833898436037	0.9772215661019136	0.9778415295456622	0.9741035360776883	0.9775559427025857	0.9787712177121771	0.9786849237811751	0.9767117230693898	0.9775177932362756	0.980548741709821
VincentC_2016__MM061__bin.15	0.9799130490377853	0.9818412914298668	0.983071381543691	0.981554976659615	0.9805088780511625	0.9818165737118122	1.0	0.9791239421765007	0.9808864839592065	0.9805360802571464	0.989006553164595	0.9796389445512252	0.9831855635921555	0.9817993588969206	0.9814253280486397	0.9815613731380048	0.9818694144960722	0.9791407703600579	0.981510342032387	0.9771813654926799	0.9814550882312055	0.9815633440938138	0.9819258815072784	0.9833718030863292	0.9814206763043682	0.9879376049605995
VincentC_2016__MM001.4__bin.3	0.9746146625027898	0.9759440308702468	0.9800527542723791	0.9776866926691753	0.9747882406331402	0.975833104415526	0.9791239421765007	1.0	0.9763101887564011	0.9769439211289238	0.9775250262141197	0.975817589040935	0.9792192302399193	0.9742870410489578	0.9757357063134131	0.9764956438774455	0.976291517222352	0.9754002207485383	0.9759074426229822	0.9731011434899692	0.9759062366143351	0.9768632807649323	0.9774434888391036	0.9810835152838427	0.9759825309519395	0.9787065037609234
VincentC_2016__MM017__bin.15	0.9762776260083987	0.9774283850215452	0.9818802096760333	0.9822317901600169	0.9760119532301077	0.9778627016654426	0.9808864839592065	0.9763101887564011	1.0	0.9775282485980711	0.9762142558632072	0.976900691160422	0.9796388945462273	0.9769695487115333	0.9776482064601828	0.9775248673170078	0.9775008676468313	0.9772848519747098	0.9768854894701942	0.9742823618153627	0.9773488530429999	0.9770734572680356	0.9780895259589149	0.9817894703360893	0.9766850662132393	0.979568577087148
VincentC_2016__MM058.1__bin.41	0.9768568353067815	0.9790235873215702	0.9823806496554243	0.9813635270943117	0.9760084922149137	0.9791311990690429	0.9805360802571464	0.9769439211289238	0.9775282485980711	1.0	0.9764345205288163	0.9757836951290225	0.9797852587831088	0.9767332989652642	0.979053984328507	0.9778697826909335	0.9778322529399287	0.9765561588845614	0.9772845189813293	0.973633160802053	0.9773129961000774	0.977573233712416	0.9788871545545684	0.982274264447695	0.9785495790506087	0.9789717500610752
VincentC_2016__MM034.1__bin.12	0.9755499557311176	0.9768700088821113	0.9818928442235293	0.9783879086651966	0.9755892761994406	0.9781296738474456	0.989006553164595	0.9775250262141197	0.9762142558632072	0.9764345205288163	1.0	0.9753527760291503	0.9794511321905086	0.9756448083036663	0.9779993884514198	0.9776154556892587	0.9777037660286071	0.9756254823719622	0.9767768839234444	0.9742469168760219	0.9760478980357405	0.9780550416579281	0.9773442741917502	0.9785968731446666	0.975817287490422	0.9929522738630685
