	HeQ_2017__SZAXPI029578-96__bin.24	VincentC_2016__MM048.2__bin.15	VincentC_2016__MM029.2__bin.3	VincentC_2016__MM029.3__bin.32	VincentC_2016__MM020.3__bin.15	VincentC_2016__MM060.1__bin.5	VincentC_2016__MM061__bin.15	VincentC_2016__MM001.4__bin.3	VincentC_2016__MM017__bin.15	VincentC_2016__MM058.1__bin.41	VincentC_2016__MM034.1__bin.12	VincentC_2016__MM094.1__bin.6	OhJ_2014__MET0251__bin.82	VincentC_2016__MM020.1__bin.11	VincentC_2016__MM060.2__bin.6	VincentC_2016__MM016.1__bin.15	VincentC_2016__MM052.1__bin.13	VincentC_2016__MM029.1__bin.1	VincentC_2016__MM056.1__bin.5	DavidLA_2015__LD-Run1-06__bin.19	OhJ_2014__MET0131__bin.6	VincentC_2016__MM052.2__bin.2	VincentC_2016__MM021.1__bin.15	VincentC_2016__MM075.2__bin.2	OhJ_2014__MET0119__bin.18	VincentC_2016__MM020.2__bin.4
HeQ_2017__SZAXPI029578-96__bin.24	1.0	0.8106570023363162	0.3590987235275226	0.359514978242662	0.7606296088717042	0.828877749579652	0.4825916106727457	0.7204833844468095	0.8621573455417924	0.8343671479939798	0.613381864896692	0.7183712538649974	0.6990528788327235	0.7987115625610056	0.8222403445908928	0.6664313557560911	0.8373842075102176	0.8066802269564286	0.6971460418017972	0.6081632524543914	0.8109315667172554	0.6835802943380543	0.846316995913021	0.3302165658041399	0.8776248921579122	0.6288582278002732
VincentC_2016__MM048.2__bin.15	0.8612579473904994	1.0	0.3630386044305343	0.3645399361599494	0.7933922670711253	0.8491322182176302	0.4868449486944636	0.7575576731499131	0.8619992466579647	0.837667503193006	0.6445824605114296	0.7494528903646483	0.7258744889350379	0.8078629907678804	0.8579662575024771	0.6926491613884777	0.8501016610322124	0.8256548422297051	0.7191900837173081	0.6015583341640612	0.8365374901399838	0.7108283885505391	0.8607033110252209	0.3281353178922748	0.8757989205665722	0.6470204519650786
VincentC_2016__MM029.2__bin.3	0.8241612600646624	0.7842509260717935	1.0	0.662784126630833	0.6828968306159406	0.808628691098871	0.742364875899876	0.5729837072066668	0.8257062787884393	0.8397603125302608	0.4236877819225583	0.6946441759731523	0.6907953594517134	0.7776690595908953	0.808495724099257	0.6075580176932827	0.8228286994815732	0.827745587880347	0.6173354280453417	0.33919448013516384	0.7722607714109387	0.6125558425266042	0.8158566037626771	0.5464380019684898	0.8283930793567287	0.6212059239688914
VincentC_2016__MM029.3__bin.32	0.9211331781167157	0.8791327231158204	0.7399105164905555	1.0	0.7309137611955229	0.877877436957367	0.905839016810831	0.6200097131396837	0.9231532530143809	0.9155602238862562	0.3644105398859916	0.7541526899104358	0.7398556582265614	0.8183465396536508	0.893934773524111	0.6300729776258956	0.8927988847637626	0.933542440127852	0.6391971977107969	0.29666542428833503	0.8149646890262496	0.6823609706040379	0.9157909512907021	0.7826741467523102	0.9209686033247335	0.6412672904373978
VincentC_2016__MM020.3__bin.15	0.8841042224634441	0.8680047401794622	0.3458493785285095	0.3315819946376537	1.0	0.8697146010849126	0.4703222751104712	0.8159901273099774	0.893150528512443	0.8567200973800919	0.6888558205173061	0.7649255998237438	0.7627809540818903	0.8931432089024025	0.8764962197873946	0.7088815416269884	0.8743596256165856	0.841887639594113	0.789082508840259	0.652920926984694	0.853102014137095	0.7511332586245134	0.8969559937724758	0.29913782313333476	0.9057534330800993	0.6772740015502934
VincentC_2016__MM060.1__bin.5	0.8631075683626088	0.8322497218020016	0.36688102830635944	0.3567819655565632	0.7791498059335354	1.0	0.49498719010513487	0.7500716396731001	0.8661351232431886	0.8342287472794957	0.6355537369679729	0.7313063076355104	0.7114321180490665	0.8081774801589253	0.9469525433887237	0.6974897589693855	0.8639442935147899	0.8144227547273987	0.7228295474143159	0.5902794307908298	0.8230975486444856	0.6957330295942342	0.8966893618528085	0.35053800246951955	0.9079156428914755	0.6369609565420956
VincentC_2016__MM061__bin.15	0.8961323253407237	0.850916489800214	0.6006361345471343	0.6565048850221886	0.7513766349184076	0.8826974911274432	1.0	0.6839206468927049	0.9028000444358691	0.895714862044167	0.5013827740845335	0.7563312343232008	0.748989961001678	0.8173171259347611	0.894715054989388	0.6709921477141837	0.9025427841410721	0.875063876561833	0.6768027222816649	0.4286564581104231	0.8173346664094064	0.6969017674951618	0.8961393415305817	0.5958382300491718	0.9188858290505342	0.6438862675624003
VincentC_2016__MM001.4__bin.3	0.8693444655850511	0.8603744825448156	0.30123946093479304	0.2919852954585519	0.8470764162011344	0.8691529843714858	0.4444073808409369	1.0	0.8780401441883932	0.8467701982286469	0.7409517528129501	0.7575559094749766	0.7461050289653327	0.80986903292869	0.8808249800920325	0.7100282966682269	0.8738587111794636	0.8125049389995562	0.7748249314618831	0.6790189779158333	0.8552060094707216	0.7471832505607664	0.882824894989271	0.2731411125362447	0.8999829794476831	0.6600395423902934
VincentC_2016__MM017__bin.15	0.8542766558988755	0.8039384282852006	0.35648335630614636	0.35700999426563645	0.7613887018686288	0.8241821668156936	0.4817383295717822	0.7210385001051404	1.0	0.8204595103390138	0.6019727708207627	0.7171972876897129	0.6903175364824702	0.7874722563503864	0.8229716482832165	0.6741621059029002	0.827760684230001	0.7921371205507984	0.6876007335492715	0.5802826498375472	0.8025581875667267	0.6787988910651876	0.8512915421569318	0.3274252957190698	0.8730970991857703	0.6215681955598928
VincentC_2016__MM058.1__bin.41	0.8736174070716228	0.8255428995302069	0.3831078875793291	0.37414983928129897	0.7717431797576856	0.8388316162531938	0.5050582708316163	0.734787439215363	0.866980301656639	1.0	0.6085914448199127	0.7312189895326795	0.7094436660347813	0.8020222533586088	0.8320059342289623	0.6749446962828649	0.8571551965713344	0.818696777383994	0.7054426769966209	0.5903845710046979	0.8139428006263908	0.6948177697189483	0.8646356218577433	0.3449231022830297	0.8854766339734609	0.6314883375916921
