	HeQ_2017__SZAXPI029578-96__bin.24	VincentC_2016__MM048.2__bin.15	VincentC_2016__MM029.2__bin.3	VincentC_2016__MM029.3__bin.32	VincentC_2016__MM020.3__bin.15	VincentC_2016__MM060.1__bin.5	VincentC_2016__MM061__bin.15	VincentC_2016__MM001.4__bin.3	VincentC_2016__MM017__bin.15	VincentC_2016__MM058.1__bin.41	VincentC_2016__MM034.1__bin.12	VincentC_2016__MM094.1__bin.6	OhJ_2014__MET0251__bin.82	VincentC_2016__MM020.1__bin.11	VincentC_2016__MM060.2__bin.6	VincentC_2016__MM016.1__bin.15	VincentC_2016__MM052.1__bin.13	VincentC_2016__MM029.1__bin.1	VincentC_2016__MM056.1__bin.5	DavidLA_2015__LD-Run1-06__bin.19	OhJ_2014__MET0131__bin.6	VincentC_2016__MM052.2__bin.2	VincentC_2016__MM021.1__bin.15	VincentC_2016__MM075.2__bin.2	OhJ_2014__MET0119__bin.18	VincentC_2016__MM020.2__bin.4
HeQ_2017__SZAXPI029578-96__bin.24	1.0	0.829564160532	0.3663186332235496	0.3666618386997235	0.7798421884544419	0.8487603670094523	0.4924841149391991	0.7392494820431117	0.8831067337544161	0.8541345239519639	0.6287549512900118	0.7364622757356877	0.7138283468831275	0.8183529915552561	0.8419812716864928	0.6820002896780166	0.8571037236219828	0.8269369068685176	0.7140594595615786	0.621997266950887	0.8310950458761815	0.6998646070139865	0.8669590735341348	0.3365819253512346	0.8991234091324143	0.6425096191993551
VincentC_2016__MM048.2__bin.15	0.8813452842193576	1.0	0.3693784526782781	0.37166457144806925	0.8127536926137021	0.8683257140525051	0.495848924814993	0.776230653795178	0.8819052729259176	0.8556152415946497	0.6598446616751624	0.7671972397976012	0.7406315628903446	0.8268497524207636	0.8770774610901515	0.7082144388772661	0.8695634429738144	0.845304625158814	0.7356880066743696	0.6172105871986715	0.8553329055920592	0.7269904520921967	0.880654163151405	0.3336341795161885	0.8959377736802632	0.6602521086552042
VincentC_2016__MM029.2__bin.3	0.8407315497448334	0.7979465270320465	1.0	0.6629893583041504	0.6960258765343597	0.8234068168711998	0.755148496677993	0.5846457802489085	0.8409440078855211	0.8548217158235065	0.43150103844336113	0.7073150638602922	0.7024068472223627	0.7917071951045019	0.8231827963827195	0.6178354995873687	0.8374839753086063	0.8281502700530856	0.6287315670883551	0.3467071156133609	0.7862078534356793	0.6234865970709682	0.8297588816897216	0.5544926224994616	0.8430295663685989	0.6317941439599017
VincentC_2016__MM029.3__bin.32	0.9394445439422762	0.8963146540944433	0.7401396304166485	1.0	0.7452349950546888	0.8947963709644889	0.92286121343253	0.6341599182934562	0.9398527539655264	0.9329470666156807	0.37246018338794956	0.768270625497153	0.7523117111099279	0.8330453274473643	0.9116297906189141	0.6405202499600664	0.910359983155286	0.9338715897118166	0.6514983566722977	0.3040616090574221	0.8296957463870186	0.6958448091981174	0.9315852908859449	0.7953689944318862	0.9380327503836045	0.6522873475868011
VincentC_2016__MM020.3__bin.15	0.9064356207358697	0.8891869596755363	0.35249851228925927	0.338078880509562	1.0	0.8909524496172941	0.479671613015145	0.8370947589396227	0.915102039023769	0.8777793474274864	0.7060920382405707	0.7846395055457025	0.7803472862179794	0.8935289523515345	0.8978248314842778	0.7269265762597232	0.8962467235595556	0.8633963136979914	0.8085314446787533	0.6707075793830007	0.874203717922724	0.7695493974862995	0.9196453209758797	0.3051743055336984	0.928149975881885	0.6867206902685052
VincentC_2016__MM060.1__bin.5	0.8838112699533702	0.8510616114303475	0.37358597711596053	0.3636580626927468	0.7981761227756455	1.0	0.5041544452990931	0.7686474626440908	0.8857430820993932	0.8520091567633425	0.649764294000038	0.7486086821382131	0.7260741524715195	0.82696904182511	0.947151232825331	0.7139331131356013	0.8826715925909168	0.8334064484230419	0.7392092947311889	0.6059719618385133	0.84199534030648	0.7108229349249472	0.916218631823228	0.35889607362132153	0.9287970502159683	0.6495964243770299
VincentC_2016__MM061__bin.15	0.9145018797541995	0.8666538036519268	0.6109791677629464	0.6688416855226769	0.7663129337613209	0.8990452134968105	1.0	0.6985026281477843	0.9203919711400724	0.9134950565095625	0.5069559675618156	0.7720510077002684	0.7617991849526115	0.8324685879333228	0.9116486292119065	0.683596732794256	0.9192085737840066	0.8937058930147983	0.6895523086188046	0.43866622230797564	0.8327784696520555	0.7099916390404191	0.9126344038869691	0.6059134786853999	0.9362813024387107	0.6517479082983986
VincentC_2016__MM001.4__bin.3	0.8919878789352429	0.8815817867932672	0.3073706589993131	0.29864914562906136	0.8689850583865733	0.8906779042837083	0.4538826615280809	1.0	0.899345468581884	0.8667541502793195	0.7579875020515844	0.7763294267113253	0.7619387016965843	0.8312427434698827	0.902729063200958	0.7271187548250226	0.8950796926574554	0.8329964682353942	0.7939532968201961	0.6977886959217541	0.876319852650647	0.7648800658938525	0.903197888235759	0.2784076057553782	0.9221302133039931	0.6743998735616114
VincentC_2016__MM017__bin.15	0.8750345528163587	0.8225036643144752	0.3630619629493972	0.36346817303426454	0.7801018208320256	0.8428403756600914	0.491125464006105	0.7385342367711851	1.0	0.8393205122365328	0.6166400123797359	0.7341557787596428	0.7046653009854494	0.8060356204437861	0.8417870997411113	0.6896623589262326	0.8468132475653914	0.8105488578383259	0.7038703522172145	0.5956000771237581	0.8211583663990006	0.694726569446637	0.8703615768938219	0.3334984796760802	0.8939392332176269	0.6345325994512732
VincentC_2016__MM058.1__bin.41	0.8943146789746971	0.8432308579906042	0.38997906535893845	0.38125508942553366	0.7907135910327207	0.8567101293991594	0.515083820984093	0.7521285749608506	0.8869107393060249	1.0	0.6232793208604632	0.7493658616994973	0.7240807714497651	0.8211271738234567	0.8498059836808703	0.690219401631913	0.8765871589878843	0.8383509437072447	0.7218396109783236	0.6063727025467732	0.8328373856424627	0.7107577680705514	0.8832842660512652	0.35114744910574464	0.9048868375504822	0.6450526662820407
