	VincentC_2016__MM103.2__bin.15	VincentC_2016__MM103.3__bin.13	VincentC_2016__MM083.2__bin.6	VincentC_2016__MM002.1__bin.13	VincentC_2016__MM049.1__bin.11	VincentC_2016__MM049.2__bin.7	VincentC_2016__MM018__bin.11	VincentC_2016__MM029.3__bin.26	VincentC_2016__MM103.1__bin.13	DavidLA_2015__LD-Run2-28__bin.3	VincentC_2016__MM050.4__bin.44	VincentC_2016__MM001.4__bin.23	BackhedF_2015__SID615_M__bin.51	OhJ_2014__MET0251__bin.14	VincentC_2016__MM050.3__bin.14	VincentC_2016__MM021.1__bin.1	VincentC_2016__MM005.3__bin.2	VincentC_2016__MM083.5__bin.7	DavidLA_2015__LD-Run2-18__bin.1	VincentC_2016__MM005.1__bin.8	VincentC_2016__MM043.2__bin.9	VincentC_2016__MM002.2__bin.2	ZeeviD_2015__PNP_Main_122__bin.62	VincentC_2016__MM099.1__bin.4	DavidLA_2015__LD-Run1-06__bin.12	VincentC_2016__MM096__bin.10
VincentC_2016__MM103.2__bin.15	1403656.0	1321505.0	1029326.0	1125160.0	1153660.0	1162674.0	763700.0	1167232.0	1379109.0	1159884.0	1085271.0	911698.0	1181643.0	1112119.0	1104787.0	1059261.0	1167352.0	751542.0	1221714.0	1120045.0	1119777.0	1122638.0	900425.0	1378193.0	1036024.0	1140845.0
VincentC_2016__MM103.3__bin.13	1321505.0	1437102.0	1061564.0	1164614.0	1192643.0	1203670.0	819694.0	1205872.0	1412717.0	1203256.0	1129083.0	932049.0	1220726.0	1155446.0	1138007.0	1105461.0	1204036.0	779716.0	1263410.0	1161979.0	1152817.0	1165469.0	936912.0	1416598.0	1071016.0	1180270.0
VincentC_2016__MM083.2__bin.6	1029326.0	1061564.0	1275973.0	1086140.0	1120850.0	1121498.0	758690.0	1115395.0	1102425.0	1111064.0	1049648.0	848625.0	1118975.0	1062666.0	1048071.0	1026861.0	1099847.0	814958.0	1148655.0	1059720.0	1086721.0	1090269.0	854160.0	1097062.0	943074.0	1104022.0
VincentC_2016__MM002.1__bin.13	1125160.0	1164614.0	1086140.0	1395730.0	1284297.0	1285653.0	831402.0	1238148.0	1210299.0	1185303.0	1110294.0	954474.0	1216800.0	1136300.0	1120800.0	1093577.0	1181976.0	788590.0	1225078.0	1134784.0	1184249.0	1361777.0	938908.0	1197991.0	1024949.0	1189080.0
VincentC_2016__MM049.1__bin.11	1153660.0	1192643.0	1120850.0	1284297.0	1500791.0	1432783.0	860316.0	1282554.0	1239093.0	1241789.0	1134732.0	972910.0	1287112.0	1157624.0	1157684.0	1136545.0	1223752.0	814509.0	1294155.0	1169890.0	1249755.0	1297386.0	942557.0	1229056.0	1083827.0	1207590.0
VincentC_2016__MM049.2__bin.7	1162674.0	1203670.0	1121498.0	1285653.0	1432783.0	1475120.0	864645.0	1283094.0	1248917.0	1251494.0	1140363.0	968673.0	1284828.0	1159778.0	1167625.0	1148755.0	1222075.0	804522.0	1302601.0	1166162.0	1232763.0	1295700.0	951121.0	1239604.0	1068438.0	1202525.0
VincentC_2016__MM018__bin.11	763700.0	819694.0	758690.0	831402.0	860316.0	864645.0	953162.0	871901.0	843466.0	818129.0	799706.0	616537.0	858256.0	788859.0	785074.0	803067.0	820436.0	517161.0	855848.0	794754.0	816175.0	833325.0	668193.0	839702.0	680572.0	821424.0
VincentC_2016__MM029.3__bin.26	1167232.0	1205872.0	1115395.0	1238148.0	1282554.0	1283094.0	871901.0	1490442.0	1257729.0	1245300.0	1150494.0	976082.0	1279167.0	1178078.0	1191679.0	1150707.0	1251751.0	798684.0	1290114.0	1203302.0	1213659.0	1240490.0	966798.0	1249253.0	1064509.0	1220229.0
VincentC_2016__MM103.1__bin.13	1379109.0	1412717.0	1102425.0	1210299.0	1239093.0	1248917.0	843466.0	1257729.0	1493697.0	1255667.0	1158491.0	951104.0	1273287.0	1183969.0	1187642.0	1137299.0	1248177.0	798617.0	1318755.0	1196931.0	1193797.0	1209278.0	979064.0	1474619.0	1092491.0	1229515.0
DavidLA_2015__LD-Run2-28__bin.3	1159884.0	1203256.0	1111064.0	1185303.0	1241789.0	1251494.0	818129.0	1245300.0	1255667.0	1523934.0	1147768.0	962715.0	1337398.0	1169675.0	1198400.0	1123977.0	1200118.0	820303.0	1428078.0	1154556.0	1186595.0	1202513.0	951168.0	1245880.0	1150674.0	1199325.0
VincentC_2016__MM050.4__bin.44	1085271.0	1129083.0	1049648.0	1110294.0	1134732.0	1140363.0	799706.0	1150494.0	1158491.0	1147768.0	1392716.0	868867.0	1199812.0	1141595.0	1269466.0	1063465.0	1136564.0	741089.0	1190699.0	1099030.0	1146047.0	1110096.0	917652.0	1153010.0	975930.0	1129356.0
VincentC_2016__MM001.4__bin.23	911698.0	932049.0	848625.0	954474.0	972910.0	968673.0	616537.0	976082.0	951104.0	962715.0	868867.0	1049198.0	956780.0	890516.0	871944.0	883310.0	927062.0	698835.0	955871.0	915649.0	932618.0	957345.0	719115.0	945379.0	899168.0	930110.0
BackhedF_2015__SID615_M__bin.51	1181643.0	1220726.0	1118975.0	1216800.0	1287112.0	1284828.0	858256.0	1279167.0	1273287.0	1337398.0	1199812.0	956780.0	1544982.0	1198097.0	1234710.0	1149136.0	1235002.0	802375.0	1378721.0	1182876.0	1228508.0	1225992.0	988109.0	1265071.0	1133223.0	1224026.0
OhJ_2014__MET0251__bin.14	1112119.0	1155446.0	1062666.0	1136300.0	1157624.0	1159778.0	788859.0	1178078.0	1183969.0	1169675.0	1141595.0	890516.0	1198097.0	1383754.0	1151169.0	1061190.0	1171187.0	766503.0	1209710.0	1136375.0	1146180.0	1136369.0	978702.0	1174706.0	1006470.0	1151043.0
VincentC_2016__MM050.3__bin.14	1104787.0	1138007.0	1048071.0	1120800.0	1157684.0	1167625.0	785074.0	1191679.0	1187642.0	1198400.0	1269466.0	871944.0	1234710.0	1151169.0	1576890.0	1057351.0	1173717.0	740818.0	1236857.0	1119513.0	1157946.0	1123356.0	929285.0	1181524.0	1007014.0	1149921.0
VincentC_2016__MM021.1__bin.1	1059261.0	1105461.0	1026861.0	1093577.0	1136545.0	1148755.0	803067.0	1150707.0	1137299.0	1123977.0	1063465.0	883310.0	1149136.0	1061190.0	1057351.0	1307255.0	1103497.0	735278.0	1165180.0	1067397.0	1111492.0	1090113.0	883323.0	1130007.0	980439.0	1084160.0
VincentC_2016__MM005.3__bin.2	1167352.0	1204036.0	1099847.0	1181976.0	1223752.0	1222075.0	820436.0	1251751.0	1248177.0	1200118.0	1136564.0	927062.0	1235002.0	1171187.0	1173717.0	1103497.0	1436151.0	782385.0	1234927.0	1312145.0	1177501.0	1182934.0	949386.0	1236208.0	1025058.0	1187076.0
VincentC_2016__MM083.5__bin.7	751542.0	779716.0	814958.0	788590.0	814509.0	804522.0	517161.0	798684.0	798617.0	820303.0	741089.0	698835.0	802375.0	766503.0	740818.0	735278.0	782385.0	900035.0	836663.0	756471.0	793419.0	787089.0	614511.0	794987.0	728513.0	798801.0
DavidLA_2015__LD-Run2-18__bin.1	1221714.0	1263410.0	1148655.0	1225078.0	1294155.0	1302601.0	855848.0	1290114.0	1318755.0	1428078.0	1190699.0	955871.0	1378721.0	1209710.0	1236857.0	1165180.0	1234927.0	836663.0	1604054.0	1185412.0	1233299.0	1231359.0	988071.0	1308355.0	1304337.0	1250918.0
