	VincentC_2016__MM103.2__bin.15	VincentC_2016__MM103.3__bin.13	VincentC_2016__MM083.2__bin.6	VincentC_2016__MM002.1__bin.13	VincentC_2016__MM049.1__bin.11	VincentC_2016__MM049.2__bin.7	VincentC_2016__MM018__bin.11	VincentC_2016__MM029.3__bin.26	VincentC_2016__MM103.1__bin.13	DavidLA_2015__LD-Run2-28__bin.3	VincentC_2016__MM050.4__bin.44	VincentC_2016__MM001.4__bin.23	BackhedF_2015__SID615_M__bin.51	OhJ_2014__MET0251__bin.14	VincentC_2016__MM050.3__bin.14	VincentC_2016__MM021.1__bin.1	VincentC_2016__MM005.3__bin.2	VincentC_2016__MM083.5__bin.7	DavidLA_2015__LD-Run2-18__bin.1	VincentC_2016__MM005.1__bin.8	VincentC_2016__MM043.2__bin.9	VincentC_2016__MM002.2__bin.2	ZeeviD_2015__PNP_Main_122__bin.62	VincentC_2016__MM099.1__bin.4	DavidLA_2015__LD-Run1-06__bin.12	VincentC_2016__MM096__bin.10
VincentC_2016__MM103.2__bin.15	1.0	0.9992690152515503	0.9537095147698591	0.95653862561769	0.9551774352928939	0.9550063044327128	0.9566282571690454	0.9582293837043535	0.9994829995308565	0.9509106083022095	0.9556212227176438	0.9587527887524159	0.9527979262772258	0.9523603139592076	0.9547451228155291	0.9553688845336513	0.960621132272014	0.9566052196683619	0.9496772567065614	0.9608819288510729	0.9536559511402717	0.9564534605099774	0.9550545575700363	0.9993157707229684	0.9509847262225586	0.955477737992453
VincentC_2016__MM103.3__bin.13	0.9992690152515503	1.0	0.953524234054659	0.9561176492812211	0.9549596987531055	0.9547866109481835	0.9564300824454004	0.957637294837263	0.9991640222351681	0.9508558444753237	0.9556144233860575	0.9585354418061711	0.9529468529383334	0.952875339912034	0.9546584511343076	0.955847379509544	0.9606241009405034	0.9560596422287089	0.9499410326022432	0.9608151266072795	0.9530246344389439	0.9559868173241846	0.9550929009341326	0.9992390219384751	0.9516925984299021	0.9550441848051717
VincentC_2016__MM083.2__bin.6	0.9537095147698591	0.953524234054659	1.0	0.9576601543079161	0.957848061738859	0.9576486092708145	0.959037287956873	0.9571828814007594	0.9536249631494206	0.9487158255510033	0.9543294513970397	0.9599575784357048	0.9508398310954221	0.9537220537779509	0.9545641468946283	0.957889139815418	0.9561338986240814	0.999734955666427	0.9487992478159238	0.956036500207602	0.9559095664848659	0.9576682451761904	0.9546981830102088	0.9538230291451166	0.9513018066450777	0.95817927541299
VincentC_2016__MM002.1__bin.13	0.95653862561769	0.9561176492812211	0.9576601543079161	1.0	0.9648430230702089	0.9647517642785417	0.9612293451302739	0.9596582961003046	0.9565041365811258	0.9510302428999168	0.9557684721344076	0.9626076771080198	0.953690006574622	0.9535457185602394	0.9562705210563883	0.9603713318769506	0.9590372393348088	0.9614742768739142	0.9508619043032362	0.9594715822570639	0.9580358522574222	0.9994573267135515	0.9551873026963238	0.9566874876355499	0.9522483557718482	0.9596999360850406
VincentC_2016__MM049.1__bin.11	0.9551774352928939	0.9549596987531055	0.957848061738859	0.9648430230702089	1.0	0.9998974024677847	0.9609701551522929	0.9592063959880052	0.9555021293801191	0.9500873336774605	0.9547047232298023	0.9619975126167888	0.9517097191231222	0.9535237693758941	0.9549669858095992	0.9606430013769802	0.9579089554092659	0.9618936070687985	0.9498669015689775	0.9580285325970818	0.9596712955739325	0.9647575971992916	0.9558350317275242	0.9555170797750469	0.9512865060567784	0.9592071812452903
VincentC_2016__MM049.2__bin.7	0.9550063044327128	0.9547866109481835	0.9576486092708145	0.9647517642785417	0.9998974024677847	1.0	0.9603872109362802	0.9584488743615043	0.9553068778789944	0.9500836600095566	0.9545232526835753	0.9616692113850598	0.9515444868885173	0.9531427566310104	0.9551268600792207	0.960471118732889	0.9576237137655218	0.9620756175716761	0.9496837481316228	0.9577657306617777	0.9597051501383478	0.9646098633943042	0.9556723066781199	0.9553405765066908	0.9513785544879534	0.9588831833018024
VincentC_2016__MM018__bin.11	0.9566282571690454	0.9564300824454004	0.959037287956873	0.9612293451302739	0.9609701551522929	0.9603872109362802	1.0	0.960011515068798	0.9565293681073096	0.9509148312796637	0.9561876489609932	0.9638432081124085	0.9533682257974311	0.9534733076506702	0.9558754970868988	0.9600842769034215	0.9586829441906498	0.9618648738013887	0.9510532244043335	0.9590288315629742	0.9580641406561093	0.9608340083400834	0.9557867262901587	0.9564774169884078	0.9533245564025555	0.961572829622704
VincentC_2016__MM029.3__bin.26	0.9582293837043535	0.957637294837263	0.9571828814007594	0.9596582961003046	0.9592063959880052	0.9584488743615043	0.960011515068798	1.0	0.9578605566063914	0.9504914478438931	0.9566342805786037	0.9634026649400358	0.9524604684142102	0.9538307310721361	0.9563363959589789	0.9589991196716453	0.9613253754141199	0.960686579423151	0.9505865373137568	0.9614884708909318	0.9559686864267476	0.959503099581617	0.9559380553124851	0.9577883743325011	0.9527049559937962	0.9595428399095579
VincentC_2016__MM103.1__bin.13	0.9994829995308565	0.9991640222351681	0.9536249631494206	0.9565041365811258	0.9555021293801191	0.9553068778789944	0.9565293681073096	0.9578605566063914	1.0	0.9509559461226583	0.9555706518220686	0.9584566987416728	0.9528794372360669	0.9529100846390404	0.9549813832787994	0.9555200523345224	0.9606610280432983	0.9563820955476781	0.949877725582083	0.9608365060308406	0.9537073723589522	0.9563185636387993	0.9550509466184028	0.999197080737465	0.9512847245423532	0.955440966559985
DavidLA_2015__LD-Run2-28__bin.3	0.9509106083022095	0.9508558444753237	0.9487158255510033	0.9510302428999168	0.9500873336774605	0.9500836600095566	0.9509148312796637	0.9504914478438931	0.9509559461226583	1.0	0.9507069372904629	0.9521332897067148	0.9505696883052016	0.9485429713381922	0.9512725300400534	0.9507641170593348	0.950204063267112	0.951047356891295	0.9753381818079965	0.9502232892990898	0.9501363144122468	0.9506100973544569	0.951191587605975	0.9511108613991717	0.9778390751855	0.9505505179997081
