	VincentC_2016__MM103.2__bin.15	VincentC_2016__MM103.3__bin.13	VincentC_2016__MM083.2__bin.6	VincentC_2016__MM002.1__bin.13	VincentC_2016__MM049.1__bin.11	VincentC_2016__MM049.2__bin.7	VincentC_2016__MM018__bin.11	VincentC_2016__MM029.3__bin.26	VincentC_2016__MM103.1__bin.13	DavidLA_2015__LD-Run2-28__bin.3	VincentC_2016__MM050.4__bin.44	VincentC_2016__MM001.4__bin.23	BackhedF_2015__SID615_M__bin.51	OhJ_2014__MET0251__bin.14	VincentC_2016__MM050.3__bin.14	VincentC_2016__MM021.1__bin.1	VincentC_2016__MM005.3__bin.2	VincentC_2016__MM083.5__bin.7	DavidLA_2015__LD-Run2-18__bin.1	VincentC_2016__MM005.1__bin.8	VincentC_2016__MM043.2__bin.9	VincentC_2016__MM002.2__bin.2	ZeeviD_2015__PNP_Main_122__bin.62	VincentC_2016__MM099.1__bin.4	DavidLA_2015__LD-Run1-06__bin.12	VincentC_2016__MM096__bin.10
VincentC_2016__MM103.2__bin.15	1.0	0.9407853491168777	0.6993722108550813	0.7667541049943861	0.7850570225183379	0.7910492314356224	0.5204815139891825	0.7968305624739964	0.9820041377659483	0.7857665980838611	0.7388619433821392	0.6227259385490462	0.8020960976193596	0.7545566720051067	0.7514590469459753	0.7209636834096104	0.7989015827239723	0.5121831844839476	0.8265800167562423	0.7667341570869216	0.7607861185361656	0.7649673424257795	0.6126536701300034	0.9811876984104367	0.7019120069304731	0.7765805866964555
VincentC_2016__MM103.3__bin.13	0.9188902388278632	1.0	0.7043529269321176	0.7748287873790448	0.7925157713231211	0.7996982816807715	0.5455284315239975	0.8035532620509888	0.9822100310207625	0.7961320769159045	0.7507943068759211	0.6216691647496141	0.8094672472795946	0.766122376838944	0.7559713924272597	0.7352658336012337	0.8048322248525157	0.5187210093646797	0.8351286130003298	0.7768738753407901	0.7644989708454932	0.7752915241924373	0.6226683979286092	0.9849822768321246	0.7092593288437424	0.784363253269427
VincentC_2016__MM083.2__bin.6	0.7693564048769056	0.7932981340514259	1.0	0.8151841770946563	0.8414002490648314	0.841711384175057	0.5702409063514667	0.8367238178237314	0.8239202553659051	0.8261021197156994	0.7850557966351952	0.6384492461831088	0.8338467976986973	0.7942863994771049	0.7840690986408019	0.7708775969397471	0.8241561537744138	0.6385260503161118	0.8541270073896547	0.7940066129925947	0.814129295839332	0.818290042187413	0.6390926767259182	0.8200823998626929	0.7031089215837639	0.8290543765424504
VincentC_2016__MM002.1__bin.13	0.7711083089136151	0.797796135355692	0.7452394087681714	1.0	0.8878113961869417	0.8886647130892078	0.5725806567172734	0.851310067133328	0.8294268948865469	0.8076483273985657	0.7603075093320342	0.6582820459544468	0.8314287147227616	0.776306305660837	0.7679049672931012	0.7524664512477341	0.812162094387883	0.543234723048154	0.8346026810342976	0.7800885558095046	0.8128742665128641	0.9751441897788253	0.6425547921159536	0.8211495059932795	0.6992799466945613	0.8176079900840421
VincentC_2016__MM049.1__bin.11	0.734246140868382	0.7588838152680819	0.7153587674766173	0.8256612679580302	1.0	0.954587280973833	0.5508681755154449	0.8197237323518064	0.7888879930649904	0.7861241172155217	0.7218420153105929	0.6236291395670682	0.8162075865327018	0.7354934831032436	0.7366448759354234	0.727492369024068	0.7810834419982529	0.5220387115860903	0.8190847359825586	0.7467981884219721	0.7991479159989632	0.83400220283837	0.6003027736706843	0.782510023047846	0.6869910600476682	0.7718123309641383
VincentC_2016__MM049.2__bin.7	0.7527258799284126	0.7790878030261945	0.7280770378003145	0.8408373556049678	0.9711996312164434	1.0	0.5629331850968057	0.8336813276208037	0.8088148760778784	0.8060523889581864	0.7379081023916698	0.6315031997396823	0.8287942675850101	0.7493858126796464	0.756026628342101	0.7479703346168447	0.7933510494061501	0.5247105320245133	0.8386158414230707	0.7571655187374586	0.8020289874722056	0.847283610824882	0.6161939367644667	0.802811974619014	0.6890890232659037	0.781686235696079
VincentC_2016__MM018__bin.11	0.7664772619974359	0.8225044640890007	0.7633665630816169	0.8384387963431189	0.8673635751320342	0.8711992295118773	1.0	0.8781665655995519	0.8464458297750016	0.8162001842289138	0.8022445292615527	0.6234459619665912	0.8584416919684167	0.7891166454390754	0.7873089779072183	0.8088992217482442	0.82518816318737	0.5218829537895971	0.8539545218965926	0.7996458104708329	0.8203726124205539	0.8400324393964509	0.6700330059318353	0.8426227650703658	0.6806880677156664	0.8286723558010075
VincentC_2016__MM029.3__bin.26	0.7504324220600331	0.7747956646417641	0.7163224063734114	0.797212504746914	0.8254155478710342	0.8251109402445717	0.561601860387724	1.0	0.8083031744945459	0.7941583771793871	0.738440006387367	0.6309269330842797	0.8174460998817801	0.7539287003452666	0.7646362622631407	0.7404025114697519	0.8073712361836287	0.5148036622693134	0.822819673627018	0.7762536214089512	0.7784402210887778	0.7985912903688973	0.6200838409008871	0.8027954123676064	0.6804444587578719	0.7855803848791163
VincentC_2016__MM103.1__bin.13	0.9228083071734092	0.9449948684371731	0.7038241356848143	0.7750273315136872	0.7926346508026728	0.7987557048049236	0.5401363194811264	0.8065417551216879	1.0	0.7994151424284844	0.7411275513039125	0.6102924488701524	0.8122725023883692	0.7553178455871572	0.7593079453195661	0.7275317551016036	0.8027565162144665	0.5113373060265904	0.8386279144967153	0.7699386153952241	0.7622248688991141	0.7742232862488174	0.6260011233871394	0.9864349998694515	0.6957702934397003	0.7864573604954687
DavidLA_2015__LD-Run2-28__bin.3	0.7237491912379407	0.7507693902754319	0.6916861228898363	0.739703294237152	0.7741857587008362	0.7802332646951902	0.510501767136897	0.7767048966687534	0.7835536184637917	1.0	0.7160356025917133	0.6014912719317241	0.8342159174872403	0.7280413718704353	0.7480671735127638	0.7012357490547491	0.7482981546444925	0.511929650496675	0.9139890572688844	0.7199038803517737	0.7398135352318407	0.7501118814856812	0.5936890967719075	0.7775730445019272	0.738335124749497	0.748076360262321
VincentC_2016__MM050.4__bin.44	0.7446658184439614	0.7747221974903713	0.7192492941848876	0.7619529035352505	0.7778570792609548	0.7815685322779374	0.5490487651466631	0.7902558741337071	0.7948641359760353	0.7834985740093457	1.0	0.5971231751484151	0.82078040318342	0.781636744318296	0.9110428831147197	0.7297044049181599	0.7803895410119508	0.5097471415564983	0.8128807308884224	0.7548531071661415	0.7826017651840002	0.7615745062166299	0.6297931523727738	0.7911174999066573	0.6676939160604173	0.7759500142168253
VincentC_2016__MM001.4__bin.23	0.8331058579982045	0.851509438637893	0.7764444842632182	0.875701249907072	0.8920499276590309	0.8878619669499943	0.5663802256580741	0.896265528527504	0.8688464903669278	0.8736511125640727	0.7926273210585609	1.0	0.8707336460801488	0.8119354020880711	0.7955771932466512	0.8116914061978768	0.8494383328980802	0.6403796042310413	0.8678724130240432	0.8394116267854113	0.8521508809585988	0.8783318305982284	0.6561049487322698	0.8635138458136595	0.8172604217697709	0.8533822977169228
BackhedF_2015__SID615_M__bin.51	0.728724994854309	0.7529453417580269	0.6886591558995508	0.7511090744099285	0.7928616644077408	0.791317309845681	0.5296074646824365	0.7885891227211709	0.7853094728611725	0.8228510105619354	0.7398882317075539	0.5913156269781784	1.0	0.7379218657563648	0.7615907499245946	0.7094186210583683	0.7611098381728719	0.4954808534986168	0.8489865901350307	0.7292033175791045	0.7564470006770305	0.7564554150145438	0.6112200659942963	0.7804544001159884	0.6991628381430981	0.7562450565767109
OhJ_2014__MET0251__bin.14	0.7654091695489227	0.79565876593672	0.7324192016789112	0.7830250174525241	0.7977010364559018	0.7988659834045647	0.5435619336963073	0.8120569118499387	0.8153298924519821	0.8017949722277226	0.7866990809059992	0.6156303793882439	0.8239007800519457	1.0	0.7936237221355819	0.73222769365075	0.8069259420388306	0.5303760639535641	0.8290057336780959	0.7828306187371455	0.7888410801341857	0.7828168879728622	0.6942809198744864	0.809020244927928	0.6911662043976025	0.7947366367143294
VincentC_2016__MM050.3__bin.14	0.6689052502076872	0.6889561098110838	0.6344456493477668	0.6796846958253271	0.701095193704063	0.7072338590516777	0.4758943236370323	0.7227175009036775	0.7192486476545605	0.7229451642156397	0.804636975312165	0.5293444691766706	0.7461801393882896	0.6964214371325839	1.0	0.6411189112747243	0.7109310097724001	0.45040681341120814	0.7465986847528997	0.6783929126318259	0.698906708774867	0.6808344272587181	0.5640209526346163	0.7156827679800113	0.6089511633658657	0.6980182511145356
VincentC_2016__MM021.1__bin.1	0.7741297604522455	0.808298304462404	0.7524308570248345	0.8033933700769933	0.8351958875659301	0.8440174258274017	0.5897946460330998	0.844155883894114	0.831293053000371	0.8174663703715036	0.7774083862750573	0.6514605031153065	0.838427850725375	0.7750767830300898	0.7733563841790622	1.0	0.8092927546653101	0.5411254881411813	0.8474582235294568	0.7832335695790034	0.8143667455852148	0.8006571020956126	0.6464477091309653	0.8260270566951359	0.7146884119777702	0.796152242676448
VincentC_2016__MM005.3__bin.2	0.7808252753366464	0.8053651739963277	0.7322356771676517	0.7893034924600547	0.8162393787282813	0.8148781012581546	0.5476708229148606	0.8378923943234381	0.8349226508911667	0.7940369780057946	0.7567874130227255	0.6205677536693566	0.8187864646544827	0.7774857936247651	0.7806003686241906	0.7366579141051324	1.0	0.5228475278713728	0.8177447914599509	0.9127410697064584	0.7831056762137129	0.789836166252713	0.6317796666227994	0.8270885164582276	0.6800259861254144	0.7926819672861698
VincentC_2016__MM083.5__bin.7	0.7987789363746967	0.8282511235674168	0.9052336853566806	0.8424216836011933	0.8704894809646291	0.8599787786030544	0.5526885065580783	0.8525057358880488	0.848614776092041	0.8667962912553401	0.7887837695200741	0.7465098579499686	0.850532479292472	0.8154238446282646	0.789127089502075	0.7859572127750587	0.8342875554839533	1.0	0.8842245023804629	0.8067719588682662	0.8446249312526735	0.8405373124378497	0.6547789808174127	0.8448282566789069	0.7715799941113402	0.8529057203330981
DavidLA_2015__LD-Run2-18__bin.1	0.7233135542818384	0.7482073546152437	0.6794303683043089	0.7262099654999146	0.766355122707839	0.7712078271679134	0.5074374054738806	0.764540969318988	0.7809313152799094	0.8683367268184238	0.7057817255528804	0.5676679214041422	0.8177212238490724	0.7151504874524175	0.7339553406556139	0.6906525590784349	0.7321480448912567	0.49613853398950414	1.0	0.7028504027919259	0.7301530995839293	0.7296506227346461	0.5862676692929291	0.7748392510476579	0.8130430771033893	0.7415118194275255
VincentC_2016__MM005.1__bin.8	0.7928463188075676	0.8224729580301556	0.7463613144574257	0.8021005917813627	0.8256709200568428	0.8228140445121543	0.5614975980292127	0.8523191302368378	0.8472315638336353	0.8082099442548292	0.7744770068666675	0.6488076338543436	0.8299569700617418	0.7980134475003077	0.7880725814353184	0.7542843924572002	0.9656755022553698	0.5349260033872908	0.8305492671060765	1.0	0.7971743600208335	0.8047224638967695	0.6380033696102995	0.8416791473869314	0.6910323722748994	0.8021064852842915
