	VincentC_2016__MM103.2__bin.15	VincentC_2016__MM103.3__bin.13	VincentC_2016__MM083.2__bin.6	VincentC_2016__MM002.1__bin.13	VincentC_2016__MM049.1__bin.11	VincentC_2016__MM049.2__bin.7	VincentC_2016__MM018__bin.11	VincentC_2016__MM029.3__bin.26	VincentC_2016__MM103.1__bin.13	DavidLA_2015__LD-Run2-28__bin.3	VincentC_2016__MM050.4__bin.44	VincentC_2016__MM001.4__bin.23	BackhedF_2015__SID615_M__bin.51	OhJ_2014__MET0251__bin.14	VincentC_2016__MM050.3__bin.14	VincentC_2016__MM021.1__bin.1	VincentC_2016__MM005.3__bin.2	VincentC_2016__MM083.5__bin.7	DavidLA_2015__LD-Run2-18__bin.1	VincentC_2016__MM005.1__bin.8	VincentC_2016__MM043.2__bin.9	VincentC_2016__MM002.2__bin.2	ZeeviD_2015__PNP_Main_122__bin.62	VincentC_2016__MM099.1__bin.4	DavidLA_2015__LD-Run1-06__bin.12	VincentC_2016__MM096__bin.10
VincentC_2016__MM103.2__bin.15	1.0	0.9414735519244032	0.7333178499575395	0.8015924129558809	0.8218965330536827	0.8283183344067208	0.5440791760944277	0.8315655687718359	0.9825120969810267	0.826330667912936	0.7731744814968909	0.6495166906991456	0.8418323292886576	0.7923016750542868	0.7870781729996523	0.7546443003128972	0.8316510598038266	0.5354175097032321	0.8703799221461669	0.7979483577172755	0.7977574277458295	0.7997956764335421	0.6414855206688819	0.9818595154368307	0.7380896743931562	0.8127668032623377
VincentC_2016__MM103.3__bin.13	0.9195624249357387	1.0	0.7386838234168487	0.8103906333718831	0.8298944681727533	0.8375675491370829	0.5703798338600878	0.8390997994575193	0.9830318237675544	0.8372794693765648	0.7856665706400798	0.6485614799784566	0.8494358785945605	0.8040111279505561	0.7918762899223576	0.7692293240145793	0.8378222283456568	0.5425613491596282	0.8791373194108699	0.8085570822391174	0.8021817518867833	0.8109855807033878	0.6519453733972954	0.985732397561203	0.7452609487705117	0.8212847800643239
VincentC_2016__MM083.2__bin.6	0.8066988878291311	0.8319643127244856	1.0	0.8512249083640484	0.8784276783286167	0.8789355260652068	0.5945972211010735	0.8741525094966743	0.8639877176084447	0.8707582370473357	0.8226255571238577	0.6650806874440133	0.8769582114982056	0.8328279673629457	0.8213896375550266	0.8047670287694175	0.8619672986810849	0.638695332894975	0.900218891779058	0.830519141079004	0.8516802471525652	0.8544608702535241	0.6694185535273866	0.8597846506156478	0.7391018461989399	0.8652393114901334
VincentC_2016__MM002.1__bin.13	0.8061444548730772	0.8344120997614152	0.7781877583773366	1.0	0.9201614925522845	0.9211330271614138	0.5956753813416635	0.8870970746491084	0.8671440751434734	0.8492351672601435	0.7954933977201895	0.6838528941844053	0.8718018527938785	0.8141259412637115	0.8030206415280893	0.7835161528375832	0.8468514684072135	0.5650018270009243	0.8777327993236514	0.8130397713024725	0.8484800068781211	0.9756736618113818	0.6727003073660378	0.8583257506824385	0.7343461844339522	0.8519412780408818
VincentC_2016__MM049.1__bin.11	0.7687013048452449	0.7946762740448203	0.7468394999703489	0.8557467362210994	1.0	0.954685229322404	0.5732417105379763	0.8545853486594736	0.8256266195626173	0.8274230056017127	0.7560892889149788	0.648264815020879	0.8576224137804664	0.771342578680176	0.77138255759796	0.7572973185473527	0.8154046766005393	0.5427198057557648	0.8623152724130142	0.7795156021058228	0.832730873252838	0.8644681371356838	0.6280401468292387	0.8189388129326468	0.7221705087517183	0.8046356887801166
VincentC_2016__MM049.2__bin.7	0.7881894354357611	0.8159810727262867	0.7602757741743045	0.8715582461087912	0.9712992841260372	1.0	0.5861523130321601	0.8698234719887196	0.8466545094636369	0.8484014859808016	0.7730645642388416	0.6566740332989859	0.8709989695753566	0.7862262053256684	0.7915457725473182	0.7787535929280329	0.8284580237539997	0.5453942730082977	0.8830474808829112	0.7905539888280275	0.8357035359835132	0.8783692174195997	0.6447753403112967	0.8403411247898476	0.7243058191875915	0.8152048646889745
VincentC_2016__MM018__bin.11	0.8012279129885581	0.8599734357853125	0.7959717235894843	0.8722567622292957	0.9025915846414355	0.9071333099724915	1.0	0.9147458669145434	0.8849135823710975	0.8583315323103523	0.8390032334482491	0.6468333819434682	0.9004303570641716	0.827623216200394	0.8236522228120718	0.8425293916459112	0.8607518973689677	0.5425740849928973	0.8979040289058943	0.8338078941460109	0.8562815135307534	0.8742742576812755	0.701027737152761	0.8809646209143881	0.714015036268756	0.8617884472943739
VincentC_2016__MM029.3__bin.26	0.7831448657512335	0.8090700610959702	0.748365250039921	0.8307253821349639	0.860519228524156	0.86088153715475	0.5849949209697526	1.0	0.8438630956454528	0.8355239586646109	0.771914640086632	0.6548943199399909	0.8582467482800404	0.7904219016909078	0.7995473825885208	0.7720575507131442	0.8398522049163939	0.535870567254546	0.865591549352474	0.8073457403911054	0.8142946857375195	0.832296728084689	0.6486652952614057	0.8381761920289418	0.7142237000835994	0.8187027740764149
VincentC_2016__MM103.1__bin.13	0.9232856462856924	0.9457855241056252	0.7380512915269964	0.8102707577239561	0.8295477596862014	0.8361247294464674	0.5646834665932917	0.8420241856280088	1.0	0.8406437182373667	0.775586347164117	0.6367449355525251	0.8524399526811662	0.7926433540403441	0.7951023534224143	0.7613987308001556	0.8356293143790207	0.5346579661069146	0.8828798611766644	0.8013211514785127	0.7992230017198937	0.8095872188268437	0.6554635913441615	0.9872276639773663	0.7314006789864343	0.8231354819618705
DavidLA_2015__LD-Run2-28__bin.3	0.7611117016878683	0.7895722518166797	0.7290761935884362	0.7777915579021139	0.8148574675806171	0.821225853613083	0.5368533020458891	0.8171613731303324	0.8239641611775838	1.0	0.7531612261423395	0.6317301142962884	0.877595748897262	0.7675365206104726	0.7863857621130574	0.7375496576623397	0.7875131075230292	0.5382798730128733	0.9370996381733068	0.7576154872848824	0.778639363646982	0.7890846978937408	0.624153014500628	0.8175419670405674	0.755068132871896	0.7869927437802424
