	XieH_2016__YSZC12003_37544__bin.70	KarlssonFH_2013__S530__bin.43	ZeeviD_2015__PNP_Main_68__bin.15	ZeeviD_2015__PNP_Main_65__bin.2	LeChatelierE_2013__MH0092__bin.49	KarlssonFH_2013__S462__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.103	CosteaPI_2017__SID713A074-11-0-0__bin.30	ZeeviD_2015__PNP_Main_331__bin.21	ZeeviD_2015__PNP_Main_95__bin.1	CosteaPI_2017__SID713A039-11-0-0__bin.56	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.14	LeChatelierE_2013__MH0447__bin.34	KarlssonFH_2013__S421__bin.44	ZeeviD_2015__PNP_Main_333__bin.3	ZeeviD_2015__PNP_Main_382__bin.23	CosteaPI_2017__SID713A023-11-90-0__bin.86	ZeeviD_2015__PNP_Main_581__bin.34	CosteaPI_2017__SID713A023-11-0-0__bin.37	XieH_2016__YSZC12003_36117__bin.44	LiuW_2016__SRR3992958__bin.54	XieH_2016__YSZC12003_36474__bin.121	XieH_2016__YSZC12003_37543__bin.26	CosteaPI_2017__SID713A056-11-90-0__bin.79	ZeeviD_2015__PNP_Main_433__bin.48	ZeeviD_2015__PNP_Main_352__bin.44	ZellerG_2014__CCMD18872694ST-21-0__bin.26	ZeeviD_2015__PNP_Main_681__bin.32	SchirmerM_2016__G89063__bin.16	ZellerG_2014__CCIS29210128ST-4-0__bin.16	XieH_2016__YSZC12003_36211__bin.27	ZellerG_2014__CCIS94417875ST-3-0__bin.25	ZeeviD_2015__PNP_Main_208__bin.6	NielsenHB_2014__MH0092__bin.24	SchirmerM_2016__G88811__bin.11	ZeeviD_2015__PNP_Main_179__bin.26	ZeeviD_2015__PNP_Main_764__bin.30	CosteaPI_2017__SID713B072-11-0-0__bin.62	XieH_2016__YSZC12003_37286__bin.15	ZeeviD_2015__PNP_Main_22__bin.31	ZeeviD_2015__PNP_Main_189__bin.25	ZellerG_2014__CCIS90164298ST-4-0__bin.21	ZellerG_2014__CCIS77252613ST-4-0__bin.71	ZeeviD_2015__PNP_DietIntervention_11__bin.1	SchirmerM_2016__G89135__bin.5	SchirmerM_2016__G88977__bin.8	ZeeviD_2015__PNP_Main_98__bin.3	CosteaPI_2017__SID713A074-11-90-0__bin.79
XieH_2016__YSZC12003_37544__bin.70	1.0	0.8306968443935264	0.8566408352417098	0.8672051091770286	0.604923506233144	0.7983890352711587	0.8626816383497029	0.8080706807523652	0.712688077678016	0.6565673388038958	0.4102351340659765	0.8373627028231106	0.872417399358752	0.8470556748101447	0.8468962647281282	0.4209957341023052	0.7944104952241998	0.8634480652440296	0.8336652279207598	0.8255957217689989	0.4478475234175508	0.8754214404043311	0.6158586183592591	0.8115764440560804	0.8960512025183437	0.7364498284034368	0.8889419323606242	0.8648215089506663	0.8653832197396666	0.8278534719306113	0.6315680624417681	0.6035081125049239	0.7948824329670118	0.5087010637266973	0.7531937600181895	0.8794540959791324	0.7642077381848813	0.8289773130088275	0.8478481107178529	0.8149009832665559	0.8910117464255435	0.7723120628545563	0.8397949650745096	0.6091298348973001	0.5601624137035619	0.8085002489733781	0.5301383637561882	0.7960079520460913
KarlssonFH_2013__S530__bin.43	0.8947353914624917	1.0	0.8479297841336542	0.8704716075321653	0.6326946581268992	0.8224482926112937	0.8835207337874321	0.8385807719678742	0.7269682695674766	0.681121465767506	0.43373208173777494	0.8780232019609836	0.883191342754188	0.8722292633885708	0.8561406124685125	0.431848814485976	0.8308073243191343	0.8819162515390785	0.8529000192031809	0.8365348424774363	0.47492493815446135	0.8908206535859117	0.6020911134456155	0.8438989234922679	0.8956182859466604	0.7654677104160312	0.8792070215866346	0.8855169609271748	0.8752434850384628	0.8255275791566414	0.6436147164142013	0.6398626407762603	0.8215382877540186	0.5395343793418957	0.7699296259898111	0.8961645599647565	0.7772702113479504	0.8626620127192833	0.8727750855671151	0.8356777028477188	0.8926948840466751	0.8044275757678448	0.8515630259694782	0.6236479266212568	0.5796315248455274	0.837206727890926	0.5605476295367515	0.8256071029177539
ZeeviD_2015__PNP_Main_68__bin.15	0.8808960758397206	0.8095314716204977	1.0	0.8570085136781367	0.5937906573857107	0.7982876015032664	0.8419784379971632	0.8046978800354765	0.7061663773557558	0.6580099147941981	0.41578032846853874	0.8186132747119257	0.8553541786733571	0.8299680090002727	0.8456058964209422	0.4207170194189164	0.7916051233913911	0.855547867439236	0.8290427029806501	0.8150246403169421	0.4475388154012334	0.8523410026607401	0.5805382908454666	0.8065049228868513	0.8632552999113087	0.7381608281079066	0.8585524158898985	0.8604595384599457	0.8370797083193855	0.8031431933712716	0.6187014483951009	0.5964237892942309	0.7846862500819618	0.5009585221331474	0.7363304908392547	0.8619909307068734	0.7527116427223064	0.8267783993456858	0.8272546407655753	0.7986689397416563	0.8605898146454589	0.7629862062539471	0.8336226442442083	0.5968681087348888	0.550633435598701	0.810945529024844	0.527276899875418	0.7899020426615684
ZeeviD_2015__PNP_Main_65__bin.2	0.9039518821453637	0.8424149006180897	0.8687257995045663	1.0	0.6108702448964421	0.8180109625101394	0.8743605384617067	0.8287124188579662	0.7251698270791929	0.6881246761424383	0.41707213086797107	0.8608076051047604	0.8887665973584155	0.8691626382612155	0.880830037365237	0.4305564118877862	0.8163134569512678	0.878588560421709	0.8551107729509791	0.8341709355739357	0.46475402129971555	0.8772609903864864	0.6061253626658096	0.8311992076558288	0.9127380694700433	0.7620387557747766	0.8915669130717111	0.8804745319506665	0.8760195637297022	0.834264075368897	0.6456227575938449	0.6301532433856534	0.8220518303281538	0.519205819269443	0.7707077531226975	0.9027952870389198	0.7782656320715733	0.8520738909040027	0.8585140923133433	0.8314589496192419	0.9042194950773651	0.7918828450053238	0.8439523631489996	0.6150645966019279	0.5747652374299539	0.8375257172966721	0.5528734501297616	0.8199537799233455
LeChatelierE_2013__MH0092__bin.49	0.8710083089509074	0.845792732869282	0.8314369000533957	0.8438151590636181	1.0	0.8148884609716085	0.8384888775063966	0.7998694100620695	0.770152044862053	0.727814207122165	0.5015813342160134	0.8267327629738265	0.9084837553848719	0.8634930452703731	0.8522135054881599	0.45000072482851766	0.7992671983686526	0.8460361544464605	0.8272413509837131	0.8152484591353762	0.48385746488809855	0.8670072555334617	0.6450273139546402	0.8125224998852355	0.8895790195969471	0.7693964111323995	0.8747701689575275	0.8506853253634411	0.8715875677412652	0.8632327110277827	0.6850179153448613	0.7355861809027014	0.817610796079161	0.7740824274990276	0.7788312623371854	0.9076423502806295	0.7775440876945863	0.8219645993751978	0.8625622446489535	0.8176905272161028	0.8683789935031204	0.8122108236226446	0.8349595666491902	0.7049953973389129	0.6048784583380649	0.8108088844647504	0.5863325126663783	0.7942284321234334
KarlssonFH_2013__S462__bin.17	0.8622464998253481	0.8246571407730988	0.8383982399794857	0.8475249938044994	0.6112138786461143	1.0	0.8428390660401849	0.8185776218067121	0.7104886766184301	0.6564140759960259	0.4269087238537418	0.8216248566653392	0.847412636646465	0.829860002074983	0.8474289465565022	0.4684858559100998	0.8069713086029792	0.8502446713032117	0.8401859873407915	0.848351815632777	0.47546966877744085	0.841749473439085	0.5937341856167434	0.8220081395512147	0.8543031205841485	0.7422785034932656	0.8440129265098106	0.8608538147293892	0.8509102062433429	0.7976674110328387	0.6381863923702241	0.6169830562687366	0.7969842070235004	0.5158820014253049	0.7674791267130502	0.8555576244978473	0.7695278326349521	0.8332116885876388	0.8299646573310554	0.8842358829800199	0.8471575677756046	0.7706174252360519	0.917174199353312	0.619182628858483	0.5765154511479685	0.8277301996559515	0.5355186800571028	0.8196581533466802
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.103	0.8960996404622268	0.852060511806443	0.850512725876741	0.8713102278060265	0.6048967031549647	0.8106502661782193	1.0	0.8512596023079092	0.7064483672645019	0.6567488390516151	0.4064275819635878	0.9385918546893949	0.8696922860388576	0.8584930613262242	0.8646249429711477	0.42653398353124394	0.8225928813176748	0.8628871698045789	0.8576150239815311	0.830123086455958	0.4614598253250372	0.8814919750001198	0.5849266915073527	0.8298367983490283	0.885793704363301	0.7410548039100767	0.8689044490566219	0.8702761917668421	0.8564585420396873	0.8102227948952695	0.6367544253735798	0.6117898409989843	0.7954887617756138	0.515170873039286	0.7675323141709127	0.8743644033638199	0.7600788011282453	0.858361464662156	0.8491078661252321	0.8263651737707804	0.8818989660075359	0.7791376583898756	0.8453978859998144	0.6065656277356963	0.5702235966762692	0.8281452147400464	0.5245551967391915	0.8290228163341963
CosteaPI_2017__SID713A074-11-0-0__bin.30	0.8221035474813484	0.7920817686320553	0.7961302531391119	0.8088305274339668	0.565163913261881	0.7711167987353501	0.8337453944540969	1.0	0.6709776240781973	0.6203711409547783	0.3898943237140215	0.8117808935943381	0.8121351253190753	0.7999555289810631	0.8058874166221743	0.4014712993347699	0.7949553134545317	0.8049023963562786	0.8277947282637226	0.7999900985831158	0.4443128523378654	0.8186704872478713	0.5402584355163824	0.8070982062644386	0.8089248469654932	0.702514917210071	0.8031952555141716	0.8083930725931768	0.8047338161981206	0.7461724835356935	0.6062483915532378	0.5702383894150439	0.7530202522385951	0.48313110116132524	0.7486474109715381	0.8106324145928107	0.706162650404443	0.8240714540870873	0.7923075380084239	0.7831713470066779	0.8149826362437097	0.7325546210382062	0.7913434302178439	0.5766691889672608	0.5644819104954593	0.8186179926669765	0.5016646757136596	0.8678233399442362
ZeeviD_2015__PNP_Main_331__bin.21	0.8775947810194658	0.8311089093874185	0.8456208283979654	0.8566645160257188	0.6586416248720851	0.810092894258202	0.837469916424612	0.8121297182591483	1.0	0.67868959329124	0.449673193836115	0.8215968431552537	0.8646594247405671	0.8442462433950442	0.8459292189454076	0.4461564051476943	0.7962804070755226	0.8618250211663362	0.828535888756246	0.8150994624086386	0.47604187706013407	0.859694698523703	0.6201873382176473	0.807395897527555	0.8643654980713968	0.7504066674346297	0.8634382601607453	0.8619061221980756	0.8495725665687083	0.814522456979002	0.6568656672471159	0.633516835179458	0.8099451560729951	0.5549950228761732	0.7627262757528062	0.8638158706970608	0.7865167726748412	0.8174978833663851	0.8448464943433321	0.8177489349678204	0.8737515219357628	0.7801278710152661	0.8411349598653206	0.6394113821423794	0.5715556469305326	0.8157338067842821	0.5578857322622487	0.797760371762997
ZeeviD_2015__PNP_Main_95__bin.1	0.901006691125379	0.8678032119474266	0.8781228465980495	0.9059252986482464	0.693661248177254	0.8340839237408589	0.867645475704301	0.8368028590557586	0.7563544966630725	1.0	0.45757557091596973	0.8534008567265585	0.9016370604181623	0.8913226068850143	0.8916490172859349	0.45749440007552916	0.828100884416753	0.8757308973637898	0.8647515337546925	0.8323027706889217	0.4846233068539852	0.8943161414260853	0.6442990149544321	0.8341092536485142	0.9227293896586046	0.7884710925307283	0.90093415548073	0.878181565929432	0.9048153881491724	0.8673536060865465	0.6949749492970088	0.6979586972828493	0.8471944536713111	0.5968065894603406	0.7977539280066457	0.9270107197320556	0.8002633159036704	0.8583574591109088	0.875115495743712	0.840362286761036	0.916498808055141	0.8134147190942025	0.8535706822437923	0.6785519582609176	0.6135392961854886	0.8499531108868519	0.6025507217008803	0.8209751208495651
