	XieH_2016__YSZC12003_37544__bin.70	KarlssonFH_2013__S530__bin.43	ZeeviD_2015__PNP_Main_68__bin.15	ZeeviD_2015__PNP_Main_65__bin.2	LeChatelierE_2013__MH0092__bin.49	KarlssonFH_2013__S462__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.103	CosteaPI_2017__SID713A074-11-0-0__bin.30	ZeeviD_2015__PNP_Main_331__bin.21	ZeeviD_2015__PNP_Main_95__bin.1	CosteaPI_2017__SID713A039-11-0-0__bin.56	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.14	LeChatelierE_2013__MH0447__bin.34	KarlssonFH_2013__S421__bin.44	ZeeviD_2015__PNP_Main_333__bin.3	ZeeviD_2015__PNP_Main_382__bin.23	CosteaPI_2017__SID713A023-11-90-0__bin.86	ZeeviD_2015__PNP_Main_581__bin.34	CosteaPI_2017__SID713A023-11-0-0__bin.37	XieH_2016__YSZC12003_36117__bin.44	LiuW_2016__SRR3992958__bin.54	XieH_2016__YSZC12003_36474__bin.121	XieH_2016__YSZC12003_37543__bin.26	CosteaPI_2017__SID713A056-11-90-0__bin.79	ZeeviD_2015__PNP_Main_433__bin.48	ZeeviD_2015__PNP_Main_352__bin.44	ZellerG_2014__CCMD18872694ST-21-0__bin.26	ZeeviD_2015__PNP_Main_681__bin.32	SchirmerM_2016__G89063__bin.16	ZellerG_2014__CCIS29210128ST-4-0__bin.16	XieH_2016__YSZC12003_36211__bin.27	ZellerG_2014__CCIS94417875ST-3-0__bin.25	ZeeviD_2015__PNP_Main_208__bin.6	NielsenHB_2014__MH0092__bin.24	SchirmerM_2016__G88811__bin.11	ZeeviD_2015__PNP_Main_179__bin.26	ZeeviD_2015__PNP_Main_764__bin.30	CosteaPI_2017__SID713B072-11-0-0__bin.62	XieH_2016__YSZC12003_37286__bin.15	ZeeviD_2015__PNP_Main_22__bin.31	ZeeviD_2015__PNP_Main_189__bin.25	ZellerG_2014__CCIS90164298ST-4-0__bin.21	ZellerG_2014__CCIS77252613ST-4-0__bin.71	ZeeviD_2015__PNP_DietIntervention_11__bin.1	SchirmerM_2016__G89135__bin.5	SchirmerM_2016__G88977__bin.8	ZeeviD_2015__PNP_Main_98__bin.3	CosteaPI_2017__SID713A074-11-90-0__bin.79
XieH_2016__YSZC12003_37544__bin.70	0.0	44134.0	43761.0	30953.0	27909.0	50826.0	42688.0	54494.0	32591.0	25332.0	19877.0	41659.0	42076.0	38544.0	36012.0	25942.0	46693.0	43883.0	49112.0	48845.0	27949.0	40041.0	2428.0	46881.0	29036.0	32652.0	29080.0	43334.0	42079.0	26239.0	29471.0	18229.0	35665.0	23254.0	46013.0	38967.0	32147.0	48958.0	38023.0	55080.0	33154.0	34893.0	53076.0	24924.0	33921.0	48962.0	22751.0	52935.0
KarlssonFH_2013__S530__bin.43	44134.0	0.0	46122.0	39738.0	29542.0	46161.0	26321.0	42752.0	34053.0	33214.0	21548.0	26608.0	44709.0	40983.0	39357.0	22528.0	46536.0	44935.0	47954.0	44579.0	24226.0	43787.0	30253.0	45082.0	44691.0	36762.0	42470.0	43103.0	42372.0	38012.0	28439.0	27718.0	41157.0	24985.0	40890.0	43374.0	38333.0	47141.0	43255.0	47782.0	42972.0	37700.0	46108.0	27343.0	29874.0	44594.0	25217.0	41431.0
ZeeviD_2015__PNP_Main_68__bin.15	43761.0	46122.0	0.0	40024.0	28643.0	50918.0	44660.0	54952.0	35542.0	30550.0	18829.0	43028.0	44667.0	39395.0	38916.0	26234.0	49407.0	37627.0	52420.0	50644.0	28042.0	41976.0	28443.0	48465.0	41214.0	35627.0	41543.0	36760.0	42527.0	38639.0	28668.0	26106.0	36766.0	24577.0	44580.0	42417.0	38443.0	51884.0	41970.0	54450.0	41763.0	37663.0	53061.0	27370.0	32676.0	50210.0	25889.0	54017.0
ZeeviD_2015__PNP_Main_65__bin.2	30953.0	39738.0	40024.0	0.0	21720.0	50008.0	38411.0	51308.0	28349.0	15477.0	18411.0	38081.0	36002.0	32468.0	28084.0	26007.0	44553.0	39536.0	47333.0	44176.0	27117.0	36099.0	22262.0	43333.0	27598.0	31597.0	25033.0	38499.0	35729.0	24664.0	24876.0	16431.0	29428.0	18313.0	42174.0	33518.0	25163.0	47262.0	35586.0	54039.0	26977.0	32200.0	50044.0	21978.0	31738.0	46775.0	15993.0	50781.0
LeChatelierE_2013__MH0092__bin.49	27909.0	29542.0	28643.0	21720.0	0.0	34516.0	26153.0	34267.0	23590.0	21347.0	18361.0	26015.0	17391.0	26041.0	22251.0	19632.0	30609.0	28424.0	32118.0	30914.0	19949.0	22711.0	20628.0	31007.0	26681.0	22011.0	24501.0	28791.0	21764.0	25797.0	20472.0	19680.0	25722.0	812.0	30967.0	25399.0	23803.0	31831.0	23051.0	35740.0	26185.0	20272.0	34015.0	17899.0	23908.0	31743.0	16565.0	33733.0
KarlssonFH_2013__S462__bin.17	50826.0	46161.0	50918.0	50008.0	34516.0	0.0	48082.0	49759.0	35427.0	36784.0	23273.0	47361.0	50218.0	49753.0	48182.0	11040.0	49719.0	42587.0	51970.0	51464.0	28106.0	48457.0	33477.0	48141.0	50982.0	40698.0	50000.0	42284.0	50251.0	46509.0	36731.0	33929.0	47109.0	28717.0	44579.0	47976.0	41317.0	51611.0	47683.0	30541.0	52364.0	43465.0	27730.0	32088.0	33817.0	51541.0	31529.0	49443.0
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.103	42688.0	26321.0	44660.0	38411.0	26153.0	48082.0	0.0	47255.0	32070.0	29565.0	19701.0	709.0	43184.0	39499.0	37191.0	24515.0	46913.0	43361.0	49229.0	44762.0	23908.0	42042.0	28190.0	45508.0	40986.0	35132.0	38689.0	42420.0	40284.0	35880.0	27718.0	24094.0	37648.0	21762.0	41684.0	40878.0	36069.0	49203.0	40489.0	52028.0	40427.0	36838.0	49369.0	24929.0	30052.0	46147.0	23484.0	44948.0
CosteaPI_2017__SID713A074-11-0-0__bin.30	54494.0	42752.0	54952.0	51308.0	34267.0	49759.0	47255.0	0.0	41394.0	37894.0	24814.0	45947.0	51291.0	50621.0	50062.0	25766.0	48146.0	53320.0	50698.0	44356.0	20863.0	51176.0	34361.0	45835.0	53000.0	43041.0	51239.0	51736.0	49616.0	45460.0	37018.0	32793.0	49564.0	29048.0	39756.0	51889.0	45163.0	51417.0	49351.0	52377.0	52169.0	44385.0	51687.0	32122.0	28810.0	47887.0	31600.0	915.0
ZeeviD_2015__PNP_Main_331__bin.21	32591.0	34053.0	35542.0	28349.0	23590.0	35427.0	32070.0	41394.0	0.0	22572.0	16379.0	31858.0	31844.0	31152.0	25547.0	19486.0	37308.0	31759.0	38848.0	36491.0	23064.0	31337.0	22609.0	35416.0	30527.0	27573.0	29967.0	31922.0	31334.0	28666.0	22594.0	19526.0	28997.0	19622.0	35982.0	29535.0	25976.0	37425.0	31198.0	36998.0	31170.0	27415.0	37430.0	21456.0	27500.0	38238.0	18941.0	40135.0
ZeeviD_2015__PNP_Main_95__bin.1	25332.0	33214.0	30550.0	15477.0	21347.0	36784.0	29565.0	37894.0	22572.0	0.0	14750.0	29262.0	28142.0	25570.0	23329.0	20053.0	34385.0	28787.0	35631.0	32955.0	20925.0	26996.0	18673.0	32233.0	23054.0	23569.0	21525.0	28732.0	29907.0	22473.0	20606.0	15789.0	23838.0	18095.0	32953.0	26641.0	20748.0	34937.0	27170.0	40015.0	20404.0	24445.0	38022.0	18975.0	25693.0	35917.0	15641.0	37397.0
CosteaPI_2017__SID713A039-11-0-0__bin.56	19877.0	21548.0	18829.0	18411.0	18361.0	23273.0	19701.0	24814.0	16379.0	14750.0	0.0	19727.0	20332.0	20058.0	17014.0	13279.0	21984.0	17211.0	22957.0	22232.0	14739.0	18984.0	15585.0	21640.0	20201.0	18212.0	20058.0	17225.0	21672.0	19685.0	16769.0	16037.0	17550.0	15169.0	22070.0	19231.0	19844.0	22511.0	19601.0	24555.0	19642.0	17227.0	23882.0	16675.0	17069.0	22041.0	12852.0	24776.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.14	41659.0	26608.0	43028.0	38081.0	26015.0	47361.0	709.0	45947.0	31858.0	29262.0	19727.0	0.0	42384.0	37750.0	36797.0	24671.0	46183.0	42999.0	48325.0	43836.0	23858.0	41763.0	28031.0	44171.0	40428.0	35300.0	37452.0	41628.0	39688.0	35550.0	27345.0	23882.0	37063.0	21546.0	40948.0	40219.0	35696.0	47604.0	39858.0	51331.0	39827.0	35953.0	48367.0	24673.0	29779.0	44991.0	23382.0	43822.0
LeChatelierE_2013__MH0447__bin.34	42076.0	44709.0	44667.0	36002.0	17391.0	50218.0	43184.0	51291.0	31844.0	28142.0	20332.0	42384.0	0.0	38972.0	36443.0	25885.0	46324.0	43076.0	48900.0	47474.0	27197.0	29669.0	27279.0	44539.0	38224.0	29550.0	37169.0	42421.0	30772.0	34036.0	27385.0	23013.0	38093.0	15276.0	43493.0	40264.0	35402.0	48283.0	29515.0	53077.0	39528.0	26861.0	52511.0	19132.0	31749.0	47970.0	24283.0	50423.0
KarlssonFH_2013__S421__bin.44	38544.0	40983.0	39395.0	32468.0	26041.0	49753.0	39499.0	50621.0	31152.0	25570.0	20058.0	37750.0	38972.0	0.0	33861.0	27315.0	45289.0	40076.0	47180.0	44437.0	26635.0	36089.0	27022.0	44529.0	37470.0	33748.0	36980.0	38756.0	36754.0	34167.0	26707.0	23889.0	36487.0	21787.0	43576.0	36737.0	34937.0	47761.0	36758.0	51898.0	35273.0	34221.0	50134.0	24469.0	31858.0	46596.0	23184.0	49751.0
ZeeviD_2015__PNP_Main_333__bin.3	36012.0	39357.0	38916.0	28084.0	22251.0	48182.0	37191.0	50062.0	25547.0	23329.0	17014.0	36797.0	36443.0	33861.0	0.0	24713.0	44753.0	37887.0	46847.0	44188.0	25874.0	35538.0	24601.0	42518.0	34841.0	29089.0	32520.0	37181.0	34227.0	30453.0	23331.0	20437.0	31869.0	18884.0	42563.0	34694.0	30575.0	46663.0	33916.0	51295.0	32960.0	30511.0	48513.0	22132.0	31701.0	45450.0	18647.0	48414.0
ZeeviD_2015__PNP_Main_382__bin.23	25942.0	22528.0	26234.0	26007.0	19632.0	11040.0	24515.0	25766.0	19486.0	20053.0	13279.0	24671.0	25885.0	27315.0	24713.0	0.0	26553.0	23565.0	27547.0	25844.0	15659.0	25676.0	19358.0	26288.0	27675.0	23068.0	27509.0	23159.0	25653.0	25283.0	21114.0	19576.0	24267.0	16492.0	24957.0	26414.0	22342.0	27204.0	25348.0	15216.0	27143.0	22794.0	15052.0	18192.0	18707.0	27251.0	17894.0	26246.0
CosteaPI_2017__SID713A023-11-90-0__bin.86	46693.0	46536.0	49407.0	44553.0	30609.0	49719.0	46913.0	48146.0	37308.0	34385.0	21984.0	46183.0	46324.0	45289.0	44753.0	26553.0	0.0	46499.0	613.0	37663.0	23769.0	46978.0	31262.0	36065.0	47004.0	38159.0	44812.0	45489.0	44829.0	40250.0	32020.0	28966.0	44551.0	25772.0	35330.0	45790.0	40732.0	9309.0	44527.0	53371.0	46410.0	39704.0	51963.0	28190.0	25740.0	24757.0	28186.0	46730.0
ZeeviD_2015__PNP_Main_581__bin.34	43883.0	44935.0	37627.0	39536.0	28424.0	42587.0	43361.0	53320.0	31759.0	28787.0	17211.0	42999.0	43076.0	40076.0	37887.0	23565.0	46499.0	0.0	48845.0	46919.0	26593.0	41707.0	29364.0	47506.0	42378.0	36231.0	38901.0	4713.0	43249.0	35159.0	28723.0	25872.0	37986.0	23816.0	45482.0	39779.0	34228.0	48897.0	41102.0	48936.0	41126.0	36836.0	46336.0	26974.0	33401.0	47093.0	24085.0	51836.0
CosteaPI_2017__SID713A023-11-0-0__bin.37	49112.0	47954.0	52420.0	47333.0	32118.0	51970.0	49229.0	50698.0	38848.0	35631.0	22957.0	48325.0	48900.0	47180.0	46847.0	27547.0	613.0	48845.0	0.0	39600.0	24659.0	48107.0	32483.0	36924.0	48972.0	40534.0	48098.0	48786.0	46946.0	43271.0	33340.0	29666.0	46037.0	26723.0	36929.0	47659.0	43307.0	9720.0	46031.0	55543.0	48715.0	40835.0	54894.0	29258.0	26583.0	26397.0	29680.0	49821.0
