	XieH_2016__YSZC12003_37544__bin.70	KarlssonFH_2013__S530__bin.43	ZeeviD_2015__PNP_Main_68__bin.15	ZeeviD_2015__PNP_Main_65__bin.2	LeChatelierE_2013__MH0092__bin.49	KarlssonFH_2013__S462__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.103	CosteaPI_2017__SID713A074-11-0-0__bin.30	ZeeviD_2015__PNP_Main_331__bin.21	ZeeviD_2015__PNP_Main_95__bin.1	CosteaPI_2017__SID713A039-11-0-0__bin.56	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.14	LeChatelierE_2013__MH0447__bin.34	KarlssonFH_2013__S421__bin.44	ZeeviD_2015__PNP_Main_333__bin.3	ZeeviD_2015__PNP_Main_382__bin.23	CosteaPI_2017__SID713A023-11-90-0__bin.86	ZeeviD_2015__PNP_Main_581__bin.34	CosteaPI_2017__SID713A023-11-0-0__bin.37	XieH_2016__YSZC12003_36117__bin.44	LiuW_2016__SRR3992958__bin.54	XieH_2016__YSZC12003_36474__bin.121	XieH_2016__YSZC12003_37543__bin.26	CosteaPI_2017__SID713A056-11-90-0__bin.79	ZeeviD_2015__PNP_Main_433__bin.48	ZeeviD_2015__PNP_Main_352__bin.44	ZellerG_2014__CCMD18872694ST-21-0__bin.26	ZeeviD_2015__PNP_Main_681__bin.32	SchirmerM_2016__G89063__bin.16	ZellerG_2014__CCIS29210128ST-4-0__bin.16	XieH_2016__YSZC12003_36211__bin.27	ZellerG_2014__CCIS94417875ST-3-0__bin.25	ZeeviD_2015__PNP_Main_208__bin.6	NielsenHB_2014__MH0092__bin.24	SchirmerM_2016__G88811__bin.11	ZeeviD_2015__PNP_Main_179__bin.26	ZeeviD_2015__PNP_Main_764__bin.30	CosteaPI_2017__SID713B072-11-0-0__bin.62	XieH_2016__YSZC12003_37286__bin.15	ZeeviD_2015__PNP_Main_22__bin.31	ZeeviD_2015__PNP_Main_189__bin.25	ZellerG_2014__CCIS90164298ST-4-0__bin.21	ZellerG_2014__CCIS77252613ST-4-0__bin.71	ZeeviD_2015__PNP_DietIntervention_11__bin.1	SchirmerM_2016__G89135__bin.5	SchirmerM_2016__G88977__bin.8	ZeeviD_2015__PNP_Main_98__bin.3	CosteaPI_2017__SID713A074-11-90-0__bin.79
XieH_2016__YSZC12003_37544__bin.70	1.0	0.9777124198189482	0.978570074890392	0.9850268523060283	0.980645765285955	0.9732943251623195	0.9792419075387646	0.9717100925623096	0.9808163880350674	0.9838146388962365	0.9796740817699716	0.9791297612940459	0.979767836938652	0.9809112708882024	0.9821618745981567	0.9741501546984999	0.9753430704961221	0.9786797507430969	0.9752868490732568	0.975180966298552	0.9738200817929249	0.9808124323132805	0.9983461357953295	0.9757674218337695	0.9864063479489905	0.9814006052834995	0.9862768693518322	0.9789799141617578	0.9796019275860915	0.9867038473154328	0.9804247687683698	0.9873289699409719	0.9811777508507351	0.9808235942195349	0.9743725128170854	0.9814127138811496	0.9823533932404169	0.9752250257703656	0.9811868936133998	0.9716455466829202	0.984390654543537	0.9810470122958411	0.9734871077089996	0.9828351481401645	0.9745968910566768	0.9745954690877469	0.9819970595170835	0.9721029873281635
KarlssonFH_2013__S530__bin.43	0.9777124198189482	1.0	0.9754227953812632	0.9793730203799001	0.9789025498048939	0.9746399065608481	0.9865392306173819	0.9769645988040472	0.9788347127368376	0.9779666335199851	0.9775524129489283	0.9863072561558939	0.9771269332675758	0.9787696410477436	0.9792288217843781	0.97642915510951	0.9746911169823388	0.9769780744786316	0.9745954820283987	0.9759214388262275	0.9769515893946487	0.9777904807506003	0.9772966222975341	0.9758622388225922	0.9774533841869476	0.9783001616184035	0.9781739393649731	0.9780064741167994	0.9781256920901549	0.9791947289518493	0.9800348489783998	0.9804269105617571	0.9773639759587462	0.9790760114028829	0.9760033662189134	0.9781311495742849	0.977716416652376	0.9753087907011337	0.9776066937115475	0.974164923403664	0.9782496241819314	0.9788242576273395	0.975535083818921	0.9801897058631747	0.9767123522597765	0.9759326671649886	0.9796733812137773	0.9773255772589183
ZeeviD_2015__PNP_Main_68__bin.15	0.978570074890392	0.9754227953812632	1.0	0.979853785921811	0.9791913821824529	0.9724849666477894	0.9771189558128407	0.9705416283373325	0.9782883455782861	0.9799720329599368	0.9804646404701185	0.9773258785774134	0.9774732315904301	0.9795243431365619	0.9801473592814769	0.9731012236410653	0.9730760993776228	0.9810279888468152	0.9727241554608665	0.9731950283457124	0.972970602325095	0.9787555368407415	0.9788649819880871	0.9740773566124536	0.9794049142571023	0.9791797303480837	0.9791267953101487	0.9815709418471973	0.9780842658355312	0.9792465173637668	0.9800117692665962	0.9811181967899633	0.9797880399467406	0.9788366121357309	0.9738828748287858	0.9787726713594959	0.9779683649492807	0.9729291171127175	0.9781144307092552	0.9705903957792762	0.9790659345616843	0.9787060458478967	0.972542308679489	0.9802187143826642	0.9744009175433154	0.9732910614688586	0.9788195773896595	0.9705004551876373
ZeeviD_2015__PNP_Main_65__bin.2	0.9850268523060283	0.9793730203799001	0.979853785921811	1.0	0.9844522867021238	0.9732677178613105	0.9807902930741832	0.972926966973939	0.982905606676395	0.9901649782481879	0.980697130203943	0.9806554815480085	0.9822868998729156	0.9836653376432264	0.986058082057947	0.9735871131680535	0.9761342179058985	0.9803228200241784	0.9757954324636673	0.9768427486550227	0.9744862580315551	0.9820062356849658	0.9839395616168364	0.9772034403429611	0.9867783054595662	0.9818688869825185	0.9877223674795026	0.9808799807702241	0.9821654264144765	0.9870724673535772	0.9831516493787527	0.9885981980281565	0.9843462922713409	0.9845767599489289	0.9760717608878197	0.9837652917844666	0.9858619263694205	0.9757456013178726	0.9818746074894452	0.9715801248625392	0.9869540575071838	0.9822192280825757	0.9740707618876884	0.9843748889151148	0.9758540255716962	0.9755785571639278	0.9873508927060215	0.9729188220612861
LeChatelierE_2013__MH0092__bin.49	0.980645765285955	0.9789025498048939	0.9791913821824529	0.9844522867021238	1.0	0.9744155362834482	0.9811601156052708	0.9741231730017709	0.9814985616092409	0.9822838092756255	0.9778889691714836	0.9809930379649728	0.9884372425705743	0.9817840074763845	0.9842291483272309	0.9736484990033624	0.9768681068711751	0.9797068111121344	0.9765485184560487	0.9770955830053583	0.9750966535465017	0.9841777751768513	0.9806832951893651	0.976949604626285	0.9818836126850699	0.9827200037682968	0.9830822005775294	0.9795571315370174	0.9849172088936076	0.9819492462933924	0.9819485385211593	0.983839843653772	0.9809974386952787	0.999366388798503	0.9759834962637806	0.9830973074414705	0.9815089872086284	0.9766088704195648	0.9838581483403325	0.9735990467881919	0.9817863370748378	0.9849241485066563	0.9753929780826417	0.9846645504277458	0.9761257820184439	0.9763525946365542	0.9829351887430966	0.9743454995680266
KarlssonFH_2013__S462__bin.17	0.9732943251623195	0.9746399065608481	0.9724849666477894	0.9732677178613105	0.9744155362834482	1.0	0.9741543813704273	0.9724601962693221	0.9774094772175403	0.9746119039139521	0.9753017373577009	0.9738846194353661	0.9731519009606784	0.9728378899233829	0.9742409054336175	0.9893236782249455	0.972086560351676	0.9773075078595407	0.9719762437058439	0.9725162107574704	0.9732190925211462	0.9739190903517804	0.9744551391129309	0.9734668963141577	0.9729632839040802	0.9751597908192912	0.9731607750094609	0.9777466334967794	0.973244686713496	0.9735841726545155	0.9739244019919994	0.9750858034092261	0.9732204524822058	0.9747804253876641	0.973684428010125	0.9745947288404582	0.9756749628209672	0.9719368779579621	0.973971266479142	0.9843518073992931	0.9719961537762195	0.9744465276026298	0.9863023171954575	0.9765213592851044	0.9734250050294221	0.9717893492354974	0.9733262155865119	0.9726711651857076
Bengtsson-PalmeJ_2015__TRAVELRES17__bin.103	0.9792419075387646	0.9865392306173819	0.9771189558128407	0.9807902930741832	0.9811601156052708	0.9741543813704273	1.0	0.9758106788264225	0.9802186252098726	0.9803837265545224	0.9788776110825801	0.9996708397439885	0.9783630925986886	0.9799512523932212	0.9812566146899033	0.9749552791084223	0.975148866832189	0.9781030707513059	0.9749869546417849	0.9765034051742691	0.977423984891407	0.9792172534069428	0.9789994062620359	0.9761035714942095	0.9798376623376623	0.9793418948160693	0.9805976908197976	0.9787601473871527	0.9795042328104243	0.9807031725210595	0.981031724198341	0.9828389213321168	0.9793772869694779	0.981592896999901	0.9763347740409208	0.9796279324280078	0.9793217672668317	0.9750219052656908	0.9792215989859439	0.9725651201370162	0.980024823826921	0.9793975065378997	0.9745533210727717	0.9820912613631302	0.9770350167851011	0.9757185334619308	0.9804917274258035	0.9763744555239191
CosteaPI_2017__SID713A074-11-0-0__bin.30	0.9717100925623096	0.9769645988040472	0.9705416283373325	0.972926966973939	0.9741231730017709	0.9724601962693221	0.9758106788264225	1.0	0.9736707359968757	0.9739307686962839	0.9728381574957775	0.9758438511884077	0.9730460614857327	0.9729931310436812	0.9734879577857874	0.9726093801657725	0.9741520052784756	0.9717280163057023	0.9738616883334493	0.9763366011258733	0.9799600218621436	0.9733211832182443	0.9728560154643532	0.9757629245454127	0.97203743185443	0.9738521392268334	0.9727736845405284	0.9726863571690657	0.9736864854200664	0.9739984305255909	0.9739401619148187	0.9754566376648891	0.9719088801241894	0.9743397666480569	0.9773360962970775	0.9726812580025608	0.972704729637032	0.9733712227734387	0.9734165385102251	0.9714574223671534	0.9726804515117159	0.9741413663565689	0.9721243061682799	0.976226934272158	0.9782177574043369	0.9750341874237202	0.9731166787187886	0.999550013868425
ZeeviD_2015__PNP_Main_331__bin.21	0.9808163880350674	0.9788347127368376	0.9782883455782861	0.982905606676395	0.9814985616092409	0.9774094772175403	0.9802186252098726	0.9736707359968757	1.0	0.9828199043114642	0.9811844416389145	0.9799697452489604	0.9809756747440194	0.9809390946804215	0.9843997122614951	0.9774387949449748	0.9757973642299471	0.9809640547360597	0.9757794463214349	0.9768739273826997	0.974972573352041	0.9811704519644331	0.9811684882649755	0.977341054367778	0.9817562786561548	0.9810192196492001	0.9820717167227143	0.9808681549654276	0.9809479336345522	0.9818201305302705	0.9822318059638345	0.984078578079873	0.9815062840494968	0.9817366303329049	0.9756306852083502	0.9823378925311441	0.9829395291162918	0.9763515925788548	0.9809245112509798	0.976628586047775	0.9815721111609038	0.9818469675860937	0.9770130754638071	0.9826661463925371	0.9751457363640472	0.9757856154980167	0.9824618259293861	0.9740117201411597
ZeeviD_2015__PNP_Main_95__bin.1	0.9838146388962365	0.9779666335199851	0.9799720329599368	0.9901649782481879	0.9822838092756255	0.9746119039139521	0.9803837265545224	0.9739307686962839	0.9828199043114642	1.0	0.981442899487195	0.9802606948219234	0.982031818149894	0.9834850700382872	0.984937983540184	0.9747666738391575	0.9760962130033543	0.9810762733925318	0.976279840760515	0.9772059810177801	0.9751433784573571	0.9826224206563776	0.9833157165360522	0.9777536523957286	0.985616887897323	0.982791765689399	0.9862459360814624	0.9811651367546637	0.9809719710841657	0.9850842260363983	0.9829311023214397	0.9869771562048419	0.9838017670058343	0.9825455604760881	0.9762202690220528	0.9834557647726588	0.9850746590759496	0.9765685937199243	0.9821266815029902	0.9725882225604785	0.9871836505490792	0.9826994884512273	0.9743565533027858	0.9839017151990715	0.9758924340731775	0.9756731421790612	0.9850565169579536	0.9737766785849771
