	LeChatelierE_2013__MH0148__bin.70	HeQ_2017__SZAXPI029599-169__bin.17	LeChatelierE_2013__MH0122__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES41__bin.6	ZeeviD_2015__PNP_Main_303__bin.19	ZeeviD_2015__PNP_Main_667__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.33	YuJ_2015__SZAXPI015266-89__bin.52	LeChatelierE_2013__MH0251__bin.19	NielsenHB_2014__O2_UC9_2__bin.49	ZellerG_2014__CCIS21126322ST-4-0__bin.74	ZeeviD_2015__PNP_Validation_61__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.79	HeQ_2017__SZAXPI029563-66__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.11	LeChatelierE_2013__MH0236__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES3__bin.65	QinJ_2012__CON-076__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.18	NielsenHB_2014__MH0148__bin.25	QinN_2014__LD-26__bin.51	NielsenHB_2014__O2_UC59_0__bin.13	ZeeviD_2015__PNP_Main_717__bin.24	ZeeviD_2015__PNP_Main_418__bin.50	ZeeviD_2015__PNP_Main_528__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.102	LiSS_2016__FAT_024-22-0-0__bin.41	ZeeviD_2015__PNP_Main_673__bin.1	ChengpingW_2017__AS106raw__bin.10	ZeeviD_2015__PNP_Main_409__bin.34	NielsenHB_2014__MH0134__bin.38	NielsenHB_2014__MH0122__bin.5	ZeeviD_2015__PNP_Main_109__bin.15	VogtmannE_2016__MMRS11288076ST-27-0-0__bin.34	ZellerG_2014__CCIS81887263ST-4-0__bin.85	ZellerG_2014__CCIS70398272ST-4-0__bin.48	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.53	ZeeviD_2015__PNP_Main_84__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.82	HeQ_2017__SZAXPI029552-169__bin.46	QinN_2014__HD-66__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.104	ZeeviD_2015__PNP_Main_163__bin.52	CosteaPI_2017__SID713B074-11-0-0__bin.68	LeChatelierE_2013__MH0134__bin.37	ZeeviD_2015__PNP_Main_652__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.19	LiJ_2014__O2.UC8-2__bin.45	ZeeviD_2015__PNP_Main_32__bin.13
LeChatelierE_2013__MH0148__bin.70	0.0	30688.0	23987.0	6273.0	19901.0	22268.0	18155.0	27836.0	12972.0	18224.0	11888.0	23443.0	19692.0	25212.0	15857.0	19901.0	6825.0	21450.0	12647.0	420.0	27986.0	10977.0	11033.0	13847.0	28478.0	24320.0	12249.0	9807.0	29980.0	13615.0	17943.0	16373.0	6918.0	20349.0	18471.0	19990.0	24372.0	26107.0	12961.0	28694.0	29385.0	20326.0	10632.0	21232.0	18126.0	9751.0	27601.0	19866.0	7916.0
HeQ_2017__SZAXPI029599-169__bin.17	30688.0	0.0	33802.0	21668.0	33818.0	33283.0	33367.0	19204.0	33663.0	30178.0	34671.0	33606.0	34022.0	19915.0	21704.0	33668.0	10152.0	30471.0	14204.0	29885.0	7715.0	32725.0	21204.0	32625.0	25998.0	30565.0	19256.0	34078.0	24759.0	26551.0	32851.0	23632.0	22565.0	31587.0	32401.0	33805.0	22300.0	20295.0	13307.0	23305.0	21358.0	20907.0	28558.0	33557.0	32772.0	13741.0	33395.0	33874.0	21068.0
LeChatelierE_2013__MH0122__bin.19	23987.0	33802.0	0.0	17549.0	24405.0	26776.0	22431.0	27679.0	27020.0	21916.0	26292.0	25351.0	24817.0	24806.0	22183.0	25996.0	10433.0	22848.0	17638.0	22409.0	28036.0	25914.0	15245.0	25769.0	32546.0	27578.0	14548.0	25298.0	35191.0	19323.0	25900.0	124.0	17198.0	24309.0	23113.0	19988.0	25514.0	28536.0	18761.0	33197.0	33676.0	20079.0	19530.0	20938.0	26407.0	14484.0	35295.0	25375.0	14683.0
Bengtsson-PalmeJ_2015__TRAVELRES41__bin.6	6273.0	21668.0	17549.0	0.0	15156.0	14752.0	14011.0	15923.0	10203.0	13549.0	8867.0	16944.0	14370.0	12478.0	18297.0	15317.0	9960.0	12888.0	17539.0	5434.0	14280.0	9619.0	13545.0	10583.0	21995.0	16735.0	7342.0	9026.0	22044.0	8054.0	12726.0	9107.0	5848.0	14108.0	14806.0	14889.0	14758.0	17386.0	17732.0	21844.0	21708.0	10682.0	8076.0	16673.0	12727.0	13677.0	19723.0	14781.0	6120.0
ZeeviD_2015__PNP_Main_303__bin.19	19901.0	33818.0	24405.0	15156.0	0.0	20050.0	20652.0	25820.0	22574.0	20653.0	22980.0	23536.0	22904.0	25655.0	19501.0	24243.0	9345.0	20182.0	15921.0	19918.0	27002.0	20982.0	14194.0	22056.0	32200.0	25988.0	14785.0	22184.0	32258.0	18674.0	22738.0	17153.0	15562.0	22688.0	22283.0	22757.0	25176.0	27023.0	17731.0	33870.0	33609.0	20612.0	18361.0	23871.0	23195.0	13213.0	30734.0	22749.0	13766.0
ZeeviD_2015__PNP_Main_667__bin.36	22268.0	33283.0	26776.0	14752.0	20050.0	0.0	21250.0	26600.0	21925.0	19980.0	24743.0	24565.0	22166.0	25871.0	20166.0	25561.0	10400.0	23251.0	14874.0	20990.0	27207.0	22823.0	14193.0	22232.0	32928.0	26614.0	14467.0	22454.0	33397.0	19130.0	24534.0	17117.0	16066.0	22664.0	22945.0	24743.0	24745.0	27181.0	17563.0	33113.0	34496.0	20967.0	19996.0	25460.0	24951.0	13623.0	32116.0	22320.0	14392.0
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.33	18155.0	33367.0	22431.0	14011.0	20652.0	21250.0	0.0	25842.0	20454.0	8552.0	21646.0	21352.0	18635.0	25567.0	19575.0	21156.0	9999.0	16503.0	15020.0	18061.0	25226.0	19440.0	12230.0	22361.0	29990.0	26298.0	12927.0	20813.0	31515.0	16973.0	22387.0	15679.0	14522.0	21387.0	21151.0	21476.0	24347.0	26753.0	17521.0	32724.0	33025.0	20647.0	16909.0	22638.0	22709.0	13783.0	30285.0	9531.0	12984.0
YuJ_2015__SZAXPI015266-89__bin.52	27836.0	19204.0	27679.0	15923.0	25820.0	26600.0	25842.0	0.0	27761.0	24276.0	28548.0	26306.0	26963.0	20918.0	14879.0	27052.0	4938.0	26050.0	8986.0	27066.0	18794.0	27371.0	16074.0	26831.0	22474.0	25016.0	16961.0	28002.0	20247.0	25997.0	27697.0	21266.0	18806.0	24812.0	25497.0	26688.0	18867.0	3348.0	1094.0	18826.0	19745.0	18802.0	24601.0	27402.0	27340.0	8453.0	28799.0	26693.0	18696.0
LeChatelierE_2013__MH0251__bin.19	12972.0	33663.0	27020.0	10203.0	22574.0	21925.0	20454.0	27761.0	0.0	18889.0	14707.0	26916.0	21063.0	24375.0	20970.0	22639.0	9682.0	20217.0	17465.0	12696.0	27376.0	8989.0	13029.0	17328.0	31546.0	26604.0	13440.0	14504.0	35188.0	11977.0	20754.0	16773.0	10005.0	21494.0	21104.0	23441.0	24982.0	29039.0	18581.0	32840.0	34165.0	20130.0	13514.0	24547.0	21055.0	14392.0	33105.0	20554.0	10783.0
NielsenHB_2014__O2_UC9_2__bin.49	18224.0	30178.0	21916.0	13549.0	20653.0	19980.0	8552.0	24276.0	18889.0	0.0	20988.0	20084.0	18144.0	24624.0	18760.0	20927.0	8056.0	16094.0	14880.0	18079.0	23879.0	17835.0	11229.0	19486.0	26537.0	22777.0	12786.0	20041.0	29398.0	15784.0	20936.0	14711.0	13622.0	19954.0	19038.0	20659.0	23874.0	25321.0	15534.0	30148.0	30568.0	19246.0	16362.0	20968.0	21113.0	12651.0	28630.0	2842.0	12776.0
