	LeChatelierE_2013__MH0148__bin.70	HeQ_2017__SZAXPI029599-169__bin.17	LeChatelierE_2013__MH0122__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES41__bin.6	ZeeviD_2015__PNP_Main_303__bin.19	ZeeviD_2015__PNP_Main_667__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.33	YuJ_2015__SZAXPI015266-89__bin.52	LeChatelierE_2013__MH0251__bin.19	NielsenHB_2014__O2_UC9_2__bin.49	ZellerG_2014__CCIS21126322ST-4-0__bin.74	ZeeviD_2015__PNP_Validation_61__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.79	HeQ_2017__SZAXPI029563-66__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.11	LeChatelierE_2013__MH0236__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES3__bin.65	QinJ_2012__CON-076__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.18	NielsenHB_2014__MH0148__bin.25	QinN_2014__LD-26__bin.51	NielsenHB_2014__O2_UC59_0__bin.13	ZeeviD_2015__PNP_Main_717__bin.24	ZeeviD_2015__PNP_Main_418__bin.50	ZeeviD_2015__PNP_Main_528__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.102	LiSS_2016__FAT_024-22-0-0__bin.41	ZeeviD_2015__PNP_Main_673__bin.1	ChengpingW_2017__AS106raw__bin.10	ZeeviD_2015__PNP_Main_409__bin.34	NielsenHB_2014__MH0134__bin.38	NielsenHB_2014__MH0122__bin.5	ZeeviD_2015__PNP_Main_109__bin.15	VogtmannE_2016__MMRS11288076ST-27-0-0__bin.34	ZellerG_2014__CCIS81887263ST-4-0__bin.85	ZellerG_2014__CCIS70398272ST-4-0__bin.48	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.53	ZeeviD_2015__PNP_Main_84__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.82	HeQ_2017__SZAXPI029552-169__bin.46	QinN_2014__HD-66__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.104	ZeeviD_2015__PNP_Main_163__bin.52	CosteaPI_2017__SID713B074-11-0-0__bin.68	LeChatelierE_2013__MH0134__bin.37	ZeeviD_2015__PNP_Main_652__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.19	LiJ_2014__O2.UC8-2__bin.45	ZeeviD_2015__PNP_Main_32__bin.13
LeChatelierE_2013__MH0148__bin.70	1.0	0.5886735060387016	0.6457903066493064	0.41614987877699455	0.6010997059219683	0.6314422170340771	0.5957628069860369	0.5221173057064608	0.6506066762447806	0.5509860593543753	0.6598653638935034	0.6283984532842455	0.6196333565303282	0.4750300251425493	0.3652735374668882	0.6374287253625466	0.16956741346024334	0.5811691846630449	0.2825739123602568	0.6878058636016702	0.5130589727472725	0.6044170632604499	0.37453867911821487	0.6378420621380146	0.6026211668836708	0.5995398015534503	0.3514330691869079	0.6383395815561442	0.56976720693216	0.5463066268576303	0.5947573856238495	0.47088767790598485	0.45424476945180264	0.5902740986845059	0.6035171508103983	0.5928124859695596	0.5316725968661609	0.5123582925515198	0.3114687626273964	0.5675388923809096	0.5821210097427378	0.4575702644457415	0.5409767431419207	0.6199737350154896	0.601855104835451	0.25899800206528084	0.5952021505859112	0.6148593588649935	0.39978533426121315
HeQ_2017__SZAXPI029599-169__bin.17	0.7011513038607299	1.0	0.8237385774527332	0.5514707725503919	0.7875270011788106	0.8189217309230384	0.7894133654456436	0.6326115082257715	0.8064467935985272	0.70839127954254	0.8037342258470006	0.8195597658956437	0.7984260689926701	0.5684493878507312	0.5540583402601404	0.8218595661295341	0.3145362013824202	0.6860654030967256	0.4458784912695492	0.6946583204071927	0.6479804973196849	0.7455697679043342	0.5313009797128943	0.8156292832985572	0.8363532207062904	0.8151212617383896	0.4461395207685564	0.7986503337735072	0.7890112931187477	0.5923675108180183	0.7562037955226589	0.5567431673606843	0.5652859509645558	0.7810383626465116	0.7908802777006275	0.7847626285971352	0.6479952032069529	0.6685396619450742	0.48348077656443067	0.8045684507247496	0.8170179869712523	0.5554540626517589	0.6955346575984818	0.811751942430462	0.7691827437108101	0.4123219960969238	0.8030734635940721	0.8082753369904201	0.49286747756265964
LeChatelierE_2013__MH0122__bin.19	0.47521701719597614	0.5089236248556884	1.0	0.37717556654502266	0.5086064542160258	0.5430973158402163	0.5226334083516233	0.4029374213655311	0.5500459546392298	0.4658272382263306	0.5425494944163719	0.5697280860589669	0.5300976559313904	0.35668089185245205	0.36294955479442864	0.5492542669878845	0.2132984941208829	0.44968767158136613	0.2942839697292011	0.4587311646377864	0.3814540663196374	0.4970761864112617	0.3562689417052341	0.540624582500399	0.5185624323353816	0.5247150471657107	0.28839814166087974	0.535943837669754	0.494634633258026	0.3940832808329198	0.5054266946586276	0.3955146785374386	0.3705453373334828	0.5078824957116919	0.5253654947665812	0.551805260531108	0.4104390438709355	0.4288014893804621	0.3172538556572112	0.49133180488471695	0.5026964666653864	0.3438643897283793	0.45444234029807845	0.576432032665272	0.5106259391482523	0.27009433968108243	0.5318813277968886	0.5414424945470809	0.3156027512075095
Bengtsson-PalmeJ_2015__TRAVELRES41__bin.6	0.5840196334403296	0.6497748825384224	0.7193177284972755	1.0	0.6539909370186989	0.6866253882404924	0.6404866459447549	0.43511564614598824	0.7168820571951542	0.5752803581716673	0.7125297468910241	0.6988076827806899	0.662602226325649	0.3560364677292258	0.6175771587982867	0.7074957636646674	0.39686123289467623	0.510374935859343	0.5560765568704636	0.5680489544334534	0.39987736975853183	0.6234286769677645	0.635834651588739	0.6862729345920852	0.6522491465305369	0.6631996254146253	0.32617793356622843	0.7104315647248637	0.624882597492814	0.4103627673479064	0.6425375717558217	0.3625487872640973	0.44271722466576957	0.6376827688758618	0.6713202362345191	0.6533380117124876	0.4675106651686402	0.5222228916872527	0.5789049206073544	0.6233987479428718	0.6434815174488184	0.3449150783608818	0.5791120609638485	0.6799913835912546	0.652453136463358	0.4965784429897363	0.6411828895764689	0.6829543570556298	0.3477016280995739
ZeeviD_2015__PNP_Main_303__bin.19	0.7606136957739797	0.8366538674309754	0.8745789709528128	0.5896735946346892	1.0	0.8914673576880987	0.8400260056229526	0.6605921782869382	0.8549785286725841	0.7558407904800388	0.864651810842115	0.8828624933157311	0.8458069661266464	0.602448803649025	0.5724773587036105	0.8752742059301626	0.3193873268392658	0.7336479526075572	0.4637714402584371	0.7574869137461234	0.643384224912421	0.7916034930764112	0.5608749592552535	0.8468061444853096	0.8672750978761601	0.8487096964329972	0.4785975569485505	0.857282249067398	0.7993678971876005	0.64985402906068	0.7996391737569035	0.6025531954178405	0.6120879987103711	0.8391337045514101	0.8490218065173131	0.8327807197634923	0.6901151647152981	0.6997106856692826	0.5056964528813194	0.8179240667056301	0.8288443689162501	0.5797254851554194	0.7368759307378367	0.8617384283144565	0.810695114252175	0.4308855475632334	0.8429926492571496	0.8611348024403529	0.5226764487198515
ZeeviD_2015__PNP_Main_667__bin.36	0.6027658153642659	0.6563268019760952	0.7045181627340037	0.46704333871474524	0.6725163069638792	1.0	0.6554147209608003	0.51492424370269	0.6755115756608033	0.5907177742758867	0.6812720168455069	0.7048532621026187	0.6599253031095668	0.46093922647493946	0.460747434989785	0.6939214153140144	0.26347248127019535	0.5806061307380409	0.3699791681231837	0.5870552533589627	0.5081467183432216	0.6168397209808902	0.43370349625698557	0.6759653393142275	0.6729124795987165	0.6619492925813929	0.3648444600520569	0.6645178520103685	0.6340524710431019	0.5037473002535879	0.6277643354090208	0.462404716999074	0.47637415518663373	0.6521802486378385	0.6558783956267256	0.6563621601828555	0.5310020489009357	0.5444478106171587	0.3993538019849347	0.6372397990903833	0.6546716628884279	0.45164055382737855	0.5804290718390366	0.6866708400065252	0.6356652874287378	0.3474667050249637	0.6648165217114123	0.6820397185165303	0.40653633953093055
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.33	0.7744357995104851	0.8615475526082532	0.9232275149644901	0.5932591401026449	0.8629529927156401	0.8925102772579875	1.0	0.6689114313749093	0.8844008185329876	0.8162196469802917	0.8906324662865814	0.9148233260015539	0.868579130326939	0.6149415099088452	0.5911551747407432	0.9094131293566637	0.34255386669292975	0.746168689289401	0.47073233898354544	0.7674990607297492	0.643146974820262	0.8267029972752044	0.5784230473209824	0.8883027112993299	0.8580574796917005	0.8779492173963793	0.4908655512148503	0.8847101393767622	0.8175769380884118	0.6639141488752467	0.843918453103969	0.6390411783373275	0.6348452848633407	0.8692090797340133	0.8791963494304192	0.8600075141620068	0.7035787108470212	0.7206052183301781	0.5151406716785397	0.8378856023549238	0.8504579626407538	0.5845186376751329	0.7701060372279308	0.9019540468869118	0.8581534129250882	0.44653491349594565	0.8565225479574976	0.9364181521727236	0.5357553739025128
YuJ_2015__SZAXPI015266-89__bin.52	0.7289421115458403	0.7415232706782676	0.7644728970710432	0.4328645074899698	0.7288543560608286	0.7531011182164324	0.7184251651389769	1.0	0.7262361868361288	0.6714548253176141	0.7642570342485369	0.7503023450694541	0.7386947233488746	0.6300436387655154	0.42239496471563504	0.7525408934683671	0.17034985056102786	0.6951899416543554	0.31341048764234314	0.7107179613147182	0.6923198671758052	0.7037386578973864	0.41386387792271795	0.7299646196524491	0.7430405786847412	0.7352546299833068	0.4414551426477162	0.7384494781095118	0.6998840765713619	0.6783973027724857	0.7098631288669709	0.6111515282578538	0.5489516941313911	0.7101781083756734	0.7272692726128059	0.72735859516005	0.659799799964506	0.6746246004481015	0.3629656966159683	0.7199620614233548	0.7252595152998162	0.6051649587647162	0.6467148303243779	0.7587958223687947	0.7164843585642106	0.2795392210211996	0.7523540212971592	0.7456740267662064	0.4920403032735538
LeChatelierE_2013__MH0251__bin.19	0.6962549353820799	0.7245831576595568	0.7999231840136263	0.5466631591970778	0.7230816723903285	0.7572993204878266	0.728093029624905	0.5566762641605075	1.0	0.65947665430644	0.7827735195655543	0.7784597523870613	0.7410505472012915	0.5007828744193756	0.5049975435700995	0.782400550624678	0.2971021934898001	0.6310937779651632	0.41797205795973374	0.6830757985799553	0.5471733638915616	0.7350064683985398	0.5076650822994105	0.7883890744724682	0.7279218603042129	0.735136497022855	0.40799348715749617	0.7708640387070891	0.6998179599259587	0.5902071328958606	0.7185895287618512	0.5159779053439663	0.5319176729620941	0.7215918987062002	0.737023864006275	0.7458375825366452	0.5865819468618357	0.6057475054323737	0.4475444109312932	0.6983753328792842	0.7129106111765758	0.48516412435180883	0.6580310242892269	0.7670334494882337	0.7250627320545484	0.3848670104467339	0.7222705700478914	0.7594881857133076	0.4512266534055488
NielsenHB_2014__O2_UC9_2__bin.49	0.7141787285427726	0.7709074640871619	0.8205229207471544	0.5313346900102387	0.7742460531795524	0.8021052133856363	0.8138817508770207	0.6233875822235316	0.7987593498862464	1.0	0.8058893599067422	0.8240710127611285	0.7843243803569188	0.5768964833697963	0.5263229873079784	0.823999723572534	0.28989093845306096	0.6800981317504223	0.4213914849428868	0.7072454912316116	0.5986502337812549	0.7596626857474362	0.502366546457091	0.7884686100244965	0.7683246858820127	0.7833910739388913	0.45553355047438226	0.7937912936259828	0.7434283916467984	0.6089973502972504	0.7740849250645149	0.5662405682766748	0.5788740309125926	0.7859491191602425	0.7887159398624773	0.781298590765504	0.6475964449972994	0.6660625271653636	0.4520025533168568	0.7575145533605032	0.7695758838859155	0.5432981797615085	0.6885411722343159	0.8161288151991459	0.7811352803283668	0.38404977149269015	0.7869802663524122	0.8687784270186025	0.5014219647082144
