	LeChatelierE_2013__MH0148__bin.70	HeQ_2017__SZAXPI029599-169__bin.17	LeChatelierE_2013__MH0122__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES41__bin.6	ZeeviD_2015__PNP_Main_303__bin.19	ZeeviD_2015__PNP_Main_667__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.33	YuJ_2015__SZAXPI015266-89__bin.52	LeChatelierE_2013__MH0251__bin.19	NielsenHB_2014__O2_UC9_2__bin.49	ZellerG_2014__CCIS21126322ST-4-0__bin.74	ZeeviD_2015__PNP_Validation_61__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.79	HeQ_2017__SZAXPI029563-66__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.11	LeChatelierE_2013__MH0236__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES3__bin.65	QinJ_2012__CON-076__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.18	NielsenHB_2014__MH0148__bin.25	QinN_2014__LD-26__bin.51	NielsenHB_2014__O2_UC59_0__bin.13	ZeeviD_2015__PNP_Main_717__bin.24	ZeeviD_2015__PNP_Main_418__bin.50	ZeeviD_2015__PNP_Main_528__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.102	LiSS_2016__FAT_024-22-0-0__bin.41	ZeeviD_2015__PNP_Main_673__bin.1	ChengpingW_2017__AS106raw__bin.10	ZeeviD_2015__PNP_Main_409__bin.34	NielsenHB_2014__MH0134__bin.38	NielsenHB_2014__MH0122__bin.5	ZeeviD_2015__PNP_Main_109__bin.15	VogtmannE_2016__MMRS11288076ST-27-0-0__bin.34	ZellerG_2014__CCIS81887263ST-4-0__bin.85	ZellerG_2014__CCIS70398272ST-4-0__bin.48	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.53	ZeeviD_2015__PNP_Main_84__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.82	HeQ_2017__SZAXPI029552-169__bin.46	QinN_2014__HD-66__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.104	ZeeviD_2015__PNP_Main_163__bin.52	CosteaPI_2017__SID713B074-11-0-0__bin.68	LeChatelierE_2013__MH0134__bin.37	ZeeviD_2015__PNP_Main_652__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.19	LiJ_2014__O2.UC8-2__bin.45	ZeeviD_2015__PNP_Main_32__bin.13
LeChatelierE_2013__MH0148__bin.70	3563680.0	2097844.0	2301390.0	1483025.0	2142127.0	2250258.0	2123108.0	1860659.0	2318554.0	1963538.0	2351549.0	2239411.0	2208175.0	1692855.0	1301718.0	2271592.0	604284.0	2071101.0	1007003.0	2451120.0	1828378.0	2153949.0	1334736.0	2273065.0	2147549.0	2136568.0	1252395.0	2274838.0	2030468.0	1946862.0	2119525.0	1678093.0	1618783.0	2103548.0	2150742.0	2112594.0	1894711.0	1825881.0	1109975.0	2022527.0	2074493.0	1630634.0	1927868.0	2209388.0	2144819.0	922986.0	2121110.0	2191162.0	1424707.0
HeQ_2017__SZAXPI029599-169__bin.17	2097844.0	2991999.0	2464625.0	1650000.0	2356280.0	2450213.0	2361924.0	1892773.0	2412888.0	2119506.0	2404772.0	2452122.0	2388890.0	1700800.0	1657742.0	2459003.0	941092.0	2052707.0	1334068.0	2078417.0	1938757.0	2230744.0	1589652.0	2440362.0	2502368.0	2438842.0	1334849.0	2389561.0	2360721.0	1772363.0	2262561.0	1665775.0	1691335.0	2336866.0	2366313.0	2348009.0	1938801.0	2000270.0	1446574.0	2407268.0	2444517.0	1661918.0	2081039.0	2428761.0	2301394.0	1233667.0	2402795.0	2418359.0	1474659.0
LeChatelierE_2013__MH0122__bin.19	2301390.0	2464625.0	4842819.0	1826593.0	2463089.0	2630122.0	2531019.0	1951353.0	2663773.0	2255917.0	2627469.0	2759090.0	2567167.0	1727341.0	1757699.0	2659939.0	1032966.0	2177756.0	1425164.0	2221552.0	1847313.0	2407250.0	1725346.0	2618147.0	2511304.0	2541100.0	1396660.0	2595479.0	2395426.0	1908474.0	2447690.0	1915406.0	1794484.0	2459583.0	2544250.0	2672293.0	1987682.0	2076608.0	1536403.0	2379431.0	2434468.0	1665273.0	2200782.0	2791556.0	2472869.0	1308018.0	2575805.0	2622108.0	1528407.0
Bengtsson-PalmeJ_2015__TRAVELRES41__bin.6	1483025.0	1650000.0	1826593.0	2539341.0	1660706.0	1743576.0	1626414.0	1104907.0	1820408.0	1460833.0	1809356.0	1774511.0	1682573.0	904098.0	1568239.0	1796573.0	1007766.0	1296016.0	1412068.0	1442470.0	1015425.0	1583098.0	1614601.0	1742681.0	1656283.0	1684090.0	828277.0	1804028.0	1586790.0	1042051.0	1631622.0	920635.0	1124210.0	1619294.0	1704711.0	1659048.0	1187169.0	1326102.0	1470037.0	1583022.0	1634019.0	875857.0	1470563.0	1726730.0	1656801.0	1260982.0	1628182.0	1734254.0	882933.0
ZeeviD_2015__PNP_Main_303__bin.19	2142127.0	2356280.0	2463089.0	1660706.0	2816314.0	2510652.0	2365777.0	1860435.0	2407888.0	2128685.0	2435131.0	2486418.0	2382058.0	1696685.0	1612276.0	2465047.0	899495.0	2066183.0	1306126.0	2133321.0	1811972.0	2229404.0	1579600.0	2384872.0	2442519.0	2390233.0	1347881.0	2414376.0	2251271.0	1830193.0	2252035.0	1696979.0	1723832.0	2363264.0	2391112.0	2345372.0	1943581.0	1970605.0	1424200.0	2303531.0	2334286.0	1632689.0	2075274.0	2426926.0	2283172.0	1213509.0	2374132.0	2425226.0	1472021.0
ZeeviD_2015__PNP_Main_667__bin.36	2250258.0	2450213.0	2630122.0	1743576.0	2510652.0	3733221.0	2446808.0	1922326.0	2521834.0	2205280.0	2543339.0	2631373.0	2463647.0	1720788.0	1720072.0	2590562.0	983601.0	2167531.0	1381214.0	2191607.0	1897024.0	2302799.0	1619111.0	2523528.0	2512131.0	2471203.0	1362045.0	2480792.0	2367058.0	1880600.0	2343583.0	1726259.0	1778410.0	2434733.0	2448539.0	2450345.0	1982348.0	2032544.0	1490876.0	2378957.0	2444034.0	1686074.0	2166870.0	2563494.0	2373079.0	1297170.0	2481907.0	2546205.0	1517690.0
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.33	2123108.0	2361924.0	2531019.0	1626414.0	2365777.0	2446808.0	2741490.0	1833814.0	2424576.0	2237658.0	2441660.0	2507979.0	2381201.0	1685856.0	1620646.0	2493147.0	939108.0	2045614.0	1290508.0	2104091.0	1763181.0	2266398.0	1585741.0	2435273.0	2352356.0	2406889.0	1345703.0	2425424.0	2241379.0	1820114.0	2313594.0	1751925.0	1740422.0	2382928.0	2410308.0	2357702.0	1928854.0	1975532.0	1412253.0	2297055.0	2331522.0	1602452.0	2111238.0	2472698.0	2352619.0	1224171.0	2348148.0	2567181.0	1468768.0
YuJ_2015__SZAXPI015266-89__bin.52	1860659.0	1892773.0	1951353.0	1104907.0	1860435.0	1922326.0	1833814.0	2552547.0	1853752.0	1713920.0	1950802.0	1915182.0	1885553.0	1608216.0	1078183.0	1920896.0	434826.0	1774505.0	799995.0	1814141.0	1767179.0	1796326.0	1056407.0	1863269.0	1896646.0	1876772.0	1126835.0	1884927.0	1786487.0	1731641.0	1811959.0	1559993.0	1401225.0	1812763.0	1856389.0	1856617.0	1684170.0	1722011.0	926487.0	1837737.0	1851259.0	1544712.0	1650770.0	1936862.0	1828860.0	713537.0	1920419.0	1903368.0	1255956.0
LeChatelierE_2013__MH0251__bin.19	2318554.0	2412888.0	2663773.0	1820408.0	2407888.0	2521834.0	2424576.0	1853752.0	3330036.0	2196081.0	2606664.0	2592299.0	2467725.0	1667625.0	1681660.0	2605422.0	989361.0	2101565.0	1391862.0	2274667.0	1822107.0	2447598.0	1690543.0	2625364.0	2424006.0	2448031.0	1358633.0	2567005.0	2330419.0	1965411.0	2392929.0	1718225.0	1771305.0	2402927.0	2454316.0	2483666.0	1953339.0	2017161.0	1490339.0	2325615.0	2374018.0	1615614.0	2191267.0	2554249.0	2414485.0	1281621.0	2405187.0	2529123.0	1502601.0
NielsenHB_2014__O2_UC9_2__bin.49	1963538.0	2119506.0	2255917.0	1460833.0	2128685.0	2205280.0	2237658.0	1713920.0	2196081.0	2749365.0	2215684.0	2265672.0	2156394.0	1586099.0	1447054.0	2265476.0	797016.0	1869838.0	1158559.0	1944476.0	1645908.0	2088590.0	1381189.0	2167788.0	2112405.0	2153828.0	1252428.0	2182422.0	2043956.0	1674356.0	2128242.0	1556802.0	1591536.0	2160861.0	2168468.0	2148075.0	1780479.0	1831249.0	1242720.0	2082684.0	2115845.0	1493725.0	1893051.0	2243836.0	2147626.0	1055893.0	2163696.0	2388589.0	1378592.0
