	LoombaR_2017__SID5639_uuc__bin.25	QinJ_2012__DLM023__bin.11	HeQ_2017__SZAXPI029486-84__bin.31	ZellerG_2014__CCIS12656533ST-4-0__bin.24	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.53	YuJ_2015__SZAXPI015254-45__bin.34	XieH_2016__YSZC12003_36694__bin.65	YuJ_2015__SZAXPI017589-133__bin.23	VogtmannE_2016__MMRS47685461ST-27-0-0__bin.39	FengQ_2015__SID532749__bin.5	LiJ_2014__V1.CD46-0__bin.5	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.26	VincentC_2016__MM098.1__bin.15	VogtmannE_2016__MMRS41266697ST-27-0-0__bin.40	CosteaPI_2017__SID713A037-11-0-0__bin.65	HeQ_2017__RSZAXPI003105-143__bin.24	LiJ_2014__MH0382__bin.18	LoombaR_2017__SID5450_zsn__bin.39	XieH_2016__YSZC12003_37179__bin.9	LeChatelierE_2013__MH0203__bin.97	VogtmannE_2016__MMRS85438660ST-27-0-0__bin.15	XieH_2016__YSZC12003_37283__bin.52	FengQ_2015__SID531128__bin.57	NielsenHB_2014__V1_UC35_4__bin.19	GeversD_2014__SKBSTL068__bin.18	XieH_2016__YSZC12003_36697__bin.49	QinN_2014__LV-22__bin.2	ZellerG_2014__CCIS41288781ST-4-0__bin.26	LiSS_2016__FAT_024-22-84-0__bin.30	NielsenHB_2014__O2_UC48_0__bin.20	NielsenHB_2014__V1_UC55_4__bin.39	ZellerG_2014__CCMD26709089ST-21-0__bin.20	WenC_2017__N019__bin.26	ZellerG_2014__CCIS82146115ST-4-0__bin.24	LeChatelierE_2013__MH0166__bin.17	LeChatelierE_2013__MH0251__bin.60	GeversD_2014__SKBSTL059__bin.9	Obregon-TitoAJ_2015__NO21__bin.46	HeQ_2017__RSZAXPI003080-114__bin.32	XieH_2016__YSZC12003_37284__bin.11	NielsenHB_2014__V1_UC55_0__bin.53	HMP_2012__SRS015264__bin.41	HeQ_2017__RSZAXPI003101-139__bin.39	LiJ_2014__V1.FI10__bin.12
LoombaR_2017__SID5639_uuc__bin.25	2428712.0	1544812.0	2070365.0	1839654.0	1196511.0	2032847.0	1945693.0	979682.0	1691433.0	1071939.0	1923156.0	2064137.0	1373145.0	1786925.0	2102381.0	1410108.0	1406636.0	1421192.0	984489.0	2062579.0	1906115.0	2037639.0	1714863.0	1989435.0	1974455.0	1250707.0	2050841.0	2141948.0	1658320.0	2029751.0	2058388.0	1877016.0	1636242.0	1842003.0	1055227.0	1285129.0	1632677.0	1328864.0	1730228.0	1159653.0	2052265.0	2089627.0	2012683.0	2013719.0
QinJ_2012__DLM023__bin.11	1544812.0	1860979.0	1652365.0	1497104.0	986872.0	1606456.0	1554612.0	779391.0	1359567.0	887027.0	1504895.0	1639202.0	1099768.0	1468207.0	1650270.0	1082010.0	1166367.0	1160805.0	777232.0	1661343.0	1524599.0	1608307.0	1401598.0	1593895.0	1576830.0	1040275.0	1629406.0	1709429.0	1356522.0	1586016.0	1608713.0	1519650.0	1339873.0	1452655.0	875674.0	1086251.0	1278313.0	1065280.0	1440591.0	984254.0	1604030.0	1652590.0	1613229.0	1612836.0
HeQ_2017__SZAXPI029486-84__bin.31	2070365.0	1652365.0	2568702.0	2030923.0	1300591.0	2183145.0	2128975.0	1097444.0	1879574.0	1191176.0	2107417.0	2226515.0	1489563.0	1936009.0	2320447.0	1547759.0	1518089.0	1520847.0	1118245.0	2230491.0	2095808.0	2218827.0	1870389.0	2176388.0	2093049.0	1374016.0	2189938.0	2304520.0	1801165.0	2196080.0	2212857.0	2022191.0	1787783.0	1940629.0	1128331.0	1394440.0	1837811.0	1397185.0	1900764.0	1247469.0	2212125.0	2302929.0	2172162.0	2188399.0
ZellerG_2014__CCIS12656533ST-4-0__bin.24	1839654.0	1497104.0	2030923.0	2188830.0	1213075.0	1927342.0	1923000.0	1007527.0	1710748.0	1111695.0	1912254.0	1988056.0	1348564.0	1806304.0	2025871.0	1328839.0	1396441.0	1399470.0	1036129.0	2002621.0	1914169.0	1995576.0	1732100.0	1917786.0	1875519.0	1321796.0	1961355.0	2024410.0	1693631.0	1983167.0	1995355.0	1829763.0	1670711.0	1710223.0	1063825.0	1304308.0	1627382.0	1268955.0	1810886.0	1159069.0	2002495.0	1989439.0	1969001.0	1948184.0
VogtmannE_2016__MMRS72980899ST-27-0-0__bin.53	1196511.0	986872.0	1300591.0	1213075.0	1409637.0	1288905.0	1261750.0	1016319.0	1077384.0	511112.0	1228040.0	1313423.0	1082790.0	1204569.0	1306733.0	1153989.0	886495.0	920132.0	1002698.0	1331128.0	1228270.0	1279898.0	1100027.0	1296695.0	1254479.0	766454.0	1309256.0	1327128.0	1063830.0	1260341.0	1276175.0	1188643.0	1043386.0	1128695.0	692334.0	886229.0	1184335.0	848637.0	1218229.0	746612.0	1278509.0	1318397.0	1313071.0	1257580.0
YuJ_2015__SZAXPI015254-45__bin.34	2032847.0	1606456.0	2183145.0	1927342.0	1288905.0	2558275.0	2059010.0	1105841.0	1767596.0	1103701.0	2037280.0	2326169.0	1412333.0	1970703.0	2211527.0	1508485.0	1487974.0	1536932.0	1065212.0	2204265.0	2015616.0	2159670.0	1813343.0	2114854.0	2065387.0	1308947.0	2259555.0	2258049.0	1731994.0	2174019.0	2194202.0	2135314.0	1694388.0	1950929.0	1121065.0	1402199.0	1737596.0	1360614.0	1869110.0	1234682.0	2195690.0	2205569.0	2169526.0	2119739.0
XieH_2016__YSZC12003_36694__bin.65	1945693.0	1554612.0	2128975.0	1923000.0	1261750.0	2059010.0	2289981.0	1066710.0	1742921.0	1103136.0	1972015.0	2099317.0	1388258.0	1861234.0	2120690.0	1444668.0	1465996.0	1452918.0	1087680.0	2110992.0	1988386.0	2075974.0	1806020.0	2014396.0	1979710.0	1322483.0	2057161.0	2166425.0	1728350.0	2096525.0	2093738.0	1914691.0	1703235.0	1811727.0	1080067.0	1345695.0	1707395.0	1339439.0	1842185.0	1214166.0	2116854.0	2111118.0	2065659.0	2038718.0
YuJ_2015__SZAXPI017589-133__bin.23	979682.0	779391.0	1097444.0	1007527.0	1016319.0	1105841.0	1066710.0	1205506.0	916819.0	376712.0	1010347.0	1098131.0	962416.0	994413.0	1089462.0	1055636.0	761460.0	757089.0	974114.0	1096185.0	1056415.0	1107465.0	892365.0	1055436.0	1049677.0	573424.0	1090320.0	1104716.0	879507.0	1075807.0	1089890.0	986715.0	851960.0	963988.0	592055.0	732789.0	1058886.0	691368.0	1054781.0	594111.0	1099941.0	1087659.0	1067970.0	1049414.0
VogtmannE_2016__MMRS47685461ST-27-0-0__bin.39	1691433.0	1359567.0	1879574.0	1710748.0	1077384.0	1767596.0	1742921.0	916819.0	2063064.0	997151.0	1765299.0	1828045.0	1274889.0	1623972.0	1874434.0	1226786.0	1277447.0	1321534.0	918067.0	1826513.0	1751363.0	1821450.0	1572530.0	1759946.0	1720910.0	1139767.0	1776733.0	1842810.0	1534034.0	1811126.0	1821232.0	1658086.0	1486976.0	1577002.0	993592.0	1191820.0	1496595.0	1150603.0	1609320.0	1065273.0	1818753.0	1841546.0	1805262.0	1831242.0
FengQ_2015__SID532749__bin.5	1071939.0	887027.0	1191176.0	1111695.0	511112.0	1103701.0	1103136.0	376712.0	997151.0	1344458.0	1135790.0	1125867.0	582535.0	1067136.0	1210080.0	435936.0	844868.0	847500.0	360110.0	1140298.0	1135317.0	1158749.0	1002643.0	1074897.0	1088512.0	1094361.0	1074239.0	1145935.0	1042853.0	1155183.0	1157847.0	1078393.0	989573.0	968770.0	609082.0	747544.0	811699.0	722737.0	1121408.0	724449.0	1156395.0	1127229.0	1125222.0	1114307.0
