	LoombaR_2017__SID5639_uuc__bin.25	QinJ_2012__DLM023__bin.11	HeQ_2017__SZAXPI029486-84__bin.31	ZellerG_2014__CCIS12656533ST-4-0__bin.24	VogtmannE_2016__MMRS72980899ST-27-0-0__bin.53	YuJ_2015__SZAXPI015254-45__bin.34	XieH_2016__YSZC12003_36694__bin.65	YuJ_2015__SZAXPI017589-133__bin.23	VogtmannE_2016__MMRS47685461ST-27-0-0__bin.39	FengQ_2015__SID532749__bin.5	LiJ_2014__V1.CD46-0__bin.5	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.26	VincentC_2016__MM098.1__bin.15	VogtmannE_2016__MMRS41266697ST-27-0-0__bin.40	CosteaPI_2017__SID713A037-11-0-0__bin.65	HeQ_2017__RSZAXPI003105-143__bin.24	LiJ_2014__MH0382__bin.18	LoombaR_2017__SID5450_zsn__bin.39	XieH_2016__YSZC12003_37179__bin.9	LeChatelierE_2013__MH0203__bin.97	VogtmannE_2016__MMRS85438660ST-27-0-0__bin.15	XieH_2016__YSZC12003_37283__bin.52	FengQ_2015__SID531128__bin.57	NielsenHB_2014__V1_UC35_4__bin.19	GeversD_2014__SKBSTL068__bin.18	XieH_2016__YSZC12003_36697__bin.49	QinN_2014__LV-22__bin.2	ZellerG_2014__CCIS41288781ST-4-0__bin.26	LiSS_2016__FAT_024-22-84-0__bin.30	NielsenHB_2014__O2_UC48_0__bin.20	NielsenHB_2014__V1_UC55_4__bin.39	ZellerG_2014__CCMD26709089ST-21-0__bin.20	WenC_2017__N019__bin.26	ZellerG_2014__CCIS82146115ST-4-0__bin.24	LeChatelierE_2013__MH0166__bin.17	LeChatelierE_2013__MH0251__bin.60	GeversD_2014__SKBSTL059__bin.9	Obregon-TitoAJ_2015__NO21__bin.46	HeQ_2017__RSZAXPI003080-114__bin.32	XieH_2016__YSZC12003_37284__bin.11	NielsenHB_2014__V1_UC55_0__bin.53	HMP_2012__SRS015264__bin.41	HeQ_2017__RSZAXPI003101-139__bin.39	LiJ_2014__V1.FI10__bin.12
LoombaR_2017__SID5639_uuc__bin.25	0.0	34686.0	44245.0	40925.0	35036.0	62151.0	42227.0	28366.0	36813.0	25335.0	45185.0	65139.0	28620.0	54319.0	47042.0	29582.0	31977.0	41382.0	19822.0	46699.0	44983.0	46124.0	38331.0	62811.0	45335.0	29578.0	70575.0	49067.0	38334.0	45012.0	46306.0	56472.0	38191.0	42741.0	25207.0	40600.0	38280.0	28914.0	49436.0	27317.0	46025.0	44833.0	56798.0	44257.0
QinJ_2012__DLM023__bin.11	34686.0	0.0	34019.0	34735.0	29391.0	49144.0	33725.0	22200.0	30291.0	21831.0	37634.0	53468.0	23016.0	46274.0	37926.0	22543.0	27439.0	35930.0	16145.0	36716.0	38229.0	35898.0	32054.0	50610.0	40176.0	24771.0	56598.0	38408.0	30928.0	36148.0	36728.0	46964.0	32807.0	33352.0	20616.0	34723.0	33087.0	23275.0	43030.0	22910.0	36757.0	36863.0	47766.0	36993.0
HeQ_2017__SZAXPI029486-84__bin.31	44245.0	34019.0	0.0	45652.0	37582.0	64456.0	42663.0	30667.0	40464.0	27539.0	50657.0	69394.0	27949.0	58549.0	47414.0	29856.0	33644.0	44655.0	22477.0	47652.0	48937.0	46538.0	40628.0	67990.0	49781.0	30896.0	73543.0	48877.0	39074.0	47436.0	47199.0	60346.0	40809.0	42132.0	25938.0	43739.0	43637.0	29245.0	54567.0	27956.0	47279.0	47137.0	61432.0	46010.0
ZellerG_2014__CCIS12656533ST-4-0__bin.24	40925.0	34735.0	45652.0	0.0	35679.0	59047.0	42504.0	28333.0	38965.0	26720.0	46940.0	63811.0	28477.0	55543.0	45270.0	29080.0	31870.0	42300.0	21513.0	45803.0	44903.0	45224.0	39171.0	62237.0	46966.0	30894.0	68907.0	45966.0	39237.0	44352.0	44757.0	56558.0	40514.0	39555.0	25313.0	41522.0	39983.0	27853.0	53079.0	27253.0	44884.0	44595.0	57012.0	43678.0
VogtmannE_2016__MMRS72980899ST-27-0-0__bin.53	35036.0	29391.0	37582.0	35679.0	0.0	33334.0	36043.0	25427.0	31875.0	15899.0	37379.0	35493.0	30581.0	30559.0	37758.0	33461.0	26182.0	31134.0	28084.0	38519.0	37693.0	37031.0	32530.0	36387.0	38939.0	23576.0	39823.0	37643.0	32261.0	37664.0	37810.0	30731.0	32512.0	33814.0	21279.0	24819.0	36927.0	25079.0	39317.0	22862.0	37870.0	37965.0	41572.0	36658.0
YuJ_2015__SZAXPI015254-45__bin.34	62151.0	49144.0	64456.0	59047.0	33334.0	0.0	61613.0	19164.0	54450.0	37287.0	65162.0	65415.0	40224.0	43615.0	67732.0	41739.0	45793.0	53148.0	29184.0	66588.0	63321.0	65377.0	56258.0	63918.0	64844.0	43290.0	71650.0	67924.0	54301.0	67130.0	67662.0	47910.0	54783.0	59095.0	35461.0	38744.0	54256.0	40330.0	64020.0	39989.0	67974.0	65445.0	71939.0	65367.0
XieH_2016__YSZC12003_36694__bin.65	42227.0	33725.0	42663.0	42504.0	36043.0	61613.0	0.0	29406.0	37836.0	25788.0	46798.0	65611.0	27143.0	55418.0	43803.0	28107.0	31686.0	42302.0	22054.0	46057.0	46483.0	40177.0	39842.0	62940.0	48810.0	28946.0	70534.0	47893.0	37032.0	44396.0	43053.0	57001.0	40480.0	40355.0	23938.0	42008.0	41399.0	29436.0	52564.0	28021.0	44692.0	43622.0	57782.0	42633.0
YuJ_2015__SZAXPI017589-133__bin.23	28366.0	22200.0	30667.0	28333.0	25427.0	19164.0	29406.0	0.0	26496.0	11210.0	29567.0	30415.0	26324.0	20864.0	30617.0	29649.0	21566.0	25049.0	26691.0	30883.0	30155.0	30860.0	24956.0	28800.0	32324.0	16565.0	33240.0	30649.0	25530.0	30622.0	30576.0	21431.0	25038.0	28253.0	17510.0	19618.0	31101.0	19589.0	33411.0	18246.0	31046.0	29301.0	33235.0	30163.0
VogtmannE_2016__MMRS47685461ST-27-0-0__bin.39	36813.0	30291.0	40464.0	38965.0	31875.0	54450.0	37836.0	26496.0	0.0	18594.0	44778.0	60020.0	20046.0	50435.0	38635.0	25185.0	29291.0	39693.0	18627.0	40718.0	41836.0	39054.0	34400.0	55841.0	43052.0	26610.0	61937.0	40897.0	33377.0	39699.0	39744.0	50191.0	34798.0	35875.0	23201.0	37312.0	36690.0	24351.0	46551.0	24333.0	39694.0	37191.0	51414.0	40675.0
FengQ_2015__SID532749__bin.5	25335.0	21831.0	27539.0	26720.0	15899.0	37287.0	25788.0	11210.0	18594.0	0.0	30276.0	39860.0	10658.0	35853.0	28511.0	9460.0	20248.0	26438.0	7488.0	27024.0	28884.0	27192.0	23017.0	36541.0	28212.0	25372.0	40547.0	27165.0	24326.0	26798.0	26718.0	36087.0	23131.0	23135.0	15100.0	25579.0	21086.0	16238.0	34431.0	17911.0	26874.0	25353.0	34347.0	25473.0
