	VogtmannE_2016__MMRS54316675ST-27-0-0__bin.55	LeChatelierE_2013__MH0257__bin.78	HMP_2012__SRS012273__bin.49	FengQ_2015__SID31749__bin.37	LiJ_2014__MH0391__bin.43	ZellerG_2014__CCMD79987997ST-21-0__bin.13	BackhedF_2015__SID338_M__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.50	CosteaPI_2017__alien2-11-0-0__bin.7	ZeeviD_2015__PNP_Main_327__bin.53	ZeeviD_2015__PNP_Main_430__bin.10	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.36	ZeeviD_2015__PNP_Main_154__bin.54	ZeeviD_2015__PNP_Main_644__bin.16	LiJ_2014__V1.FI07__bin.4	KarlssonFH_2013__S577__bin.48	NielsenHB_2014__V1_CD20_4__bin.55	HMP_2012__SRS022071__bin.33	QinJ_2012__NLM026__bin.21	VogtmannE_2016__MMRS11664448ST-27-0-0__bin.83	ZeeviD_2015__PNP_Validation_83__bin.8	LeChatelierE_2013__MH0140__bin.3	YuJ_2015__SZAXPI015222-123__bin.55	YuJ_2015__SZAXPI017593-158__bin.26	QinN_2014__HD-35__bin.49	ZeeviD_2015__PNP_Main_543__bin.19	LoombaR_2017__SID1022_aav__bin.28	ZeeviD_2015__PNP_Main_645__bin.38	LiJ_2017__H2M514903__bin.45	ZeeviD_2015__PNP_Main_773__bin.23	LiJ_2014__V1.CD20-0__bin.36	QinJ_2012__NLM006__bin.4	ZeeviD_2015__PNP_Main_286__bin.38	VogtmannE_2016__MMRS67690541ST-27-0-0__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.74	QinN_2014__HD-36__bin.19	LiJ_2017__nHM410714__bin.27	BackhedF_2015__SID172_M__bin.40	BackhedF_2015__SID241_M__bin.31	ZeeviD_2015__PNP_Main_121__bin.3	QinJ_2012__T2D-098__bin.37	ZeeviD_2015__PNP_Main_473__bin.20	QinJ_2012__CON-052__bin.33	LiJ_2017__nHM412716__bin.59	YuJ_2015__SZAXPI017466-84__bin.26	YuJ_2015__SZAXPI003412-1__bin.63	LiJ_2017__nHM611708__bin.16	HMP_2012__SRS052027__bin.35
VogtmannE_2016__MMRS54316675ST-27-0-0__bin.55	2055489.0	1872839.0	1544295.0	1620890.0	1597205.0	1574587.0	1495937.0	1732273.0	1485468.0	1618491.0	1902957.0	1807164.0	1690354.0	1522379.0	1817644.0	1844979.0	1297846.0	1622488.0	1617384.0	1682767.0	1496653.0	1148681.0	1298175.0	1716165.0	1591979.0	1252977.0	1861912.0	1889799.0	1469941.0	1835964.0	1638309.0	1733673.0	1646991.0	1635114.0	1396220.0	1740231.0	1504360.0	1676055.0	1484584.0	1121794.0	1583069.0	1565279.0	1579959.0	1691549.0	1879327.0	1883503.0	1644783.0	1451845.0
LeChatelierE_2013__MH0257__bin.78	1872839.0	2315592.0	1593141.0	1708485.0	1685834.0	1628413.0	1555809.0	1817317.0	1553638.0	1687518.0	1982046.0	1885976.0	1770411.0	1577795.0	1926502.0	1922904.0	1361721.0	1689221.0	1674657.0	1768577.0	1543691.0	1197629.0	1350996.0	1802162.0	1673700.0	1313550.0	1961503.0	1970126.0	1526036.0	1939415.0	1735275.0	1815895.0	1717062.0	1707732.0	1458876.0	1809311.0	1570379.0	1746100.0	1552149.0	1162471.0	1648836.0	1624359.0	1630571.0	1756104.0	1979754.0	1997783.0	1698176.0	1542380.0
HMP_2012__SRS012273__bin.49	1544295.0	1593141.0	1897821.0	1557897.0	1550324.0	1334287.0	1562026.0	1687167.0	1484121.0	1655872.0	1694024.0	1617935.0	1640416.0	1555637.0	1621742.0	1678614.0	1263902.0	1823159.0	1637013.0	1680636.0	1529196.0	1067561.0	1344146.0	1541505.0	1455596.0	1226566.0	1684674.0	1691393.0	1516302.0	1682271.0	1576544.0	1672442.0	1622301.0	1662715.0	1416450.0	1549246.0	1524397.0	1612281.0	1433035.0	1135661.0	1601457.0	1586456.0	1581709.0	1647067.0	1693987.0	1694514.0	1650908.0	1390804.0
FengQ_2015__SID31749__bin.37	1620890.0	1708485.0	1557897.0	1974249.0	1658459.0	1435442.0	1563815.0	1679728.0	1555749.0	1640725.0	1729848.0	1744600.0	1650132.0	1577177.0	1740182.0	1679177.0	1425669.0	1665686.0	1667074.0	1646028.0	1553185.0	1079469.0	1326291.0	1512139.0	1450859.0	1214652.0	1672148.0	1739174.0	1522312.0	1675896.0	1722340.0	1740948.0	1660181.0	1648744.0	1436644.0	1561732.0	1540806.0	1601306.0	1523861.0	1118492.0	1614547.0	1567254.0	1588211.0	1628340.0	1702903.0	1727981.0	1622832.0	1466785.0
LiJ_2014__MH0391__bin.43	1597205.0	1685834.0	1550324.0	1658459.0	1861298.0	1403214.0	1549203.0	1639153.0	1569556.0	1619482.0	1686370.0	1690290.0	1648451.0	1644372.0	1738670.0	1656136.0	1405814.0	1670383.0	1645978.0	1647901.0	1610957.0	1063578.0	1315496.0	1495690.0	1435790.0	1197154.0	1654284.0	1699572.0	1588926.0	1636593.0	1713569.0	1693926.0	1610828.0	1614961.0	1506381.0	1519170.0	1529853.0	1566812.0	1483965.0	1126637.0	1688150.0	1567341.0	1561207.0	1623320.0	1670744.0	1703181.0	1615919.0	1416105.0
ZellerG_2014__CCMD79987997ST-21-0__bin.13	1574587.0	1628413.0	1334287.0	1435442.0	1403214.0	1747060.0	1290874.0	1490034.0	1289949.0	1400045.0	1639038.0	1586970.0	1457795.0	1319715.0	1593113.0	1589587.0	1147371.0	1410956.0	1400506.0	1457940.0	1297040.0	1008198.0	1126629.0	1491000.0	1380100.0	1112174.0	1609364.0	1631398.0	1278972.0	1569824.0	1431903.0	1513388.0	1414323.0	1402441.0	1199280.0	1505522.0	1312193.0	1455120.0	1313798.0	970896.0	1371170.0	1340621.0	1388314.0	1478362.0	1616837.0	1618864.0	1422076.0	1307149.0
BackhedF_2015__SID338_M__bin.70	1495937.0	1555809.0	1562026.0	1563815.0	1549203.0	1290874.0	1853996.0	1679640.0	1561714.0	1643790.0	1718030.0	1578231.0	1648296.0	1604291.0	1612094.0	1659455.0	1311759.0	1696649.0	1683426.0	1629386.0	1613703.0	1013427.0	1323899.0	1523844.0	1448673.0	1221875.0	1615761.0	1702258.0	1590876.0	1628999.0	1576033.0	1719236.0	1649392.0	1621520.0	1495231.0	1565553.0	1518911.0	1632372.0	1417460.0	1126126.0	1650316.0	1597534.0	1602528.0	1620141.0	1694311.0	1704738.0	1622826.0	1361194.0
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.50	1732273.0	1817317.0	1687167.0	1679728.0	1639153.0	1490034.0	1679640.0	2218163.0	1608597.0	1795430.0	1954265.0	1807215.0	1848368.0	1701617.0	1781930.0	1921458.0	1390601.0	1806953.0	1790344.0	1813006.0	1679185.0	1167185.0	1405768.0	1766080.0	1644950.0	1362583.0	1871273.0	1928433.0	1638649.0	1898929.0	1753451.0	1897776.0	1828351.0	1761712.0	1690132.0	1807596.0	1635490.0	1829013.0	1513071.0	1211750.0	1726449.0	1711672.0	1730389.0	1795792.0	1942510.0	1940800.0	1775728.0	1487628.0
CosteaPI_2017__alien2-11-0-0__bin.7	1485468.0	1553638.0	1484121.0	1555749.0	1569556.0	1289949.0	1561714.0	1608597.0	1916412.0	1577252.0	1716580.0	1566288.0	1623698.0	1561587.0	1629146.0	1636856.0	1324142.0	1639632.0	1650047.0	1596228.0	1578455.0	954553.0	1246136.0	1495214.0	1426972.0	1199722.0	1628398.0	1718145.0	1556605.0	1571696.0	1574719.0	1728433.0	1617231.0	1577943.0	1534604.0	1552863.0	1504610.0	1623516.0	1371005.0	1108601.0	1659442.0	1566715.0	1565893.0	1607578.0	1725072.0	1725958.0	1601192.0	1306664.0
ZeeviD_2015__PNP_Main_327__bin.53	1618491.0	1687518.0	1655872.0	1640725.0	1619482.0	1400045.0	1643790.0	1795430.0	1577252.0	2232338.0	1781712.0	1705541.0	1766940.0	1645970.0	1721784.0	1759547.0	1349244.0	1767219.0	1722187.0	1852906.0	1601470.0	1085634.0	1476118.0	1613610.0	1553016.0	1286380.0	1883428.0	1808531.0	1614121.0	1966638.0	1674679.0	1766115.0	1723217.0	1863903.0	1538352.0	1636822.0	1614830.0	1685182.0	1481001.0	1180589.0	1661281.0	1662888.0	1671992.0	1721945.0	1781336.0	1788364.0	1716943.0	1447229.0
