	VogtmannE_2016__MMRS54316675ST-27-0-0__bin.55	LeChatelierE_2013__MH0257__bin.78	HMP_2012__SRS012273__bin.49	FengQ_2015__SID31749__bin.37	LiJ_2014__MH0391__bin.43	ZellerG_2014__CCMD79987997ST-21-0__bin.13	BackhedF_2015__SID338_M__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.50	CosteaPI_2017__alien2-11-0-0__bin.7	ZeeviD_2015__PNP_Main_327__bin.53	ZeeviD_2015__PNP_Main_430__bin.10	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.36	ZeeviD_2015__PNP_Main_154__bin.54	ZeeviD_2015__PNP_Main_644__bin.16	LiJ_2014__V1.FI07__bin.4	KarlssonFH_2013__S577__bin.48	NielsenHB_2014__V1_CD20_4__bin.55	HMP_2012__SRS022071__bin.33	QinJ_2012__NLM026__bin.21	VogtmannE_2016__MMRS11664448ST-27-0-0__bin.83	ZeeviD_2015__PNP_Validation_83__bin.8	LeChatelierE_2013__MH0140__bin.3	YuJ_2015__SZAXPI015222-123__bin.55	YuJ_2015__SZAXPI017593-158__bin.26	QinN_2014__HD-35__bin.49	ZeeviD_2015__PNP_Main_543__bin.19	LoombaR_2017__SID1022_aav__bin.28	ZeeviD_2015__PNP_Main_645__bin.38	LiJ_2017__H2M514903__bin.45	ZeeviD_2015__PNP_Main_773__bin.23	LiJ_2014__V1.CD20-0__bin.36	QinJ_2012__NLM006__bin.4	ZeeviD_2015__PNP_Main_286__bin.38	VogtmannE_2016__MMRS67690541ST-27-0-0__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.74	QinN_2014__HD-36__bin.19	LiJ_2017__nHM410714__bin.27	BackhedF_2015__SID172_M__bin.40	BackhedF_2015__SID241_M__bin.31	ZeeviD_2015__PNP_Main_121__bin.3	QinJ_2012__T2D-098__bin.37	ZeeviD_2015__PNP_Main_473__bin.20	QinJ_2012__CON-052__bin.33	LiJ_2017__nHM412716__bin.59	YuJ_2015__SZAXPI017466-84__bin.26	YuJ_2015__SZAXPI003412-1__bin.63	LiJ_2017__nHM611708__bin.16	HMP_2012__SRS052027__bin.35
VogtmannE_2016__MMRS54316675ST-27-0-0__bin.55	0.0	17972.0	34094.0	15585.0	14752.0	15705.0	33505.0	35483.0	31977.0	75612.0	45549.0	16777.0	38041.0	39901.0	19652.0	41251.0	16083.0	35954.0	36192.0	69047.0	36907.0	11378.0	51776.0	35954.0	35188.0	32040.0	79726.0	44830.0	32720.0	82938.0	19319.0	36860.0	35948.0	67852.0	30121.0	37012.0	31210.0	38266.0	15345.0	28224.0	33391.0	39925.0	33716.0	34807.0	39440.0	40036.0	34765.0	13050.0
LeChatelierE_2013__MH0257__bin.78	17972.0	0.0	34670.0	14817.0	14024.0	14416.0	34280.0	36083.0	33265.0	77586.0	45218.0	15962.0	38617.0	39158.0	18793.0	41938.0	14832.0	37336.0	36487.0	70083.0	37175.0	10775.0	53090.0	37956.0	36716.0	32720.0	82249.0	44770.0	33232.0	86039.0	18822.0	38579.0	37018.0	68492.0	30002.0	37419.0	32321.0	39262.0	15121.0	28696.0	34185.0	40718.0	33878.0	35889.0	41917.0	41650.0	34769.0	13106.0
HMP_2012__SRS012273__bin.49	34094.0	34670.0	0.0	33986.0	33341.0	29279.0	25206.0	30604.0	23776.0	80535.0	32215.0	34548.0	27589.0	32959.0	34342.0	30373.0	25432.0	265.0	28480.0	72751.0	30039.0	24109.0	56098.0	25589.0	26811.0	25646.0	75322.0	32491.0	22274.0	78426.0	31628.0	26829.0	28471.0	72666.0	25282.0	25804.0	21537.0	28631.0	32147.0	23142.0	26247.0	33598.0	25931.0	25373.0	27795.0	28841.0	25292.0	28683.0
FengQ_2015__SID31749__bin.37	15585.0	14817.0	33986.0	0.0	12698.0	12245.0	35055.0	34042.0	32327.0	74572.0	40994.0	14431.0	36647.0	38984.0	17443.0	37492.0	15658.0	36672.0	36518.0	65833.0	36878.0	10071.0	51613.0	32682.0	32632.0	30383.0	70150.0	41426.0	33996.0	73536.0	18411.0	37769.0	36339.0	66389.0	29299.0	34007.0	32181.0	36124.0	14644.0	26890.0	34039.0	39667.0	33114.0	33431.0	35872.0	36598.0	33483.0	11757.0
LiJ_2014__MH0391__bin.43	14752.0	14024.0	33341.0	12698.0	0.0	11827.0	33780.0	32335.0	32921.0	73027.0	39661.0	12030.0	35900.0	41151.0	16075.0	36944.0	14599.0	35962.0	36075.0	65369.0	38681.0	8043.0	50811.0	31536.0	32544.0	29992.0	67717.0	40146.0	34443.0	71258.0	17571.0	35310.0	34608.0	63938.0	30017.0	32651.0	30834.0	35115.0	13078.0	27419.0	35279.0	39721.0	32056.0	33004.0	34686.0	35935.0	33484.0	11144.0
ZellerG_2014__CCMD79987997ST-21-0__bin.13	15705.0	14416.0	29279.0	12245.0	11827.0	0.0	28882.0	30039.0	27999.0	66421.0	39440.0	13426.0	32854.0	34093.0	15856.0	36123.0	13191.0	31590.0	31287.0	59939.0	31967.0	9183.0	45420.0	31792.0	30940.0	28530.0	70036.0	37896.0	29239.0	70995.0	15652.0	32715.0	31538.0	58429.0	24690.0	32623.0	27828.0	33455.0	12806.0	23506.0	28976.0	34648.0	29860.0	30184.0	33827.0	34483.0	30161.0	10654.0
BackhedF_2015__SID338_M__bin.70	33505.0	34280.0	25206.0	35055.0	33780.0	28882.0	0.0	28835.0	23523.0	78104.0	30665.0	33917.0	26090.0	31827.0	34515.0	28216.0	26166.0	27789.0	27831.0	68999.0	29600.0	22974.0	53501.0	22982.0	26716.0	23454.0	70563.0	30956.0	22658.0	74567.0	32477.0	25891.0	27222.0	69107.0	25290.0	24273.0	21954.0	26565.0	33059.0	21175.0	25573.0	32163.0	24735.0	23537.0	24792.0	26013.0	23637.0	28371.0
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.50	35483.0	36083.0	30604.0	34042.0	32335.0	30039.0	28835.0	0.0	27313.0	82292.0	36666.0	34907.0	29969.0	34592.0	33796.0	30687.0	26500.0	33248.0	32691.0	72533.0	31961.0	23512.0	56844.0	30798.0	32288.0	27173.0	78989.0	36745.0	29378.0	83175.0	32985.0	32626.0	31029.0	71731.0	365.0	32814.0	26848.0	34477.0	31704.0	22571.0	30723.0	33573.0	30216.0	29778.0	33109.0	34435.0	29947.0	29069.0
CosteaPI_2017__alien2-11-0-0__bin.7	31977.0	33265.0	23776.0	32327.0	32921.0	27999.0	23523.0	27313.0	0.0	72585.0	29189.0	32059.0	24116.0	29951.0	34862.0	26733.0	25967.0	26317.0	22279.0	65810.0	27887.0	20542.0	49015.0	19572.0	23633.0	22765.0	69347.0	29151.0	22418.0	70557.0	30948.0	23082.0	26490.0	65110.0	26145.0	20550.0	20934.0	21095.0	30224.0	19222.0	21103.0	29957.0	19071.0	22220.0	22660.0	23473.0	21386.0	25980.0
ZeeviD_2015__PNP_Main_327__bin.53	75612.0	77586.0	80535.0	74572.0	73027.0	66421.0	78104.0	82292.0	72585.0	0.0	79982.0	76946.0	82415.0	69916.0	77588.0	80352.0	60186.0	85555.0	81690.0	62226.0	69674.0	51639.0	55642.0	77598.0	73762.0	55853.0	62210.0	81125.0	75666.0	55983.0	75628.0	84181.0	78494.0	62665.0	68814.0	77509.0	74110.0	79672.0	70136.0	51862.0	77776.0	71299.0	78484.0	79579.0	84419.0	83859.0	79671.0	65980.0
