	CM_cf__CF_TNFC045IS_t1M15__bin.5	CM_cf__CF_TNFC034IS_t5M16__bin.2	CM_cf__CF_FIFC013SS_t7M17__bin.1	CM_cf__CF_TNFC039IS_t3M15__bin.1	CM_cf__CF_TNFC045IS_t2M15__bin.5	CM_cf__CF_TNFC045IS_t3M15__bin.1	OlmMR_2017__S2_005_012W1__bin.8	CM_cf__CF_TNFC060IS_t1M15__bin.5	OlmMR_2017__S2_005_014G1__bin.7	CM_cf__CF_TNFC048IS_t2M15__bin.3	CM_cf__CF_FIFC003SS_t3M17__bin.2	OlmMR_2017__S2_005_011G1__bin.2	XieH_2016__YSZC12003_37193R1__bin.44	CM_cf__CF_FIFC013SS_t9M16__bin.2	CM_cf__CF_TNFC003IS_t2M15__bin.14	CM_cf__CF_TNFC034SS_t1M15__bin.12	LoombaR_2017__SID5640_ijm__bin.11	CM_cf__CF_FIFC013SS_t1M15__bin.1	CM_cf__CF_FIFC013SS_t4M15__bin.2	CM_cf__CF_TNFC051IS_t3M15__bin.4	VincentC_2016__MM074.2__bin.1	CM_cf__CF_TNFC003IS_t1M15__bin.11	CM_cf__CF_TNFC002IS_t3M15__bin.1	CM_cf__CF_TNFC065IS_t2M15__bin.1	CM_cf__CF_TNFC045IS_t4M15__bin.2	CM_cf__CF_TNFC034IS_t3M15__bin.1	CM_cf__CF_TNFC051IS_t4M15__bin.1	CM_cf__CF_TNFC059IS_t2M15__bin.9	CM_cf__CF_TNFC002IS_t1M15__bin.3	VincentC_2016__MM022.2__bin.33	OlmMR_2017__S2_005_015G1__bin.2	CM_cf__CF_TNFC051IS_t5M16__bin.1	CM_cf__CF_FIFC013SS_t6M16__bin.1	CM_cf__CF_TNFC059IS_t1M15__bin.3	CM_cf__CF_TNFC051IS_t1M15__bin.3	GeversD_2014__SKBSTL067__bin.12	OlmMR_2017__S2_005_022W1__bin.4	OhJ_2014__MET0227__bin.3	OhJ_2014__MET0042__bin.4
CM_cf__CF_TNFC045IS_t1M15__bin.5	1.0	0.9519401456243307	0.9444142111639435	0.9403365598936907	0.9964269874994421	0.9952310246749886	0.37318372137008693	0.8172373945338484	0.7251847113579033	0.8209374249560301	0.8317797205180697	0.945889221082621	0.7168911113120003	0.6036789098102463	0.9490166082880093	0.9229514518540775	0.9475860628155116	0.6400318640067991	0.7546729762587647	0.9409549753344928	0.7916472883962344	0.8221105016684793	0.5607426020234265	0.9606259155466503	0.988017158699003	0.8092926442237823	0.8807474996513954	0.6466474216261008	0.8463210656689194	0.8153105473753144	0.946293160959497	0.6209427214562367	0.7570675174633295	0.7456164513219754	0.7968404741544685	0.46248827291100064	0.8827255136174819	0.9582267971196847	0.6106982438341954
CM_cf__CF_TNFC034IS_t5M16__bin.2	0.9345597472770073	1.0	0.9400147199202955	0.9390017223526451	0.9428073641970197	0.942017123382205	0.3635443167177338	0.8081032422983618	0.7182000291445435	0.8130897517128839	0.8270261716716322	0.9401541836221788	0.7045478326795069	0.5951128002963243	0.9470567541837506	0.9089330914464616	0.9619700620059791	0.629604468744403	0.7442555077730552	0.9356215330671808	0.7828163386621627	0.8183669041240813	0.5467052542989806	0.9490058757710625	0.9341333317926527	0.8331925857308572	0.8747421767122259	0.6353470351204588	0.8290205507548373	0.8069324854453819	0.9406634106947636	0.6135995244432204	0.7489544234548096	0.7308498202218195	0.7875900415534427	0.45167237681455275	0.8734082039963974	0.9453780541587787	0.6023254328510361
CM_cf__CF_FIFC013SS_t7M17__bin.1	0.867856002254509	0.8798778467156245	1.0	0.9088083580270764	0.873341603471415	0.873745846779318	0.34969795168368617	0.7665085546055946	0.685860437363919	0.7750241028757908	0.849803706900618	0.8815484486580955	0.6572565053729359	0.6492333798315788	0.8997677891841857	0.8497676539857549	0.8854550824244743	0.6195981842550311	0.7754426171291605	0.9492589774011316	0.7883165121448751	0.7780732781503412	0.5136831327339135	0.8872792096960709	0.8679685173929776	0.7496766504198211	0.8452942383536316	0.606587137942358	0.7725562808534086	0.7694943368381774	0.8880821381541689	0.6061420346642767	0.7892866359956509	0.7025921444904687	0.798091058246188	0.4297339204750813	0.8160562257224929	0.886498964530241	0.5828544054108215
CM_cf__CF_TNFC039IS_t3M15__bin.1	0.8905878036092498	0.9058627085475061	0.936656985025453	1.0	0.8994787086465933	0.900033906387406	0.3597486282621351	0.7919855518535491	0.7092965430967214	0.7984158440368109	0.8229696421714952	0.9061130584490382	0.6726392484238949	0.6049094591079679	0.9261415150426694	0.8763209556956538	0.9230351325910053	0.615534234613622	0.7502591748516789	0.9170541387467952	0.7698471580564054	0.7949595600530116	0.5264748504403186	0.9176760654966124	0.8903188748653034	0.7694782132107956	0.8422447267052281	0.6195514448146451	0.8024980801862839	0.793290560709464	0.9125716833669817	0.6006234749866851	0.7523012992803795	0.7172657827266309	0.7741133247457795	0.4427087332945242	0.8378805566221187	0.9143439501096152	0.5971291043759367
CM_cf__CF_TNFC045IS_t2M15__bin.5	0.9825857293511416	0.9470011532352003	0.9371820502826023	0.9365316024166033	1.0	0.9981527925411443	0.3686980306663198	0.8099908792217452	0.7200598121874102	0.8139445060771336	0.8231589423766059	0.9409820521525392	0.7090650670324006	0.5961537655531193	0.9415630221919593	0.9130977470807222	0.9427296371129593	0.632378956246379	0.746288417127461	0.9332488960118438	0.783187268696064	0.8137928155091274	0.5556077310927621	0.954020831741469	0.9817413561362461	0.8040602777372088	0.8735927516088711	0.6412616399539738	0.8372606843517557	0.8095296818624829	0.9419956868939027	0.6125819669092104	0.7482940856153817	0.737807447442684	0.7870976935618397	0.45740412785338663	0.8768611110842442	0.9519880814093133	0.6048085104050702
CM_cf__CF_TNFC045IS_t3M15__bin.1	0.9828806804138058	0.9476288211080425	0.9390243607115337	0.9385174277576144	0.999652250451356	1.0	0.3704493282573308	0.8096397337278154	0.7216339127168007	0.8134083120537194	0.8242967152843353	0.9449091419546269	0.7099361926396887	0.59672966896148	0.9441892648713384	0.9171038694321527	0.944645020199018	0.6330155746270693	0.7468866002283135	0.9348452312704014	0.7851581009258307	0.8151837074977483	0.5560873687645027	0.9562978589509104	0.980828570612128	0.8030387886045992	0.8749772566306104	0.6407710030475712	0.8385820536370583	0.8093573688436101	0.9463098267661568	0.6136626826149281	0.749207997981309	0.7373134781364176	0.7890681038592612	0.4569630873702175	0.8782913711777619	0.9562118095036367	0.6060367319743764
OlmMR_2017__S2_005_012W1__bin.8	0.8795638661931185	0.8727796652747394	0.8969177504255538	0.8952625410238411	0.8812325607738489	0.8840902628531094	1.0	0.8010874448359856	0.9963231696181228	0.8063146855140666	0.8079225041438028	0.9695955448050853	0.7610033281421815	0.625263057313552	0.8737872007927744	0.8876673029102558	0.8806461481319945	0.6753535621293021	0.7690778680471381	0.8822123553521904	0.8750278372624007	0.7766376594044483	0.5949009841098356	0.8768510334655908	0.8743601282556112	0.7732783086657301	0.8265559392196011	0.6807133428525854	0.7888082261133171	0.828947439395679	0.9795275717970195	0.637731839124126	0.775734922991922	0.7798887434201959	0.7850527964023084	0.5756892274995935	0.9050219577243491	0.884893594231734	0.5982110176224319
CM_cf__CF_TNFC060IS_t1M15__bin.5	0.9471203276926303	0.9539516149047024	0.966693448970239	0.9691271589798424	0.9519454997488804	0.9501055346536548	0.39390560819921183	1.0	0.7414849041208057	0.8770070861011591	0.8646733332562893	0.9419459942205545	0.7277512849159048	0.6443310717095705	0.9606605156411242	0.9358363325282223	0.9578649508815331	0.681086610029136	0.7976402144529334	0.9621579501667279	0.8143313805175508	0.8436995878076546	0.5918577755481295	0.9685084063026382	0.9464149951092773	0.8237420669029648	0.9025345178171785	0.6961765214618705	0.8599860828010816	0.8340090797124334	0.9428845431375383	0.6563853817501304	0.8029143895235661	0.7812459208455049	0.834562092285844	0.4823707586502704	0.8852723411680254	0.9620169973217065	0.6391470761473116
OlmMR_2017__S2_005_014G1__bin.7	0.870639378559681	0.8782894297837598	0.8960665402746867	0.8991333121371627	0.8766641937801015	0.8772627893375412	0.5075107060287405	0.7681305762610741	1.0	0.7770790891927006	0.7973593104179179	0.9706660700337176	0.7188004145028909	0.5927228443690803	0.8786256246001185	0.8806726251457236	0.8835480426906576	0.622703846319913	0.7330422785098307	0.8765699885776193	0.8386622076204159	0.761516193481785	0.5429985908471795	0.876930715998791	0.8696166633302325	0.7595938185686305	0.8187768632022704	0.6316105556929381	0.7857361547791477	0.8107205520424865	0.98187020878228	0.593609943359122	0.7350121485459035	0.7357022016540864	0.7538100116578939	0.5082570859975742	0.8858864905814423	0.8862872552136691	0.579602414793357
CM_cf__CF_TNFC048IS_t2M15__bin.3	0.9290278933489815	0.9372592968888458	0.9544402590094049	0.9540132879032129	0.9340895729141961	0.932074039897749	0.38714939067819215	0.8563767616720543	0.7324774424948728	1.0	0.8589345183939818	0.931768426263681	0.7220651193835632	0.6394574951003771	0.9408680167192117	0.9185460116865766	0.9382841755406235	0.674276729815718	0.7867181276614008	0.9423899800167163	0.8028747661186217	0.8324636047831123	0.5830754795377612	0.9495447059837744	0.9268105295366698	0.8132458350892551	0.8863304127375027	0.6897755219758772	0.8459920029865778	0.8215059130318315	0.9363406060251765	0.6581670803797157	0.7946794368273309	0.7776942006298009	0.818381883105375	0.47907083095459124	0.8715786350170326	0.9417014243593306	0.6355564813584933
