	CM_cf__CF_TNFC045IS_t1M15__bin.5	CM_cf__CF_TNFC034IS_t5M16__bin.2	CM_cf__CF_FIFC013SS_t7M17__bin.1	CM_cf__CF_TNFC039IS_t3M15__bin.1	CM_cf__CF_TNFC045IS_t2M15__bin.5	CM_cf__CF_TNFC045IS_t3M15__bin.1	OlmMR_2017__S2_005_012W1__bin.8	CM_cf__CF_TNFC060IS_t1M15__bin.5	OlmMR_2017__S2_005_014G1__bin.7	CM_cf__CF_TNFC048IS_t2M15__bin.3	CM_cf__CF_FIFC003SS_t3M17__bin.2	OlmMR_2017__S2_005_011G1__bin.2	XieH_2016__YSZC12003_37193R1__bin.44	CM_cf__CF_FIFC013SS_t9M16__bin.2	CM_cf__CF_TNFC003IS_t2M15__bin.14	CM_cf__CF_TNFC034SS_t1M15__bin.12	LoombaR_2017__SID5640_ijm__bin.11	CM_cf__CF_FIFC013SS_t1M15__bin.1	CM_cf__CF_FIFC013SS_t4M15__bin.2	CM_cf__CF_TNFC051IS_t3M15__bin.4	VincentC_2016__MM074.2__bin.1	CM_cf__CF_TNFC003IS_t1M15__bin.11	CM_cf__CF_TNFC002IS_t3M15__bin.1	CM_cf__CF_TNFC065IS_t2M15__bin.1	CM_cf__CF_TNFC045IS_t4M15__bin.2	CM_cf__CF_TNFC034IS_t3M15__bin.1	CM_cf__CF_TNFC051IS_t4M15__bin.1	CM_cf__CF_TNFC059IS_t2M15__bin.9	CM_cf__CF_TNFC002IS_t1M15__bin.3	VincentC_2016__MM022.2__bin.33	OlmMR_2017__S2_005_015G1__bin.2	CM_cf__CF_TNFC051IS_t5M16__bin.1	CM_cf__CF_FIFC013SS_t6M16__bin.1	CM_cf__CF_TNFC059IS_t1M15__bin.3	CM_cf__CF_TNFC051IS_t1M15__bin.3	GeversD_2014__SKBSTL067__bin.12	OlmMR_2017__S2_005_022W1__bin.4	OhJ_2014__MET0227__bin.3	OhJ_2014__MET0042__bin.4
CM_cf__CF_TNFC045IS_t1M15__bin.5	6117247.0	5823253.0	5777215.0	5752271.0	6095390.0	6088074.0	2282857.0	4999243.0	4436134.0	5021877.0	5088202.0	5786238.0	4385400.0	3692853.0	5805369.0	5645922.0	5796618.0	3915233.0	4616521.0	5756054.0	4842702.0	5029053.0	3430201.0	5876386.0	6043945.0	4950643.0	5387750.0	3955702.0	5177155.0	4987456.0	5788709.0	3798460.0	4631169.0	4561120.0	4874470.0	2829155.0	5399850.0	5861710.0	3735792.0
CM_cf__CF_TNFC034IS_t5M16__bin.2	5823253.0	6231012.0	5857243.0	5850931.0	5874644.0	5869720.0	2265249.0	5035301.0	4475113.0	5066372.0	5153210.0	5858112.0	4390046.0	3708155.0	5901122.0	5663573.0	5994047.0	3923073.0	4637465.0	5829869.0	4877738.0	5099254.0	3406527.0	5913267.0	5820596.0	5191633.0	5450529.0	3958855.0	5165637.0	5028006.0	5861285.0	3823346.0	4666744.0	4553934.0	4907483.0	2814376.0	5442217.0	5890662.0	3753097.0
CM_cf__CF_FIFC013SS_t7M17__bin.1	5777215.0	5857243.0	6656882.0	6049830.0	5813732.0	5816423.0	2327898.0	5102557.0	4565692.0	5159244.0	5657043.0	5868364.0	4375279.0	4321870.0	5989648.0	5656803.0	5894370.0	4124592.0	5162030.0	6319105.0	5247730.0	5179542.0	3419528.0	5906513.0	5777964.0	4990509.0	5627024.0	4037979.0	5142816.0	5122433.0	5911858.0	4035016.0	5254188.0	4677073.0	5312798.0	2860688.0	5432390.0	5901319.0	3879993.0
CM_cf__CF_TNFC039IS_t3M15__bin.1	5752271.0	5850931.0	6049830.0	6458960.0	5809697.0	5813283.0	2323602.0	5115403.0	4581318.0	5156936.0	5315528.0	5852548.0	4344550.0	3907086.0	5981911.0	5660122.0	5961847.0	3975711.0	4845894.0	5923216.0	4972412.0	5134612.0	3400480.0	5927233.0	5750534.0	4970029.0	5440025.0	4001658.0	5183303.0	5123832.0	5894264.0	3879403.0	4859084.0	4632791.0	4999967.0	2859438.0	5411837.0	5905711.0	3856833.0
CM_cf__CF_TNFC045IS_t2M15__bin.5	6095390.0	5874644.0	5813732.0	5809697.0	6203418.0	6191959.0	2287188.0	5024712.0	4466832.0	5049238.0	5106399.0	5837305.0	4398627.0	3698191.0	5840909.0	5664327.0	5848146.0	3922911.0	4629539.0	5789333.0	4858438.0	5048297.0	3446667.0	5918190.0	6090152.0	4987922.0	5419261.0	3978014.0	5193878.0	5021851.0	5843593.0	3800102.0	4641981.0	4576928.0	4882696.0	2837469.0	5439536.0	5905580.0	3751880.0
CM_cf__CF_TNFC045IS_t3M15__bin.1	6088074.0	5869720.0	5816423.0	5813283.0	6191959.0	6194113.0	2294605.0	5015000.0	4469882.0	5038343.0	5105787.0	5852874.0	4397425.0	3696211.0	5848415.0	5680645.0	5851238.0	3920970.0	4626300.0	5790537.0	4863358.0	5049340.0	3444468.0	5923417.0	6075363.0	4974113.0	5419708.0	3969008.0	5194272.0	5013251.0	5861550.0	3801096.0	4640679.0	4567003.0	4887577.0	2830481.0	5440236.0	5922884.0	3753860.0
OlmMR_2017__S2_005_012W1__bin.8	2282857.0	2265249.0	2327898.0	2323602.0	2287188.0	2294605.0	2595442.0	2079176.0	2585899.0	2092743.0	2096916.0	2516529.0	1975140.0	1622834.0	2267864.0	2303889.0	2285666.0	1752841.0	1996097.0	2289731.0	2271084.0	2015718.0	1544031.0	2275816.0	2269351.0	2006999.0	2145278.0	1766752.0	2047306.0	2151485.0	2542307.0	1655196.0	2013375.0	2024156.0	2037559.0	1494168.0	2348932.0	2296690.0	1552622.0
CM_cf__CF_TNFC060IS_t1M15__bin.5	4999243.0	5035301.0	5102557.0	5115403.0	5024712.0	5015000.0	2079176.0	5278361.0	3913825.0	4629160.0	4564058.0	4971931.0	3841334.0	3401012.0	5070713.0	4939682.0	5055957.0	3595021.0	4210233.0	5078617.0	4298335.0	4453351.0	3124039.0	5112137.0	4995520.0	4348008.0	4763903.0	3674671.0	4539317.0	4402201.0	4976885.0	3464639.0	4238072.0	4123698.0	4405120.0	2546127.0	4672787.0	5077873.0	3373649.0
OlmMR_2017__S2_005_014G1__bin.7	4436134.0	4475113.0	4565692.0	4581318.0	4466832.0	4469882.0	2585899.0	3913825.0	5095260.0	3959420.0	4062753.0	4945796.0	3662475.0	3020077.0	4476826.0	4487256.0	4501907.0	3172838.0	3735041.0	4466352.0	4273202.0	3880123.0	2766719.0	4468190.0	4430923.0	3870328.0	4171881.0	3218220.0	4003530.0	4130832.0	5002884.0	3024597.0	3745078.0	3748594.0	3840858.0	2589702.0	4513822.0	4515864.0	2953225.0
CM_cf__CF_TNFC048IS_t2M15__bin.3	5021877.0	5066372.0	5159244.0	5156936.0	5049238.0	5038343.0	2092743.0	4629160.0	3959420.0	5405518.0	4642986.0	5036691.0	3903136.0	3456599.0	5085879.0	4965217.0	5071912.0	3644815.0	4252619.0	5094106.0	4339954.0	4499897.0	3151825.0	5132781.0	5009891.0	4396015.0	4791075.0	3728594.0	4573025.0	4440665.0	5061406.0	3557734.0	4295654.0	4203840.0	4423778.0	2589626.0	4711334.0	5090384.0	3435512.0
CM_cf__CF_FIFC003SS_t3M17__bin.2	5088202.0	5153210.0	5657043.0	5315528.0	5106399.0	5105787.0	2096916.0	4564058.0	4062753.0	4642986.0	5726970.0	5138230.0	3948807.0	3852210.0	5265744.0	5009259.0	5193184.0	3792762.0	4628416.0	5476773.0	4660101.0	4620282.0	3125647.0	5194529.0	5085076.0	4465523.0	4989144.0	3698821.0	4578840.0	4552662.0	5170404.0	3719859.0	4672375.0	4214040.0	4732917.0	2616030.0	4787927.0	5192811.0	3535341.0
OlmMR_2017__S2_005_011G1__bin.2	5786238.0	5858112.0	5868364.0	5852548.0	5837305.0	5852874.0	2516529.0	4971931.0	4945796.0	5036691.0	5138230.0	6476102.0	4363988.0	3727205.0	5822809.0	5664793.0	5840442.0	3875328.0	4636326.0	5796555.0	4865028.0	5022817.0	3354489.0	5828454.0	5781887.0	4960759.0	5385605.0	3945180.0	5101926.0	5012579.0	6466411.0	3777976.0	4657671.0	4577496.0	4855839.0	2817060.0	5692543.0	5905114.0	3741747.0
XieH_2016__YSZC12003_37193R1__bin.44	4385400.0	4390046.0	4375279.0	4344550.0	4398627.0	4397425.0	1975140.0	3841334.0	3662475.0	3903136.0	3948807.0	4363988.0	4543664.0	2863878.0	4361945.0	4285684.0	4378253.0	3112793.0	3591515.0	4358092.0	3847936.0	3854318.0	2719998.0	4395694.0	4381235.0	3798402.0	4092785.0	3119684.0	3928392.0	3887135.0	4366728.0	2992412.0	3602758.0	3558208.0	3749090.0	2363901.0	4143333.0	4389034.0	2894366.0
CM_cf__CF_FIFC013SS_t9M16__bin.2	3692853.0	3708155.0	4321870.0	3907086.0	3698191.0	3696211.0	1622834.0	3401012.0	3020077.0	3456599.0	3852210.0	3727205.0	2863878.0	4382805.0	3833999.0	3628249.0	3746368.0	2950063.0	3634888.0	4134716.0	3488288.0	3394976.0	2499084.0	3760704.0	3684891.0	3300611.0	3671341.0	2860893.0	3359563.0	3302717.0	3768069.0	2894748.0	3709404.0	3230537.0	3651370.0	2002954.0	3428919.0	3750682.0	2724147.0
CM_cf__CF_TNFC003IS_t2M15__bin.14	5805369.0	5901122.0	5989648.0	5981911.0	5840909.0	5848415.0	2267864.0	5070713.0	4476826.0	5085879.0	5265744.0	5822809.0	4361945.0	3833999.0	6247631.0	5658777.0	6091767.0	3980691.0	4780128.0	5934793.0	4986203.0	5293803.0	3418394.0	5884743.0	5795234.0	5021278.0	5484938.0	3972139.0	5165013.0	5061614.0	5832166.0	3921780.0	4807532.0	4611721.0	5027412.0	2805567.0	5431416.0	5892328.0	3819323.0
CM_cf__CF_TNFC034SS_t1M15__bin.12	5645922.0	5663573.0	5656803.0	5660122.0	5664327.0	5680645.0	2303889.0	4939682.0	4487256.0	4965217.0	5009259.0	5664793.0	4285684.0	3628249.0	5658777.0	5981613.0	5652034.0	3852272.0	4543036.0	5628462.0	4864861.0	4888417.0	3399629.0	5790399.0	5631629.0	4811295.0	5271894.0	3974512.0	5067235.0	4951867.0	5665679.0	3729431.0	4550833.0	4593036.0	4782110.0	2813114.0	5304686.0	5739731.0	3669103.0
LoombaR_2017__SID5640_ijm__bin.11	5796618.0	5994047.0	5894370.0	5961847.0	5848146.0	5851238.0	2285666.0	5055957.0	4501907.0	5071912.0	5193184.0	5840442.0	4378253.0	3746368.0	6091767.0	5652034.0	6463507.0	3931288.0	4690364.0	5860887.0	4946425.0	5189707.0	3402132.0	5879911.0	5790795.0	5055668.0	5435890.0	3965291.0	5167253.0	5074414.0	5842570.0	3876572.0	4718278.0	4579104.0	4958970.0	2813355.0	5420463.0	5874794.0	3815254.0
CM_cf__CF_FIFC013SS_t1M15__bin.1	3915233.0	3923073.0	4124592.0	3975711.0	3922911.0	3920970.0	1752841.0	3595021.0	3172838.0	3644815.0	3792762.0	3875328.0	3112793.0	2950063.0	3980691.0	3852272.0	3931288.0	4154791.0	3574726.0	4086786.0	3560496.0	3585703.0	2552125.0	3980327.0	3906754.0	3491778.0	3858080.0	3004524.0	3551309.0	3510020.0	3884899.0	3003133.0	3590023.0	3337162.0	3662433.0	2138585.0	3680671.0	3954160.0	2803758.0
CM_cf__CF_FIFC013SS_t4M15__bin.2	4616521.0	4637465.0	5162030.0	4845894.0	4629539.0	4626300.0	1996097.0	4210233.0	3735041.0	4252619.0	4628416.0	4636326.0	3591515.0	3634888.0	4780128.0	4543036.0	4690364.0	3574726.0	5205267.0	5011682.0	4240578.0	4225238.0	2991222.0	4700489.0	4612857.0	4072811.0	4545210.0	3454272.0	4161129.0	4122791.0	4680573.0	3476167.0	4405544.0	3921121.0	4400584.0	2449115.0	4335743.0	4689762.0	3332091.0
CM_cf__CF_TNFC051IS_t3M15__bin.4	5756054.0	5829869.0	6319105.0	5923216.0	5789333.0	5790537.0	2289731.0	5078617.0	4466352.0	5094106.0	5476773.0	5796555.0	4358092.0	4134716.0	5934793.0	5628462.0	5860887.0	4086786.0	5011682.0	6443834.0	5128125.0	5148911.0	3413934.0	5872763.0	5757340.0	4978510.0	5639151.0	3978492.0	5124449.0	5065279.0	5803081.0	4030179.0	5084828.0	4588457.0	5334650.0	2823190.0	5381054.0	5866556.0	3826735.0
VincentC_2016__MM074.2__bin.1	4842702.0	4877738.0	5247730.0	4972412.0	4858438.0	4863358.0	2271084.0	4298335.0	4273202.0	4339954.0	4660101.0	4865028.0	3847936.0	3488288.0	4986203.0	4864861.0	4946425.0	3560496.0	4240578.0	5128125.0	5325472.0	4331621.0	2992351.0	4937161.0	4839876.0	4201745.0	4735762.0	3467492.0	4372546.0	4456834.0	4866212.0	3466493.0	4312406.0	3986473.0	4437523.0	2636178.0	4620188.0	4952707.0	3287827.0
CM_cf__CF_TNFC003IS_t1M15__bin.11	5029053.0	5099254.0	5179542.0	5134612.0	5048297.0	5049340.0	2015718.0	4453351.0	3880123.0	4499897.0	4620282.0	5022817.0	3854318.0	3394976.0	5293803.0	4888417.0	5189707.0	3585703.0	4225238.0	5148911.0	4331621.0	5377421.0	3023719.0	5088746.0	5019320.0	4484431.0	4806017.0	3540301.0	4635029.0	4425334.0	5032319.0	3487093.0	4280925.0	4079790.0	4430873.0	2484605.0	4720011.0	5068780.0	3374863.0
CM_cf__CF_TNFC002IS_t3M15__bin.1	3430201.0	3406527.0	3419528.0	3400480.0	3446667.0	3444468.0	1544031.0	3124039.0	2766719.0	3151825.0	3125647.0	3354489.0	2719998.0	2499084.0	3418394.0	3399629.0	3402132.0	2552125.0	2991222.0	3413934.0	2992351.0	3023719.0	3597696.0	3479518.0	3424839.0	3036529.0	3243200.0	2661682.0	3227935.0	2971168.0	3353065.0	2482230.0	2989988.0	2940711.0	3044289.0	1862830.0	3164812.0	3438647.0	2435228.0
CM_cf__CF_TNFC065IS_t2M15__bin.1	5876386.0	5913267.0	5906513.0	5927233.0	5918190.0	5923417.0	2275816.0	5112137.0	4468190.0	5132781.0	5194529.0	5828454.0	4395694.0	3760704.0	5884743.0	5790399.0	5879911.0	3980327.0	4700489.0	5872763.0	4937161.0	5088746.0	3479518.0	6211428.0	5867658.0	5016862.0	5494529.0	4039904.0	5269350.0	5032291.0	5829925.0	3864885.0	4717329.0	4632819.0	4952059.0	2857021.0	5443703.0	6022612.0	3792004.0
CM_cf__CF_TNFC045IS_t4M15__bin.2	6043945.0	5820596.0	5777964.0	5750534.0	6090152.0	6075363.0	2269351.0	4995520.0	4430923.0	5009891.0	5085076.0	5781887.0	4381235.0	3684891.0	5795234.0	5631629.0	5790795.0	3906754.0	4612857.0	5757340.0	4839876.0	5019320.0	3424839.0	5867658.0	6113059.0	4955146.0	5389676.0	3964254.0	5173795.0	4978317.0	5782005.0	3789686.0	4639799.0	4563623.0	4855127.0	2818354.0	5395122.0	5863493.0	3734989.0
CM_cf__CF_TNFC034IS_t3M15__bin.1	4950643.0	5191633.0	4990509.0	4970029.0	4987922.0	4974113.0	2006999.0	4348008.0	3870328.0	4396015.0	4465523.0	4960759.0	3798402.0	3300611.0	5021278.0	4811295.0	5055668.0	3491778.0	4072811.0	4978510.0	4201745.0	4484431.0	3036529.0	5016862.0	4955146.0	5219660.0	4722725.0	3508329.0	4513294.0	4305542.0	4964626.0	3379911.0	4147618.0	3991808.0	4279938.0	2495792.0	4641167.0	4988402.0	3268943.0
CM_cf__CF_TNFC051IS_t4M15__bin.1	5387750.0	5450529.0	5627024.0	5440025.0	5419261.0	5419708.0	2145278.0	4763903.0	4171881.0	4791075.0	4989144.0	5385605.0	4092785.0	3671341.0	5484938.0	5271894.0	5435890.0	3858080.0	4545210.0	5639151.0	4735762.0	4806017.0	3243200.0	5494529.0	5389676.0	4722725.0	5715879.0	3765015.0	4832263.0	4723216.0	5391876.0	3752748.0	4578770.0	4310134.0	4822578.0	2677223.0	5066970.0	5484886.0	3561406.0
CM_cf__CF_TNFC059IS_t2M15__bin.9	3955702.0	3958855.0	4037979.0	4001658.0	3978014.0	3969008.0	1766752.0	3674671.0	3218220.0	3728594.0	3698821.0	3945180.0	3119684.0	2860893.0	3972139.0	3974512.0	3965291.0	3004524.0	3454272.0	3978492.0	3467492.0	3540301.0	2661682.0	4039904.0	3964254.0	3508329.0	3765015.0	4219621.0	3650754.0	3511411.0	3957924.0	2915970.0	3459528.0	3551995.0	3552255.0	2152413.0	3698903.0	4013132.0	2807650.0
CM_cf__CF_TNFC002IS_t1M15__bin.3	5177155.0	5165637.0	5142816.0	5183303.0	5193878.0	5194272.0	2047306.0	4539317.0	4003530.0	4573025.0	4578840.0	5101926.0	3928392.0	3359563.0	5165013.0	5067235.0	5167253.0	3551309.0	4161129.0	5124449.0	4372546.0	4635029.0	3227935.0	5269350.0	5173795.0	4513294.0	4832263.0	3650754.0	5501327.0	4421481.0	5101596.0	3436235.0	4229114.0	4181569.0	4380316.0	2570132.0	4779555.0	5212193.0	3365348.0
VincentC_2016__MM022.2__bin.33	4987456.0	5028006.0	5122433.0	5123832.0	5021851.0	5013251.0	2151485.0	4402201.0	4130832.0	4440665.0	4552662.0	5012579.0	3887135.0	3302717.0	5061614.0	4951867.0	5074414.0	3510020.0	4122791.0	5065279.0	4456834.0	4425334.0	2971168.0	5032291.0	4978317.0	4305542.0	4723216.0	3511411.0	4421481.0	5423032.0	5031968.0	3401842.0	4161872.0	4031922.0	4325923.0	2612922.0	4766216.0	5051596.0	3315423.0
OlmMR_2017__S2_005_015G1__bin.2	5788709.0	5861285.0	5911858.0	5894264.0	5843593.0	5861550.0	2542307.0	4976885.0	5002884.0	5061406.0	5170404.0	6466411.0	4366728.0	3768069.0	5832166.0	5665679.0	5842570.0	3884899.0	4680573.0	5803081.0	4866212.0	5032319.0	3353065.0	5829925.0	5782005.0	4964626.0	5391876.0	3957924.0	5101596.0	5031968.0	6532188.0	3781061.0	4694435.0	4607575.0	4863327.0	2841304.0	5727510.0	5915162.0	3781314.0
CM_cf__CF_TNFC051IS_t5M16__bin.1	3798460.0	3823346.0	4035016.0	3879403.0	3800102.0	3801096.0	1655196.0	3464639.0	3024597.0	3557734.0	3719859.0	3777976.0	2992412.0	2894748.0	3921780.0	3729431.0	3876572.0	3003133.0	3476167.0	4030179.0	3466493.0	3487093.0	2482230.0	3864885.0	3789686.0	3379911.0	3752748.0	2915970.0	3436235.0	3401842.0	3781061.0	4074185.0	3479670.0	3219106.0	3611656.0	2031233.0	3561311.0	3844645.0	2728822.0
CM_cf__CF_FIFC013SS_t6M16__bin.1	4631169.0	4666744.0	5254188.0	4859084.0	4641981.0	4640679.0	2013375.0	4238072.0	3745078.0	4295654.0	4672375.0	4657671.0	3602758.0	3709404.0	4807532.0	4550833.0	4718278.0	3590023.0	4405544.0	5084828.0	4312406.0	4280925.0	2989988.0	4717329.0	4639799.0	4147618.0	4578770.0	3459528.0	4229114.0	4161872.0	4694435.0	3479670.0	5280122.0	3922440.0	4459081.0	2440087.0	4334247.0	4712362.0	3304578.0
CM_cf__CF_TNFC059IS_t1M15__bin.3	4561120.0	4553934.0	4677073.0	4632791.0	4576928.0	4567003.0	2024156.0	4123698.0	3748594.0	4203840.0	4214040.0	4577496.0	3558208.0	3230537.0	4611721.0	4593036.0	4579104.0	3337162.0	3921121.0	4588457.0	3986473.0	4079790.0	2940711.0	4632819.0	4563623.0	3991808.0	4310134.0	3551995.0	4181569.0	4031922.0	4607575.0	3219106.0	3922440.0	4967678.0	4027088.0	2387902.0	4283721.0	4617018.0	3143357.0
