	HMP_2012__SRS022071__bin.72	KarlssonFH_2013__S278__bin.14	RaymondF_2016__P1E0__bin.43	NielsenHB_2014__O2_UC31_0__bin.13	NielsenHB_2014__O2_UC40_2__bin.1	ZeeviD_2015__PNP_Main_223__bin.14	RampelliS_2015__H16__bin.44	RampelliS_2015__H15__bin.1	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.22	ZeeviD_2015__PNP_Main_282__bin.34	NielsenHB_2014__V1_CD38_0__bin.62	XieH_2016__YSZC12003_37583__bin.3	LiJ_2014__O2.UC31-1__bin.33	RampelliS_2015__H27__bin.20	NielsenHB_2014__O2_UC44_0__bin.31	XieH_2016__YSZC12003_36526__bin.4	ZeeviD_2015__PNP_Validation_93__bin.16	XieH_2016__YSZC12003_37196__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.64	LeChatelierE_2013__MH0430__bin.89	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.59	LeChatelierE_2013__MH0457__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.101	NielsenHB_2014__MH0069__bin.2	ZeeviD_2015__PNP_Main_643__bin.24	ZeeviD_2015__PNP_Main_756__bin.41	RaymondF_2016__P1E7__bin.24	ZeeviD_2015__PNP_Main_116__bin.30	ZeeviD_2015__PNP_Main_744__bin.5	CosteaPI_2017__SID713B040-11-90-0__bin.59	XieH_2016__YSZC12003_35561__bin.37	LeChatelierE_2013__MH0069__bin.18	ZellerG_2014__CCIS00146684ST-4-0__bin.38	XieH_2016__YSZC12003_35550__bin.17	LeChatelierE_2013__MH0126__bin.18	LiJ_2014__V1.FI14__bin.49	CosteaPI_2017__SID713B063-11-0-0__bin.59	QinN_2014__HD-18__bin.24	XieH_2016__YSZC12003_35698__bin.46	XieH_2016__YSZC12003_37181R1__bin.36	LiJ_2014__O2.UC40-1__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.41
HMP_2012__SRS022071__bin.72	1.0	0.643838811415204	0.8597550702136696	0.9134711382481742	0.7332548926778665	0.9371432748741585	0.6172878099044091	0.8418928797699693	0.8426044154198548	0.725450975750698	0.9516364623728529	0.5694875133151852	0.5847451490952635	0.7414890728453767	0.9175614239067624	0.916939700486657	0.9065681284941484	0.8918354417160401	0.7785773464315303	0.4545403911357418	0.9323303140643168	0.6958895239951821	0.6119074307436313	0.7927203358559662	0.7658490736808393	0.6248550124275062	0.8378854441528061	0.8933733891236694	0.85275041250966	0.4807008138798187	0.47760751359367276	0.8704747516239304	0.7236630857811228	0.6861034720433326	0.6725675854434565	0.8690238315707394	0.7813225372999241	0.926348401829663	0.7486942415740115	0.7361964172578725	0.5522150202251571	0.84288081429755
KarlssonFH_2013__S278__bin.14	0.6654948581955829	1.0	0.7922473535359351	0.8689476752135522	0.6998366424628847	0.8788052591052037	0.6126101943738801	0.7581034693686627	0.8216689814981397	0.7019574118984737	0.8986794666052577	0.5239329586424772	0.5753675544585094	0.67443346598637	0.8422361991666607	0.8611669629171194	0.8754265646701545	0.8515231111334998	0.7352967422045351	0.4533344367763153	0.8326635914190517	0.6554393742039019	0.579627803884599	0.7650530012449716	0.7454716858929613	0.5912592923092423	0.7836102735339201	0.8508883915399507	0.8283932670787787	0.4311868968544679	0.43446556178441126	0.8310595211537216	0.7039213005274937	0.6481631272533624	0.6570045840859534	0.8483048956886564	0.695432465691319	0.8690822472815722	0.6941975690671349	0.7002115731978497	0.50584776804669	0.7882188271360617
RaymondF_2016__P1E0__bin.43	0.6394352179939863	0.5700527593136577	1.0	0.8336033694710554	0.6949534051738199	0.9051461172531604	0.5721043090311165	0.7405007086183211	0.7804313639595221	0.7006534201384305	0.9485424521145409	0.5754053260550439	0.5545848407977743	0.6612146810596187	0.8829544801403049	0.8933675707051956	0.83494293512453	0.8797347587513198	0.7552701060416119	0.4498569041483039	0.834852836777524	0.654300409636795	0.6001191990774757	0.7753288978020664	0.7452443348075287	0.5716869569179737	0.850784709999829	0.855060756836471	0.7826682884369128	0.4584017485292998	0.4594062933177577	0.8359438552668439	0.6567574019157809	0.6830666370481295	0.6334504094037819	0.8033417166220577	0.7208577155512337	0.9112893746605131	0.7312003844196139	0.7255495610812422	0.555183425218113	0.8221696821133552
NielsenHB_2014__O2_UC31_0__bin.13	0.6658512980853893	0.6127855206779671	0.8169962734949218	1.0	0.6972675171874453	0.9356669114464046	0.5964103144463859	0.7873410475320974	0.8532169081730889	0.6958531402770595	0.9413609584268596	0.577755966950168	0.6109357166455467	0.68160432057383	0.8937892766175127	0.9021897721315476	0.9074336747562395	0.8907458541806331	0.741557255875348	0.4507827792125671	0.8879988063815956	0.6494253427719858	0.5835286750074474	0.7678696398185416	0.7512731675902153	0.5989416786476791	0.8089728436588262	0.8671668157843854	0.8480993707621345	0.4785171524284197	0.47732860893214285	0.8543344029548144	0.7146571975646531	0.6595695767374329	0.6379961420547998	0.8608729146567915	0.709540675135335	0.9129084857032225	0.7440820226960044	0.7182563224474862	0.5678969428245619	0.8133184875352643
NielsenHB_2014__O2_UC40_2__bin.1	0.6414366481458136	0.5922811710343845	0.8173963249413952	0.8367887118414697	1.0	0.9071076590823134	0.6315860634995459	0.7911881909919589	0.7967115588760322	0.7170700631511762	0.938727097877928	0.6058675963026506	0.5034614688906307	0.6853148088259388	0.8985366637980966	0.8996018716963481	0.841005083642268	0.8965859142851749	0.7691842480783321	0.41950128293907246	0.8316539103605324	0.6876522976272479	0.5932136085942606	0.8078173713543731	0.7469446073621762	0.5561012538270441	0.8128175753821868	0.8642764351529569	0.7823254663862655	0.4914609792238782	0.5068245781039787	0.8616819322103887	0.6673359997027893	0.6905208677820593	0.7174744645487972	0.801695318871111	0.6622846364620237	0.9305178713138722	0.7588744485919949	0.7469531338976682	0.5996882942239421	0.8347679229298638
ZeeviD_2015__PNP_Main_223__bin.14	0.6111456173853507	0.5544518088098149	0.7936620146760633	0.8371004196144559	0.6762367094090437	1.0	0.5728568198472824	0.7396606035510588	0.7632438258740757	0.6948700974983859	0.9292294476544359	0.6223011326230489	0.5101357640279355	0.637148365174452	0.8727585677716847	0.8819059086546276	0.8157982436306412	0.8609242777973011	0.7153827154440096	0.42411570861812364	0.8294018882196488	0.6256927361568546	0.5575196890076631	0.7637977423816049	0.7442858063889274	0.5420395387419193	0.7848610986252882	0.8627481160028294	0.7656969495545513	0.4826365336086571	0.514751432237396	0.855822343539018	0.6373871849145833	0.6381585817558063	0.6240577743997952	0.7719403150422838	0.6600337435039668	0.8948466695542969	0.740163214677153	0.6961345708372947	0.5705553421614912	0.788941919584036
RampelliS_2015__H16__bin.44	0.6120338795852719	0.5876306379688816	0.7626779230461255	0.8112421134013502	0.7158491295404028	0.8709538470034377	1.0	0.7983971394254	0.7792677370811647	0.6704361271796005	0.8940006626813746	0.6279465160907322	0.44211961398809935	0.6750548783013267	0.846280010492455	0.8469744453494953	0.8115658608645231	0.8334329656372095	0.7043336600720667	0.33340880537876383	0.7943754918338326	0.6631659602667292	0.5557190783206549	0.759431474604117	0.6976454102411884	0.5210787900542571	0.7485400300967792	0.8352097800726189	0.7578210208054339	0.5274184418704182	0.5460328855632102	0.8356840114312537	0.6281522234340702	0.6325100437645824	0.6669204644291966	0.7827889221763561	0.628612648930736	0.8580004970110309	0.7681229550066959	0.6901039581406264	0.6205838499026686	0.780626924192012
RampelliS_2015__H15__bin.1	0.645635549262416	0.5624598558735763	0.7635443546212664	0.8283446497723631	0.6936040095272724	0.8698099617766516	0.6175353281660535	1.0	0.774271345729893	0.6627386156196223	0.8948171830476059	0.5893833168085026	0.4820840401102225	0.6910235731115643	0.848786319255459	0.8434033356131726	0.8139955439018569	0.8382947869631633	0.6992411391935349	0.3727756216299623	0.8565746134818059	0.639779512306594	0.5329500854005389	0.7394538743653691	0.7014723917863849	0.5365385631886569	0.7529102656306478	0.8163437250225448	0.7665262990412395	0.4942211145157424	0.5060250227049573	0.8261806711270362	0.6388168541527514	0.6320665008310469	0.6462783892054146	0.7720080579239367	0.6746167387192001	0.8625288917578202	0.7254486131155365	0.6768672124399139	0.5648277920423462	0.7653345891136871
VogtmannE_2016__MMRS77487595ST-27-0-0__bin.22	0.6540955759597077	0.6170876036398875	0.8145737097742662	0.9086455703659507	0.707000627473616	0.908535857063564	0.6101216196277638	0.783754540536363	1.0	0.7072292418918897	0.9377104076849033	0.5970397945821085	0.5603604217098305	0.6815217397178909	0.8741102007969618	0.8772308146293771	0.9038711501034711	0.8686964168067808	0.7411236263543243	0.4174531705252781	0.8575434921365828	0.6538356148836093	0.5861311576590965	0.7777376036128645	0.7519311973288324	0.5882886724528275	0.8072477796567757	0.8598642257348494	0.856812250273878	0.491748532787253	0.5033603076728511	0.8524145303649129	0.723461406048932	0.6595585417750963	0.6549894961673306	0.8710257977589301	0.6941003968594972	0.8911968316095373	0.7356120191733454	0.7156755447968061	0.5670021299513532	0.799669995357452
ZeeviD_2015__PNP_Main_282__bin.34	0.6400981659914426	0.5992136891799331	0.831227597052563	0.8423133510048499	0.7232714215946752	0.9401635895088936	0.5966342211069168	0.7625181604012642	0.8038615232929222	1.0	0.9431810572809003	0.5743085225649704	0.5749529288542284	0.6768403819750531	0.8889004241778291	0.8969545813355612	0.8545632135540328	0.8870826947117526	0.7526776033491926	0.4555737458188844	0.8442662276431254	0.6618003446252891	0.5933655024556855	0.8104978637532213	0.7850478083121654	0.5951734030365112	0.8225198190256503	0.887537894959932	0.804983244822174	0.4445518796207279	0.47543730860549616	0.8679292688845137	0.6822376685884185	0.6803578942841961	0.6654566899386002	0.8127013769653931	0.6866944537443446	0.9149420556499197	0.7351385719244036	0.7202299959148696	0.539911724324341	0.8188481160791348
