	HMP_2012__SRS022071__bin.72	KarlssonFH_2013__S278__bin.14	RaymondF_2016__P1E0__bin.43	NielsenHB_2014__O2_UC31_0__bin.13	NielsenHB_2014__O2_UC40_2__bin.1	ZeeviD_2015__PNP_Main_223__bin.14	RampelliS_2015__H16__bin.44	RampelliS_2015__H15__bin.1	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.22	ZeeviD_2015__PNP_Main_282__bin.34	NielsenHB_2014__V1_CD38_0__bin.62	XieH_2016__YSZC12003_37583__bin.3	LiJ_2014__O2.UC31-1__bin.33	RampelliS_2015__H27__bin.20	NielsenHB_2014__O2_UC44_0__bin.31	XieH_2016__YSZC12003_36526__bin.4	ZeeviD_2015__PNP_Validation_93__bin.16	XieH_2016__YSZC12003_37196__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.64	LeChatelierE_2013__MH0430__bin.89	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.59	LeChatelierE_2013__MH0457__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.101	NielsenHB_2014__MH0069__bin.2	ZeeviD_2015__PNP_Main_643__bin.24	ZeeviD_2015__PNP_Main_756__bin.41	RaymondF_2016__P1E7__bin.24	ZeeviD_2015__PNP_Main_116__bin.30	ZeeviD_2015__PNP_Main_744__bin.5	CosteaPI_2017__SID713B040-11-90-0__bin.59	XieH_2016__YSZC12003_35561__bin.37	LeChatelierE_2013__MH0069__bin.18	ZellerG_2014__CCIS00146684ST-4-0__bin.38	XieH_2016__YSZC12003_35550__bin.17	LeChatelierE_2013__MH0126__bin.18	LiJ_2014__V1.FI14__bin.49	CosteaPI_2017__SID713B063-11-0-0__bin.59	QinN_2014__HD-18__bin.24	XieH_2016__YSZC12003_35698__bin.46	XieH_2016__YSZC12003_37181R1__bin.36	LiJ_2014__O2.UC40-1__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.41
HMP_2012__SRS022071__bin.72	1436330.0	934812.0	1257639.0	1326298.0	1077433.0	1366029.0	904760.0	1232205.0	1223980.0	1057457.0	1392403.0	831810.0	848591.0	1083846.0	1346716.0	1345096.0	1315913.0	1308269.0	1143901.0	665011.0	1352916.0	1019621.0	898118.0	1155601.0	1116264.0	908102.0	1226331.0	1301416.0	1237318.0	705041.0	698522.0	1269166.0	1051250.0	1007149.0	988226.0	1262003.0	1133849.0	1359857.0	1100241.0	1080946.0	812110.0	1237849.0
KarlssonFH_2013__S278__bin.14	934812.0	1389590.0	1120850.0	1215126.0	993820.0	1239709.0	868437.0	1073085.0	1149071.0	990642.0	1271849.0	740433.0	805169.0	954537.0	1194577.0	1220659.0	1223569.0	1207352.0	1044218.0	640756.0	1171930.0	928872.0	822154.0	1079247.0	1051811.0	831266.0	1109026.0	1200425.0	1157475.0	611371.0	614084.0	1172731.0	983827.0	919471.0	931867.0	1186020.0	978461.0	1233147.0	985589.0	994391.0	719211.0	1119255.0
RaymondF_2016__P1E0__bin.43	1257639.0	1120850.0	1931223.0	1639216.0	1364209.0	1776579.0	1129144.0	1459378.0	1536816.0	1375506.0	1835750.0	1128750.0	1089512.0	1303160.0	1732457.0	1752260.0	1641227.0	1725437.0	1481732.0	881706.0	1642926.0	1267989.0	1177199.0	1522269.0	1463254.0	1124015.0	1644535.0	1677292.0	1538830.0	886601.0	902898.0	1641439.0	1292214.0	1341771.0	1243264.0	1580000.0	1416976.0	1786991.0	1433461.0	1423454.0	1087645.0	1612682.0
NielsenHB_2014__O2_UC31_0__bin.13	1326298.0	1215126.0	1639216.0	1970479.0	1405519.0	1871746.0	1199150.0	1580540.0	1688008.0	1392623.0	1889583.0	1158683.0	1204110.0	1367094.0	1800038.0	1815687.0	1791474.0	1793253.0	1494925.0	905493.0	1772316.0	1305475.0	1175225.0	1536208.0	1503063.0	1194258.0	1623698.0	1734213.0	1676397.0	961940.0	957373.0	1709567.0	1413659.0	1328586.0	1285486.0	1703368.0	1414937.0	1838443.0	1500380.0	1447457.0	1145217.0	1638592.0
NielsenHB_2014__O2_UC40_2__bin.1	1077433.0	993820.0	1364209.0	1405519.0	1641933.0	1518335.0	1060748.0	1326934.0	1340003.0	1200129.0	1567578.0	1013163.0	844111.0	1150432.0	1490723.0	1492557.0	1412764.0	1487613.0	1268361.0	696834.0	1399192.0	1148712.0	984553.0	1352377.0	1250182.0	934503.0	1357482.0	1445980.0	1314313.0	819534.0	849060.0	1442680.0	1121695.0	1146702.0	1191048.0	1347370.0	1112293.0	1533602.0	1257664.0	1231964.0	986058.0	1376026.0
ZeeviD_2015__PNP_Main_223__bin.14	1366029.0	1239709.0	1776579.0	1871746.0	1518335.0	2202498.0	1287331.0	1660686.0	1709108.0	1532179.0	2080204.0	1382998.0	1139492.0	1430024.0	1958551.0	1977396.0	1823416.0	1931482.0	1605781.0	950567.0	1855820.0	1402951.0	1250943.0	1685191.0	1641994.0	1211552.0	1757714.0	1900491.0	1712054.0	1080951.0	1142832.0	1888269.0	1426954.0	1432852.0	1400414.0	1726749.0	1474341.0	2006718.0	1661186.0	1561965.0	1279806.0	1770510.0
RampelliS_2015__H16__bin.44	904760.0	868437.0	1129144.0	1199150.0	1060748.0	1287331.0	1448660.0	1175049.0	1152875.0	990989.0	1323982.0	928454.0	653637.0	993477.0	1253691.0	1254710.0	1199185.0	1234417.0	1043875.0	493204.0	1174535.0	983427.0	823865.0	1122723.0	1031459.0	770272.0	1108890.0	1234456.0	1119855.0	781538.0	807694.0	1235531.0	929509.0	937522.0	989023.0	1157654.0	928845.0	1270740.0	1138730.0	1022213.0	920055.0	1156396.0
RampelliS_2015__H15__bin.1	1232205.0	1073085.0	1459378.0	1580540.0	1326934.0	1660686.0	1175049.0	1872939.0	1479340.0	1265597.0	1711421.0	1125437.0	919952.0	1314329.0	1622868.0	1611761.0	1552730.0	1602657.0	1337508.0	711691.0	1635435.0	1225128.0	1019342.0	1411411.0	1338880.0	1023748.0	1439614.0	1557936.0	1462817.0	945595.0	967388.0	1577462.0	1220019.0	1209346.0	1236626.0	1473172.0	1287301.0	1648607.0	1387479.0	1294585.0	1080158.0	1462798.0
VogtmannE_2016__MMRS77487595ST-27-0-0__bin.22	1223980.0	1149071.0	1536816.0	1688008.0	1340003.0	1709108.0	1152875.0	1479340.0	1850277.0	1330348.0	1770406.0	1126613.0	1041638.0	1285030.0	1655235.0	1660376.0	1678510.0	1644474.0	1404597.0	788406.0	1608423.0	1235805.0	1110063.0	1463175.0	1414630.0	1102053.0	1523672.0	1616813.0	1589843.0	929821.0	949562.0	1603734.0	1343283.0	1249260.0	1240940.0	1616212.0	1300655.0	1688076.0	1394675.0	1355983.0	1075361.0	1515208.0
ZeeviD_2015__PNP_Main_282__bin.34	1057457.0	990642.0	1375506.0	1392623.0	1200129.0	1532179.0	990989.0	1265597.0	1330348.0	1627855.0	1561278.0	943226.0	949750.0	1123302.0	1473916.0	1486461.0	1412211.0	1470835.0	1248516.0	754444.0	1396512.0	1097064.0	983825.0	1321867.0	1279980.0	983352.0	1361654.0	1446186.0	1330542.0	736022.0	780485.0	1415373.0	1128844.0	1128936.0	1103291.0	1344315.0	1133784.0	1516369.0	1218882.0	1194486.0	894698.0	1357717.0
